"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","CHL","CHN","CXR","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","GEO","DEU","GHA","GIB","GRC","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","ABW","NCL","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SRB","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","PRY","BRN","KIR","GIN","LBY","NFK","FSM","PLW","TLS","RWA","SYC","SUR","TON","UZB","ARM","GMB","IRQ","COM","BEN","DJI","GAB","MRT","SDN","GUY","LAO","LBR","KNA","SPM","VCT","TCA","BTN","MYT","PSE","GRL","LSO","MHL","SOM","TJK","VGB","TUV","TCD","ERI","GNB","CAF","WLF","ATF","BMU","COK","AIA"
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0,0,0,0,0,0,0.113,0,0,65.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.948,0,43.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.496,0,0,0,0,3.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998,0,0,2.006,0,0,0,0,1.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.951,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,75.941,0,0,0,0,0,0,0,5.023,0,0,0,0,0,0,0,0,0,41.862,0,0,0,0,0,0,0,0,756.989,0,0,0,50.861,0,0,0,0,0,0,0,0,10.57,0,0,0,0,0,0,8.779,0,0,0,3.194,0,0,0,0,0,0,0,140.292,3.896,0,0,0,0,8.647,0,0,0,0,6.449,0,0,0,0,0,0,0,0,0,12.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.432,159.33,0,0,0,0,0,0,1.121,0,0.509,45.701,2.625,0,0,24.283,0,0,0,2867.193,0.182,0,0,0,0,0,0,0,0,0,5.683,0,0,59.601,0,359.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.37,3.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.813,0,0,0,0,0,0,0,0,0
"FIN",9.972,0,0,0,0,0,0,0.232,3.346,78.155,0,0,30.578,0,1188.475,0,0,0,7.58,0,0,0,46.062,19.66,11.712,0,4.962,1.565,0,0,22.556,76.079,424.525,0,0.407,74.074,0,57.238,0.538,0,0.316,0.054,83.135,0,0.193,10.136,0.317,0,2.197,532.655,0,0,1874.013,0,0,12351.539,5.055,0,1.383,0,0,8.995,2.973,0,0.716,64.139,0,8.17,1.371,1.371,79,25.332,0,0,117.392,1.014,0,0,18.576,20.509,1.371,0,0,32.507,66.459,0,0,0,0,3.293,0,0,0,0,194.89,0,0,0,0,1138.584,0,0,0,4.987,137.485,0,0,3.063,0,0.118,0,0,0,95.827,0.031,0,0,0,3.27,0,24.631,1.594,0,2.164,3934.63,0,0,0,0,0,0,8.922,0,13.234,96.761,16.524,3328.075,0.904,12.409,0,3.328,0,752.696,33.059,0,3.498,0,0,130.214,0,2.159,0,13.378,1.437,0.272,0,386.691,52.824,301.921,0,0,9.306,0,0,61.503,0,0,0,0,225.4,0,0,0,0,48.719,0.365,552.512,0,0,0,0,0,0,178.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.036,0,0,240.509,49.111,133.887,0,0,0,0,0,0
"FRA",0,0,376.15,4.168,61.13,0,3.941,278.093,88.162,423.744,0,1.389,3.44,0,12189.04,0.222,5.557,0,638.736,0,0,1085.381,6.947,0,5.857,0,1523.513,541.684,129.453,0,50.368,41.013,4120.242,0,18.061,82.219,8.336,8.74,10,0,1143.228,187.706,1030.679,0,144.49,0.365,0.653,31.954,60.56,12.931,0,9802.053,0,2347.57,0,129724.839,37.956,0,1097.305,0,0,0.854,4.168,0.469,2386.86,1614.204,5.77,45.463,18.061,727.046,764.034,79991.806,213.221,0,735.465,78.534,207.099,241.19,0,690.622,86.138,0,10.55,2.678,40.448,3896.308,1.084,725.877,0,7.195,0,2071.484,0.999,47.237,230.437,0,0,0.078,0,2806.828,13.893,1.389,0,0,6564.83,0,0,9068.273,1.721,22.928,0.744,2517.661,639.09,479.54,3.521,0,0,4.311,11.115,0,274.458,5293.751,223.681,341.796,132.38,0,0,0,0,27.787,2660.583,6.333,0,314.117,167.688,482.678,67.34,70.899,18263.799,0,51341.646,0,4340.469,2205.169,1244.835,45.826,55.424,0,3094.027,336.294,503.019,0,4.071,44.635,5.395,10.937,7543.475,697.858,13335.948,1997.56,9.076,40.916,0,1.389,1.918,2.315,0,0,36.122,302.723,0,0,0,0,35.835,6.947,6.947,0,0,0.031,255.319,4.168,26.397,97.253,104.165,133.898,34.717,145.879,51.405,6.947,0,0,11.115,0,0,0,12614.333,0.748,0,0,0,80.581,0,0,0,344.553,0,483.485,390.261,159.772,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624,0,0,0,0,0,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",24.406,7.67,656.319,2.297,22.832,0,36.891,760.862,23294.795,111771.178,0,79.581,19.995,2.934,293424.594,4.417,63.004,190.39,7503.805,0,0,3642.538,0,47.169,400.815,0.155,17.775,4992.259,0,0,183.732,275.543,318101.591,0,122.051,0.376,104.892,47.593,1473.803,4.459,63056.96,772384.035,6670.989,0,464.643,19.341,83.171,0,711.878,2890.163,0,4149.536,684868.729,0.235,39.152,0,219.857,1.738,65954.56,29.06,0,5.176,27.566,4.486,15377.257,44612.954,63.453,383.029,260.173,7620.056,21451.92,656876.908,42.982,45.47,43002.89,111.747,63.82,586.558,0,165657.159,84.042,4.413,45.181,293.325,1670.41,38498.796,48.171,265.044,0,199040.783,0.732,204.667,1649.707,116.333,3045.75,6.115,13.246,31.751,0,351.803,3.417,121.754,406.137,43.707,238807.805,11.339,0,4.166,0,429.943,46.723,21.715,1758.811,5352.641,789.829,18.247,126.153,58.323,18732.902,0,61894.56,53664.577,110.157,6806.195,11363.314,0,11.977,297.237,0,645.769,77.748,272.296,10.306,180023.977,5317.874,16531.793,152.569,25873.21,56852.335,2.155,549373.958,0,62983.164,97433.487,25.469,4942.71,12.021,5.351,1222.875,3317.907,3798.314,41.706,434.331,1621.524,1060.527,1607.926,73449.936,143.849,125668.017,424.775,99.904,89.877,0,10.893,346.626,79.586,0.976,0,12.911,65.553,0,0,33.6,0,12.669,9.394,0,0,12.414,10.308,5.691,44.166,0,388.178,48.711,172.681,32.609,5.683,314.223,0.764,25.734,0.657,0,0.523,0,0,1.638,2.174,0.154,0,0,0,34.667,5.775,0,47.989,371.192,0,0,0,357.134,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,26.664,0,0,0,0,0,0,1.24,12.792,0,0,0,0,0.292,0,3.535,0,0,0,0,237.431,0,0,0,0,16.275,0.218,0,0,0,0,0.075,0,0,0,0,0,0,0,3871.46,2.462,2.092,0,0,0,0,0,0,0.017,0,0,44.415,0,0,2369.405,0,0,0,0,0,0,0,0,1.277,69,0,0,0,0,0,396.483,0,1.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.018,0,0,235.094,6.243,0,0,0,28.435,0,0.131,0,0,0,0,124.144,0,0,0,0,1.035,0,0,0,11.655,0,0,0,0,0,0,0,60.694,0,38.468,0.209,0,0,0,0,0,0,23.996,0,0.307,0,32.269,0,29.667,16.239,0,906.121,0,0,5.666,0,0,0,0,0,109.029,67.2,0,0,7.173,2.025,0,11.93,8.869,17.769,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,1.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,157.486,1654.955,517.706,0.138,0,53.245,32.783,2453.211,0,3.306,3149.994,3863.078,0,0.142,137.198,0,0,3.371,3.945,0,362.548,0,0,47.205,46.792,64585.341,0,163.753,0,0,2.524,68.819,0,43.422,4633.334,1312.512,0,5.397,169.901,21.402,0,0,52.562,0.212,345.642,1626.093,0,49.969,21981.461,2.381,0,993.151,0,0,0.141,0,169.325,0,607.592,10.65,18064.069,222.14,74.998,6541.637,37868.727,0,3.364,3713.749,0.469,17.976,48.551,0,13504.286,23.172,0,0.496,90.01,18.204,376,218.345,5.216,9.508,8899.314,2.271,36.719,11.432,0,1718.736,0,4.378,0,0,29.455,0,1.815,0,2.548,5961.013,0,0,0,0,110.117,0,0,198.682,84.471,26.05,8.499,0,202.967,3818.814,0,300.872,128.064,1.077,48.833,84.547,0,0,11.818,0,27.136,1.935,9.073,0,1475.687,9277.325,220.036,86.277,136.223,1267.603,144.778,4351.659,0,2940.794,1385.492,6.798,2995.537,0,0,753.412,87.055,329.102,0,92.177,82.891,0.928,75.683,4554.816,1668.394,12656.69,0,8.568,17.721,0,0,0,3.999,0.057,3.175,0,0,0,0,0,0,3.027,0,0,0,0,2.519,0,0,0,0,0,2985.465,1.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,36,2.328,0,0,0,0,4.867,28.597,18509.909,0,0,0,0,3114.515,0,0.06,0,14.283,0,0,12,0,0,0.3,0,0,15.904,0,0,0,6,1682.21,0,9.582,0,0,0,19.581,0,0,8361.611,27.156,0,0,0,0,0,0,0.202,0,6.36,17309,0,0,221230.291,0,0,0.937,0,0,0,0,0,104.068,0,0,0,0,28.796,7,15924.106,0,0,1421.208,1.025,0,3.308,0,18.596,0,0,3.187,0,0.712,0.11,0,0,0,37.255,0,0,0,0,130.053,0,1.469,0,0,6.414,0,0,0,0,21164,0,0,0,0,2.182,0,0,0,0,0,0,0,3.021,5.851,0,681.268,354.748,0,120.364,33.335,0,0,0,0,1,0,29.255,0,12.526,82.5,368.419,8.356,49.892,29.574,0,5508,0,54.501,13.349,0,15.104,0,0,0,5.9,173.931,0,0,556.523,3.227,0,5131.974,0,508.013,0,0,0,0,0,0,2.625,0,0,0,0,0,0,0,0,85.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621,1.619,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0.689,0,0,0,0,0,0,0,0,0,0,16.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0.572,0,2.79,0,0,0,0,0.418,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,3.349,0,0,0,0,0,0,2.634,0,0,0,0,0,0,0,0.204,0,0,0,0,0,0.015,0,6.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,26.301,489.088,113.777,0,0,2.977,0,1.575,0,0.821,0,244.3,0,27.124,0.305,0,0,0,0.837,0,148.17,0,0,0,3.46,6733.91,0,83.627,0,0,0.221,0.197,0,0,80.046,0.587,0,0,0,0,0,0,0,0,5.309,1163.108,0,0,2705.231,0,0,0.027,0,0,0,0,0,14346.262,1,0.688,0,0.375,0,1.279,8.133,0,0,15425.062,0.088,0,58.847,0,1629.988,0,0,0,0,0,0,0,0,0,1035.672,87.604,0,0,0,1716.21,0,0,4.76,0,3.342,0,0,0,208.356,5.459,0,0,0,0.17,3.62,0,0,0,24.952,0,73.359,0,1.459,2028.131,0,15.035,0,0,3.331,5.503,0,0,0,0,0,3.356,8.97,0,2.403,7346.617,26.323,21.46,2.269,9.508,0.434,18.453,0,2.107,16.625,0,11.89,0,0,0.887,1.531,14.592,0,0,1.671,0,0.814,180.262,62.914,2331.915,0,5.65,2.316,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0.541,0,0,0,0,5.487,19.617,26.89,0,0,0,0,266.449,0,8.121,0,98.644,0,0,2.123,0,0,0.3,0,0,28.518,0,0,0,0,35.996,0,0,0,0,0,0,0,0,827.993,42.538,0,0,0,0,0,0,0,0,6.691,1426.513,0,0,3221.098,0.126,0,2.64,16.405,0,0,0,0,216.976,104.809,0,0.058,0,0,179.505,531.791,0,0,98.753,0,0,0,0,136.976,0,0,0,0,0.017,0,0,0,0,8.86,0,0,1273.812,0,35.613,0,0,0.184,0,0.629,0,2.417,0,0,100.103,0,0,0,0,0.601,0,0,0,5.709,0,0,0,11.103,0,0,102.42,7.378,0,6.323,0.881,0,0,0,0,0,0,5.258,0,14.939,5.351,750.295,0,34.336,14.261,0,82.352,0,979.927,256.482,0,2.173,0,0,0,0,90.007,0,0,3.486,0,0,374.767,1.857,2076.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,2.1,0,0,0.069,13165.037,59.276,0,0,0,0,57.272,0,4.323,0,17.215,0,0,0,0,0,0,0,517.28,15.567,0,0,0.645,25.984,34.483,0,0,0,0,12.265,5.935,0,0,33.279,0.256,0,1.167,0,0,0,2.962,0.006,0,0.872,5447.67,0,0.424,43,5.873,0,0,0,0,0,0,0,21.089,0,0,0,0,26.126,0,87.033,0,0,9.669,0,0,58.803,0,28.577,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,348.146,0,0,0,0,0,0,0,0,0,47.426,0,0,0,0,8.034,5.131,0,8.158,9.84,0,0,0,7.958,8.85,0,0.119,28.294,0,0.236,371.065,0,0,0,0,0,0,10.573,0,2.404,18.771,0,0,8.657,44.058,0,55438.336,0,35.432,35.475,0,49.053,0,0,0,0,0.572,0,11.133,2.533,0.322,0,65.776,3.971,11014.532,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,3.098,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
