"AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","PAN","PHL","POL","RUS","SAU","IND","SGP","SVK","ZAF","ESP","SWE","CHE","THA","TTO","ARE","UKR","EGY","GBR","USA","LUX","VEN","HRV","IRN","JOR","NZL","ROU","BLR","DZA","CMR","MDG","NGA","SVN","SCG","KHM","PRT","TUN","TUR","LKA","PAK","VNM","ECU","LTU","KEN","NPL","BRN","MDV","ZWE","CUB","GRD","UZB","SDN","KWT","ARG","BHS","BRB","BLZ","CHL","COL","DOM","SLV","GHA","HND","JAM","ANT","PER"
"NOR",0,0,0,0,0,0,0,3.415,1477.521,0,0,5.297,210.888,0,0,0,0,0,0,0,1.951,52.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0,0,0,0,0,0,0,0,0,0,0,7.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,0,0,6.979,0,0,0,0,0,0,0,0,6.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,159.696,997.71,0,3214.389,27.398,2.224,2295.654,0,0,0,0,0,1,1.155,295.032,0,0,0,0,0,30,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,2.657,0,0,66.045,0,0,0,0,0,0,0,2323.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0,0,113.542,0,0,0,0,0,0,51.633,24.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.453,0,0,21.525,0,0,0,0,21.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.664,0,0,0,0,1.731,30.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",1.152,0,0,0,0,0,0,0,0,0,0,0,0.544,0,0,0,104.175,0,0,7.553,3.735,14.335,0,0,17.661,0,0,0,0,0,0,0,0,68.857,0,0,0,0,0,0,4.802,0,0,0,0,811.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298,1.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618.593,0,0,0,0,0,0,0,0,0,0,0,0,5.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",0,0,0,0,0,0,0,120.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.848,0,230.97,0,0,0,0,0,0,0,0,0,0,0,0,41.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
