"AFG","ALB","ASM","AND","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BTN","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CXR","CCK","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","FSM","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","SLB","COK","LBY","NRU","VUT","SYR","DZA","AZE","PSE","IRQ","UZB","AGO","BDI","GIN","SOM","TCD","NPL","ATG","COM","MYT","ERI","DJI","PLW","GRL","MSR","ATF","LSO","NIU","AIA","SPM","VCT","TKM","TUV","WLF","SHN","FLK","BMU"
"DOM",0,0,0,0,0.639,7.447,4.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567,0,0,0,0,138.139,0,0,0,0,0,42.731,0,0,0,0,0,48.005,0.4,0,0,1.405,0,0,0,0,0,0,0,0,0,0,0,78.234,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.047,0,0,0,0,0,0,0,1666.243,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,20.217,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0.432,0,22.694,0,0,0,0,0,0,0,0,0,0,0,2.171,0.845,0,0,0,0,0,0,0,6527.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,70.864,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0,0,0.421,0,0,0,0,0,3.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.476,0,0,72.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,7.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.474,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0.307,0,0,0.247,0,0,0,24.437,0,0,0,0.369,0,0,9.729,0,0,0,0,0,123.015,0,0,0,0,0,0,1.357,0,0,0,0,0.064,0,0,0,0,0,0,0,0,3938.623,0,0,0,0,0,8.768,0,0,0,0,0,0,0,0,0,0,0,338.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.888,0,17.438,0,0,0,0,4.223,0,0,0.022,0,0,6.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.563,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,1956.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.106,0,0.004,0,0,0,2144.061,0.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0.713,1.838,26.747,0,0,15.799,0,0,7.534,0,0,0.303,0,6.992,73.158,0,0,2.216,0,5.505,0,0,136.699,0,0,0,5282.679,3.994,129.785,0,0,2.933,36.493,0,5.323,0.272,0,0,1.647,0,187.628,0,38.668,0,0.124,0,2.256,743.812,0,0,690.519,0,0,0,4.114,11470.777,23.038,0,0,16.375,0,0,8.459,0,0,0,1.057,32.744,0,0,0.193,89.878,3.6,144.91,0.014,1.123,32.685,3.438,0,0,0,64.517,0,0,0,0.129,24.591,0,50.197,0,0,0,0,19.138,0,0,0,10.998,0,59.376,0,0.03,0,429.561,0,0,0,177.931,0,0,0,0.921,0,0,0,62.714,0,0,693.675,0,0,0,0,0,0,415.937,0.032,0,0,0,55.915,5136.335,0,0.378,34.297,0,0,25.291,0,0.467,0,0,21.314,25.158,0.556,0,0.115,33.358,4.44,548.569,60.465,0,0,2851.396,18.288,58.695,0.135,0,0,0.273,251.181,0,10.533,0,63.303,6.09,0,0,158.247,294.288,858.199,0,0,101.512,0,2.22,0,0,0,5.052,0,0,0,0,0.107,0,0,0,0.683,0,26.245,0,6.489,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,0,6.892,702.964,138.051,31.561,0,14.33,0,0.173,0,1865.805,0,2.464,3.293,0,447.793,0,0,0,848.019,0,19,820.635,866.228,219.784,50.333,0,185.716,6.689,25.467,2364.485,0,0,28.816,6.861,68.61,35.68,4.117,0,358.144,65.59,61.365,94.626,0,22.269,0.201,0.841,1056.593,1689.904,23.327,6.861,15726.934,0,3788.641,40.828,0,34.274,94330.247,10.327,0,0,444.18,0,0,0,31.561,50.771,0.712,1838.836,903.034,1.32,489.276,6.861,1037.5,867.518,19468.307,401.873,0,939.543,2.744,31.561,645.802,0,456.333,4.117,0,0,23.815,4.117,34.305,150.253,1132.983,0,118.654,56.26,33.177,0,1388.26,1.014,582.658,3.495,53.516,9.605,14.619,81.355,698.703,0,0,0,2431.885,0,0,66.113,14.221,0,364.114,212.79,16.466,0,0,155.744,0.969,0,0,74.099,0,0,287.1,7369.65,473.409,0,0,527.611,225.041,26.18,0,0.437,0,0,164.664,3498.602,18.13,0,0,964.132,342.104,234.646,54.086,43.287,484.488,0,58227.705,364.792,0,0,510.557,1869.305,0,97.426,68.61,0,5.713,61.749,5573.254,325.577,43.91,21.778,2.744,50.537,762.943,2018.135,1084.597,10402.628,293.575,4.687,37.282,0,0,956.423,0,0,603.768,0,1.372,0,1695.662,0,0,0,0,36.874,0,355.4,0,805.481,0,0,0,512.113,34.305,37.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",208,2.729,0,0,1954.137,3770.456,121144.791,0,14.175,8.894,2.704,4.786,77593.323,0,3,31.045,0,5868.312,66.855,11,0,7261.325,0,1017.193,3,88,26390.098,21.514,2,0,88.71,107.386,106000.897,0,0,77.035,0,6,3,859.283,142,48566.611,172108.948,2,8041.807,0,21.559,13.242,38.178,0,154.667,2312.513,0.408,13081.696,148286.111,3.109,0.792,10.808,13.996,0,144,0,0,11942.936,0,0,8.556,0,0,2.174,24788.455,41443.978,204.196,262.686,382,6923.707,5291.124,287024.866,36,3.307,30919.437,94.639,49.281,997,0,81262.275,36.927,0.625,0,22.651,205.478,9,827.943,9449.658,0,83,0,158372.548,2.342,53,899.641,98,2.766,3405.336,0.027,60.771,16.061,63.02,1.251,225,197.23,84472.326,1,0,2.953,236.625,26.641,30.457,954,2404.51,0,0,77.044,89.585,0,8.058,41.725,518.767,0,4155.233,30390.271,0,0,42,5870.707,10026.014,148.558,0,0,0,0,8057.279,472.678,238.286,8,3,35671.995,12095.752,7430.96,17.796,18241.552,70113.395,7.844,1305530.217,36,0,14,75980.784,71521.064,0,8602.79,13,0,13.944,1461,305.884,6442.387,0,450.427,994.154,3,2993,61459.972,188.216,151098.485,84.498,12.437,89.69,0,26.949,328.9,0,2,58,0,33,168,126,1.963,0.01,100,96,424.589,7,0,0,17,2,0,0,33.757,96,0,0,0,0,84,7,2,2,6,0.288,2,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,39.406,0,0,0,0,131.937,0,0,0,0,0,0,0,0,2.283,0,0,0,0,0,0.13,0,0,0,0,8.983,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,285.974,0,0,0,0,0,0,0,0,0,0,1.188,0,4.798,0,0,0,0,92.689,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,0,0,2325.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,12.683,479.623,0,0,0,0.407,0,0,0,1.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.872,0,0,0,85.921,0.01,0,0,0,0,0,0,0,79.621,0,0,0,0,0,0,43.334,20.492,0,300.444,0,0,0,0,24.043,0,0,0,0,0,0,0,3.026,0,0,0,1.96,0,1.31,0,22.252,0,0,0,0,0,0,0,0,0,0,0,0,51.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.778,0,0,0,0,0,0,0,0,0,10.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,6.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,253.011,1438.123,1112.542,0,0,0,0,0,1507.121,0,0,0,0,1904.006,0,0,0.008,268.358,0,4.911,0.801,0,764.713,0,0,0,50.164,1.823,93018.304,0,0,108.853,0,0,0.732,3.944,0,3.761,153.975,0,967.298,0,2.268,0,2.424,0,0,34.258,0,184.082,622.844,0,0,2.275,0,18825.892,1.252,0,0,5.602,0,0,4.5,0,0,100.48,0,1030.208,22.065,197.865,211.873,323.459,3050.393,2550.959,0,0,26138.619,14.577,0.982,9.871,0,15683.947,22.554,0,0,55.039,209.362,0,22.789,10.4,70.032,0,0,17265.961,89.935,0,8.747,0,0.454,1585.151,0,0,0,13.686,0,0,0,4798.458,0,0,0.059,165.552,0,0,482.577,52.902,0,0,77.265,2.18,0,0,7.95,1037.178,0,263.929,303.659,0,0,17.385,56.893,22.983,0,0,0,0,0,48.911,0,90.248,0,0,1845.325,9276.927,84.049,1727.521,14.369,1170.487,55.962,2123.315,0,0,0,1876.617,2972.51,0,3196.861,0,0,0,25.352,1.65,702.166,0,92.768,394.983,1.755,82.308,4868.652,0,5957.775,0,3.765,27.747,0,0,11.648,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,6.946,24.819,5357.27,0,0,0,0,0,51.602,0,0,1,0,2,0,0,0,5.784,0,0,0,0,25.926,0,0,0,0,22.48,3284.338,0,0,4.257,0,0,0,5,0,0,946.785,0,8,0,0,0,0,0,0,77.741,0,27.777,610.418,0,0,5,0,123875.019,0,0,0,1,0,0,0,0,0,0,76.77,0,0,0,0,4189.884,46.28,16470.7,0,0,1870.85,0,0,0,0,17.81,0,0,0,0,0,0,0.011,0,0,0,0,190.663,0,0,0,0,0,153.312,0,2.104,0,2.6,0,0,0,9884,0,0,0,0.672,0,0,0,0.975,0,0,0,0,0,0,8.439,0.219,0,782.83,103,0,0,0,3455.175,106.076,0,0,0,0,0,0,0,15.788,0,0,0,11.552,1002.896,0,45.672,30.471,0,15643.368,0,0,0,61.328,14.073,0,1.451,0,0,0,8.433,5.903,238.41,0,0,1150.304,1.187,0,6497.826,0,347.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
