"AUS","AUT","BEL","BIH","BRA","BGR","BLR","CAN","CHN","COL","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KGZ","LAO","LVA","LTU","LUX","MYS","MEX","NAM","NLD","NOR","POL","PRT","ROU","RUS","SRB","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","EGY","GBR","USA","ZMB","NZL","MUS","MHL","KHM","LKA","CHL","ETH","MWI","NGA","PHL","UZB","SAU","ARG","MMR","BDI","KWT","LBN","MLI","MAR","NCL","AFG","KAZ","MLT","OMN","HND","NIC","QAT","PER","BES","ALB","BRN","BWA","MOZ","ZWE","SWZ","CUB","DZA","IRQ","SEN","SDN","AZE","COD","DJI","BRB","BMU","CRI","DOM","GUY"
"KOR",0,158.891,0,0,0,0,0,0,101664.262,2.695,0,0,0,306.366,0,0,0,37.701,0,0,100.283,0,0,0,0,0,2872.454,1899.754,0,0,0,0,0,0,0,0,13370.991,0,0,1.718,0,0,0,0,178.054,0,0.024,277.643,0,279.076,4.578,0,0,0,0,0,0,0,0,0,0,0,1457.87,0,0,0,0,0,0,0,0,2.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,278.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",2.852,0,0,0,0,0,0,0,206590.831,0,0,0,208.596,0,0,0,0,0,0,0,9.777,0,0,0,24.307,0,13.095,171.767,0,0,1233.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.596,0.614,5.482,0,0,0,0,0,0.671,0,0,0,0,0,0,0,269.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0.156,0,0,0.006,0,1.142,108.335,0,0.011,0.017,0,3.287,0,0.005,0,96.788,0.001,0,0,0,0,0,17.926,12.935,0.065,0,0,0,80.087,0,0,0.013,0.001,0.058,0,0,0,0,0,0,0,0.007,1.283,0,0,1.282,42.489,0,0.001,0,1462.521,0.053,0,0,0,5.997,0,0,0,61.275,30.059,0,0,0,0,0,0,0,0,0,0,1.992,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0.9,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
