"AFG","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BRA","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CCK","COL","COD","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GMB","DEU","GHA","GIB","GRC","GRD","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NRU","NPL","NLD","ANT","NZL","NIC","NER","NGA","NFK","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","KNA","LCA","VCT","SAU","SEN","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWE","CHE","SYR","THA","TKL","TON","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","USA","BFA","URY","VEN","YEM","SCG","ZMB","CXR","KIR","NCL","VUT","MNP","TZA","WSM","IRQ","LBY","MOZ","RWA","UZB","BDI","MDG","SDN","BLZ","BEN","GTM","LAO","SPM","SLE","SOM","ALB","GRL","UGA","GEO","TCD","COM","COG","GUY","MRT","TGO","TKM","WLF","ERI","MNG","SLV","LBR","MHL","PLW","TUV","ABW","GNB","TJK","FLK","MSR","SHN","AIA","TCA"
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,21.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.041,5.72,0,0,0,0,0,0,0,115.1,1.886,0,0,0,0,3.962,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.814,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512,0,0,0,0,0,0,0,0,0,0,0,0,0,65.67,0,0,0,43.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.457,0,0,0,0,0,0,0,0,0,46.866,0,0,15.737,1.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,6.791,0,14.787,0,0.579,10.615,233.1,5.255,0,0,0,0,0,228.917,0,0,0,0,13.976,0,0,0,3.058,0,0,0,0,27.023,0,0,0,0,12.078,228.394,0,0,0,0,0,51.817,0,0,4.932,181.932,0,0,0,0,0,1602.594,0,0,181.873,0,0,0,0,1005.772,0,0,17.805,0,0,0,0,116.193,3.493,6.488,14.014,1.409,2.79,160.277,45.066,0,0,834.025,194.012,0,0,0,164.678,4.666,0,0,78.384,32.383,58.866,0,4.793,0,0,0,1.813,65.968,0,0,0,0,0,12.55,0,0.565,0,0,0,0,168.154,0,0,0,0,0,1.254,45.096,3.055,0.897,3.608,1332.036,0,0,0,6.513,0,0,5.107,116.188,0.755,3.016,2.09,60.177,0,18.436,0,820.566,136.897,0,672.073,0,0,0,8.727,0,34.159,33.396,0,2.944,502.328,597.741,0,5.767,25.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,576.565,152.858,46.473,0,0,3911.998,1121.33,1816.588,0,19.206,10.266,0,0,6391.34,26.449,0,0,0,5551.911,0,0,0,3.117,0,0,2.229,94.49,1359.219,8.291,0,31.459,10.632,25.88,3232.861,0,307.084,1.2,0,61.589,157.837,0,433.968,230.31,8172.012,3,65.852,1326.846,32.925,132.218,435.584,0,1741.207,0,430.553,2.4,913.22,52.647,42060.751,40.3,1.886,2860.399,0,190.674,0,0,757.687,520.3,299.936,4861.619,57.963,1773.892,118.842,34830.682,1871.582,0,4287.332,0,0,57.102,0,2161.801,7.031,0,243.662,0.608,155.369,0,0,612.303,0.558,293.03,6.669,53.463,1145.457,0,1175.074,2.915,0,0,24088.819,0,638.411,0,124.151,109.925,0,715.347,12.175,0,0,0,177.257,13.49,14935.144,1258.785,74.941,292.402,9127.898,0,3.805,0,136.849,197.035,2.508,535.84,1904.423,44.711,367.674,91.198,927.206,5.316,7937.792,0,1301.758,4842.183,42.701,1233.703,0,0,0,390.311,1128.403,7106.85,20.272,0,3970.537,12772.564,7325.087,146.997,41.493,221.542,0,9,6.859,0,0,351.897,0,0,0,0,0,10.803,0,47.674,11.489,0,77.614,0.523,0,12.004,18.828,0,12.861,0,0,0,0,0.995,0,25.037,71.511,31.725,51.447,16.12,27.739,5901.485,69.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837,0,0,0,0,0,0,0,0,18.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,70.115,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,1883.361,12.891,0,0,16.724,3899.23,6481.8,40572.955,0,24.222,8.425,28.836,0,18627.818,55.389,0,393.902,614.787,7675.276,0,0,20.762,877.815,21.915,78.434,5.767,17.301,1041.324,2.796,0,0,13.264,847.783,18058.061,0,708.425,6.92,0,2.306,1130.334,12.687,54.809,5730.905,11966.008,0,1.153,95.159,0,163.095,189.213,0,3665.949,87101.468,12.308,4.613,0.748,0,0,61.334,10.957,3640.858,0,5.767,0,2.365,49238.144,6006.821,154.172,5526.279,1607.296,1932.953,2654.093,51246.069,13.836,1.153,24407.227,276.25,252.028,16.821,44.984,9053.728,374.293,0.576,156.912,553.019,456.188,5722.493,0,10947.611,2.827,22.18,21.473,7.496,2360.53,65.746,258.076,58.825,0,0,41167.021,0,551.004,2.003,0.713,11.534,0,5991.88,15.571,7.511,0.576,22.492,196.829,5241.465,11085.406,3179.633,69.783,1628.419,10601.917,0,0,0,2755.587,6.298,3.288,2387.012,8072.578,1744.539,9.227,1913.957,3234.055,79.011,20814.563,0,24424.306,41383.219,142.45,4510.609,0,0,5.437,2488.563,315.461,7411.369,2002.786,65.773,511.191,67849.814,201223.533,0,166.283,1106.943,20.762,1690.403,0,0,0,8.65,0,0,0.589,0,0,339.69,7.497,46.668,78.434,0,24.108,1.025,0,88.815,137.26,0,0,0,0,11.534,2.558,5.767,9.804,0,0,0,0,7.497,0,5.767,0,2.883,7.497,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,9.536,0.902,0,0,0,0,0,59.415,0,0,0,0,0,0,0,0,11.014,0,0,0,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.408,0,0,0,0,0,0,0,0,0,0,2.547,0,0,0,0,101.721,0,0,0,0,0,0,0,0,6,0,0,0,0,12,3326.416,0,0,18.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.505,0,0,0,4278.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7.4,0,0,0,0,0,0,0,0,0,0,0,75.797,0,0,0,0,7.182,0,30.516,0,0,0,0,0,37.934,0,8.562,15.229,130.088,35.653,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.311,0,0,0,0,0,0,0,0,0,0,13.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,10.591,0,0,0,0,150.331,1604.738,88.163,0,25.567,48.902,0,0,196.07,2.6,0,0,0,208.386,0,0,9.079,0,0,0,9.816,0,481.72,0,0,0,66.392,25.531,13562.003,0,72.001,6.458,0,5.655,2.231,0,94.562,0,438.783,0,0,18.956,0,0,0,0,32.762,1772.08,6.028,0,0,0,3003.115,0,0,45.623,0,0.75,0,0,0,708.775,4.603,2709.954,0,66.769,3090.729,150.029,0,0,4497.536,0,94.938,1.69,0,1382.985,180.944,0,30.602,0.516,0,442.021,0,1260.214,2.583,0,3.487,9.052,26.63,0,72.721,0,0,1.162,19588.792,2.583,198.977,0,0,7.774,0,258.745,238.356,70.525,17.566,29.321,11.191,758.457,251.98,69.246,121.012,6,23.101,0,0,0,1453.194,0,0,901.99,9572.022,2.015,973.539,110.744,411.904,0,1045.316,11.237,2818.42,578.331,45.13,5578.814,0,0,0,1487.919,0.802,114.948,1.6,0,13.945,24041.339,19269.922,0,8.254,85.626,31,0,0,0,0,23.766,0,0,0,0,0,0,0,0,0,0,49.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0.746,151.769,1041.959,0,0,0,0,0,10.843,0,0,0,12,0,0,0,0,16.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,15.504,0,0,0,0,0,0,0,0,0,0,174.166,0,0,0,0,492.281,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24.088,0,0,74.975,0,0,0,0,8.379,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,99.492,0,2.848,0,0,20,0,18.843,0,0,0,0,0,0,592.143,0,0,60.143,40.593,0,0,0,0,0,0,1173.527,0,88.671,0,34.993,0,0,2.439,0,0,123.705,0,66.925,0,0,0,0,0,3.233,67.415,0,3.488,75.6,215.018,0,0,0,0,17.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.854,0,0,0,0,0,0,0,0,0,21.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,4.229,0,0,0,0,0,0,0,0,0,0,0,0,0,1.991,0,0,0,0,550.814,0,0,0,0,0,0,0,0,0,279.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,3.189,0,0,0,278.034,68.595,175.343,0,0,0,0,0,1.647,0,0,0,0,17.945,0,0,0,0,0,0,0,0,0.631,0,0,0,0,1.239,2.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955.921,4.898,0,0,0,622.71,0,0,0,0,0,0,0,16.92,1,0,0,0,9.793,0,0.772,0,0,5963.097,0,0,0,0,0,0,0,0,0,0,0,0,187.738,0,1.462,0,0,107.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.707,274.051,108.987,0,0,0,0,0,0,0,0,0,4.364,0.849,0,0,0,29.855,0,1607.665,0,0,0,0,3685.306,0,0,0,0,0,0,0,0,0,88.172,603.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,6.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.313,0,0,5.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,247.159,1670.349,283.802,0,0,0,0,0,967.725,0,0,0,0,1.514,0,0,0,0,0,0,0,0,337.4,0,0,0,0,28.945,0,0,0,0,0,24.184,1.847,0,1.148,0,1133.735,0,0,0,0,0,0,0,259.721,3854.44,0,0,0,0,10605.426,0,0,40.697,0,0,0,0,0.651,104,0,0,0,0,448,14105.074,0,0,3465.018,0,0,0,0.855,296.454,0,0,21.396,0,0,0,0,0,0,0,0,0,642.528,0,169.778,0,0,0,1059.629,0,11.076,0,0,0,0,8.652,0,0,0,0,3.989,0,258.742,101.863,0,0,57.201,0,0,0,0,0,0,748.046,200.473,144.565,0,0,888.914,39.379,644.525,0,212.958,155.073,0,29.514,0,0,0,0,0,60.524,123.86,0,0,14433.602,970.318,0,0,0,0,0,1.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,489.86,1249.057,84.882,0,0,0,0,0,669.763,4.553,0,0,0,624.631,0,0,0,0,0,0,0,0,167.631,0,0,0,0,207.411,30.871,0,16.097,0,0,0,3.907,0,15.322,20,177,0,0,2.6,0,8,0,0,96.658,2093.863,0,0,0,0,5101.033,0,0,27.694,0,0,0,0,362.477,22.791,0.565,0,0,1.192,0,387.124,0,0,2520.678,0,2,0.843,0,200.016,0,0,0,90.194,2.409,0,0,0,0,0,1.522,0,77.799,0,0,0,0,0,1049.765,0,1500.644,0,0,0,0,16.607,0,0,0,39,0,0,205.775,20.619,0,121,70.843,0,0,0,0,0,0,4633.809,1503.028,1,0,67.407,723.106,0,907.467,0,923.418,645.603,0,412.091,0,0,0,0,0,1311.76,4289.61,0,0,4338.92,27030.62,0,24.276,4.185,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,6,0,0,0,0,0,0,0,22.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,56.283,0,67.876,0,3.541,1982.306,415.276,1274.843,0,22.879,2.866,0,0,1005.903,3.289,0,8.051,44.339,1064.368,0,0,22.922,12.554,2.508,6.604,0,41.11,276.402,0,0,1.428,11.354,513.087,979.364,0,340.148,17.696,0,19.645,634.224,26.772,448.131,129.905,665.37,1,9.312,26.362,0,128.695,65.999,0,863.5,11575.911,5.026,0,0,0.92,107088.399,5.73,2.768,1381.29,0,4.607,0,0,562.494,1567.99,28.524,34.326,244.834,287.819,556.599,0,10.302,0,726.514,0,71.813,50.004,0,8924.09,336.586,0,235.304,12.703,60.6,0,0,523.933,0,0,186.534,76.398,1026.126,0,169.646,14.077,0,0,871.808,1.477,57.237,35.278,0,129.339,0,303.42,31.265,2.559,0,37.269,11.542,182.646,945.397,965.427,23.429,154.905,637.524,0,0,0,620.12,39.816,3.245,113.22,708.46,769.237,0,712.133,478.348,8.404,3611.633,0,928.695,3243.579,54.429,232.752,0,0,131.063,315.564,422.563,1191.338,65.292,4.464,437.368,5985.92,6694.96,10.156,36.735,258.834,3.632,65.539,0,0,0,0,0,0,18.541,0,0,1696.458,2.818,1.782,58.9,0,0,0.757,0,0,5.652,0,0,0,0,85.484,0,0,0,1.545,0,297.391,0,0,0,0,0,11.783,2.029,2.907,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.113,0,0,0,0,0,2.812,0,0,0,0,0,0,0,0,0,0,0,0,0,1.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.371,0,0,0,0,3.439,0,0,0,0,0,0,0,0,0,0,0,0,10.743,2.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
