"AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHL","CHN","CYP","CZE","DNK","DOM","EST","FIN","FRA","DEU","GRC","HKG","IDN","IRN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","KOR","KGZ","LUX","MYS","MUS","MEX","MAR","NAM","NLD","NZL","NOR","PAK","PAN","PHL","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","GBR","USA","PNG","LKA","KWT","MLT","MRT","NGA","LTU","ARG","BOL","ALB","BGD","BIH","PRK","SRB","DZA","GMB","MDG","HRV","GEO","ISL","LBN","PER","YEM","GHA","VEN","IRQ","COD","VUT","FSM","BRN","KHM","SYC","NIC","AGO","AZE","COK","WSM","LVA","GUY","SDN","BTN","ZWE","TZA","DJI","NPL","SLV","BWA","MWI","MOZ","ZMB","PRT","UGA","HUN","BHS","BRB","CAF","COL","CRI","ECU","GTM","HTI","HND","NRU","ANT"
"ITA",0,181.66,0,0,0,106.99,924.721,0,0,34047.955,0,0,0,0,0,0.188,2549.726,1978.418,0,0,0,0,0,0,0,16402.767,0,0,0,11759.826,0,0,17999.177,0,0.258,0,0,0,0,0,0,0,0,0.246,0,0,2312.705,0,133.039,38.173,0,0,832.009,0,822.18,0,0,1792.257,0,0,0,105.925,77.248,43786.968,0,0,0,0.276,0,0,0,0,0,7.722,0,65.871,0,0,0,0,0,0,0,0,0,0,0,0.478,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",7407.821,0,0,3071.452,0,0,0,2.578,0,58182.07,0,0.289,0,0,0,5771.258,2460.297,29300.215,0,2321.324,11307.403,0,0.052,0,63.757,0,0,0,0,48773.032,0,0,90374.422,0,9.532,0,0,2708.15,0,1533.977,0,0,16845.218,11.706,0,0,14.346,0,192.704,3983.004,0,0,0,1631.814,2.113,0,0,285.677,14.568,0,0,3528.565,61343.467,30777.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,81.578,0,160.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,25.583,0,0,0,35302.18,0,0,0,0,0,817.135,0,914.106,0,0,0,0,0,0,658.569,9116.335,0,0,0,0,0,0,0,0,0,0,0,5.85,0,59.273,0,0,23.081,0,0,0,3.026,0,385.378,262.266,0,313.473,0,0,1.41,0,0,4.95,0.387,0,0,0,3.375,12609.925,0,4.072,0,0,0,0,0,0,0,0,36.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,794.805,0,213.207,0,0,88.329,0,0,18.818,0,0,0,0,0,0,0,0,0,0,0,10.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.39,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0,0.886,0,40.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,517.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.538,34.229,0,0,0,61.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.772,12.158,0,0,0,0,0,0,0,0,0,0,0,0,0,26.159,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.845,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
