"ARG","AUS","AUT","BEL","BWA","BRA","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","GUM","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","PRK","KOR","KGZ","LBN","LVA","LUX","MYS","MLT","MUS","MEX","OMN","NAM","NLD","NZL","NGA","NOR","PAK","PAN","PHL","POL","PRT","ROU","RUS","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","MKD","EGY","GBR","TZA","USA","ZMB","FJI","PNG","WSM","BHR","KWT","LTU","BGD","BRN","LKA","COL","ETH","KIR","IRN","LAO","LBY","PLW","RWA","SRB","BIH","GMB","MDG","MAR","TUN","PER","ZWE","SYR","UZB","YEM","FSM","KHM","DZA","EST","VGB","MMR","IRQ","UGA","AGO","SDN","ECU","GEO","NPL","MDV","COD","LSO","MOZ","SWZ","BOL","TON","BTN","QAT","AZE","ATG","BHS","BRB","BMU","CHL","CRI","SLV","GUY","HTI","HND","JAM","MNG","MDA","TTO","VEN"
"HUN",0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,2.316,0,0,0,0,0,0,0,0,0,0,0,0,1.847,5.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.832,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,28.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,20.378,0,0,0,83.152,461.334,0,74737.302,0,0,3029.568,0,0,0,119.158,0.889,0,92.261,13.246,15.553,0,0,0,2405.632,0,0,0,0,3687.213,0,0,0,0,27674.98,7.817,0,0,0,0,1.325,0,0,122.367,0,0,0,56.801,0,1540.624,297.477,0,0,0,105.364,207.262,0,0,163.297,0,395.88,0,10.518,0,0,0,0,0,0,0,0,21940.717,0,0,0,0,0,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,143.036,0,0,0,0,0,0,0,0,0,0,0,48.017,1.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,4807.543,527.36,4441.92,0,7.195,0,0,7.081,217523.891,0,0,0.372,60.886,14247.348,1102.997,20922.028,0,0,15456.909,1,12613.8,0,0,65.653,0,0,0,0,0,109845.687,0,0,0,0,45570.922,0,0,29.56,0,0,1186.482,0,0,3215.487,0,0,25414.132,5.088,0,0,0,0,0,0,134.339,20548.724,0,403.665,0,3130.122,2979.635,0,2665.349,44.154,31.693,0,1806.93,0,0,67224.07,0,42354.123,0,0,0,0,0,0.538,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.466,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
