"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","LKA","CHL","CHN","CCK","COL","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","ZMB","PRY","SLB","CXR","COK","MDV","VUT","SOM","TON","AGO","BDI","CPV","COG","IRQ","LBY","SXM","CUB","GNQ","TCA","YEM","GRD","BMU","CYM","TCD","COM","ERI","DJI","PSE","LBR","FSM","MHL","PLW","GNB","STP","SSD","TKM","CAF","GRL","NRU","TUV","BTN","IOT","BES","WLF","NIU","SHN"
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0.271,0,57.743,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,28.384,0,0,0.675,0,0,11.029,0,0.679,0,0,0,0,0.051,0,172.698,0,0,0,0,0,0,0,0,363.997,2.977,0,0,0,0,0,488.111,0,0,0,0,0,0,0,0,0,0,43.895,1.83,0,0,0,0,0,23.221,0,0,13.238,0,0,0,0,0,0,0,0,0,0,351.609,95.113,0.494,0,0,0,18.561,0,0.095,0,0,0.129,0,4.728,0,0,35.811,0,0,0,0,18.031,0,0,0,0.065,0,0,0,0.874,0,0,0,0,0,0,0.791,0,0,0,0.708,1646.164,0,0,0,0,0,0,0,0,0,0,0,9.763,40.062,31.538,8.292,0,0.014,0,4.953,0,0,0,494.149,179.325,0,0,0,0,0,0,0,1.779,0,24.187,0,0,10.658,0,2.083,0,0,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,26.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,3.854,0,0,0,0,0,0,0,0,1.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593,0,0,154.865,57.016,0,0,97.253,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.756,36055.271,0,0,0,0,0,0
"FIN",0,0,1.528,0,2.094,0,0.231,0.799,20.674,64.677,0,0,26.568,0,0,8.036,0.221,0,0,12.643,0,0,0,0,0,0,0,89.304,267.051,19.472,79.372,256.578,0,1.843,3.31,1.601,34.075,0,1.295,0,360.66,0,0,0,0,0,738.827,0,0,0,199.953,0.199,0,0,0.707,0,177.244,0,0,0,0.024,0,0,7.098,0,0,0,4191.564,3.535,0,1.343,0.452,0,0,35.231,0,0,36.239,0.09,1.802,193.238,0,27.812,0,9.029,0,0,0,3122.204,10268.102,0,0,0,2.054,1.046,0,0,13.154,0.266,71.234,0,0,0.192,0,0,0,5.642,0.04,75.546,106.364,0,0,0,2.018,0,0,329.14,166.255,0,0,11.333,0,20.639,2.958,50.233,0.173,0,0.618,7.991,158.977,0,0,0,0,0,0,0.226,0,15.098,0,7.044,16.317,154.699,2017.439,5.944,13.401,12.014,0,123.85,0,0,0,188.646,48.403,0,13.284,9.646,0,0,251.024,0.068,29.815,0,24.304,15.781,0,25.055,0.059,448.704,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,832.178,0,7.155,4.471,6.521,157.962,57.243,458.311,0,1.647,0,2.381,0.905,7582.903,0.61,2.775,0,646.805,0,0,43.019,2668.96,0,2.264,0,656.06,4457.719,0.36,30.214,80505.418,0,21.35,68.367,1.287,3274.328,1.14,2458.995,430.906,318.895,0,0.607,2.088,4.516,96.52,58.86,0,0,1774.252,0,549.142,1.66,217.802,1.009,4.514,16516.75,50.163,0,0,91.84,0,9.244,1004.081,28.883,7.741,0.036,3191.7,1852.577,1.822,587.644,0,779.2,7341.721,23693.682,116.406,0,7245.535,8168.351,346.393,167.162,0,7732.641,3.67,0,0,26.318,0,28.301,109.036,2215.591,0,505.615,6.623,31.728,75.934,81.522,465.944,44.698,144.644,1.002,9.159,3.197,0,713.718,6.23,0,0,52.56,9697.367,0,0,191.49,9.702,4.54,445.896,649.752,12.507,0,10.761,0,0,15.323,84.892,2226.187,5695.547,0,696.59,4822.128,24038.109,15.104,0,0,1.207,0,0,1313.256,1093.139,9.499,0.374,0,3449.968,10382.219,243.387,23.706,344.083,304.544,8.758,5351.962,2.875,14.793,0,14081.275,5177.454,0,0,269.941,298.945,26.571,2670.977,799.08,3841.554,71.108,1.797,0.125,12.525,7590.34,0.704,17401.54,307.98,0.003,0,0,0,133.17,1.211,0,0,0,11.729,0,0,0,34.512,76.76,5.058,68.891,0,0,0,0.125,0,0,5.863,0,0,0,464.491,380.071,0,0,1.064,60.367,0,0,0,408.985,0,0,0,28.711,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.914,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,133.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",4.845,52.016,247.366,0,1.28,0.246,257.653,6785.166,17348.522,98826.723,127.339,44.061,360.895,10.293,1.5,36782.147,30.831,890.195,61.624,8375.974,5.745,0,0.221,4773.025,22.325,782.663,1.556,84.537,2268.139,652.262,776.983,46556.603,0,1467.728,44.381,53.384,2908.168,6002.854,71828.922,2.8,25359.852,0,281.49,61.981,71.408,149.602,4716.312,0,137.28,4969.837,357905.021,85.393,0,4.951,19.999,14.046,0,347.094,15.683,0,5931.902,0,95.841,2.725,48.372,547.486,6.365,34015.657,83294.686,76.645,603.996,118.638,1800.776,11007.953,203506.62,88.039,208.218,169554.779,45473.372,1378.507,524.994,0,5447.043,839.093,0.457,25.599,665.662,0,930.307,4339.577,11243.893,1388.013,85.167,78.755,243446.349,269.95,3968.345,203.452,143.272,9678.752,6.728,17.483,20.699,0,996,22.532,18.58,585.252,6.553,232609.974,0,0.929,977.822,743.105,91.329,24.853,476.248,2348.562,0,880.14,62.243,6.731,163.26,30871.831,173275.814,36823.896,0,1288.65,46633.526,23858.818,120.562,0,0,0.734,0,72.432,3245.354,559.599,3880.948,303.319,10.935,8633.3,6326.601,21056.229,391.16,9059.028,9765.284,3.586,84583.334,49.212,0.596,7.344,29064.26,83000.502,2.166,0,6453.633,26.086,15.763,1810.529,6589.655,28441.057,168.017,2508.83,5327.752,14448.14,450703.544,374.845,216951.474,278.285,40.023,129.841,65.749,0.138,0.402,122.856,0,0,0,63.38,0,32.775,0,312.402,196.895,7.662,23.932,1229.061,29.351,0,3.943,0,0,5.701,4.696,0,0,166.955,0,446.781,55.808,0.44,59.768,0,0,0,65.972,0,16.785,1.789,21.967,54.489,0,0,0.181,1.463,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.911,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.265,0,0,2.209,0,0,0,0,0,1.277,0,0,0,0,0,0,0,0,0,0,29.587,0,0,0,0,0,0,0,0,7.757,0,19.159,6570.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,12.352,2.66,0,0,0,0,0,142.288,0.003,0,0,0,0,0,565.5,0,0.408,0,0,0,0,0,3730.42,0,17.115,0,0,0.075,0,171.525,1.208,0,0,115.955,0,25.354,3205.253,5.31,0,318.293,0,106.934,0,0,140.901,0,0,0,53.207,53.316,0,0,0,0,0,2903.062,0,0,0,0,0,0,0,0,0,0,0,717.386,0,0,0,0,24,140.364,0,0,0,0,7.261,0,0,716.553,0,0,0,0,0,0,0,0,0,4.113,0,0,0,706.416,0,0,0,0,21.587,0.703,0,0,0,0,273.599,0,1128.966,0,0,0,0,0,0,1.691,0,0,0,0,0,2.16,0,1452.116,148.295,0,0,11519.921,0.548,0,0,0,0,0,0,0,0,14.776,0.013,0,4.409,0.083,42.826,69.35,44.349,22.12,0,278.719,0,0,0,29.382,332.358,0,0,0,0,0,132.028,3.436,5.356,14.096,0,60.329,14.398,556.485,0,6.193,0,0,0,0,0,0,0,0,0,0,40.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,8.726,0,0,0,0,0,0,0,0,51.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.849,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1.322,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,5.175,0,0,0,0,0,0,0,0,0,0,0,0.346,0,0,3.011,0,0,0,0,1.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,163.334,12041.141,155.98,0,0,468.557,1.551,38.778,411.845,2.587,3.037,10.961,2592.134,0,0,0,563.203,0,578.743,0,9.942,676.074,143.727,12.662,115711.116,0,73.187,0,26.196,5.758,1.649,4673.496,0,180.226,0,145.376,81.462,0,0.995,53.221,0,36.399,37.727,718.217,62.097,0,0,5.916,0,22370.582,84.984,11.473,0,215.899,12.891,171.873,1.051,13.917,0,0.315,0,1319.874,39.043,1816.115,86.786,71.326,5619.238,1974.707,0,248.221,3811.12,65.159,2.345,3993.228,0,25403.863,64.086,0,0,57.945,0,539.932,24.361,1363.073,442.943,7.293,127.705,14599.549,0,332.351,0,0,2161.141,0,51.088,43.578,0,62.252,29.6,93.604,59.04,0.24,85350.84,0,0,3.378,227.37,0.054,0,185.455,635.266,0,1299.869,152.704,0,4.596,1873.55,2573.544,55.134,0,0,35.933,6251.504,16.2,0,0,0.245,0,64.382,159.542,4.103,35.005,20.829,10.525,6877.302,10904.561,40.052,491.991,68.223,777.566,359.584,763.997,0.626,0,1.657,411.037,5259.731,0,0,4992.353,0,0,18.74,1.708,559.685,404.272,465.021,1.019,90.753,4950.732,209.625,9181.774,0,0.403,0,87.292,0,0.772,42.115,293.035,0,0,46.987,0,0,0,3.678,0,0,0,5.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,3.453,5.1,0,0,0,0.123,4.798,28.767,612.055,0,0,0,0.42,0,147.276,0.174,2.189,0,31.399,0,0,0,100.967,0,0.249,0,0,33.235,0.642,14.891,229.505,0,51.293,0,27.408,19.173,0,892.637,0,11.001,0,4.917,2.943,1.563,0,0.774,0,0,2.709,341.95,0,0,0,0.689,0,12883.992,0,0,0,3.366,0,0,0,0,0,0,212.297,0,0.2,1.869,0,2.936,20,89.904,0,0,154.97,2.038,3.564,0,0,260.701,0.501,0,0,2.346,0,1.006,0.851,60.769,0,0,0,77.307,0,0,0,0,723.404,0,0,0.199,0,9.962,0,0,0,0,1098.725,0,0,0,7.906,2.821,0,0,6.702,0,2.146,0,0,4.295,1.5,155.095,31.469,0,1.236,1219.693,39.299,0,0,0,0,0,0,16.812,0,18.697,0,0,22.903,5.492,1014.401,15.554,37.075,7.052,0,125.607,0,0,0,101.097,130.548,0,0,697.774,0,0,4.188,5.979,324.936,0,8193.201,0.125,4.233,3764.222,2.546,1284.611,0,8.852,0,5.807,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,0.599,0,0,0,0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,17.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141,0,1.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293,0,0,0,0,0,0,0,0,0,0.278,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.235,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
