"AUS","AUT","BHR","BGD","BEL","BWA","BRA","BGR","BLR","CAN","LKA","CHL","CHN","COG","HRV","CYP","CZE","DNK","FIN","FRA","GEO","DEU","GRC","GUM","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JAM","JPN","KAZ","JOR","KEN","KOR","KWT","LVA","LTU","MYS","MLT","MEX","NAM","NLD","NZL","NER","NGA","NOR","MNP","PAK","PAN","PHL","POL","PRT","RUS","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","TZA","USA","BFA","GHA","ROU","BIH","QAT","MOZ","ZMB","ALB","COL","PER","DZA","ARG","MMR","ECU","ETH","IRN","LAO","MAR","NPL","ZWE","SDN","VEN","CMR","MDG","BRN","BDI","MUS","MNG","YEM","FSM","KHM","WSM","BRB","IRQ","SRB","SOM","UGA","AZE","CUB","AGO","OMN","SUR","PNG","LSO","SWZ","GRD","AFG","GMB","GIN","UZB","LUX","BHS","BLZ","DOM","SLV","EST","GTM","CUW","KNA"
"GEO",0,0,5.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",30.906,35.428,4.98,1.523,110.837,0,3.064,17.459,0,40.563,0,0.463,528989.383,0,0,1.099,6997.676,4213.053,7768.364,379.407,0,0,0.102,0,10116.991,124.004,0,0,0,17.389,88.226,0,184975.996,1412.397,7.189,0,201101.065,89.249,2.598,0,0,0,0,0,309.658,0.81,0,9.424,18432.645,0,0,0,0,5.116,1.616,838.794,0,64,0,7.105,111590.714,62.674,0,0.263,3.351,6.566,56.809,1055.811,0,0,0.062,0.193,529.665,0,56130.539,0,71558.389,0,0.841,1.016,0,0,0,0,0.052,0,2.839,0.304,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0.161,4.638,10.007,0.188,4.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,16.912,0,0,0,0,0,0,0,0,683.124,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,844.785,0,0,0,2.679,0,2.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529,0,0,0,0,0,0.731,0,0,0,0,0,3.805,0,0,0,0,0,0,0,0,0,0,31.932,0,0,0,140.791,0,0,0,0,0,0,0,0,2.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,5.927,0,0,0,0,0,0,0,0,0,0,19.509,0,0,0,3.724,0,0,0,0,0,0,0,0,0,0,0,0,0,25.174,0,9.131,0,0,0,1.786,0,0,0,2.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.35,0,0,0,0,1.804,0,0,0,0,0,0,0,0,3.772,0,8.268,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
