"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FLK","FJI","FIN","FRA","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","OMN","NAM","NRU","NPL","NLD","CUW","ABW","NCL","NZL","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","NIC","PYF","KIR","LBY","VUT","NFK","FSM","TON","CPV","DJI","MOZ","SYR","BDI","ERI","GNQ","BMU","IRQ","BTN","CAF","LSO","MHL","GNB","KNA","SOM","SSD","TKM","TUV","WLF","VGB","PLW","MNP","SXM","AIA","TCA"
"CYP",0,0,0,0,0,0,0,0,0,0,427.57,0,0,0,0,0,0,0,0,0,0.638,0,0,0,73.016,0,0,0,0,0,0,0,0,0,8.793,0,0,0,0,0,0,0,0,0,0,0,0,47.784,0,0,0,0,0,0,0,0,0,0,0,248.496,0,0,0,0,7021.987,0,0,50376.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4384.976,0,0,0,0,0,0,0,0,0,0,0,18.656,0,0,0,42.196,0,0,0,0,0.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0.748,0,47.567,0,2.832,0,0,0,0,0,0,0,1.315,0,0,362.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.838,0,0,0.154,0,430.482,0,0,0,0,266.66,0,0,0,0,0,0.727,0.007,0,1.318,0,0,0,154.145,0,14.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0.678,0,0,0,0,0.298,0.125,1488.895,5871.514,0,0,0.999,0.145,0,2284.439,0.939,62.982,0,57.174,0,0,0,22008.064,0,19.587,0,0,104.158,0,1.577,0,5.51,362.041,0,0,8.149,0,0,0,0,0,0.17,149.169,0,1777.481,0,0,256.065,0,0.065,0,18.911,0,93.389,0,0,29.805,2923.809,0.34,6.401,0,0,194518.349,0,0,8178.242,0,0,0,0,6.463,0,0,0,185.718,1517.766,2.361,0.473,0.069,377.221,1457.367,87484.599,0,0,20669.369,17.474,4.459,0,0,11.467,14.114,0.489,0,0.604,4.887,0,115.867,3463.661,0,0,0,1.203,0.239,0,375.373,0,0,9.718,1.422,1.794,0.095,0,8.165,0,0,0,11.392,3073.872,0,0,0,0.258,0,0,0,6.505,14.203,0.344,0,0,1.999,0.75,220.144,5.261,0,0.285,9193.326,556.091,0,0,0,0,0,0,0,11.494,0,15.095,0,0,1409.719,134.988,49165.77,43.695,116.385,5.182,0,567.22,0,0,0,57.347,3066.934,0,14.934,0,0,1.624,23.044,335.754,111.333,9.823,1079.619,0.749,0.59,4771.275,0,11274.258,0,0.193,0.282,66.965,0,0,0.346,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.336,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,35.04,0,0,10.203,0,10.836,6.184,136.268,919.616,2.759,2.196,0,0,0,636.058,0,3.053,0,9.348,0,22.543,0,0.093,0,0.642,0,4.671,120.142,0,1.275,0,59.49,68.176,0,0,0.276,0,0,0,0,0,0,13.985,0,0.274,96.366,0,0,0,2.211,6.212,2,0,30.428,0,2,511.996,498.022,0,0,0.156,0,8249.064,0,0,551.943,69.5,0,0,0,0,0,0,0,1422.611,4.795,98.073,0.905,8.779,36.296,27,5073.17,0,0.37,159.938,0.5,263.882,0,0,8.303,23.615,0,0,7.231,3.243,0,142.304,27.936,0,0,0,14.107,0,0,13.123,0,1.501,10.574,0,0.081,0,0,17.573,0.244,0,0,0,4566.958,0,0,0,43.272,0,0,0,393.762,7.084,0,0,0,3.602,111.839,582.335,22.416,0,110.051,0.33,19.234,5.5,0,0,0,0.293,0,0,43.192,1.093,12.293,0,0,39.661,109.34,29.134,2.339,9.784,46.628,0,501.462,55.688,0,0,1189.428,284.578,0,125.529,0,0,0,326.546,0.017,55.255,14.842,7.828,0,7.301,772.339,0.06,2062.273,0,9.869,0,0.279,0,0,0,0,0,0,0.247,0,0,0,0,0,0,2.87,10.532,0,0,0,0,0,0,0,0,0,0,0,6.465,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718,0,0,0,0.038,0,0,0,0,0,9.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,1.23,0,0,0,0,0,14.315,5.894,1.592,0,0,0,0,0,0.008,0.387,0,0,0.682,0,0,0,0,0,1.4,0,0,461.089,0,0,0,0,9.853,0,0,53.082,0,0,0,0,0,95.998,2.118,0,0,6.187,0,0,0,0,0,0,0,0,0,0,0,26.942,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,127.128,10.459,0,0,0.072,0,0,1.696,0,0,0,0,0,0,0,0,0,16.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185.543,0,0,0,0,0,0,0,0,0,1141.447,0,0,0.302,0,0,0,0,2.46,0,0,0,0,3.661,0,2.246,0,0,0,0,1.507,0,0,0,0,0,0,0,0,0,1.868,0,0,0,0.03,1.001,1.954,0,11.478,0,21.023,0,0,0,0.738,2.541,0,0,0,0,0,8.789,0.347,3.126,0,0.402,0,0,0,0,7863.75,0,0,0,1.73,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976,0,0,0,0,0,0,2.71,0,0,0,33.775,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,7.081,0,0,0,7.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,10.891,0,0,5.933,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,15.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,8.005,0,0,0,0,0,0,0,0,0,0,0,0,0,49.524,0,0,0,0.137,0,0,0,0,0,46.311,0,0,0,0,0,0,0.492,30.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.1,0,0,0,0,0,0,0,0,761.514,0.39,0,0,0,0,620.798,0,0,0.318,0,0,0,0,0,0,0,16.313,19.64,1.243,0,0,0,0,0,5.864,0,0,0,0.3,0,0,0,0,0,0,0,0,9.671,0,131.137,0,0,0,0,0.082,0,0,0,0,0,0.96,0,0.248,0,0,0,0,0,0,0,0.06,0,0,0,0.076,0,0,0,12.511,0,0,0,0,0,0,9.863,1.306,0,0,0.027,2576.038,0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,2.79,0,0,0.862,0,0.103,0,0,0,88.734,2.355,0,2.368,0,0,0,0,0,0.595,0,0,0,0,19.365,0,125.538,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,8.082,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.247,0,110.011,0,0,1.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0.31,0,0.847,0,2.122,0,0,0,1.227,7.089,2.019,0,0,0,0,0,1291.229,0,0,3.069,0.781,0,0,0,0,0,4.101,0,0.891,79.945,0,1.858,21.117,21.641,382.489,0,0,2.078,0,0,64.008,0,0,88.476,6.62,0,0,339.883,92.5,321.213,0,0,0.274,0,0,1352.226,0,0,0,257.394,0,0.245,0,0,1155.323,0,0,38.585,0,0,0,0,24.043,0,0,0,9.531,1.853,0.128,2.35,0,1.332,0.361,346.578,4.365,0,33.107,7.4,8.476,103.73,0,107.893,0.023,0,0,0,39.483,0.069,189.989,0,0,0,0,4.949,0,0,0,6.548,0,47.225,0,0,0.137,0,966.848,0,0,0,0,54.536,0,0,0,0.595,43.893,2.195,0,111.704,85.553,0,0,0,2.663,2.892,25.29,0.256,0,52.762,0.034,3025.927,2.959,0,0,0,0,0,0,0.549,33.993,464.587,0,44.791,161.234,293.609,0.732,4.393,5.122,8.441,0,26.232,491.985,248.166,0,1069.92,25.153,248.485,1.765,0,0,0,111.904,0,3.103,0,24.759,0,0,63.417,0,335.259,30.885,0.181,102.056,0,0,0,15.424,0,0,0,0,0,0,0,0,0,0,0,0,4.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,13.819,97.082,0,72.171,214.331,0,0.36,607.49,1467.101,841.906,12.488,0,0,3.215,0,28545.774,6.705,8.827,0,737.395,0,0,0.279,5510.667,0,47.8,0,199.65,2781.815,0,1.026,419.122,37.379,14057.339,0,0,14.806,52.903,186.234,40.487,64.223,0,5.38,116.651,0,16.463,608.52,53.522,1418.046,8.187,151.826,1.727,1.254,0.224,33.249,0,0,777.405,0,87.155,0,30.955,0,107373.429,7.756,0,7397.211,0,4.027,0,77.38,340.321,3.6,5.408,0.145,2087.255,3129.223,1.489,361.915,0,1381.134,6850.126,47614.942,390.034,1.922,4857.424,963.868,154.517,111.258,0,9536.464,910.811,0.672,136.193,34.64,39.244,0,700.214,12599.237,17.101,542.52,0.641,266.071,1.269,1654.599,313.579,3.741,203.969,316.069,0,7.473,0.658,0,1663.841,0.118,2.199,0,0,10903.99,1.315,0,304.751,12.857,51.586,81.619,0,13.689,26.686,50.741,0,7.513,344.753,0.796,492.321,6421.172,0,2.051,4749.37,10537.106,24.478,0,0,11.012,0,5.916,0,54.39,1534.589,0.095,0,0,2852.368,5716.837,614.495,160.155,309.916,2472.444,0.295,11171.958,25.679,0,0,6129.343,9389.834,0,36.281,1065.676,0,4.786,200.269,2444.889,2969.338,27.716,154.001,27.536,136.618,23206.965,1.159,15359.341,1073.946,0.642,0,294.772,0,2.311,0,0.61,1601.178,0,0,36.132,0,0,0,33.009,1.024,0.04,0,35.528,0,1.543,0,0,0,58.478,0,0,0,0,0,0,0,0,11.611,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,2.432,0,0,0,0,0,0,0,0,0,0,0,0,2.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",373.875,106.194,47.857,0,0.117,1204.744,0,102.155,8189.337,74244.048,153041.123,0,12.928,174.161,8.148,42.978,192066.111,13.752,696.705,0.149,10064.235,4.943,0,4.063,237417.939,0,598.096,13.486,53.185,3848.236,0,280.567,257.013,1440.474,52266.79,0,0,691.736,0,0,12.381,85.789,0,52.352,2446.992,46.619,16845.023,139955.848,152.753,104527.057,0.253,58.571,56.686,30.642,112.856,6312.636,0,0,8071.279,264120.163,19.127,172.728,46.19,0.844,0,225.003,1.177,440475.875,0,0.326,0,9.94,6.679,0.921,166.023,25.538,27051.914,82542.046,91.138,1156.913,212.77,6407.04,15461.383,948406.109,26.614,494.041,272609.337,310.357,178.75,1469.708,0,7904.66,204.842,35.195,17.553,196.147,2693.448,218.186,8489.471,42240.448,22.3,4.24,60.366,24790.714,5.167,553.053,3346.312,13025.569,741.005,7393.213,1.9,13.54,12.843,0,577.816,99.308,1053.042,0,7.827,195331.154,3.542,8.996,2.543,507.804,9.824,1029.228,0,3626.419,431.668,37.279,17.24,184.606,198.323,29031.656,80656.801,41434.761,0,478.189,72245.925,19546.8,6.565,0,0.185,0,36.212,665.387,0,1605.35,247.479,497.291,104.162,335.267,39327.782,9940.47,16093.063,322.753,36815.037,8517.178,5.004,114954.384,17.608,118.868,31.251,25989.982,143548.943,175.209,23003.864,68.55,0,6.829,1238.019,4614.012,18716.446,576.263,8646.469,5262.222,935.41,149682.549,683.642,183550.115,1647.687,40.492,31.576,155.184,0,11.057,77.508,24.355,626.681,0,20.211,0,0,0,0,1.358,157.802,5.792,17.612,64.184,361.318,0,0,18.199,0.049,0,154.449,0,2.808,0,24.929,0,4.165,0,0,14.138,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.874,0,1.076,80.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,27.506,1.192,0,0,0,0,0,0,0,0.144,1.301,0,0,0,0,1123.068,0,0.446,0,0,0,0,0,21768.102,0,0,0,3.827,0,0,0,0,850.866,72.29,0,0,0,0,0,0,0,0,2.087,59.249,0,1347.626,59.42,0,21.802,0,0.004,0,0,0,2.505,0,0,0,54.526,0,0,0,0,5921.063,0,0,0,0,0,0,0,0,0,0,0,11.418,63.271,0.491,0,0,0,9,12733.096,0,28.607,0,5.3,0,0,0,0.432,0,0,0,0,1.711,0,0.87,0,0,0,0,0,0,0,208.493,0,0,0,0,0,0.013,0,0,0,19.667,0,0,285.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.668,32.811,0,0,3220.872,24.069,0,0,0,0,0,0,0,0,0,3.699,0,0,19.611,5.053,0,17.22,20.497,0,0,120.4,0,0,0,0,256.991,0,0,0,0,0,97.686,0,2.995,4.415,0.275,3.395,0,19.772,0,65.103,0,0,0,8.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0
