"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","KIR","TON","SLB","VUT","BTN","GUY","AIA","DJI","LBY","SPM","COM","LSO","TUV","WLF","NFK","MHL","STP","CXR","TCA"
"HRV",0,43.494,0,0,0,0,0,0,0,11.295,127.575,0,0,0,0,0,0.198,0,0,380.557,0,0,0,0,0,11.573,0,0,0,0,0,0.291,0,0,0,0,0,0,0.907,0,0,0,0,0,0,0,0,2.744,121.417,0,0,0,0,0,0,0,0,0,0,0,0,0.692,3.872,0,0,0,0,0,0,171.036,0,0,5.036,0,0,0,0,0,0,0,0.148,39.06,0,0,0,0,0.207,2,51.757,0,0,2.18,15.921,0,0,0,14.52,0,0,0,0,0,0,1.334,0,0,0,0,0,0,0,0,0,0,0.515,0,1.129,44.036,0,0,0,0,0,0,0,59.069,0,0,0,0,0,0,0,2.837,0,4.418,0,0,0,0,0,0,0,0,0,0,1.509,2.873,0,0,0,0.336,0.203,0,0,0,0,0,0,0,0,383.343,0,0,22.181,8.035,1.596,0,36.519,0,35.573,0,2.617,0,0,0,0.771,45.858,0,0,16.876,0,0,0,32.689,0,9.991,0,0,0,28.163,0,14.4,0,11.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.418,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0.717,0,0,0,0,0,0.104,0,0,0.096,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,0,0,0,0,2.061,3.392,0,0,0,0,0,21.797,0,0,0.546,0,8.882,0,0,0,0,0,0,0,0,0,0,0.724,6.388,0,0,0,0,0,0,0,0,0,1591.186,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,5.201,13.98,0,0,0,0,0,0,0,18.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758.483,0,0,0,0,0,0,0,0,0,2.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.188,0,0.437,109.197,7.164,0,0,0,0,0.039,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,126.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0.233,47.3,5.5,0,0,0.017,0,3.367,109.231,263.582,2110.436,0,1.261,163.542,4.205,0.068,711.246,0.143,0,19.052,0,104.498,0,0,0.269,4897.045,0,0,25.457,0,0.556,47.165,12.563,0,0,2.817,0,132.294,8346.982,272.785,0,0,0,0,61.352,88.187,0.033,8.642,0,0,9270.051,0,0,8.564,0,0,27.227,0,89.618,0,0,92.336,6292.927,3.374,0,0,61.32,2.67,6.217,24691.576,0,0,175.127,8.325,0,0,13.193,0,0,0,382.75,3070.923,48.818,171.983,5.829,0,49.476,237.703,1081.448,46.611,0,171.036,6.428,3.801,0,0,6177.725,0.272,0,0,25.051,58.103,0,527.042,90.365,4.327,0,0,0.267,0.384,0,10.045,0,0.21,183.366,0,5.604,0.539,0,0.925,0,0,0.396,0,0,893.28,0,0,0,0,48.446,0,0,0,0,260.954,0,0,0,1987.921,0,0,0,179.735,0,0,2200.826,105.165,0,0,0.058,862.564,2056.665,0,0,0,0,0,0,16.488,0,109.479,0,0,151.499,71.813,9772.93,218.246,224.175,0,522.564,0,752.971,0,0,0,3488.51,9841.959,0,0,145.964,0,0,0.156,107.67,23.384,350.142,0,0,461.62,180.313,387.963,1925.769,0,4909.543,0,38.841,0,23.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.788,0,0,0,0,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",13.487,0,61.826,0,0,41.087,23.433,10.259,99.082,898.571,998.447,22.184,3.011,0.152,232.947,1.331,3151.199,0.905,53.651,15.304,0,337.882,0,0,24.906,45.699,0,0,22.349,0,0.579,1003.418,0,0,0,26.453,0,819.124,1334.873,171.156,0,0,0,0,40.555,14.657,0,84.145,5236.047,0,0,0,21.569,520.316,3.764,0,0,0,152.463,0,0,1628.239,5560.425,9.305,0,2.704,32.263,0,5.499,11559.887,87.244,0,488.66,45.913,0,0,11.845,0,0,0,938.555,548.911,144.758,71,89.167,26.504,269.113,262.305,4644.104,0.081,0,2321.444,206.571,21.164,17.799,0,1083.231,52.473,12.516,0,58.224,132.563,0,714.906,163.241,0,0,0,233.145,0,0,15.592,0,45.38,614.003,0,15.448,2.824,0,25.521,0,24.869,8.64,0,6.06,4287.859,0,0,0,5.267,157.065,0.326,0,42.267,0,5564.512,0,0,0,8.044,12.22,0,4.135,387.028,97.964,0,2910.968,346.113,0,0,41.362,219.318,3481.629,0,0,0,0,0,0,53.301,0,70.449,8.173,0,4788.923,1093.408,56.064,122.925,53.723,0,400.295,24.646,1798.985,0,0,0,11601.192,3168.322,2.812,0,855.202,16.982,0,9.481,700.489,12.385,828.712,26.491,0,177.13,64.348,95.352,6842.308,2.406,6333.772,1.615,46.124,7.027,384.472,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,41.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,15.339,0,0,0,0,0,12.119,596.929,0,0,0,0,0,0,0,0,0.762,0,0,0.358,0,0,0,0,0,0,34.4,0,0,3.788,0,0,0,0,0,0,109.432,0.973,0,0,0,0,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,330.888,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235,0,0,0,0,0,0,0,92.368,0,0,0,0,2.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.105,0,0,0,0,3.21,0,0,0,0,0,281.206,0,0,0,0,172.112,0,0,0,0,0,0,0,0,0,0,0,0,33.786,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.044,0.141,0,0,0,0,0,0,2.781,0,0,0,0.154,0,0,0,44.675,0,0,0,0,0,161.849,0,0,0,0,0,285.013,0,1815.322,0,7.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,7.035,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.077,14.109,0,0,0,0,0.05,0,0.005,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,3.264,0,0,0,0,0,0,0.531,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,70.966,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,4.778,0,0,143.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.545,0,0,0,7.162,0,0,0,0,0,0,0,0,0,0,0,0,0,24.815,0,2.262,0,10.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.13,0,0,0,0,0,0,0,12.221,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0.017,0,0,0,0,0,0,169.914,0,0,61.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019,0,0,0,0,0,0,0,0,0,0,0,7.424,12.982,0,0,0,38.285,0,0,0,0,0,0,0,0,237.359,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.977,0,0,0,2.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,2.884,0,0,0,0,27.936,1.261,104.27,13.829,2.038,0,0,0,0,209.055,0,0.385,0,0,19.074,0,0,0,0,0,0,7.409,0,0,6.022,0,0,0,0,0,0,102.43,0,0,0,0,0,0,11.261,0,0,5.848,0,8.562,0,0,0,0,0,0,0,0,0,0,522.144,30.596,0,0,0,20.481,0,0,712.701,0,0,0,0,0,0,0,0,0,0,0.663,271.935,0,0,1.951,0,0.975,30.144,6812.138,0,0,84.758,10.137,0,0,0,3.473,0.544,0,3.065,6.932,360.074,0,171.229,0.75,0,0,0,4.27,0,0,4.155,0,0,174.067,0,1.443,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1.106,0,109.841,0,0,0,0,0,0,0,0,0,0,120.877,0,0,0,0,35.348,3542.175,0,0,0,0,0,0,0,0,0.412,0,0,7.575,33.844,10.792,0,22.91,0,152.433,0,0.828,0,0,0,1194.48,2.464,0,0,4027.334,0,0,0,0,0,17.574,0,0,91.588,8.516,0,420.469,0,179.107,0,0,0,263.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,3.358,0,0,0,0,16.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,5.316,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,84.254,26.158,0,0,0,0,4.698,84.264,179.462,95.167,2.923,1.303,0,2.098,0,617.22,0,0,52.82,0,60.604,0,0,0,136.471,0,0,2.196,0,0,171.819,0,0,0,0,0,14.989,6835.386,9.944,0,0,0,0,0.93,140.295,0,11.699,333.936,0,1071.818,0,0,11.835,33.442,0,0,0,2044.586,0,0,0,873.61,0,16.355,0,259.118,0,0,4763.498,0.345,0,0,0,0,0,0,0,0,0.057,120.582,85.504,9.011,127.757,23.702,0,195.08,44.142,325.815,0,0,3065.664,3.841,3.669,0,0,173.003,0.994,0,0,0,531.964,0,166.187,0,3.214,0,0,28.121,5.505,0,0.018,0,0.08,29.191,0,0.721,14.292,0,8.489,0,0,78.678,0,0,2198.609,0,0,0,0,219.643,0,0,19.221,0,2021.088,0,0,0,1.91,2.162,0,0.8,8.179,7.601,0,83.301,7.903,0,0,0,147.848,3889.437,0,0,0,0,0,0,5.662,7.505,164.514,0,0,396.376,37.1,17.323,7.559,938.791,0,23.677,0,55.178,0,0,0,5198.368,2278.63,0,0.054,1010.022,0,0,0,0.557,0,446.96,0,0,5.64,357.481,0,1890.823,1.381,3756.752,0,20.404,0,7.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,2.528,95.717,0,354.946,1.459,0,26.852,1929.028,2426.994,177.274,0,56.658,0.467,3.64,0.988,3116.172,0,2.413,18.417,0,613.136,0,0,2.288,2.124,0,56.647,48.3,0,38.691,440.127,54.509,0,6.022,24.117,31.165,91.526,22.291,252.688,0.189,93.226,0,0,73.591,205.717,33.113,68.197,124.089,5.116,1033.499,0,182.112,68.183,29.298,31.872,8.169,0,37.432,0,0,177.953,0,78.43,10.131,25.241,3.277,0,0.155,621.525,2.878,0,143.838,0,1.504,0,70.31,82.598,0,1.636,402.846,898.194,7.189,810.288,1079.455,0,7.769,1871.525,13484.04,51.93,43.973,2657.688,925.093,5.062,65.426,0,7415.493,0,3.908,0,51.398,11.431,0,33.049,166.191,15.072,40.667,0,126.261,7.269,161.473,7.862,0,208.746,615.132,0,56.63,1.944,0,373.98,0,0,3710.997,0,2.711,5201.322,0,5.763,0,219.811,632.856,279.768,20.935,84.377,0,78.234,0,0,0,18.985,29.705,0.172,8.522,5161.649,0.216,0,472.563,2542.693,0,0,9.28,1345.74,194.491,0,0,0,0.543,0.441,0,1042.194,18.456,114.859,2.587,0,34.759,1247.58,28.089,494.585,148.176,0,390.606,0,13343.026,0,0,0,2963.422,4702.838,0,0,1021.965,24.995,0,64.813,84.69,201.892,2195.372,0,3.042,7.019,8.258,686.43,5954.051,5.379,5692.137,476.643,69.823,0,743.807,0,0,0,0,0,0,0,0,0,0,5.565,0,0,1.543,2.553,0,126.748,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,2.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,0,0,0,0,3.152,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0.889,0,1.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,10.734,0,0,0,0,0,0,54.344,0,0.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,10.362,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0.635,7.884,0,0,0,1.544,0,0,0,11.191,0,0,0,0,0,0,0,0,0,0,31.37,0,0,0,0,0,0,0,0,0,0,0.436,0,0,0,0,0,0,0,0,0,5.68,42.077,0,0,0,0,0,0,0,30.976,0,0,0,0,0,0,0,0,0,0,0,0,1.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.329,0,0,3.229,0,0,0.039,0,0,0,0,0,0,0,0,0,0.071,0,0,0,0,0,38.623,0,0,0,0,45.676,0,0,25.198,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
