"AFG","ALB","DZA","ASM","AND","AGO","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","KIR","GRC","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NIU","NFK","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","ZMB","STP","CUW","COK","FSM","WSM","SSD","KNA","ATG","COM","DJI","PSE","GIB","BMU","IRQ","GNQ","ERI","GRL","BES","PLW","SOM","SYR","ATF","WLF","GUM","MNP","BTN","FLK","IOT"
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051,0,0,0,0,0,0,0.432,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,10.865,0,0,0,0,0,0,0,117.232,0,0,0,0,0,0,0,0,0,0,6741.748,0,0,0,0,0,0,0,0,0,0,8.219,223.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,1.388,0,0,0,0,0,2.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0.055,0,0,0,0,0,0,0,0,0,141.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,196.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,1.518,0,0,0,0,3.35,620.333,3480.088,0,1.892,0.133,0.567,0,2090.093,0,50.082,0,4.877,0,0,0,0,144.045,0.346,0,402.001,0,0,13.526,0,0,0,1.866,0,1.035,154.58,0,0,0.264,0,0,2.368,39.828,0,242.988,0,0,1360.957,0,0.545,0.076,19.929,0.999,20.008,0,80.847,32057.446,0,0,15.405,0.188,50245.103,0,0,3.499,0,0,0,0,0,0,155.987,12425.505,0.597,0.64,3.639,775.525,43.764,7774.803,0,0,8.492,1.369,10.718,8.602,0,22.022,0.02,0.046,0,0.319,0,44.674,0,0,25.384,2588.939,0,0.109,0,78.521,9.144,52.711,463.259,0,0,250.748,0,1.387,0.035,0,4.754,0,1.619,0,0,0,7644.423,0,0,0,0,3.968,10.086,0.012,0,0,0,56.086,0,0.502,0.024,0.063,0,0.418,14.733,0,4324.252,141.173,0,0,3.683,312.55,82.79,0,0,0,0,0,0,0,0.569,0,40.361,0,0,76.766,257.813,6239.409,1.033,235.763,13.647,0,942.655,0,0,0,301.478,4343.9,0,51.407,0,0,0,160.012,0.666,358.56,0,0,0,0,138.008,2.345,8.034,1358.795,0.055,427.081,0,0.231,0.706,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",1.554,0,2.385,0,0,0,0,74.289,117.621,1160.572,0,11.055,0,0,0,225.858,2.307,1.514,0,10.444,0,40.845,0,0,11.642,0,322.995,44.991,0,11.647,214.588,0,0,69.557,0.682,0,38.529,406.671,0,0,19.725,175.05,6.407,28.667,3.79,0,0.367,911.314,0,0,0,1.014,0.217,3.841,211.474,18.585,2.374,669.681,237.474,0,0,0,0.21,6847.027,7.768,0,6.071,0,0.163,0,5.136,10.095,0,456.193,10.401,438.042,6.766,0,4.219,97.803,527.494,56.93,0,44.967,0.51,0,1.975,0,28.559,2.364,0,0,1.731,7.056,7.681,11.072,814.697,36.712,0.782,0,5.829,0,59.258,0,91.403,291.124,14.693,0.948,59.438,2.09,0,0.928,0,26.759,30.781,0,119.52,0,0,1566.008,0,8.531,0,0,21.811,2.041,11.099,54.697,0,0,430.744,0,3.207,1.54,78.06,0,11.798,5.271,0,602.196,32.041,0,0,5.768,21.963,7.495,0,0,0,0,0,0,0,12.229,7.293,3.919,6.805,40.086,21.558,120.408,33.121,4.575,8.914,101.126,759.929,401.764,806.295,643.137,0,1573.956,452.662,0,94.646,0,0,0,790.916,1.241,34.11,0,0,0,62.39,3.344,9.275,2.05,424.557,0.136,5950.214,324.93,4.596,0,0.022,0,0,0,0,0,0,0,70.166,0,0,0,34.783,0,0,0,0,0.995,0,477.216,0,0,23.064,8.695,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,1.261,0,0,0,0,1.603,165.921,12.739,0,1.621,0,0,0,0,0,0.163,0,0.125,0,0,0,0,0,0,0,0.3,0,0,1322.876,0,0,0,0,0,1.767,4.358,0,0,16.935,0,0,40.795,0,0,0,42.849,0,0,1,0,1.974,14.124,0,0,0,0.651,41.785,0,0,0,0,93.921,0,0,0,0,0,0,0,23.063,9.462,0,0,0.509,2.999,0,12.535,0,135.26,0,3.079,0,0.659,0,0,0,83.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248.62,0,0.339,0,0,1.233,0,0,0,0,0,5.393,0,0,0,0,93.249,0.717,0,0,0,0,2.463,0,0,3.086,0,0,12.433,0,0,46.945,0,0,0,0.449,0,4.302,0,0,0,0,99.759,0,0,0,0,7.076,0,0,0,138.816,2.597,1.642,283.35,51.792,0,31.218,0,0,0,0,0.074,0,0,0,0,0,49.451,0,10.231,0,0,0,0,0,0,0,2.409,0,7176.107,0,5.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.131,0,0,0,0,0,0,0,0,0,49.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,2.536,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.666,0,0,0,55.614,4.666,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.467,0,0,0,0,0,0,0,39.193,0,0,0,0,0,0,0,0,0,0,0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,2.453,3.195,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.047,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,5.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,3.753,7.687,0,0,0,0,0,0.878,5.756,0,0,0,0,0,0,0,0,0,0,4.898,0,0,0,0,0,0,0,0,0.08,0.618,0,0,0.004,0,0,0,0,5.914,0,47.822,0,13.404,0,0,0,0,0,0,0,3028.079,0.043,0,0,0.22,0,10.28,0,0,0,0,0,0,0,0,0,0,0.259,0.499,3.082,0,0,0,2.847,0,0,0,0,0,0,0,0,0,0,0,0,0,208.552,0,0,201.404,0,0,0,0,0,0,0,0,0,0,1.782,0,0,0,0,0,0,0,0,0,0.224,136.145,0,0,0,0,0,0,0,11.041,0,0,5.236,0,0,0,0,0,0,0,0,0.056,253.673,0,0,0,0,320.37,0,0,0,0,0,0,0,0,0,0.898,0,0,0.004,7.998,0,0,0,0,0,0,0,0,0,160.219,0.831,0,0,0,0,0,1.108,0,0.17,0,0,0,0,4.345,0,0,2.702,0,1.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,14.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.275,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,28.432,0,1.559,0,0,9.902,16.269,105.55,0.7,0,62.504,0.002,0,11.913,0,0,28.266,10.896,0,0,0,0,0,0,0,3.037,0,91.382,361.064,0,0,0,0,0,83.871,603.687,0,0,7.659,0,24.186,0,20.298,0,0.613,0.464,0,485.471,0,4.856,0.315,1.804,0,956.668,0,0,182.974,0,0,0.089,0.451,919.584,0,0,1.136,0,0,921.413,0,0,0,4.746,16.157,0,1.06,0.007,3.182,4.675,59.632,0,0,113.143,1.49,0,0.18,0,4.371,0,0,0,0,0,56.305,3.766,0,203.186,0,0,245.433,851.233,2.477,0,474.235,0,62.149,0.066,10.237,0.857,0,0,0,0,0.125,8.794,12.884,0,0.428,131.426,0,0,0,0,0.781,0,89.687,549.871,0,0,86.763,0,0,17.887,0,0,5.002,6.805,0,30.872,10.031,0,0,0,36.149,1821.646,0,0,0,0,0,0,0,0.071,0,0.297,0,0,28.398,16.548,4.473,4.286,12.522,251.178,0,52.476,203.358,0,0,241.751,82.28,0,27.2,0,0,0,59.147,0,10.636,0,0,0,1.8,18.582,0.073,27.835,429.375,1.269,1734.717,29.351,0.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.885,2.812,0,0,0,810.604,0,0,0,0,0,0,0,0
"FRA",0,0,588.367,0,50.724,35.591,0.872,22.206,2129.212,1278.786,5.724,0.445,0.062,6.716,17.9,13436.592,1.11,1.701,3.462,617.751,0,0,1.466,0.124,1929.498,0,45.184,15.617,178.873,261.212,5164.214,2.206,0,36.975,21.583,53.936,17.679,45262.211,0,0,4.785,28.982,5.666,12.236,3665.344,0.09,35.202,675.942,239.654,490.992,0,0.265,92.018,0.226,0,177.39,0,2704.18,0,125.117,52.362,0,5.783,30900.596,428.888,0,836.762,14.218,0.504,89.77,0,5.516,1.177,4291.877,1965.352,0.58,639.721,213.551,796.691,11038.795,29606.23,179.521,1.01,4572.23,22.921,793.77,122.014,0,8674.723,5.479,0.008,0,270.244,0,69.039,7.982,3.062,11677.392,629.265,0,331.133,51.452,44,7.44,239.925,422.667,97.705,44.178,602.252,0.035,3.087,1.019,0,1319.795,223.919,262.871,845.755,0,0,26406.209,0,0,120.145,0,2.548,1.074,126.769,36.923,0,0,15.404,0,83.024,6.476,0,3.049,5.732,24.322,0,3382.319,2638.342,3.848,0,4.281,4794.087,4325.212,33.54,23.857,0,0,3.683,0,121.53,355.926,614.463,1.714,1.723,0.053,8180.346,47753.543,1364.82,108.207,84.632,919.124,0,8509.45,212.868,0,0,9269.04,11725.934,0.033,155.087,38.912,0,0.673,267.379,2333.336,2367.724,0,0,0,3.558,7.565,1.726,3.131,17146.435,1.925,22269.256,845.161,0.491,0.137,3.441,0,0,0,0,0,0,0,0,0,1.906,426.084,81.195,31.585,0.24,0,1.014,0,0,0,0,0,0,0,4.469,2.704,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0.124,0,0,0,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0.148,0,0,0,0,0,0,2.258,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,72.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",355.176,54.798,115.874,0,2.088,61.357,1203.24,1077.314,4541.008,157039.319,0,125.139,173.445,47.68,12.364,47887.923,32.953,527.868,8.225,10244.566,3.068,0,0,17.89,16697.81,7.991,31.852,273.3,4.335,20.618,6338.148,44.529,0,169.039,1640.75,10.905,1039.719,90434.68,0,0,970.366,30.574,133.987,32.073,2962.052,15.198,2144.42,32914.974,86.932,24496.842,0,100.498,59.134,435.827,272.511,6239.534,4.995,23537.836,137122.262,21.22,11.945,48.688,66.456,0,338.531,0,5121.901,10.928,44.607,0.923,782.03,17.609,1.895,95570.723,131935.986,76.54,932.554,4360.321,14656.957,23855.926,172920.225,71.646,7.512,20361.558,115.384,2799.418,356.235,0,10243.7,859.296,0.572,3.64,644.08,2.373,1587.076,67.027,17.728,7159.593,6661.04,66.018,133.403,123.139,150860.951,228.08,112.691,3133.143,64.322,159.794,7853.199,16.403,112.013,4.261,0,1385.314,32.148,402.872,556.77,0,2.275,304126.838,0,1.96,0.227,0,250.853,305.312,5.217,922.311,0,0,7131.03,0,1366.782,62.182,0.332,31.205,547.617,30612.547,0,165965.68,18837.965,2.375,0,277.449,72760.962,6259.807,63.857,0,0,0,0.631,145.021,394.584,1100.992,251.734,1544.087,92.969,566.61,10033.398,10930.76,31087.038,1117.339,15567.813,8594.764,1819.235,98844.342,71.726,0,5.636,28047.498,69534.581,0,34653.192,74.686,0,2.146,2678.845,10636.936,135030.201,1.385,0,0,232.984,2910.424,2206.358,715.924,96841.193,160.613,89581.769,19069.753,40.836,14.552,14.609,744.01,106.12,0,0,2.247,0,0,143.048,0,0,22.917,122.947,8.08,0,56.7,216.444,0,147.556,0.724,0,0,1169.424,0.659,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,11.994,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,25.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514,0,0,0,0,0,0,0,0,0,0,4.229,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0.805,0.499,0,0,0,428.626,0,23.296,0,0.108,0,0,0,0,0,0,352.571,0,0,0.3,0,0,0,0,0,0,0,0,115.353,0.911,0,0,0,4.152,0,0,0,0,238.291,0.202,0,18.401,0,0.458,0,0,0,2.842,0,0,15.953,0,0,0.667,0,47.597,41.657,0,0,0,0,0,0,0,0,0,0.181,0,0,0.56,0,4.702,74.532,0,123.489,1.481,0,142.422,51.958,0,0,1.152,0,0,0,0,0.597,0,0,0,0,0,3.32,0,0,0,2.067,103.29,0,0,0,0,0.093,4.498,0,3.666,0,205.661,0,0,0,5.687,0,0,0,0,0,0,0,147.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.013,1.126,0,0,0,0,0,0,0,104.324,0,12.171,0,0,0,1.34,0,0.531,14.735,28.836,0,5.48,0,0,0,0,0.243,0,0,0,0,0,749.873,94.087,0.26,0,0,0,0.216,0.27,4.973,0,5.383,0,34.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.484,0,0,0,0,0,0,0,498.261,0,38.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,826.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
