"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","COL","COM","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","GAB","GEO","PSE","DEU","GHA","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","MNP","MHL","PAK","PAN","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","VCT","SLB","COK","PYF","GUM","IRQ","PNG","GMB","SDN","NPL","CUB","GIB","STP","GNQ","DJI","SPM","BTN","ERI","KIR","FSM","PLW","TON","ATF","WLF","BLM","IOT","BES","NIU","FLK","AIA"
"HRV",210.41,0.855,0,0,0,0,0,0,0.024,0,58.028,0,0,0,0,0,1609.204,0,0,300.363,16.541,3.594,0,0,0,11.642,0,0,0,0,0,0.765,0,0,0,0,0,4.639,11.124,0,3.756,0,0,0,0,0,0,0.751,0,678.999,0,0,0,0,0,0.353,0,0.412,9835.391,0,0,0,4616.588,0,0,0,0,0,0,0,0,0,0.108,281.571,3.96,55.531,0,0.078,0,4826.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0,13.498,494.056,0,0,33.606,0,0,0,0,0,0,0,0,48.024,44.519,0,0,0,0,0,0,5830.66,0,0,0,0,0,7.878,0,0,0,59.423,0,0,0,0,0,0,0.967,2318.484,2.871,0,0,0,0.137,1.943,0,0,0,0,0,0,0,61.367,0,0,0,8.546,220.346,5.326,244.567,202.053,90.391,0,46.364,0,0,11.613,2.836,88.239,0,0,0.079,0,0,68.298,259.356,2010.175,0,0,0,247.367,3.387,0,0.257,0,31.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.582,0,0,0,0,0,0,0,0.478,0,0,0,1.848,0,0,0,0,0,0,0,0,3.633,0,0,0,0,0,481.75,0,0,0,0,0,0,0,0,0,0.365,0,0,0,0,0,0,0,0,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,5.83,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.803,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,8.05,0,0,17.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,1.108,0,0,0,0,0,0,0.305,5.082,1323.388,0,57.692,0,0,0,2569.239,0,0,0.83,0,7.234,0,0.222,0,159.068,0,0,394.065,0,0,38.856,0,0,0,0.32,0,3.447,694.603,0,28.36,0,0,2.653,0.565,20.666,348.668,0,0,859.093,0,0,0,10.563,0,219.269,0,94.866,4987.521,0,9.802,0,25036.129,0,6.047,0,0,0.163,0,0,0,0.505,22.737,25952.372,3.328,0.495,0.226,546.194,58.557,7221.342,0,0,366.365,0.303,0,0.459,0,237.356,63.007,0,0,0.892,0,62.595,0,0,381.802,901.917,0,0,0,132.288,2.351,0,53.808,0,1.055,16.249,1.464,0.819,0.786,0,9.248,0,0,0.121,0,5362.402,0,0,0,0,0,5.062,0,0,0.106,158.461,0,0,0,0,0,9.602,1.002,9062.014,292.274,0,0,0.711,307.292,2079.238,0,0,0,0,0,0.617,0,374.606,0.079,0,93.158,234.186,5375.69,6.6,281.569,0,3.043,0,298.453,0,0,0,737.798,1788.037,0,0,258.451,0,0,19.32,13.855,253.258,0.025,0,0,672.741,7.087,0.283,684.513,0,854.794,325.729,0.439,0.066,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.701,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",29.329,0,0,0,0,0,0,0.523,67.968,93.754,1401.925,0,13.714,6.812,0,0,361.239,0,0,1.296,0,4.798,0,0,0,0.217,0,296.635,61.9,9.646,3.759,6.581,0,0,4.591,0,90.311,97.648,404.678,0,40.596,0.5,3.075,0,0,1.328,1.633,732.157,0,0,0,0.022,0.343,0,40.925,7.05,0,199.29,402.246,0,0.624,0,6293.755,0.397,8.375,175.123,0,0,0,0,2.815,0,319.741,183.281,144.263,173.369,0,70.531,28.908,1107.379,0.206,0,139.303,0.237,57.678,32.263,0,92.951,2.831,0,0,0,0,2.452,19.076,0.439,43.506,0.988,0,1.378,0,4.244,0.425,0,7.668,0,0,227.259,0,0,3.901,0,3.465,128.548,0,0.514,0,2017.292,0,0,0,0,0,24.366,0.961,322.948,206.326,441.654,0,0,88.318,0,0,22.662,0.038,603.967,31.518,0,0,9.827,139.37,24.27,0,0,0,0,0,48.923,0,1.868,0.755,0,88.006,92.939,27.192,4.054,8.442,0.236,114.062,0,385.145,13.808,0,0,2325.145,37.587,0,0.842,87.146,8.885,0,383.832,3.239,21.006,0,0,17.222,18.344,25.829,0.758,406.574,0.69,5599.611,13.013,0.716,0,0,0,0,0,0,0,0,0.205,0,5.685,528.608,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0.127,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,0,1.977,0,0,0,0,0,0,0,0,1.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0.308,286.796,14.44,0,0,0,0,0,0,0,1.769,0.228,0,0.819,0,0,0,0,0,0,0,0,0,1641.029,0,0,0,0,0,7.754,5.083,0,22.597,0,0,0,28.079,0,0.424,43.922,0,0,0,0,1.45,47.825,0,0.798,0,0.446,36.926,0,0,0,21.641,0,0,0,0,0,0,0,92.661,1.598,0,0,0,5.792,0,18.779,46,0,0,0,0,1.176,0,0,0,38.13,0.422,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.565,0,0.359,0,0,0.479,0,0,0,0,17.873,0,0,0,0,0,83.571,0,0,0,1.714,0,0,0,0,0,15.863,0,31.038,0,0,0,0,0,6.026,0,0,0,0,0,0,0,0.616,0,0,0,223.472,0.493,6.062,2,0,40.251,0,29.586,0,0,0,0,3.311,0,0,8.388,0,0,26.52,0.98,3.152,0,0,0,0.365,0.065,0.41,0,0,242.081,0,7.077,0,4.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,211.205,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.454,0,0,0,0,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,2.015,0,0,0,0,20.766,0,0,0,21.216,0,0,0,38.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2.909,0,0,0,1.8,0,0,0,0.798,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,2.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,1.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0.01,0,0,0,0,0,0.755,0,0.26,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0.282,5.463,0,26.567,0,0,0.121,0,0,0,0,0,0.067,11.74,0,0,0,0,0,6.742,0,0,0.837,0,85.295,0,0,0,0,0,0,0,1113.554,1296.899,0,0,0,11.691,0,0.796,0,0,0,0,0,0,0,3.734,0.767,0,0,0,0,0,0.685,0,0,0,0,0,0,0,0.365,0,0,0,0,0,130.516,22.373,0,23.956,0.169,0,0,0,0,0,0,0,0,0,0.423,0,0,0,0,0,0,0,0,0,9.494,0,0,0,0,0,0,0,0,0.005,10.668,0,0,0,0,0,0,2.451,0.351,0,0,0,0,0.026,721.092,0,0,0,0,0,0,0,0.011,0,0,0.032,2.457,11.376,2.008,0,0,0,0,0.009,0,0,0,78.559,0.278,0,0,0,0,0,0,0,4.217,0,0,0,2.106,0,0,0.031,0,82.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,14.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.181,0,0,0,0,10.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.079,0,0,3.785,0,17.082,0,0,0,0,0,0
"FIN",0,0,14.519,0,0,0.378,0,4.57,2.212,49.211,27.642,20.216,0,0.024,0,0,18.851,0,0,0,0,107.971,0,0,0,0,0.714,0,1.207,0,0,247.981,0,0,0,0.529,0,95.681,336.519,0,5.148,0,0,0,0.154,7.911,0,1.57,0,281.826,0,3.132,0.277,0,0.246,929.696,0,0,222.46,0,0,0,150.045,0,2.448,0,0,0,0,0,0,5.363,28.928,7.966,0.011,0.103,0,3.01,11.63,174.037,0,6.284,132.224,8.126,56.016,0.152,0,6.178,0,0,0,0,0,81.284,0,0,287.236,0,0,0,0,42.651,6.407,0,0,0,1.339,6.203,0,0.707,0,0,1.39,4.349,0,8.767,0,168.562,0,3.575,0.235,0.218,0,5.936,0,0,3.675,209.899,0,0,0.145,0,0,8.298,0.454,70.648,14.123,0,0,0.091,98.749,1037.35,0,0,0,0,0,1.149,18.829,0.315,0,0,46.304,132.33,137.207,1.212,0.426,10.748,34.678,0,367.311,0,0,0,293.777,5.599,0,0,9.414,0,0,3.193,0.547,4.023,0,0,51.277,41.101,51.591,0.655,237.919,0.473,2197.165,0,0.07,3.57,0,0,0,0,0,0,0,0.27,0,0.368,0,0.559,0,0,0,0,0,0,0,0,0,55.412,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,155.241,474.719,0,6.73,19.251,3.365,21.379,17.004,5612.791,1570.663,439.071,0.816,16.311,223.503,0,9185.766,0,49.023,6.039,0,383.444,0,10.804,0,5619.683,30.09,140.827,66.1,53.818,166.692,6655.075,7.23,0,10.826,4.833,233.45,51.866,45449.249,0,7.244,103.654,79.361,42.108,2.277,3139.415,493.781,1519.202,448.618,332.548,0,0.321,15.409,1.283,41.665,481.081,51.758,2037.206,0,70.307,2.325,0,40129.542,51.274,2312.497,0,0,1.85,504.234,18.141,64.914,1.519,3184.791,7200.244,3.083,1225.87,3.518,133.827,6464.768,32633.233,412.551,4817.768,4410.481,81.024,1.707,1.657,0,10980.606,62.479,0,0,46.803,0,333.088,0,0,15450.512,107.131,0,201.277,11.592,638.921,3.831,413.804,383.118,30.337,28.212,172.533,5.292,0.178,0.127,0,658.813,3.843,1.172,0.254,0,13404.458,0,0,0,1478.008,0,1.91,0.62,73,37.007,169.956,0,0,94.783,7.473,3.448,10.661,626.079,9137.069,1156.485,126.462,0,12.016,3771.969,4973.731,86.085,0,0,9.424,19.219,16.914,3469.615,11.506,26.993,0,2706.647,199127.331,412.033,116.955,284.702,0,324.797,165.355,8339.548,0,0,0,7551.609,14897.727,0,0.121,351.345,342.605,0,290.65,3042.061,20653.031,1.743,0,19.759,219.981,0.142,27.587,18380.041,0.202,23109.778,1209.47,2.023,2.651,0,0,0,0.366,0,0,0,173.325,0,0,0,3.498,0,0,0.214,0,28.55,0,0.245,6.3,0,0,0,0,0,0,61.463,0,64.23,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,8.961,0,0,0.444,0,0,0,383.493,0,0,0,0,0,0,0,0,0,0,58.083,0,0,0,0,0,0.167,0,0,0,0,0,0,5.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,394.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,0,0,0,0,0,0,0.134,0,0,0,65.43,0,0,0,0,0,0,0,0,0,0,0,41.771,0,0,0,68.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.429,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.059,0,75.532,0,0,0,0,2.726,0,0,0,17.679,0,0,0,56.246,0,0,0.5,0,270.117,0,0,0,3.172,0,0,0,0,40.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",27.396,568.829,489.13,0,1.193,2.503,0,921.7,56.095,4862.888,112623.173,13.196,18.328,29.304,0.785,6.759,84844.812,0,64.995,729.28,1.653,8171.657,36.716,7.866,7.219,27828.713,0.236,0.052,1835.831,0.146,25.602,4390.019,5.791,0,0.063,811.097,17.166,584.57,63361.655,0,1131.462,0,1.71,69.31,219.624,2169.587,2721.71,50074.341,79.793,18252.279,0,358.822,221.209,44.307,343.2,5382.717,0,27152.246,93757.927,2.762,15.826,7.079,0,223.943,14701.527,0,15.364,13.633,1.113,1.027,21.656,8.329,47769.433,153443.292,73.529,321.549,37.309,11242.175,8485.388,139104.095,97.011,91.196,18747.036,33.704,67.114,379.57,0,9161.988,524.11,0.017,6.824,410.906,0,2213.923,10.981,2527.541,8894.522,7400.681,0.071,58.544,101.462,109642.83,16.474,224.158,1881.257,710.315,89.612,10996.821,0.788,103.925,33.567,0,2121.026,81.598,262.874,226.33,0,369347.623,1.679,0,1.97,1.041,1.426,232.179,58,76.762,440.565,11393.278,0,0,402.45,98.351,23.993,177.499,22926.193,205168.897,58862.167,2.125,0,122.149,97026.564,22869.036,3.299,0,0,0.12,303.778,693.787,66.799,12047.335,207.072,53.179,18725.496,10362.422,22845.52,1005.689,16559.576,109.104,6267.143,7.599,247551.639,0,0,0.176,56677.658,56963.074,24.385,45.958,20052.209,75.132,2.185,9863.509,13106.61,24084.438,0,0,238.236,4161.196,2084.364,1416.462,77210.337,286.497,79306.12,314.437,25.042,26.216,0.713,0,4.727,67.813,21.006,0,0,2.009,0,427.114,1.656,96.47,9.847,1.603,5.351,0.977,0,0,16.846,0,0,25.723,0,0,0,0,1.791,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.457,0,0,0,0,0,0,1.473,0,0,0,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,340.078,0,0,0,0,0,0.386,0,2.815,0.075,0,0,0,0,0,5.493,0,0,0.05,0,0,0,0,0,1799.284,0,0,1.2,0,0,0.32,0,0,0,0,0,0,30.934,0,0,0,0,5.24,0,6.17,2566.575,0.011,0,71.834,0,8.45,0,0,0,0.66,0,0.353,32.582,0,0,0,71.099,20.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.347,151.217,0,276.873,0,0,57.595,55.06,0,206.762,0,0,0,0,0,0.394,0,0,0,0,0,4.635,0,0,0,0,169.903,0,0,0,0,0,0.33,0,18.394,0,0,37.955,0,118.769,0,0,0,0,0,0,0,0,0,7.405,0,24.344,0,0.152,0,0,0,0.282,85.375,0,0,0,131.845,2.819,0,0,0,0,0,0,0,19.081,21.338,0,0,0.101,3.305,0,1.615,0,0.128,0,6.702,0,0,0,20.262,0.299,0,0,0.577,0,0,844.52,0,33.175,0,0,6.815,0,5.283,0.053,6.9,0,21.892,0,0,1.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.633,0,0,0,0,0,0,0,0.064,30.794,0,0,0,0,0,0,0,0,0.835,0,0,0,0,0,0,0,0,11.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
