"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WLF","WSM","YEM","ZMB","KNA","NFK","MHL","TCA","UZB","SSD","CAF","COM","GRD","IRQ","DJI","KGZ","FSM","PLW","SOM","TJK","TON","MNP","BLM","AIA","ASM","TKL","FLK"
"HRV",0,0,0,0,0,0,0,0,0.283,480.281,0,0,0,0,0,3.677,0,0,0,1876.569,0,0.007,0,0,0,0,0,25.657,0,0,24.4,0,0,1.003,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,89.801,0,80.843,0,0,0,0,0,0,0,109.759,0,0,3152.216,0,0,0,0,0,5234.597,0,0,0,416.819,0,0,0,0,0,0,0,0,973.776,0,0,0,0.047,0,8479.414,0,0,0.218,0,0,0.162,0,0,0,0,22.158,0,0,0,0,0,0,0,0,0,2.024,0,0,0,0,0,34.6,0,0,7.627,36.047,0,0,0,0,0,2092.491,0,0,0,0,0,0,1.912,0,0,1.216,0,20.918,0,0,0,0,0,0,27.172,0.202,0,0,0,0.093,0.059,0,0,0,0,0,0,0,0,0,56.867,0,0,1.253,0,60.734,0,1206.186,108.318,0,16.363,0,0,0,30.236,117.511,0,17.239,0,0,105.257,0,177.969,0,0,0,0,37.658,30.135,898.503,0,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0.146,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.212,0,0,173.967,0,0,0,0,0,0,0,0,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.34,0,0.005,0,0,0,0,0,0,0,0,6.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.755,1.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.128,0,0,0,0,0,0,0.207,0,0,0,0,0,0,0,0,238.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0.823,0,0,0,0,0.95,139.54,1123.026,0,0.519,2.782,0,0,1041.309,0,0,0.975,7.838,0,20.804,0,0,0,0,0,154.556,0,0,17.9,0,0.138,84.007,0,0,4.187,0,1.32,189.605,0,21.821,0,0,0,0.563,45.727,0,1.798,0,0,1110.913,0,7.423,0.04,5.849,0,0,0,29.898,0,4609.224,24267.6,0,0,1.38,0,0,55460.507,0,0,0,44.78,0,0,0,0,0,0,0,40.311,6057.616,1.335,0.674,1.169,809.019,28.601,9900.854,0.153,0,113.514,1.589,0,2.25,0,9.67,0,0,0.043,0,500.097,0,0,1497.105,1185.194,0,0,0,38.627,28.881,0,46.125,0,0.487,0.458,0,1.464,0,2.533,0,0.12,0,0,0,11194.113,0,0,0,0,23.345,0,11.709,0,0,0,0,24.841,13.414,0,0,0.084,5.152,29.981,16725.714,71.911,0,0,2.247,346.177,152.093,0,0,0,0,0,0,0,50.032,0,22.759,14.375,0,46.435,89.048,28616.82,17.764,81.608,7.712,0,513.847,0,0,0,461.251,2065.11,0,10.61,0,0,25.555,0.027,94.959,0,0,0,532.486,1.365,2.427,5174.843,0.121,1622.694,17.006,4.499,0,0,0,0,2.553,0,0,0,0,1.822,0,0,0,0,34.668,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,27.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",6.656,0.191,4.531,0,17.642,0,0.355,20.373,104.462,856.804,0,2.213,0.126,0,0,84.39,0,0,1.303,3.939,0,10.225,0,0,17.639,0,1.504,1.742,0,110.729,11.2,0,0,46.742,0,0,0.063,3.328,33.228,329.28,0,97.031,4.249,1.195,0,0.686,42.306,0,1.635,583.885,0,0,0,0.3,32.956,0.096,0,11.342,17.297,131.113,0,744.88,524.807,0,0,0.267,0,0,8347.569,51.047,0.026,31.845,8.763,93.404,0,0,126.524,0,0,0,592.214,36.39,646.763,0,1.216,59.949,89.738,419.098,0.203,549.221,59.954,0.279,31.227,57.111,0,11.897,8.483,46.077,3.561,0,11.627,0,0,53.304,0.837,0,0,92.411,56.686,0.05,2.807,3.521,11.342,0.961,12.534,0,0.276,0.193,3.922,220.755,0.071,0.155,0,29.735,1228.402,0,0,0,0,0.195,20.934,20.349,0,15.818,0.493,0,1305.862,1.142,0,107.162,0.95,5.668,1.967,127.315,8.543,0,0,14.355,6.963,3.104,1.444,0,0,0,0,0,0,5.425,14.178,1.525,0,75.702,18.679,116.15,24.502,7.206,6.981,46.53,0,338.602,1.115,0,0,3143.882,63.193,7.089,667.233,12.618,0,450.105,2.163,28.792,0,0,268.378,4.171,0,0.643,579.593,89.485,3214.846,0.704,4.688,0.399,0,0,2.441,0,0,0,0,0,0,0,0,16.559,0,0,0,0,0,0,14.178,0,0,0,0,0,0,0,0
"DMA",0,0,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,4.594,0,3.798,0,0,0.83,29.778,13.641,0,0.086,0,0,0,0,0,0,0.066,0,0,0.666,0,0,0,0,0,0,0,0,0,0,0,1480.318,0,0,0,0,1.877,3.512,0,25.041,0,0,0,77.667,0,0,0,17.253,0,0,0,0,3.176,14.422,0,0,0,0,0,0.214,30.685,0,0,0,0,0,5.352,0,0,0,0,0,0,26.573,0,0,17.033,22.245,0,0,0.883,0,0,2.657,0,0,0,0,0,0.492,0,0,0,71.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.03,0,0,0,0.115,0,0,0,0,0,768.814,0,0,0,0,0,0,0.603,0.33,0,0,0,1.692,0,0,0,0,18.427,0.117,26.816,0,0,0,1.237,0,1.388,0,0,0,0,0.668,0,0,0,0,1.622,0,0,0,2.878,0.269,9.942,24.255,44.009,0,30.209,0,0,0,0,2.368,0,0.39,0,0,6.693,0.204,1.819,0,0,0,0.407,0,0,2.198,0,7282.639,0,8.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.671,1.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.579,0,0,0,0,0,0,0,0,0,2.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,4.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,8.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.892,0,0,0,51.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.929,0,0,0,0,0,8.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,7.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0.008,0,0,0.266,0.079,0,0,0,0.135,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,35.331,0,0,0,0,0,0,0,0,2.769,0,0,0,0,0,0,0,6.366,0,0.088,0,149.086,0,0,0,0,0,0,0,0,0,997.69,14.965,0,0,0,0,0,82.311,0,0,0,0,0,0,0,0,0,0,0,30.137,0.492,0,0,63.807,0,0,0.705,0,0,0,1.265,0,0,0,0,0,0,0,0,127.793,0,0,164.584,0.047,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,6.725,0,0,0,0,0,0,0,0.033,0,0,0,8.974,17.45,0,0,0,1.992,0,0.033,0,0,0,0,0.153,1460.603,0,0,0,0,0,0,0,0,0,0,0,0,0.007,3.636,0,8.006,0,0,0,0.172,0,0,0,148.569,8.369,0,0,0,0,0,0,0.196,0,0,0,2.548,0,0,1.056,0,3.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,8.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.769,0,0,0,0,0,0,0,64.698,0,0,0,0,15.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.967,0,0,0,0,0,0
"FIN",0,0,0,0.92,0,0,0,0.286,26.232,16.424,0,0,87.849,0,0,101.252,0,0,0,0.122,0,1.305,0,0,0,150.941,0,0,0,0,0.956,0,0,77.257,0,0,0.128,0,104.07,137.899,0,3.437,0,2.226,0,0,14.072,0,0,9.595,0,319.79,0,0,1.673,0,0,0,25.742,586.699,0,0,46.206,0,0,0,0.333,0,123.416,0,0,0,0,0,0,0,0,0,0,0,7304.634,1177.187,0,11.439,0,0,0.626,2.433,0,0,14.245,1.898,6.849,1.231,0,40.177,0.045,0,0,0,837.437,8.52,27.719,3242.81,0,0,0,0,3.445,0,1189.394,0,0,4.047,82.496,0,0,0,1.529,0,0,0.023,0,0,91.684,0,0,0,0,0,0,27.169,0.804,0,1.326,0,92.045,4.777,0,0,0,0.088,3.417,19.091,0.401,0,0,0.077,6.187,1167.725,0,0,1.414,0,0,0,0,0,0,0.077,0,0,34.619,397.201,7168.664,5.261,2.221,79.969,0,116.897,0.037,0,0,207.228,3.333,0,8.399,0,0.341,89.523,0.475,1.943,0,0,0,52.858,0,27.598,45.004,0.019,1063.126,0,0.316,0,0,0,0,0,0,0,0,0,0,0,7.043,0,0,0,0,0,0,63.428,0,0,0,1.02,0,0,0,0,0
"FRA",0,0,637.008,7.512,125.99,0,1.64,137.026,29.009,682.862,0,1.514,0.475,0.02,0.149,6593.973,0,0,0,0.564,0,519.078,0,0,0,4.208,0,2581.06,0.472,0,1.547,4.005,97.201,5240.147,1.526,0,0.204,522.761,13.542,3077.949,0,18.47,487.447,80.905,0,2.53,593.083,0.108,11.091,815.369,66.757,242.277,0,94.463,8.406,2.859,264.133,18.788,0,67.797,0,1926.965,0,303.531,37.384,0.981,6.544,23.904,32977.741,14.078,0,353.07,92.379,0,0,18.784,703.624,0,227.16,0.261,3117.132,1667.858,2.62,392.57,7.92,930.327,17175.699,14681.368,71.333,0,3181.674,135.633,232.828,652.064,0,8709.905,21.442,0,47.709,0,43.651,0,122.561,397.833,2435.214,1.606,1046.558,0,17.552,0.909,92.516,237.126,1430.486,59.977,49.887,0.964,0,0,3104.641,10.191,0,0,0,4.607,8359.155,0,0,1.031,0,91.504,0,0.363,13.053,80.57,514.981,0,77.287,17.732,22.823,0,0.067,9.344,327.961,5010.425,4605.932,20.349,0,513.293,4993.738,8766.268,3.023,0,31.057,26.271,0,0,0,1421.551,862.996,6.174,12.278,5.27,4007.315,6855.907,767.422,21.15,41.926,15119.584,18.04,5471.804,0.54,4.029,0,17097.977,9471.249,0,173.555,56.111,0,432.072,1386.782,5030.215,0,0,9.118,1.961,0.215,102.362,26016.031,186.56,15667.84,420.884,0.832,4.629,0.433,0,0,0,0,0,0,0,0,0,635.03,343.523,0,0.129,14.088,0,0,0,0,0,0,0,79.71,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.487,0,0,0,0,165.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",177.498,31.422,436.846,0.309,10.635,556.523,16660.719,467.172,7214.618,99583.661,14.029,18.041,533.989,4.993,156.503,56420.483,0,0,42.71,348.873,4.639,9464.062,69.69,0,19.909,0,6.168,6401.459,115.369,11.624,621.179,3.358,97.859,16418.405,4.7,0,520.259,48.469,4780.108,45458.042,0,1513.827,21.491,97.278,0,35.611,3118.421,5.599,1340.87,78178.454,27.865,90691.918,142.51,2000.809,205.376,250.205,0.085,268.525,140.464,6220.408,21.8,15111.671,174620.384,55.548,6.036,16.869,1.744,2.019,0,311.784,0,0,6056.557,0.729,0,22.101,73.349,0.499,93.974,3.692,42490.904,92399.996,73.682,914.132,216.358,11911.814,10083.098,211109.991,61.225,333.961,43591.919,766.173,3760.741,403.799,0,6653.411,378.735,26.82,848.47,0,1206.665,152.199,52.962,3888.632,9340.595,0.041,339.985,107.348,204017.951,43.624,218.773,3612.261,182.219,58.86,18099.675,8.229,51.453,11.525,816.807,53.071,90.811,1800.966,0,50.255,256274.452,0.182,0,2.813,0,0.877,0,225.725,96.182,117.168,297.602,0,4133.023,827.114,71.313,7.808,210.059,580.896,46385.165,131352.38,19614.614,25.432,0,742.633,43388.289,22640.965,272.94,0,0.121,0,70.031,278.825,0,774.261,124.73,15348.723,107.396,439.952,9996.743,10285.414,25517.825,584.955,9630.92,15048.489,1710.515,104851.226,55.97,2.836,0,20651.607,89854.641,6.525,37829.906,37.95,3.297,9556.678,7140.961,40728.974,0.234,0,148.818,1424.744,3378.919,2469.678,417353.62,206.574,440902.185,411.161,110.348,75.491,0,0,239.978,69.401,0,0,0,0,9.261,45.601,0,10.136,102.239,35.723,6.833,76.093,0,0,593.696,0.124,46.69,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,5.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.882,0.537,0,0,0,0,0.173,0,0,0,0,0,0,0,81.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.23,0,0,0,0,0,2.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
