"ARG","AUS","AUT","BHR","BEL","BIH","BWA","BRA","VGB","BGR","BLR","CMR","CAN","LKA","CHN","COL","CYP","CZE","BEN","DNK","ECU","FIN","FRA","GEO","DEU","GHA","GRC","GRD","GUM","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","PRK","KOR","KGZ","LBN","LTU","LUX","MYS","MEX","NAM","NLD","NZL","NOR","MHL","PAK","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","MKD","EGY","GBR","USA","ZMB","OMN","PNG","WSM","LVA","QAT","MLT","MOZ","ALB","CUB","PER","BGD","LAO","RWA","SRB","SDN","TZA","YEM","NIC","DZA","AGO","HRV","PYF","MDG","MRT","ETH","KWT","MUS","CIV","FSM","NGA","MMR","IRQ","BLZ","KHM","MNG","VUT","BFA","SUR","FJI","NPL","MDV","TLS","LSO","MWI","SWZ","CHL","MAR","EST","SYR","ATG","BHS","BRN","CRI","DOM","HTI","HND","JAM","MDA","PAN","TTO","TUN","COG","COD"
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4385.733,0,0,0,0,0,0,0,12.523,0,455.287,0,0,0,0,1448.956,0,0,0,0,0,0,16393.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848.823,0,0,0,0,0,0,0,0,64.051,0,0,0,0,0,0,0,0,26.972,0,0,0,0,0,0,0,0,1407.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,43.887,0,0.176,69.336,0,5.607,0,0,0,138.924,0,0,1147.818,0,0,1327.523,0,0,0,0,0,0,323.51,0,0,0,0,0,195,0,0,6.509,0,1599.715,87.716,0,0,0,0,2.794,0,0,0,0.043,0,0,0,16.259,0,62.635,0,0,0,1.106,0,0,2.755,574.134,42.35,1.843,0,0,0,0,0,37.341,0,17.567,0,0,0,0,0,0,0,2650.208,63.253,0,0,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,5.739,1.484,9.241,0.557,2.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,0,93.848,90.471,83.474,0,0,24.317,0,124.349,0,0,1470.018,0,716489.02,0,4.883,7565.941,0,4368.528,0,7155.445,5447.812,0,0,6.245,8694.678,0,0,13646.358,0,14.482,0,0,0,568.698,202068.138,1.536,7.738,0,0,152410.625,0,2.645,0.523,0,1.856,0.556,0.019,23616.365,20.224,139291.381,0,0,0,2379.846,1.358,0.928,10481.759,12.592,40.166,107767.092,0,0,0,2.753,0,45636.674,1.74,14479.49,0,8.073,1.705,0,8889.158,0,12.031,102518.993,192261.246,0,0,0,0,8.381,0,26284.203,0,0,0,0,2.193,0,0,0,0,0,0,0,1.526,0,0,0,0,0,1.186,0.29,2.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,1137.895,0,0,0,0,0,0,0,0,0,0,59.776,24.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661.458,0,0,49.309,0,0,0,0,0,0,99.903,0,0,0,0,0,0,0,0,0,0,0,817.313,0,0,0,0,3846.887,0,0,0,0,2.143,0,0,0,1.565,0,0,0,63.109,0,0,0,31.576,0,597.854,0.737,0,0,0,0,0,0,0,69.985,0,0,0,0,0,0,0,15.491,12.269,0,0,0,0,0,0,0,0,0,0,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16.632,0,0,0,0,0,0,0,0,0,9,9,12,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,3,0,0,0,0,4.076,0,0,12.605,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.362,0,0,0,0,0,0,0,0,63.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
