"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","FSM","GRL","SPM","ERI","MHL","TON","WLF","MNP","NFK","IOT","MSR"
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,40.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,4.508,0.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.274,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,77.624,0,0,0,0,0,0,0,0,0,32.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0.356,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866,2.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0.506,0,0,0,0,0,0,0,0,0.147,0,0,0,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0.268,22.229,0,0,0,0,0,0,0,0,0,0,0,0,30.41,1.363,0,0,0,0,0,0,0,0,0,7.522,0,0,0,0,0,0.19,4.301,0,0,1.493,0,0,0,0,0,0,5.913,0,0.871,0,0.002,0,21.38,0.413,111.826,0,3.26,0,0,0,9.776,0.518,0,0,0,0,0,0,1.259,0,0,0,0,0,402.071,0,1.866,0.161,59.086,0,0,0,0,0,0,1.7,0,12.532,0,5.426,5.205,0,0,0,0,25.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0,0,63.885,0,0,0,0,0,0,0,0,0,0.063,0.037,0,0,0,0,0,0,123.157,0,0,0,0,0,0,151.82,0,0,33.502,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0.031,5.2,0,0,0,12.388,0,5.951,0,0,0,0,0,3.551,0,0,66.485,0,0,3.676,0,0,0.569,0,0,0,0,0,0,0,12.493,0,5138.702,0,0,0,56.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,6.73,13.896,0,0,0,0,0.245,0.124,19.116,136.05,0,0,0,0,0,55.803,0,0,0,414.929,0,1.152,0,0,0,0,56.928,0,0,0,0,0,6.871,0,0,0,0,0,2.603,1.659,0,0,0.007,0,0,0,0,0,0,0,0.958,11.546,0,43.932,0,0,0,0,0,0,0,0,0,0.34,35.862,0,0,0,0,0,0,537.876,0,0,6.531,0,0,0,0,0,0,0,39.96,3299.732,2.576,2.892,0,0,7.372,1.796,292.02,0,0,5.778,18.818,0,0.074,0,10.491,0,0,0,20.059,0,25,0,0,1.3,18.56,0,0,0,0,0,0,1.294,0,0,0,0.124,0.041,88.56,0.708,0,0,0,0,0,558.372,0,0,0,0,0,0,2.155,0,0,0,0,10.584,0,0,0,0,53.79,0,0,451.379,745.061,0,0,3.255,125.84,0.56,0,0,0,0,0,0,0.845,0,0,0.193,0,697.441,0,0,21.172,7.931,114.632,9.417,932.455,0,1.023,0,26.284,0,0,0,0,164.143,23.59,0,0,0.225,0,0,0,29.489,0,9.055,0,0,0,0,0,121.984,0,182.455,0,62.931,1.171,6,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,1.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392,0,0,0,0,0,0,1.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0.108,0,6.613,70.311,0,3.967,0,0,0,0.389,0,0,0,0.031,0,0,0,0,0,0,8.505,0,0,0.2,0,0,0,0,0,0,0,0,3.809,60.605,0,0,0,0,0,0,0,0,8.231,0,0,14.118,0,0.745,0,0,0,0,0,0,11.623,0,0,3.769,3.422,0,0,0,0,0.297,0,168.401,2.278,0,2241.185,0,0,0,0,0,0,0,0,26.171,0,0.24,0,0.566,0.028,913.026,33.299,0,0,0,0,0.704,0,0,9.245,0,0,0,4.387,0,1.7,0,0,0.351,0,0,0,1.981,0,0,0,0.681,0,0,0,0,1.503,0,0.16,0,0,0,0,0,123.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.613,0,0,0,1.45,47.17,46.313,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,6.263,0,0,0,0,0,0.3,0,1.112,16.826,0,1.437,0,3.881,0,0,0,0,0.761,14.042,0,0,13.283,0,0,0,4.028,1.968,0,0,0,0,0.749,5.306,0,0,21.4,14.087,8.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0.835,51.207,0,0.029,0.062,0,6.147,45.976,779.877,10914.021,0,2.154,692.942,47.319,0,509.283,0,0,0.966,18.652,0,78.131,0,0,0,17.961,2459.813,0,0,92.315,12.403,0.205,300.907,0,0,0,0.236,0,91.465,591.623,0,0,16.518,0,0,0.905,0,88.23,587.58,2.455,329.245,0,0,4539.31,0,1.328,1.811,28.159,0.075,3492.802,252.841,0,0,753.938,10787.035,1.865,0,0,0,49.831,0.672,83308.91,2.017,0,486.753,0,0,0,0,0,2.011,0.437,750.494,4379.008,1.617,5.693,111.723,1.768,836.218,1478.929,9206.348,1.457,1.604,87.641,73.745,39.129,15.132,0,138.77,31.335,0.03,88.56,12.509,0,860.446,0,0,403.325,63.849,0,0.32,0,65.065,7.778,0,49.885,0,4.057,439.802,4.246,26.976,5.636,95.616,20.219,16.283,2.864,0,0,9836.598,0.083,0,0,0,0,0,170.514,29.625,0,12.529,0,567.916,0,41.241,0.182,0.457,0,75.888,63.695,11861.59,85.257,0,0,57.779,1552.989,3106.345,0,0,0,0,0,0,0,0.261,0,101.07,3.551,143.315,4.516,0,342.294,2340.802,17571.291,2.854,482.616,0,59.337,0,3109.751,0,3.909,0,0,1631.657,5512.796,0.071,0,211.03,0,0,0,342.459,20.884,2350.064,0,0,0,0,738.18,2.412,78.636,7235.272,10.999,3792.454,0.334,0.294,22.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.824,5.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0.068,10.316,67.551,0,0,6.357,0,5.526,63.086,1508.978,1400.791,0,4.817,47.211,212.393,0.684,7024.66,0,0,13.094,3.801,0,358.294,13.628,0,2.352,1.161,171.51,1.611,0,66.761,0,0,1214.756,29.376,0,0,39.96,0,1451.397,2638.05,0,0,125.54,0,0,0,0,18.074,82.115,0,132.863,1426.649,0,0,0,1.289,47.742,0.972,0.006,1.357,714.636,0,0,2920.601,5054.529,0,0,0,26.191,24.899,0,25911.212,44.749,22.173,1521.913,0,0,6.061,0,16.672,0,29.188,899.811,757.673,263.422,130.75,220.283,0,1120.952,382.019,2978.55,4.199,0,2066.928,106.797,14.612,5.137,0,1742.429,4.456,5.83,0,62.215,0,250.157,0,0,193.089,21.692,10.42,20.776,0,458.074,0.293,0,61.627,0,44.245,805.311,5.554,12.281,0.815,48.949,0,21.852,0.426,0,69.722,10326.943,12.658,0,0,0,0,0,289.154,2.708,0,11.979,0,5539.903,0,19.035,10.115,0,13.769,140.313,407.199,2242.939,468.65,0,0,34.549,690.605,1674.622,0,0,0,0,0,0,0,0,0.267,232.558,0.057,48.144,13.694,0,1542.524,805.182,123.381,520.535,189.745,0,497.464,0,3163.916,0,0,3.367,0,13587.12,2079.779,0,0,814.277,0,0,22.201,3005.552,9.229,581.07,0,0,0,0.015,279.167,6.932,116.638,9443.658,17.828,9737.913,0,32.963,0,0.893,0,0,0.403,3.4,0,0,136.072,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,4.741,0.097,0,2.046,162.572,0,0,0,0,0,0,0,0,0,0,0.011,0,1.562,0,0,3.19,0,0,0,0,0,0,0,7.73,0,0,0,0,0,11.371,558,0,0,2.24,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,3.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.677,0.957,0,0,0,0,0,0,0,0,0,0,6.859,0,0,0,0,0,0.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.828,0,0,0,0,0,0,0,0,0,1.343,0,0,0,0,0,0,0,5.628,0,0,0,0,0,0,6.849,0,0.674,6.133,0,0,0,0,0,0,1.731,0.454,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,31.262,0,0,0,0,0,0.011,0,1.878,0,0,0,0,0,5.221,0,0,35.193,0,0,0,0,0,7.052,0,0,0,0,0,0,13.61,0,0,226.251,0,0,0,4.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0.67,0,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,52.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952,0,27.982,2.508,0,0,25.844,0,0,0,0,1.045,0,0,0,0,0,0.016,0,0,0,0.089,0,0,0,0,0,1.697,0,0,0,0,0,0,0,2.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.036,0.604,2.491,0,0,0,0,0,0,0,16.759,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626,0,0,0,0,0.079,7.428,0,0,0,0,2.485,0,0,0,0,0.896,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,11.707,0,0,48.364,0,127.357,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,2.874,0,0,0,0,1.512,0.994,0,0,7.608,0,0,0,6.622,0,0,0,0,0,0,0,0,0,1,0.703,25.519,0,3.668,0,51.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,1.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,0,77.634,0,0,0,0,88.239,0,0,0,0,0,0,0,23.887,0,0,0,0,0,0,0,0.45,1.319,0,0,0,0,0,0,1.796,0.05,0,0,0,0,2213.023,0,0,51.613,832.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,55.908,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,3312.646,0,0,0,0,0,0,251.05,0,0,265.773,0,2.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.422,5.933,0,0,0,0,1.977,0,0,0,0,0,0,0,0.196,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,19.241,0,45.108,0,0,0,7.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0,0,0,0,0,0,2.005,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,0,0,0,1.452,5.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,1.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,4.725,0,0.816,0,0,0,0,0,0,0,21.258,1.047,7.859,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0.316,0.135,0,0,0,0,7.772,9.346,3.368,8.01,0,1.811,0,0,0,9.24,0,0,0.221,0.277,0,4.367,0,0,0,0,3.928,0,0,396.245,0,3.431,320.644,0,0,0,10.959,0,5.822,33.271,0,0,0.381,0,0,0,0,0.219,0,3.651,0,97.512,0,163.384,0,0,0,0,0,0,0,0,0,3195.685,629.679,0,0,0,0,0.946,0,45.002,0.67,0,4.244,0,0,0,0,0,0,0,7.869,0.66,0,0,0,0,0,152.668,101.141,0,0,9.92,0.947,0,0,0,6.272,77.823,0.939,0,9.095,0,218.881,0,0,100.668,1.68,0,0,0,31.879,0,0,2.278,0,2.218,3.44,0,1.941,2.231,0.034,0,0,0,0,0,83.742,0,0,0,0,0,0,4.477,1.241,0,0,0,22.933,0,0,3.137,0,0,5.72,0,104.317,1.284,0,0,0.897,10.629,2654.669,0,0,0,0,0,0,0,0,0,0.202,0,0.378,0,0,12.253,4.612,0.97,57.06,2.985,0,2.565,0,40.914,0,0,0,0,1638.788,69.148,0,0,35.207,0,0,0,0.872,0,7.799,0,0,0,0,50.088,0,437.281,886.388,0.421,38.366,8.117,0,27.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0.64,0,0,0,0,0,63.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.648,0,0,0,0,0,2.069,23.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.442,0,0,0,0,12.36,0,0,0,27.915,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0.735,1.772,0,0.196,0,0,113.711,219.406,291.187,175.612,0,2.643,0.282,1.536,0,5730.671,0,0,3.369,31.791,0.141,179.953,0,0,0,0,5.577,2.841,0,111.975,0.293,1.081,837.394,0,4.399,0,0.923,0,189.163,11843.761,0,0,4.262,0,1.592,2.95,0,12.063,1.185,0,0,162.177,0,13506.492,0,7.078,0.609,0.484,0,0.586,1096.649,0,1.5,0,350.583,0.657,0,0,0,0.423,0,3373.686,0,0,37.642,0,0,0,0,0.338,1.232,0,629.044,163.061,371.811,38.659,20.403,0,36.364,412.374,593.612,0.633,0.715,2251.686,5.783,0.894,0.272,0,1186.386,1.78,0,0.233,33.046,0,165.561,0,0,340.47,127.967,0.564,0.885,0,273.552,0,8.156,0,0.141,3.061,50.271,7.425,94.084,31.596,3.681,0.646,128.922,0.472,0,0,844.156,0.159,0.455,0,0,0.706,0,69.773,1.568,0,27.507,0,6572.26,0,630.438,20.556,0,0.151,62.664,7.629,543.149,31.097,0,0,3.183,43.512,2701.799,0,0,0,0,0,0,0,0,0,120.648,0.84,22.19,0,0,917.567,219.544,41.619,38.52,402.058,0,96.92,0,305.778,0,0,0.154,0,4219.064,2661.047,0.072,0,202.046,0.141,0,5.909,23.791,69.561,446.06,0,0,0,0,12.689,3.5,163.746,617.213,0.274,5591.397,1.406,32.102,29.846,0,0,0,1.011,0,0,0,19.933,0,0.611,0,0,0,0,0,0,0
"FRA",0,0,381.961,0,355.656,38.379,0.947,59.664,2747.085,3468.613,3447.363,0,1.494,283.102,0.294,0.182,17110.942,10.888,0,31.166,46.139,0.121,2282.101,50.476,0.633,0.799,15.238,509.464,1.897,0,10.513,6.616,47.541,95.911,10.365,0,1.973,325.505,0,386.639,7961.709,0,0,630.408,0.617,340.159,10.355,0,57.06,751.802,2.691,24.119,5203.366,150.866,3699.964,0,344.683,226.388,24.229,0,237.634,410.907,0,0,2444.57,0,177.782,0,28.711,26.087,101.534,0,97938.81,107.371,0.04,3631.727,27.992,0,6.723,0,0,0,5.509,197.029,4181.664,71.509,20.468,8908.423,22.238,873.428,1314.599,46567.864,950.526,115.038,2069.745,121.399,3.578,58.325,0,225.914,19.791,51.622,0,1884.256,0,303.572,0,0,1405.716,685.482,0.001,61.968,1.156,110.308,5.668,20.967,229.302,16.942,269.826,582.657,0.96,9.885,12.706,1832.363,5.045,23.276,3.032,0,2416.228,6223.741,0,0,0,0,139.841,0,19.639,10.394,29.383,4.615,0,3411.944,0,274.146,22.036,0,27.596,111.065,19.467,12215.479,7537.1,0,0,240.694,2023.661,740.2,13.614,23.205,0,0,0,5.852,5.389,24.994,26.335,237.383,187.55,63.824,7.134,25.332,3742.445,577.682,616.701,356.335,670.814,0,902.372,123.125,34706.819,0,0,0,0,10909.027,6098.133,0,0,80.449,1.816,0,0,1116.795,751.201,2766.733,13.927,0,0,32.189,68.784,23.7,114.666,23464.551,126.671,16012.212,17.14,96.562,0,1.273,0,0,4.231,0,0,0,0,34.409,0,0,0,1.486,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,7.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,22.438,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,5.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
