"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","GRL","VUT","NFK","FSM","PLW","SSD","BES","BTN","SPM","GNB","WLF","BLM","ATF","MNP","FLK","NIU","IOT"
"COG",0,0,0,0,0,2.665,0,0,0,0,0,0,0,0,0,0,0,0,0,5.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.839,19.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0,0,0,0.423,0,0,0,0,0,0,0,8.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,4.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.584,0,16.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,2.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,1.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,1.24,0,0,27.919,4.031,0.041,0,0,0,0,0.379,0,0,0,0,69.378,5.821,0,0,0,0,0,0,0,0,0,19.789,0,0,0,0,0,4.792,2.272,0,0,0.004,0,0,0,0,0,0,10.608,0,0.997,0,0,0,62.188,1.729,127.487,0,0,0,0,0,0,13.073,0.137,0,0,0,0,27.199,0,0,0,0,0,0,247.124,0,2.06,0,77.936,0,6.238,0,0,0,0,0,4,3.528,0,4.831,23.314,0,0,0,0,276.904,0,0,0,0,0,0,0,0,0.15,0.273,0,0,0,0.432,0,0,0,0,0,53.771,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,80.751,0,0,0,0,0,131.839,0,0.396,0,0,35.295,0,0,0,0,2.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,85.913,0,911.232,0.157,0,1.372,0,5.251,0,0,0,0,0.036,0,0,114.184,0,0,0,1.086,0,0,8.392,0,0,0,0,0,0,0,59.193,0,2354.132,0,0.002,0,89.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,20.923,0,0,0,0,0,0.069,2.673,8.482,350.563,0,0,0,0,0,56.521,0,0,1193.787,0,1.652,0,0,0,0,83.003,0,0,0,0,0,4.243,0,0,0,0,0,7.365,26.301,0,0,0,0,0,0.787,0,0,0,0,39.093,200.339,0,7.886,0,0,0,0.03,0,0,0,0,0,20.073,65.243,0,0,0,1.545,0,1327.885,0,0,0,312.992,0,0,0,0,0,0,0,424.678,249.056,0.159,0.695,0,0,69.077,9.246,1772.674,1.816,0,18.922,0,0,0,0,0.794,0,0,0,2.09,0,22.192,0,0,5.557,11.109,7.75,0,0,0.573,0,0,27.853,0,0.623,0,0,0,130.924,0,0.16,0,0,0,0,0,476.353,0,0,0,0,0.174,0,0,0.467,3.261,0,0,0,0,0,0,0,94.313,299.194,0,35.323,702.791,63.08,0,0,0,0,0,0,0,0,5.789,0,616.031,0,0,19.352,1.124,353.309,0,1079.728,0,0.419,0,295.211,0,0,0,222.544,77.959,0,0,1.19,0,0,0,0,128.116,0,16.005,0,0,0,0,0.351,56.801,0,91.818,0,345.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0.106,0,0,0,0,70.663,0,6.71,0,0,0,4.692,0.95,0,0,0,0,0,0,0,0,4.023,0,0,0,0,0,0,0,0,0,0,0,1.484,38.905,0,0,0.842,0,0,0,0,0,7.247,0,0,4.688,0,5.725,0,0,0,0,0,0,0,0.477,0,0.26,8.297,0,0,0,0.294,0,181.375,7.265,0,0,1160.41,0,0,0,0,0,0,0,4.87,0.673,1.725,0.208,0,17.047,0.243,57.064,24.712,0,0,0,0,0,7,0,7.818,0,0,0,4.276,0,78.403,0,0,3.927,0,1.696,0,0.745,0,0,0,9.139,0,0.086,0.664,0,0,0.032,0,0,0,0,0,0,0,39.031,0,0,0,0,0,0,0,34.375,4.263,0,0,0.664,0,0,0,5.262,22.604,3.169,0,6.533,10.305,0,10.115,0,0,0,0,0,0,0,0,0,0,0.065,0,0.127,4.691,0.118,0,24.204,0,7.257,0,6.267,0.468,0,0,1.251,26.62,0,0,22.487,0,0,0,0,23.857,0,0,0,0,0,20.468,0,0,0.304,15.574,13.919,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,6.627,0.515,0,3.725,0,0,1.178,98.223,496.851,9574.519,0,2.629,18.999,37.562,0,1026.698,0,3.584,23.993,0,55.721,0,0,0.321,0,18397.212,19.678,0,278.96,0,5.794,322.783,0.025,0,0,0,0,73.711,700.813,0,0,101.346,0,0,0.102,0,45.879,1948.05,1.394,216.16,0,0,5091.643,0,1.382,3.425,68.615,0,0,0,357.607,0,329.221,8078.978,4.812,0,0,31.1,0.12,86742.563,17.105,0,0,738.747,0,0,0,6.703,0,0,63.324,127.018,7047.281,4.471,54.652,9.559,2.19,665.999,328.251,9939.501,8.471,0,691.645,4.996,17.308,2.99,0,194.402,2.207,3.141,8.174,64.884,0,835.661,0,0,811.715,47.58,0,0,0,997.657,83.001,0,14.161,0,19.176,609.863,1.003,2.513,8.005,0,23.141,17.386,45.786,0.337,0,1.287,12536.909,0.094,0,0,0,105.327,83.092,0,61.058,415.591,0,80.617,43.318,58.967,0,112.568,4.362,14717.557,294.257,0,57.342,9267.485,2940.401,0.175,0,0,0.194,1.998,0,0,0,529.386,0,210.309,0.35,0,105.913,2644.256,21578.523,76.545,581.174,0,93.495,0,3296.375,0,0,17.363,1147.955,5911.472,0,0,198.721,3.63,0,0,0,396.778,874.621,2931.876,0,0,0,1.148,302.916,43.927,19.7,7833.769,7.702,2928.558,0,19.566,9.247,0.196,0,0,0,35.736,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,4.888,3.954,0,76.301,3.487,0,13.707,423.671,1566.477,1237.02,0,3.131,34.152,57.925,0,4848.42,0.298,20.731,2.615,2.348,335.464,0,0,0,3.263,101.614,19.544,0,73.394,0,0,1332.563,0,14.723,0,0.047,0,572.726,1640.244,0,0,149.425,0,0,0,0,62.919,53.264,0,125.596,2911.001,0,0,0,1.229,13.381,3.919,0,5.214,0,817.869,9.492,4347.514,4974.969,0,0,0.579,20.191,0,24148.176,37.782,15.383,0,1334.643,0,0,35.331,0,0,0,12.612,1184.986,477.302,504.687,3.332,22.324,0,784.284,787,2693.02,0.239,0,1081.768,71.923,13.597,19.835,0,2486.914,5.788,1.516,0,40.767,0,359.308,0,0,550.432,101.704,0,31.479,0.745,170.814,2.311,0,27.137,0,20.727,828.248,12.873,2.653,4.56,0,31.002,0,43.211,3.188,0,52.31,5484.733,17.707,0,0,0,168.32,32.728,0,80.893,7051.61,0,5.993,51.595,0,5.127,290.29,159.158,2554.746,97.811,0,116.521,402.646,2304.484,0,0,0,0,0,0,0,0,35.813,0,552.895,0,0,1172.08,469.509,160.751,240.695,326.605,0,447.38,0,3027.708,0,0,0,11526.117,1475.047,0,0,1344.14,0,0,0,0,1770.617,5.389,1130.1,0,0,0,11.351,436.769,2.859,266.288,9783.351,3.308,10646.483,4.568,15.835,0,0.161,0,0,4.567,0.256,363.873,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0.382,0,0,178.331,9.285,0,0,0,0,0,0.114,0,0,0.063,0,6.404,0,0,0,0,0,0,0,0,0,0,15.953,0,0,0,0,0,15.465,160.271,0,0,0,0,0,0,0,0.561,0,1.414,0,0,0,0,0,0,2.866,0,0,0,0,0,0,0,3.08,0,0,0,0.025,0,1.674,0,0,0,0,0,0,0,0,0,37.108,0,0,0,0,0,0,0,0,0,1.978,0,77.402,3.14,0,0,0,0,1.954,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.392,0,0,0,0,0.939,0,0,0,0,0,0,0,0,0,1.73,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,26.267,0,0,29.633,0,0,0,0,0,0,42.075,0,0.209,0,0,0,0,2.888,8.99,0,292.076,0,0,0,11.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,21.597,0,0,0,0,0,1.462,11.573,0,0,51.488,0,0,0,0,0,0,0,0,0,0,0.135,0,0.086,0,3.571,0,0,0,0,0,0,0.727,0,0,0,0,0,11.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.663,0,0,0,0,5.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.935,0,0,0,0,0,0,0,0,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,51.873,0,222.48,0,0,0,0,12.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0.397,0,16.856,0,0,0,0,1.648,0,0,7.801,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,381.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.598,0,0,0,0,0,0,0,152.407,0,0,0,2.926,0,0.02,0,43.826,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0.627,0,0,0,0,0,0,2148.34,0,0,71.736,942.626,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.562,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3576.486,0,0,0,0,0,40.159,0,0,251.961,0,4.35,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.664,0,0,0,0,0,0,0,0,0,0,0,0,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,11.117,0,0,0,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,3.135,0,0,0,0,0,0,0,0,0,9.648,0.075,0,0,0,0,0,0.636,0,0,0,0,0,0,0,25.113,0.001,34.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0.423,3.044,0,0,0,0,0,28.467,5.362,97.727,3.031,0,0.906,0,6.514,0,0.955,0,0.977,4.812,0,1.194,0,0,0,0,1011.888,0,0,39.003,0,0,1153.088,0,0,0,0,0,4.069,66.27,0,0,6.426,0,0,0,0,0,0.589,0,2.033,119.744,0,260.943,0,0,0,0,0,0,0,0,0,3864.234,864.038,0,0,0,7.576,0,559.112,0,0,0,8.346,0,0,0,0,0,0,0.857,0,7.033,0.222,4.353,0,0,3.426,63.962,491.212,0.249,0,1.429,1.814,0,0.497,0,15.439,0.707,2.161,0,0.557,0,232.322,0,0,409.91,0,0,1.407,0,4.134,0,0,0,0,0.52,41.641,0,14.131,0,0,2.7,0,0,0,0,0,267.306,0,0,0,0,1.64,0,0,0,88.322,0,0,0,0,0,4.746,0,122.098,1.234,0,0,21.152,3050.713,0,0,0,0,0,0,0,0,0,0,2.546,0,0,691.143,7.982,8.442,1761.956,4.686,0,1.311,0,14.74,0,0,0,2442.271,26.941,0,0,11.898,0,0,0,0,16.554,13.299,16.725,0,0,0,0,25.571,1.566,3.289,647.309,0,59.523,0,0,27.151,0,0,0,0,15.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,83.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,13.832,0,0,0,0,0,0,0,0,0,0,0,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.739,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0.047,0,0,0,0,1.102,0,0,0,0,0,0,0,0.354,0,0,0,0,0,0.576,0,0,0,0,0,0
"FIN",0,0,0.536,0,4.969,0,0,140.567,18.333,2219.785,391.484,48.909,0.933,0,0.642,0,6876.49,0,4.566,2.399,0,420.598,0,0.507,0,0,8.891,0.304,1.721,146.696,0,4.664,283.668,0,0,0,0.294,0,145.604,15859.145,0,0,181.123,0,6.469,21.107,0,17.585,30.429,0,0,281.812,0,12834.902,0,0.362,1.813,1.394,0,0.07,0,2125.721,1.571,0,958.682,4.029,0,0.094,0.159,0.088,3690.805,9.755,0.2,0,97.938,0,5.66,1.525,0,0,0,0.246,311.859,109.412,78.043,101.309,0,1.035,3.819,1327.14,467.073,0,0.788,1563.024,182.242,2.115,0.542,0,1060.229,9.391,22.195,0.147,3.66,0,111.775,0,0,344.825,124.308,0,0,0.023,386.418,0.296,0.294,0,0.117,0.64,48.026,0.008,141.528,12.976,0,23.164,0.147,13.238,5.961,0,0,1135.243,0,0,2.567,0.748,170.946,1.23,0,1.122,822.021,0,4.52,0.187,0.294,4.391,99.437,6.981,671.538,117.694,0,247.093,147.619,3753.144,0,0,0,0,0,0,0,0,140.908,0,10.316,0,0,507.894,609.217,35.82,2.653,1076.816,0,88.188,0,333.929,0,0,0,5219.654,3854.214,0,0,74.558,0,0,0,1.365,227.098,51.38,431.228,0,0,0,3.477,0.584,0.748,34.583,769.277,0.952,10374.631,0.33,241.768,0.017,0,0,0,0,0,2.055,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",282.847,30.164,273.883,0,372.542,42.663,3.115,5.477,540.194,2771.124,4669.277,76.234,128.004,218.226,4.027,9.766,27777.501,203.661,68.688,13.358,82.449,2235.695,23.774,0,0,0.584,839.108,34.217,3.394,10.474,2.635,209.162,1913.373,10.806,0,12.983,32.446,26.073,308.972,6928.505,0,0,682.445,7.575,86.987,4.064,0,264.092,1012.455,0,30.832,2985.376,141.089,7059.74,0,1049.137,10.216,61.745,6.594,5.351,0,694.933,0.567,3363.502,0,578.496,39.351,58.274,110.56,0,113986.443,30.301,0,0,3151.78,0,0,10.649,66.896,0,0,15.298,632.43,3340.034,40.113,515.467,297.001,9.044,1468.192,863.559,58477.526,418.213,2.878,2164.532,5.796,3.755,620.254,0,498.294,3302.838,9.154,0,23.485,0,721.513,1.982,0,1388.711,1352.39,10.275,167.696,16.893,367.175,35.483,324.452,68.808,156.073,468.484,901.727,2.361,17.947,4.373,0,1413.703,16.014,8202.45,8.286,0,18.644,9737.273,0,0,0,460.987,297.101,6.573,64.228,8.467,2977.045,0,46.513,72.11,0,33.182,178.229,123.27,13142.899,10118.548,0,126.246,4434.651,815.629,4.007,0,0,0,25.186,0,22.99,0,217.237,129.88,131.142,1.995,4.901,4557.061,467.118,585.528,49.116,922.271,0,483.04,7.387,36763.271,0,0,0.895,6003.744,7911.083,0,0,2640.714,95.552,0,0,0,626.038,552.959,494.169,20.953,0,0,19.704,1020.211,11.09,504.578,28606.639,11.421,4249.415,32.756,15.676,4.042,2.073,0,0,6.805,10.705,0,4.251,0,0,0,0,0,0,46.234,2.48,3.922,74.284,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,52.883,0,0,1.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.204,0,0,0,0,0,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0,6.033,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.932,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.819,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.761,0,0,0,0,0,0,0.273,0,0,0,0,0,0,59.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
