"ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BTN","BOL","BIH","BRA","BLZ","IOT","VGB","BRN","BGR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","CXR","COL","COM","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GRC","GRL","GRD","GTM","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MDA","MAR","MOZ","OMN","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","KNA","LCA","VCT","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","VUT","SLB","MMR","KIR","NFK","TUV","HTI","LBY","TKM","GUY","BDI","COD","GIN","RWA","LAO","SDN","SUR","TCD","COG","GNQ","ERI","DJI","GIB","LBR","SPM","MNG","SOM","BMU","IRQ","STP","MNP","SHN","TJK","TON","ABW","NIU","GNB","PLW","FLK","AFG","CYM","FSM"
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,74.125,117.814,7.593,0,1.306,0,0,0,37.668,0,0,0,33.575,0,0,0,0,10.25,0.599,0,0,56.254,0,0,0,3.055,1211.666,0,12.425,0,0.686,434.708,0,0,162.291,0,315.371,0,0,0,0,0,7329.526,0,0,80.526,0,0,0,0,2315.388,0,3.338,21.647,0,0,0,88.832,24.234,2.345,0,0,0.814,1650,140.458,0,0,996.297,145.481,0,0,0,412.686,18.902,0,0,468.047,11.53,14.656,0,0,6.247,0,0,0,0,0,69.636,0,0,0,3.178,0,773.509,29.314,0,0,136.94,0,0,0,214.918,0,0,0,0,0,10.323,1.269,34.555,7.492,0,124,2049.947,0,0,0,4.952,0,0,0,21.704,32.36,1.455,0,11.213,167.079,0,16.985,450.244,202.647,0,33.351,0,0,6.156,0.852,35.448,0.992,0.659,0,1.012,432.86,7.512,3547.668,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,1677.892,406.21,59.787,0,0,1886.441,813.081,2938.286,0,1.698,2442.302,0,0,7353.557,0,0,0,2545.802,0,0,0,24.968,40.48,1.698,0,412.686,1116.382,2.2,27.404,1.868,89.346,10336.066,0,667.593,180.897,1.165,69.486,115.669,197.168,615.612,9.814,1791.983,0,12.908,12.915,0,0,3.281,0,653.368,0,705.906,492.74,0,11.04,31965.905,0,688.919,0,0,10.785,11.416,1056.889,155.66,38.858,319.921,4611.991,258.514,429.133,24779.942,1211.214,0,5190.18,1.963,14.097,23.446,0,1704.145,5.095,0,615.781,9.45,14.437,34.818,139.672,0,3449.523,16.537,36.702,22.138,131.465,104.817,1165.045,0,1302.092,0,1.698,0,251.692,19594.424,1.188,294.693,468.113,1.358,30.387,27.855,374.183,0,0,11.675,0,2.208,121.186,55.075,2203.181,12434.989,723.569,48.454,3774.471,0,0,0,384.325,797.602,2.247,0,314.677,1291.379,52.458,878.814,37.338,541.518,0,11869.889,4892.024,5325.03,2.208,100.789,60.537,6.16,762.974,1953.297,4828.635,0,51.422,0.53,2561.307,13524.61,118.231,58801.562,86.659,68.442,10.361,827.242,0,0,56,0.849,0,0,0,0,0,0,8.322,0,61.486,0,28.535,69.809,92.909,55.711,8.662,12.938,0,155.414,113.461,3.057,496.137,15.456,25.477,2.208,5.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,130.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",10,252.201,19.21,0,0,150,2563.224,12431.311,57550.891,0,46,50.951,0,7,22883.201,0,8.663,117,8177.365,0,0,0,41,625.751,183.14,0,0,7795.497,0.689,0,6,880,3776,0,141,0,275.957,616.668,13,77.7,7367.075,0,14288.282,0,17,46,0,0,824.508,0,5795.681,57323.266,1.524,4.044,6.276,0,0,12,3088.465,10.46,0,15.142,2.981,25760.563,6589.34,532.246,322.216,90.599,8689.956,3442.909,64053.442,4,1,33378.173,146,77,819.557,0,4644.546,480,0,960.408,756.701,765.884,658,0,0,2871.464,6,0,77.357,0,18,953,153,159.572,0,36,0,408.685,51816.837,0,5,1356.173,3.424,0,108,9596.637,0,33,5,1.195,12.23,400.398,4630.326,13163.295,4796.323,26,629,10167,0,0,0,2083.999,2.113,0,0,2927.243,6855.007,1654.39,444,1524.672,3933.779,5,28861,20061.163,37835.726,86,6143,0,0,2565,180.893,8615.37,0.515,1931,44.41,5354.71,88154,24.164,173305.424,3.053,305,35,927,0,23,281.973,12,0,0,3,0,0,0,0,67,2,0,268.652,0,0,2.138,0,30,0,0,0,0,0,36,0,0,0,12.511,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.517,0,0,0,0,0,0,0,0,2.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.945,0,0,0,0,0,0,0,0,0,0,0,7.569,0.857,0,130.414,0,700.105,0,0,0,0,0,0,3.08,0,0,0,0,0.854,8,21.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.591,0,0,0,0,0,0,0,25.516,0,0,0,0,4.801,0,0,0,0,0,0,2.258,0,0,0,0,0,0,0,0,0,0,9,3.389,0,0,0,6.371,0,0,0,0,1.248,0,0,0,0,0,0,0,0,0,0,0,0,0,69.819,514.907,0,113.913,16.111,42.639,223.807,0,4.008,0,0,22.221,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,40.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.042,0,0,0,0,0,0,0,0,0,0,2.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.373,0,0,0,0,0,0,0,0,0,11.472,0,1.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,15.189,0,0,0,0,163.928,1004.177,81.544,0,32.786,21.652,0,0,229.76,0,0,0,625.135,0,0,0,8.983,5.851,0,18.074,7.229,1180.664,0,0,86.644,5.538,6021.279,0,23.789,0,1.207,18.34,0,572.733,87.269,0,92.46,0,0,0,16.783,0,0,0,59.883,8145.184,12.86,12.394,0,0,8346.37,5.193,13.182,0,0,0,0,0,261.409,6.224,27.082,0,9.739,3770.048,249.865,27.24,7.07,2964.544,48.672,73.123,0.655,0,170.134,169.639,23.132,48.337,0,1.479,198.197,27.192,0,2802.142,0,19.229,4.538,3.098,7.267,11.703,0,22.397,0,0,0,509.978,13710.9,1.549,21.947,513.225,0,0,11.262,241.696,0,109.601,172.909,2.582,18.339,15.486,450.365,718.5,110.784,26.656,6,24.587,0,0,0,736.666,0,0,3.098,51.178,5972.318,4.408,1173.096,299.847,242.09,0.878,361.525,3208.733,385.767,34.251,4898.211,0,8.811,1277.247,38.86,409.484,0.767,0,0,202.314,17155.557,0,16105.918,0,66.699,0,52.605,0,0,30,0,0,0,2.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.647,0,0,0,0,0,0,0,0,19.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,7.012,178.549,64.895,0,0,0,0,0,8.754,0,0,2,0,0,0,0,0,18.216,0,0,0,0,0,0,0,0,5.209,0,0,0,0,27.229,0,0,73.538,0,49.637,0,0,0,0,0,0,0,0,21,0,0,0,0,741,0,1,0,0,0,0,0,0,1.112,0,20,3.791,19,23,0,0,23.01,9.303,0,0,0,48.408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,43.98,0,0,0,0,0,0,31.545,0,0,0,0,0,0,0,531.323,0,0,204.04,12.919,0,0,0,0,0,0,0,434.919,0,31.605,0,134.528,3.654,0,2.728,7,473.259,0,14.185,0,0,0,0,20.539,0,52.573,3,95,48,0,57.885,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,5.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.914,0,0,0,0,0,0,0,0,1.109,24.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,505.532,123.43,173.13,0,0,0,0,0,15.616,0,0,0,157.483,0,0,0,0,0,0,0,0,1.514,0,0,0,0,0,0,0,0,0,0,0,1.292,0,0,0,0,0,0,0,0,2.24,0,13.607,5923.721,0,0,0,0,2258,0,0,0,0,0,0,295.579,0,0,0,0,0,0,98.735,0,0,8879.988,0,0,0,0,26.147,0,0,5.039,0,0,0,0,0,389.834,0,0,0,0,0,122.511,0,0,0,0,0,11.153,215.089,0,0,0,0,0,0,0.752,0,0,0,0,0,5.204,33.856,1123,58.1,0,5,0,0,0,0,0,0,0,0,35.64,0,0,0,0,1.26,0,1834.734,0,0,0,971.663,0,0,0,0,10.51,0,0,0,0,147.232,0,208.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,9.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.218,0,0,0,0,0,0,0,0,0,4.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,71.987,0,0,0,2.679,129.386,1991.299,1284.173,0,0,0,0,1.37,4845.448,0,0,0,17,0,0,0,0,8.664,1.199,0,0,136.694,0,0,0,0,1.406,0,0,0,0,71.69,0,9.397,16.094,0,1853.394,0,0,0,0,0,7.43,0,826.532,19090.08,0,0,0,0,25509.516,0,164.201,0,0,0,0,9.036,170,16.45,0,0,0,241,17646.754,0,0,871.764,0,0,0,0,0.977,0,0,10.958,0,0,0,0,0,0,0,0,0,0,77.464,8.024,0,167.525,0,0,0,0,4043.204,0,0,29.314,0,0,0,126.627,0,0,0,0,0,0,0,767,3137.765,0,3,75.449,0,2.298,0,1.239,0,0,0,106.195,6.8,0,0,24.801,1196.919,0,13036.961,4255.803,530.473,0,139.214,0,0,0,0.557,168.684,0,14.139,0,0,9179.797,0,1557.277,0,0,0,37.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,565.495,1490.298,94.903,0,0,0,0,0,480.276,0,0,0,493.952,0,0,0,0,1.301,82.699,0,0,123.156,0,0,0,1299.23,36.881,0,125.583,0,0,13.052,0,37.547,2.993,0,110.49,0,0,5.989,0,8,4,0,127,449,0,0,0,0,5791.633,1,151.946,0,0,23,0,2332.068,78.469,2.475,0,0,4,0,623.871,0,0,4164.651,0,0,0,0,71.997,0,0,0,14.297,43.847,418.261,0,0,0,0,0,0.827,0,0,11.317,19.858,0,0,0,0,0,654.78,0,0,32.915,0,0,1,149.441,0,0,11,0,2.543,61.617,0,149.777,7.772,0,1754.485,233.36,0,0,0,0,0,0,0,10339.297,233.421,65.014,0,58.296,842.123,0,83.135,899.869,177.758,0,83.21,0,0,0,0,263.565,0,2209.704,5.062,12.251,4011.742,0,30386.497,0,6.243,0,24.167,0,0,122.833,0,0,0,0,0,0,0,0,0,0,0,0.868,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",6.922,146.144,0.856,2.952,0,0,2892.303,637.298,960.838,0,30.959,5.774,4.147,0,745.037,0,26.078,26.751,689.169,0,0,0,4.835,15.349,42.899,1.201,45.504,183.783,4.132,0,5.769,629.795,115.385,0,22.739,0,24.644,474.363,76.508,483.91,668.946,26.164,657.429,0,0.755,39.172,15.51,36.613,181.309,0,500.312,11792.085,14.32,8.747,0,0,12830.864,13.332,1358.978,0,0,71.413,0,785.113,346.953,13.512,909.676,206.28,361.41,871.095,0,8.947,0,1125.667,73.697,45.512,16.248,15.71,6280.787,343.059,0,235.459,13.809,95.811,0,0,0,354.226,2.433,0,449.425,0,20.893,822.773,0,175.738,0,59.279,0,71.846,1081.789,3.427,6.312,46.76,2.617,4.014,173.959,275.485,0,30.199,37.005,0,5.752,20.178,5.365,1748.081,1142.902,0,101.439,638.998,0,3.255,0,294.038,9.895,7.246,2.988,169.27,739.318,245.392,13.471,935.818,599.198,1.4,5254.05,1250.301,2318.475,58.607,950.57,0,111.604,237.41,463.817,1255.535,2.006,112.764,18.401,690.459,3768.184,7.075,5040.751,1.936,94.26,0,219.957,0,27.567,218.863,0,0,0,0,0,0,0,0,6.624,0,0,0,0,85.548,0,0,1.6,0,0,164.632,3.686,4.792,0,0,0,0,0,0,0,14.642,9.699,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.808,0,0,0,0,0,0,0,0,0,0,727.772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.996,0,0,0,45.575,0,2.947,0,0,0,0,0,0,0,0,0,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,353.445,98.149,3.142,0,5.901,3684.166,20191.775,3320.595,14.201,77.083,179.021,12.476,13.176,10876.716,0,12.273,0,21267.01,31.651,0,0,31.655,156.656,57.704,258.823,0.602,13214.769,0,0,1388.377,926.559,35343.575,0,740.73,0,106.67,566.977,67.924,241.303,195.811,2.115,8979.968,5.234,58.981,28.333,351.065,512.313,622.147,75.182,48534.545,64119.17,44.44,0,0,0,222770.167,5.38,450.017,0,0,11.419,47.838,73798.835,2851.503,56.158,5530.464,567.41,3062.291,5116.306,12675.8,61.771,73.894,0,55.455,136.162,213.641,74.078,150035.67,387.653,0,150.504,12.824,10.034,347.959,24.807,4.399,16116.565,47.287,0,347.651,0,73.959,13070.064,0,109.831,0,323.647,0,96.229,37814.338,53.83,4.904,1584.987,187.212,0,49.922,2879.164,0,1128.518,2534.645,438.881,13.958,232.216,9945.311,782.495,1631.654,783.859,219.194,3267.53,0,12.215,0,1200.551,17.098,11.319,0,5489.704,59202.25,256.143,1726.422,202.065,4565.354,9.028,23947.9,19527.897,16652.876,97.675,25793.489,0,10.606,2901.966,150.807,1232.586,2.337,93.088,11.103,731.434,110156.41,15.071,668953.651,0.74,114.404,488.18,533.795,24.892,1511.696,7.863,0,2.812,0,124.484,0,0,0,0,36.579,0,0,0,0,40.235,202.532,0,438.25,3.525,0,0,0,0,0,0,34.571,0,4.084,0,0,0,0,1.839,3.755,4.169,11.112,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,79.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.08,0,0,328.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
