"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","NZL","NIC","NER","NGA","NIU","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","TCA","CXR","ERI","FLK","VUT","TON","CAF","SPM","MHL","PLW","WLF","MNP","ATF","MSR","NFK","BLM","ASM","IOT","SHN"
"CRI",0,0,0,0,0,0,0,20.95,58.694,0,0,0,0,0,0,0.196,0,0,0,0,0,0.008,0.163,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,2,15.3,0,177.304,0,0,0,0,0,0,32.834,0,0,0,0,0,1.796,22.745,102.058,0,0,0,0,0.826,0,0,0,0,0,0,0,2.128,0,0,0,0,0,0,0,51.472,0,0,0,35.621,31.22,0,0,0,0,0,0,0,0,0,0.493,27.949,0,0,0.002,0,152.74,0,0,0,0,0,0,0,0,0.577,0,0,0,0,0,0,0,0,0,1.841,147.979,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,61.687,0,0,0,0.158,0,0,57.918,0,0,0.054,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,3.226,2.633,0.046,0,0,0,5.681,0,0.41,0,0,0,0,0,4.324,0,0,24.615,0,0,0,6.213,0,0.772,0,0,0,0,0,0,0,3414.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,28.802,0,0,0,0,0,59.893,0.898,97.335,0,0,0,0,0,21.487,0,0,0,821.996,0,0,0,0,0,0,62.773,0,0,0,0,0,3.932,0,0,0,0,0,7.553,0,0,0,0.073,0,0,0,0,0,4.859,0.474,0,4.364,0,0,0.213,0,0,0,0.125,0,0.077,37.629,0,0,0,2.189,0,0,352.832,0,0,0,25.293,0,0,0,0,0,0,0,0,0.504,129.429,0,0,0,0,0,3.375,12.624,0,0,22.499,0.086,0,0,0,1.455,11.51,0,0,0.95,0,0.416,0,0,11.767,0,0,0,0,0.059,0,0,0.616,0,0,0,0,0,142.504,0.119,0,0,0,0,0,1000.296,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,192.614,1.368,0,0,1.504,3.885,0.329,0,0,0,0,0,0,0,5.69,0,202.786,0.792,0,2.175,0.852,1.034,0,411.634,0,6.503,0,0.302,0,0,0,0,6.049,15.467,0,0,0.151,0,0,0,45.716,0,5.576,0,0,0,21.616,0,31.524,0.098,107.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.355,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0.402,98.235,0,0.499,0,0,0,7.687,3.188,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,0,0,0,4.366,16.424,0,0,0,0,0.415,0,0.37,39.973,0,0,7.009,0,6.015,0,0,0,0,0,0,0,0,19.493,8.705,0,0,0,0,0,0,8.687,2.166,0,0,8661.784,0,0,0,0,0,0,0,0,0,281.683,0,0,10.468,0,0.961,679.477,16.607,0,0,0,0,0,20.186,0,0,0,0,0,13.938,0,0.823,0,0,3.566,0,0,0,0,0,0,0,3.755,0,0,424.841,0,0,0,0.144,0.888,0,0.44,0,0,131.719,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0.166,0.085,14.963,0,0,0,40.459,0,0,0,0,0,0,0,0,0.781,0,1.412,0,0,0.971,0,0,0,8.057,0,0.05,0,11.294,0,0,0,0,0,0.734,0,0,0,0,0,0,58.028,0,0,0,0,1.642,0.936,0.143,148.846,0,98.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,10.532,8.326,0.215,0.108,0,1588.706,37.085,343.613,5075.309,0,533.179,45.511,0,0,4891.403,0,0,68.659,21.377,0,18.575,0,0,0,0.733,5232.21,0,0,39.525,0,0,162.442,0,0.099,1.634,0,97.001,395.61,0,108.955,0,0.889,3.587,0,40.773,155.08,0,152.425,0,0,5099.711,0,10.679,40.348,11.016,0,22.343,316.412,0,935.359,3133.315,24.169,0,0,29.266,0,0.624,47465.977,0.356,0,0,183.507,0,0,0,0.482,0,0,0,34.648,427.954,5511.398,9.807,20.387,0.691,15.309,192.325,786.552,2759.197,13.042,0.686,205.1,4.29,8.523,0.056,0,63.211,2.126,2.043,0,7.061,0,630.862,0,0,469.374,81.328,0,0,0,544.688,585.975,0,132.696,0,1.338,192.858,21.824,4.008,1.883,10.833,0,87.196,0.2,0,0.097,4396.912,0,0,0,0,3.62,15.187,0,0,18.454,0,849.588,0,27.065,0,0,0,502.736,27.114,14042.753,99.35,0,0,0.456,1369.551,1442.083,0,0,0,0.179,0,0,0,22.57,0,659.668,19.497,0,54.306,390.391,13280.542,0.981,432.556,0,418.133,0,2256.573,0,0.916,0,0,3567.638,5457.8,0,0,216.293,0,0,0,131.781,15.16,102.807,0,0,338.357,9.771,11.762,8808.598,0.818,3609.379,88.561,4.54,188.049,0,0,0,111.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,10.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,15.215,57.528,0,7.528,0,17.706,145.936,1275.138,865.523,0,11.431,38.558,217.501,0,3040.933,0,0,31.893,1.935,0,699.614,0,0,0,0.105,37.979,0,0,12.728,0.134,5.247,1045.38,0,0,5.651,0,873.295,3053.284,0,100.889,0,6.833,0,0,393.465,91.421,0,176.996,1835.489,0,0,0,2.694,2.419,3.598,0,0.699,611.824,0,2122.085,4027.314,0.822,0,2.144,32.995,1.635,0,23202.287,10.444,0,0,306.411,100.171,0,0,0,1.579,0,0,0.381,1376.316,518.244,191.95,26.212,299.966,0,145.83,325.489,2434.422,3.904,0.579,1657.037,101.389,17.743,10.076,0,2340.147,36.797,0.428,0,38.57,0,90.383,0,0,308.728,10.287,0,2.457,0,495.064,0,0,13.26,0.276,7.209,517.45,36.849,9.457,1.791,25.114,0,91.904,2.059,0,36.06,3012.617,0,0,0,0,3.342,172.209,21.687,0,9.902,0,4274.474,0,22.567,6.737,0,62.033,256.642,178.079,1732.081,317.183,0,0,82.473,190.668,1971.493,0.107,0,0,0,0,2.213,0,121.652,0,47.604,5.949,0,846.264,1015.482,103.884,352.963,287.106,0,609.585,0.107,1993.69,0,0.275,0,0,7477.556,1717.125,0,0,518.17,0.124,0,0,633.853,4.433,877.561,23.732,0,139.382,0.408,186.777,7622.568,2.06,7723.514,6.4,24.87,0,168.44,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,17.584,0,0,0,147.579,0,0,0,0,0,0,0,0,0,2.189,0.021,0,4.903,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,384.971,0,23.956,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.555,0,0,0,0,0,0,1.181,0,0,0,0,0,0,0,0,0,0,12.053,0,0,0,0,0,0,0,0.186,0,0,0,8.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,873.345,0,0,0,0,0,0,0,0,0,38.264,0,0,0,0,0,140.951,0,0,0,0,0.158,0,0,0,0,0,15.957,0,8.909,0,0,0,0,2.028,0,0,0,0,0,0.799,0,0,0,0,0,0,0,0.382,0,0,0,0,0,0.228,0,0.245,0,0,0,0,0,0,0,0,25.97,0,0,0.089,0,0,14.241,0,0,0,0,0,5.024,0,235.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0.062,0.452,0,0,0,0,0,0,0.128,0,0,4.327,0,0,0,0,0,0,0,0,0,0,0,0,0,12.537,0,0,0,0,5.588,3.274,0,135.205,0,0,0,0,0.02,0,0,0,0,0,0,0,0.4,0,3.016,0,0,0,0,0,0,0,0,35.93,0,0,0,3.314,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,84.654,102,0,0,0,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,3.466,0,0,0,0,0,28.917,0,0,0,0,0,0.124,0,0,0,0.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.799,11.18,0,131.593,10.519,0,0,0,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0.118,1.151,0,0,10.495,0,0,0,0,0,0.103,0,0,0,0,0,0,0,25.817,0,5.081,0,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,3.858,0.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.009,0,0,0,0.066,0,0,0,18.222,0,0,0,0,0,0,0.284,1.159,0.459,0,0,0,0,0,22.123,0,0,0,0,0,0,0,606.711,0,0,0,66.746,0,0,0,0,0,0,0,0,0,0,11.215,0,0,0,0,0,6.546,0,0,0,0,0,0,0,0,0,0,0,0,0,4.009,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.396,1.161,0,0,0,0,0,33.879,0,0,0,0,0,0,2.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,9.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.87,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.786,0,0,0,0,0,14.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.049,0.546,0,3.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,1.871,0,0,0,0,33.242,5.548,133.086,3.556,0.044,0,0,0,0,1.218,0,0,0,0.934,0,10.261,0,0,0,0,0,0,0,4.245,0,0,1529.687,0,0,0,0,18.917,120.76,0,0.084,0,0,0,0,0,2.046,0,0.289,2.083,0,93.905,0,0,0,0,0,0,0,0,1781.637,336.726,0,0,0,8.641,0,0,39.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,10.798,5.642,91.845,26.977,0,0,75.64,6.438,0,0.637,0,143.547,6.833,0,0,3.482,0,681.342,0,0,248.077,4.8,0,0,0,0,0,0,1.879,0,0,2.839,0,5.851,0,3.888,0,0,0,0,0,59.938,0,0,0,0,0,0.921,0,0,0,0,44.241,0,0,0,0,0,2.955,0,40.563,88.269,0,0,0.767,5.082,2067.765,0,0,0,0,0,0,0,2.551,0,1.318,0,0,31.075,37.489,3.653,13.69,127.114,0,8.241,0,21.444,0,0,0,0,3405.717,9.364,0,0,3.613,0,0,0.187,67.819,0,2.884,0,0,0.241,0,0,419.601,0.456,112.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,20.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,1.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.639,0,0,0,0,0,1.778,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0.279,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0.296,0.798,0.288,0,0,16.062,210.108,53.117,0,0.832,0.877,2.062,0.517,5313.257,0,0,0.625,0,0,22.416,0,0,0,0,8.073,0,0,69.595,0,0,83.687,0,0,0,0,71.073,12729.786,0,12.025,0,16.596,0.741,0,0,5.173,0,0,146.286,0,1292.838,0,0,2.308,0.087,0,0,723.646,2.361,0,913.767,0.218,2.329,0,0,0,0,3779.263,0,0.29,0,8.949,0.397,0,0,0,0,0,0.288,0.306,1091.732,68.962,74.778,53.738,49.04,0,15.448,362.683,692.266,3.746,0,2721.815,39.543,1.178,14.257,0,323.224,1.302,1.331,0,6.486,0,255.975,0,0,269.954,0.167,0,0,0,45.969,0,0,0,0,22.595,28.096,0.222,1.366,2.979,61.852,3.643,2.683,0.101,0,5.851,2413.898,0.288,0,0,0,0.307,49.984,0,0.144,0,0,5406.603,0,2.587,0,0.144,0.188,49.645,0.432,159.119,39.49,0,0,5.286,367.028,1756.838,4.017,0,0,0,0,0,0,146.231,14.822,28.426,5.174,0,411.857,327.393,4.17,37.082,1181.37,0,112.281,0,323.033,0,0,4.914,0,5639.16,1005.457,0,0,10.212,0,0,0,93.864,111.931,13.833,0,3.866,11.917,16.457,38.499,2912.823,20.994,3102.852,2.642,11.914,0,0.432,0,0,43.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,190.964,707.56,324.903,263.764,0,62.702,680.657,1770.972,621.012,193.542,56.707,67.117,1.56,0.264,2851.607,69.853,0,20.977,31.564,0,312.023,0,0,0,5.376,456.681,0,0,35.3,13.432,12.939,1915.111,24.522,0,12.757,2.427,250.366,1352.583,0,296.31,0,21.591,56.682,0,118.326,204.445,7.214,38.507,650.111,6.11,966.584,0,87.336,193.211,1.908,0,132.314,29.435,5.789,384.401,0,354.045,0,3.843,104.913,0,7.207,15058.414,5.886,0,0,738.761,0,0.029,0,113.695,0,0.084,0,5.406,72.302,1349.332,44.523,35.258,228.338,17.787,144.305,569.383,17867.625,59.112,0.372,1839.393,23.542,179.824,7.227,0,2548.003,240.367,0,0,56.979,2.131,33.906,0,4.187,1056.635,147.467,0,141.995,0.883,183.361,99.458,332.565,14.592,0,60.583,639.94,1.747,6.324,109.534,143.326,4.809,752.241,740.841,0,0.719,3668.212,0,0,0,0,158.112,279.074,16.84,9.412,243.53,0,193.215,0,55.716,0,0,28.278,77.845,1203.638,2392.173,1486.149,5.827,0,35.299,1217.297,992.519,135.16,0,0,0.424,0,0,0,235.944,188.897,117.538,1.489,0,1538.374,803.369,30.226,8.187,314.597,0,351.994,1.005,9842.902,0,0,0,0,2923.44,2612.233,0,0,734.238,3.616,0,66.48,328.814,91.76,4193.077,0,10.886,174.565,12.503,67.792,10076.953,37.694,10167.563,32.696,58.408,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,10.312,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,25.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.617,0,0,0,0,0,0,3.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.506,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.462,0,4.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0.822,0,0,0,0,4.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0,0,0,0,0,0,0,0,0,9.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0.848,0,0,0,0,0,0,0,0,0,0,0,0,0,12.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,63.495,14.097,13.669,0.026,0,0,0,18.316,0,0,0,0,0,0,0,1.215,0,0,0,0,0,0,0,0.796,0,0,0,0,0,10.105,0,0,1.334,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,33.365,1.292,0,0,0,0,0,0,27.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.695,0,0,0,0.27,0,0,0,4.492,0,11.294,0,0,13.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,19.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,7.763,0,0,0,0,0,0,0,0,0,0,0,0,11.133,0,0,0,0,0,0,0,0.165,0,0,0,0,2.964,0,0,0.89,331.698,0,0,0,15.6,0,37.771,0,0,0.326,0,0,0.171,0,6.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,5.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
