"AND","ARG","AUS","AUT","BHS","BGD","BRB","BEL","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CAN","LKA","TCD","CHL","CHN","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FIN","FRA","ATF","GAB","GEO","GMB","DEU","KIR","GRC","GTM","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","LBN","LVA","LTU","LUX","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","ROU","RUS","RWA","SHN","LCA","SPM","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUN","TUR","TKM","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","SCG","DZA","HND","NPL","SDN","SLB","CAF","FJI","PYF","GHA","KGZ","LAO","VUT","NFK","TON","UGA","WSM","LBY","MNG","BDI","GIN","ZMB","AGO","AZE","VCT","KWT","MDG","TCA","GUY","SYR","QAT","ALB","CPV","BEN","GRL","GNB","SUR","UZB","YEM","ARM","CMR","COM","MYT","DJI","MRT","MDA","TGO","WLF","BHR","BLZ","COK","TJK","IRQ","MHL","SOM","LBR","LSO","TUV","ATG","GRD","AFG","CYM","KNA","AIA","BMU","ABW","FSM"
"GRC",0,0,0.388,9.048,0,0,0,0.013,0,0,0,0,0,0,22.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.337,0,0.648,0,0,0,7.327,0,0,0,0,0,1.791,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,166.789,0,0,0,0,1.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,2.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.629,0,0,0,0,0,21.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,8.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,0,0.345,0,0,0,0,0,0,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.279,0,0,0,0,0,0,0,0,0,14.907,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,105.11,682.535,82.769,0,1.563,0,9.56,0,0,0,1274.386,0,0,94.374,0,4.53,1.056,744.055,0.428,0,30.831,34935.448,39.996,0,0,0,0.54,0,4.724,30.688,243.818,0,0,2.702,0,0,0,0.537,0,99.916,636.313,0,0,0,0,6174.883,0,2.496,0,0,0,2424.241,0,60.139,6.64,230.31,637.067,770.511,0,0,21399.723,0,7.295,4.665,0,4397.602,2.413,4.23,0.044,0,324.765,0,16959.426,0,0,1.485,0.073,900.433,0,0,0,0,0,693.201,0,0.03,109.081,0,0,3.501,14.173,35.88,0,0,0,0.005,1617.87,210.537,39.479,0,8.008,9.515,0,0,0,0,0,0,18.885,0,0,0,239.377,7200.946,20.077,6.287,49.393,883.59,0.447,320.062,0,250.804,88.522,841.146,0,220.696,0,131.397,0,17.16,3,2.989,10379.154,0,11749.122,0,8.171,10.434,4.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,2.34,0,2004.873,0,0,0,328.985,0,0,0,11.099,0,0,0,0,0,0,18.498,0,0,1.89,507.403,0,0,0,0,3.161,0,0,446.857,1.858,0,0,0,0,0,0,36,0,20.811,17.829,0,0,4.057,0,7495.621,0,0,0,0,0,0,0,0,0,2.585,0,21.209,0,0,61.212,0.1,0,0,0,23.764,0.068,0,0.053,0,0,0,7.639,0,0,0,0,45.644,0,1,0,0,0,82.554,0,0,0.192,2,0,2189,0,0,0,0,0,0,11,6,0,0,358.607,0.171,0,0,0,0,0,0,0,0,0,0,2.102,553.65,0.924,0,6.206,0.388,0,134,0,40.762,4,1.057,0,0,0,0,0,2.91,0,0,112,0,2178.709,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416,0,0,0,0,0,0,0,0,0,4.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868,0,0,0,0,5.061,0,0,0,0,0,0,0,0,0,0,0,0,17.576,0,22.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,2.397,0,0,0,0,0,0,2.659,0,0,0,0,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,3.089,0,1.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0.349,145.422,0.001,0,0,0,0,0,0,0,36.741,0,0,0,0,0,0,47.473,8.269,0,0,162.025,0.231,0,0,0,0.134,0,0,0.039,28.694,0,0,0,0,1.914,0,0.412,0,0.072,11.644,0,0,0,0,366,0,0,0,0,562.183,96,0.167,0,0,0,0,3.611,0.542,0,7780.942,0,0,0,0,23.61,0,0,0,0,0,0,175.612,0,0,0,0,234.812,0,0,0,0,0,0,0,0,0.026,0,0,0,9.516,0,0,0,0,0,4.774,0,0,0.072,1,1.316,0,0,0,0,0,0,0,0,0,0,3.087,326.062,0.027,0,0.072,0.418,0,462.73,0,0,0.07,55.069,0,0,1.729,0,0,12.69,0,0,37.592,0.893,2342.247,0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,1.945,4.256,0,0,1.2,20.668,0,0,0,6.438,0,0,0,0,0,0,48.422,0,0,0,1.24,0,0,0,0,0,0,0,2.142,257.379,0,0,0,0,0,0,0.445,0,0.006,140.114,0,0,0,0,91.452,0,0,0,0,0,6,0,0,0,0,49.561,275.005,0,0,14.846,0,0,0,0,11.366,0,0,0,0,0,0,34.506,0,0,0,0,16.546,0,32.32,0,0,0,14.302,0,0,2.087,0,0,0,230.13,0,0,0,0,0,0.482,0,10.656,0,2,0.025,0,0,21.202,0,0,0,0,0,0,0,0,0,0,0,0.339,3.285,1.563,7.797,0,29.018,24.875,0,0,0,0,1.715,0,0,0.036,0,349.442,0,465.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0.265,87.064,47.672,0,0,0,14.63,0,0,0,565.889,0,0,0,0,0,0,3.519,0,0,5.26,34.187,0,0,0,0,0,0,0.624,1.711,4.012,0,0,0,0,0,0,0,0,3.28,7.165,0,0,0,0,140.241,0,0,0,0,11.664,80,0,0,0,19.901,0,107.858,0,0.257,9.371,0,0,31.343,0,23.855,0,0,0,0,0,0,0,0,0,0,0,17.558,0,0,0,0,0,14.332,0,0,26.456,0,0,0,2.217,0,0,0,0,0,0,198,0.2,0,2,2.259,0,0,0,0,0,0,0,0,0,0,7.552,4.575,0,0,4.728,1.047,0,86.672,0,19.313,67.598,1.505,0,0,0,0.778,0,0,0,0,77.912,0,13069.697,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,96.719,51.412,308.077,0,5.249,0,621.77,0.52,0,0,441.63,0,0,12.555,0,15.9,0,175.509,4.678,21.09,81.128,500.076,4.442,1.951,25.497,4.229,254.093,285.435,17.051,52.105,164.452,0,74.268,16.059,5.626,87.776,0,0.823,0,146.394,4908.073,0,0,1.072,0,13895.819,0,617.39,2.524,0,126.087,685.571,0.129,37.656,33.725,277.011,139.32,0,10.934,0,30.519,7.2,5.598,406.023,0,62.232,12.632,3.852,4.575,1.786,0,7.309,29.673,0,0.643,15.73,6.201,204.844,0,27.914,6.685,0.242,1.987,4773.255,0,1.317,14.62,0,0,1.403,26.371,0,0.654,1.894,0,29.315,3.885,146.884,428.644,0,81.977,31.488,0,0,0.171,0,0,0,203.533,5.811,0,1.682,14.148,83.055,5.717,0.872,59.156,61.052,0.454,4315.268,0,389.575,363.804,103.902,1.379,62.137,17.769,422.31,0,14.54,1.374,466.59,925.285,4.957,1932.234,14.289,11.201,69.56,23.249,49.958,0.143,0,0,0,0,0,12.759,2.539,0,0,0,0,0,65.402,0,14.694,0,0,1.429,0,3.467,1.161,0,0,1.124,0,0,54.741,25.03,0,1.77,0,0,7.773,0,0,0,0.063,12.314,0,1.751,0,1.663,0,14.761,0,7.128,0,0,0,13.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,14.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",1.385,490.303,3617.064,8912.403,0,1171.001,0,54414.668,4.715,0,2.387,6251.008,0,0,448.412,17.886,8.457,54.962,28979.298,9.609,0,44.095,226623.036,22.431,0,0,16.887,71.797,33.268,1.109,41.356,2846.342,0,0,3.262,0.219,0,0,7757.345,0,17704.868,36255.544,0,2.086,0,0,154436.153,0,0,0,0,153976.385,11849.44,15.128,19807.546,287.122,544.829,11558.946,11354.805,19.275,0,0,7.1,9.882,21.622,23.717,182364.307,3.833,0,29.399,660.704,2469.02,0,57343.168,0,0,43.991,0.167,8355.998,0,81.365,0,0,75.183,9053.863,0,0.946,363.642,0.192,1.254,2.331,1078.15,19.023,12.649,260.625,2.132,36.237,61709.363,359.155,1407.574,0,218.294,574.817,0,0,0,0,0,0,24.326,1.803,4.695,0,1826.483,124164.863,312.941,444.007,111.694,274.072,0,3190.977,0,3469.317,6179.22,17858.102,0.065,2.223,56.56,457.115,0,177.932,1.522,32.884,64632.458,8.919,441759.129,5.457,4.376,3.841,56.515,534.884,2.802,55.702,11.603,0,0,0,1.501,0,0,0,0,0,0,0,0,0,19.706,0,0,3.611,0,0,0,0,0.01,0,15.951,5.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,2.814,0,0,0,0,1.663,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,0,0,0,0,0,0,3.363,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.673,0,0,0,0,0,0,0,0,9.533,0,0,0,0,0,0,0,0,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.863,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,1.894,0,0,0,0,0,0,0,98.322,0,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.435,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,227.368,45.993,17.23,0,0.028,0,16.598,0,0,0,1064.513,0,0,48.339,49.978,0.6,0.26,183.788,96.843,0,29.846,10788.58,27.267,0,0,0.002,0,0.022,0.238,19.887,8.374,0,0,1.388,1.556,0,0,0.676,0,83.414,142.206,0,0,0,0,1649.534,0,0,0,0,26361.739,2695.973,0,195.905,20.449,40.278,204.713,148.841,0,0,42634.897,0.006,0,0,0,0,0,0,0.129,0,0,0,2532.147,0,0,23.007,1.027,1085.535,0,1.985,0,0,0,327.98,0,0,7.705,0,0,0,6.633,1.405,0.586,0,0.126,0.699,419.916,114,7.127,0,1,35.648,0,0,0,0,0,0,0,0,0,0,9.193,14631.984,4.538,33.246,0.2,66.182,0.054,871.579,2.759,29.397,146.13,527.354,0,0,7.454,89.344,0,0.456,0,0,716.393,0,6244.802,0,2.498,6.163,1.108,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0.79,6.553,0,0,0,1.068,0,0,0,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634,4.454,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,5.517,0,0,0,0,6.987,0,0,0,0,0,43.92,6.053,0,0,0,0,0,0,0,0.902,0,0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.05,0,0,0,0,8.799,0,0,0,56.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754.764,0,0,0,0,0,0,0,0,0,0,0,0,867.609,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0.65,0,0,0,57.317,0,0,0,3.821,0,0,0.358,0,0,0,19.957,0,0,0,0,0,0,0,0,0,0,0,1.047,0.701,0,0,0,0,0,0,0,0,0,7.279,0,0,0,0,6.631,0,0.591,0,0,145.753,0,0,0,0.07,0,0,2.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858,0,0,0,1.791,0,0,0,0,0,0.455,0,0,0,0,0,0,0,0.147,1.224,0,0.664,2.438,0,0,0,0,0,0,1.499,0,0,0,0.738,0,0,0,0,0,0,95.774,0,2.068,0.453,0,0,0,0.994,0,0,0,0,0,2.48,0,4.843,0,0,0,0,1.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0.245,301.68,1093.597,698.622,0,0.493,0,6.881,0,0,0,2388.236,0,9.49,98.245,0,17,0,6730.056,6.722,0,0.957,8329.014,0.303,0,1.4,1.539,6.9,0,0,1316.258,256.786,0,0,0,0,0,0,66.823,0,112.439,4687.371,0,0,0,0,179498.654,0,0,0,0,13854.769,2904.046,3.869,777.302,2.53,73.041,436,594.255,0.11,0,37205.582,0,0,29.262,0,9693.832,0,0,20.904,0,1162.714,0,0,0,0,6.24,0,2118.712,0,0.554,0,0,0,23572.927,0,0.06,365.557,0,0,0,493.599,0,0,0,0,5.133,83303.861,218.675,188.171,0,28,18.344,0,0,0,0,0,0,33.374,0,0,0,128.215,58392.165,101.777,9.649,2012.804,234.428,0,2580.375,0,180.966,1245.41,19103.098,0,0,0.009,14.675,0,12.62,0.045,0,4108.668,0,145388.514,0,0,0,71.652,11.453,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
