"ALB","ARG","AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","FRA","GEO","DEU","HKG","IRL","ISR","ITA","CIV","JPN","KEN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","POL","RUS","IND","SGP","ZAF","ESP","SWE","CHE","THA","ARE","UKR","EGY","GBR","USA","JAM","FJI","NZL","SVN","COL","VEN","CMR","IDN","JOR","ROU","SAU","SVK","ISL","FIN","GRC","BFA","HRV","MDG","TUN","TUR","IRN","PHL","LKA","ZWE","COD","MWI","MUS","ZMB","PRT","DZA","OMN","ETH","MHL","PAK","PER","CHL","DOM","SLV","GTM","HND","MAC","LCA"
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,0,5.906,0,0,0,0,0,0,0.601,0,0,0,0,0,843.222,0,6.624,0,5.275,0,1.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.228,55.419,0,0,0,0,0,0,0,0,0,0,209.479,0,0,105.631,0,0,0,0,0,13.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,0,1206.484,507.531,0,893.245,0,0,0,0,0,0,0,0,0,0,22.093,0,0,0,0,0,11.976,0,0,0,0,0,0,0,0,0,508.464,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,0,0,0,0,0,0,0,0,0,0,16.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,4.46,0,6.414,0,0,0,0,0,0,0,34.079,0,0,0,0,0,0,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.808,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,0,0,59.345,565.999,0,0,0,3386,0,0,0,137.455,0,3144.922,0,0,0,0,0,0,112.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.827,0,0,0,0,0,0,0,0,0,24.78,0,0,1.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.884,0,0,0,0,0,0,0,0,0,0,0,12.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.468,4.081,0.721,3.617,4.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",0,0,0,0,7.191,0,0,0,0,14.194,0,4.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.841,0,0,0,0,0,0,0,0,0,0,0,59.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.487,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",0,0,0,0,0,0,0,0,0,0,1683.011,0,0,1116.569,0,0,0,33.242,0,12190.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
