"ARG","AUS","AUT","BEL","BTN","BWA","BRA","BGR","BLR","CAN","CHL","CHN","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","KOR","LBN","LVA","LTU","LUX","MYS","MLT","MEX","NAM","NLD","NZL","NOR","MNP","PRY","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","USA","ZMB","SLV","CMR","FJI","DZA","TCD","BHR","BGD","BIH","MMR","KHM","LKA","ECU","ETH","ISL","IRN","MWI","OMN","NPL","NGA","PAK","QAT","SRB","ZWE","KWT","MAR","NCL","TUN","URY","GEO","LBY","MUS","BEN","PLW","IRQ","UGA","AZE","BOL","SLB","PNG","AGO","TZA","BRN","COD","LSO","LBR","MOZ","AFG","GMB","SDN","YEM","GAB","UZB","COL","BHS","BRB","COG","CRI","DOM","GTM","GIN","MNG","CUW","NER","PAN","PER"
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.428,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,9.557,0,0,0,0,0,10134.588,0,0,0,0,0,0,1.056,0.073,0,0,0,0,1.437,0,0,0,0,0,0,0.15,46.932,0,0,0,0,0,0,0,0,4.805,0,0,0,0,4.81,0,0,0,0,0,137.076,0,0,0,0,0,0,0,0.592,0,0,0,0,0,0,0,0,20.292,0,0,0,0,0,0,0,13.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,3.225,0,0,0,0,0,0,0,25.742,0,0,3.369,0,0,0,0,2.616,0,0,0,0,0,0,3.131,11.552,7.393,0,0,0,2.329,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,1.607,0,0,0,0,0,1.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.818,191.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,0,0,0,0,0,0.261,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,230.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,12.003,0,0,0,0,0,115.799,0.01,0,67.35,0,0,0,0,6.22,0,0.111,7.862,0.099,154.742,567.967,47.6,12.45,38.435,0,0,0,0,0,0,1924.406,0,0,50.576,0,36101.129,1.979,0,0,2.897,0,0,0,0,0,7.384,0,66.123,78.019,0,0,0,0,0,0.871,0,130.093,0,0,0,0,0,2.741,35.687,0,0,12.821,155.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,5740.635,0,239.407,0,0,139.323,0,0,0,0,35528.493,0,0,890.165,0,0,96.862,180.381,7544.475,0,0,4958.549,5.464,13279.466,0,0,9041.883,0,0,0,0,54216.231,0,0,0,0,29176.551,0,0,0,434.472,0,1474.874,0,0,21.842,0.786,0,0,0,0,10.444,1567.861,0,340.304,0,872.561,0,0,0,0,96.631,0,0,0,0,0,16108.293,7572.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0,0,0,0,0,0,1.235,0,0,0,0,0,0,0,0,0,0,0,1.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.034,256.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
