"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","SLB","VGB","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NLD","CUW","NCL","NZL","NIC","NER","NGA","NOR","MNP","FSM","MHL","PAK","PAN","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","ZMB","BLZ","KIR","LBR","VUT","PLW","PNG","SOM","SDN","LBY","SSD","KNA","AIA","LCA","VCT","CAF","GNQ","MRT","SXM","TUV","CUB","TKM","SPM","BTN","BRN","COM","DJI","GRL","NPL","ABW","GNB","TON","WSM","YEM","GUM","ATF","COK","ASM","BES","NIU","NFK","STP","IOT","FLK"
"DNK",83.98,0,0.655,0,0,0,0,41.464,181.014,1449.829,0,0,0,1.695,0,381.56,0,0,2.63,14.745,2.228,0,0,44.35,0,154.108,105.4,1.617,6.091,150.35,0,0,0,6.411,43.059,312.772,0,0.316,0,375.689,0.872,1.171,43.175,316.045,3.943,0,0,0.789,0,0.38,34.064,13.815,19.224,0,326.547,248.197,6.885,0,0,0,0,2867.991,666.373,0,335.255,0,0,0,0,0,12.181,130.149,210.46,86.759,198.567,0,0.188,22.473,49.97,894.885,0,0,298.942,1.56,0,1.427,0,134.32,0,0,0,3.085,0,3.451,6.091,1.204,0,0,63.042,11.906,0,15.441,0,0.022,284.095,0,0,0,0,3.767,1708.731,0,12.224,2848.101,0,0,11.238,0,77.621,62.087,1353.028,0,0,0,2.493,31.388,0.408,20.387,0.244,0,1275.894,586.211,0,9.288,39.921,91.671,0,0,0,26.42,0,5.941,0,0,18.905,103.429,2.971,0.741,337.697,108.629,1235.272,460.205,0,0,2194.105,104.344,0,0,199.058,0,0,0,873.854,0.993,36.145,0,0.367,7.501,0.009,2.672,406.501,0,4695.26,7.511,3.645,4.668,1.552,0,0,2.782,13.936,0,0,11.404,11.213,47.306,5.249,51.417,0,0,0,0,24,0,5.852,0,0,6.133,0,0,0,4.194,0,0,127.115,0,0,254.622,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,212.322,5.074,0,0,0,0,0,0,0,1.207,0.101,0,0.103,0,0,0,0,0,0.2,0.16,0,1380.718,0,0,0,0,3.681,23.976,0,20.857,0,0,28.802,0,0,46.379,0,0,0,0,0.274,11.537,0,0,0,0,0.423,0,0,0,0,0,0,8.151,0,0,0,0,0,0,0,264.933,0,0,0,0.127,5.882,0,0,8.835,0,1.433,0,0,6.95,0,0,0,0,32.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.298,0,0,0,0,0.483,0,0,0,30.982,0.65,0,54.916,0,0,0,1.677,0,0,0,0,3.484,0,6.091,0.686,0,37.501,0,0,0,0,6.817,0,0,0,0,0,1.159,0,0,0,229.952,0.884,3.329,3.325,37.951,0,17.314,0,0,0,1.799,0,0,14.048,0,0,0,13.181,0,6.284,0,0,0.301,0.122,0,0,0,7177.228,0,2.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.301,0,0,0,0,0,0,0,0,0,0,0,0,0,1.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0.677,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.737,0,0,0,0,49.3,0,0,0,11.749,0,0,0,29.975,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.791,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0.668,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0.385,0,0,8.786,0,222.308,4.452,0,0,0,0,0,653.766,0,0,0,0,0,0,0,1.1,0,32.902,0,0,0,0,0,0,0,0,502.351,507.262,0,0,0,0,0,13.786,0,0,2.733,0.333,0,0,0,0,0,0,3.006,1.764,0.143,0,0,0,0,0.044,0,0,0,9.694,0,0,0,0,0,0,0,0,0,497.92,115.947,0.087,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0.009,0,0,1.931,56.787,0,0,3.883,0,0,0,34.073,0,0,0,0,0,0,0,0,0,0.768,2.354,0,0,0.207,742.872,0,0,0,0,0,0.046,0,0,0,0.788,0.004,0,0.654,0.013,0,0.013,0,0,244.736,10.957,0,0,0.041,0,0,0,0.057,0,0,0,0,2.557,0,0,21.53,0,149.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,7.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0.228,0,0,0,0.991,0.478,46.984,8.16,0,1.511,0,0,0,85.548,0,0,6.597,1.276,87.663,0,0,1.776,0,0,1.406,0,0,26.336,0,0,0,0,110.504,65.127,0,0.478,0,0,0,0.437,0.011,1.365,0,113.626,0,0,0.157,0,0.07,4.495,799.663,0,0,195.152,0,0,4.191,0.124,0,559.912,1.713,0,0.242,0,0.047,0,0,0,0,78.934,3.233,0,1.149,0,1.827,0,36.61,39.804,0,0,75.012,8.273,0.053,0,0,13.363,1.933,0,0.316,0,0,28.04,207.215,5.932,0,0,0,24.734,0,0,5.453,0,29.613,0,0,0,0,0.263,0,7.443,43.698,330.315,0,0,6.318,0,0,0.08,120.797,0,0,0,0,0,0,2.267,0.888,0,30.238,31.946,0,39.644,190.902,455.678,0,0,0,5.612,4.639,0.164,0,0,10.281,79.658,48.372,1.152,0,7.574,0,295.603,0,0,1160.854,10.307,0,0,27.992,0,0,0,1.17,0.097,23.23,0,0.959,0.848,47.766,0,134.787,0,1993.099,7.525,0.423,1.698,0.72,19.583,0,0,0,0,0,0,3.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0,0,0
"FRA",0,0,537.239,19.595,54.559,3.439,2.727,79.537,5702.079,1182.083,0,0.022,0,1.121,4.903,10871.683,0,0.045,3.502,0,69.098,0,9.248,2201.568,1.992,14.016,4.255,0.173,113.984,6352.906,23.478,0,0.186,84.337,18.967,55068.902,0,6.751,112.894,141.744,16.704,5413.931,212.616,1367.704,617.089,465.063,0,20.484,9.821,20.286,0.797,14.829,2353.286,0,1881.95,0,51.789,18.669,25.812,30.718,97.859,41324.908,4.796,8.812,1021.951,0.697,1.455,195.871,0,30.871,2.866,735.515,5817.613,0.503,193.241,1.85,0.66,119.649,6370.422,33337.345,853.161,0.199,6763.533,10.549,13.731,738.373,0,13683.638,45.867,0,0,5.775,0,145.978,18109.528,58.715,0,98.737,62.308,1265.968,0,76.883,671.199,19.085,125.663,0,13.082,0.274,0,837.254,3.403,46.259,0.383,11187.808,0,2894.944,7.344,0.745,34.517,45.901,55.167,0,0,0,0.625,11.346,0.188,5.457,68.381,0,5837.636,1028.111,0,12.405,3710.4,4150.638,0.303,0,71.904,449.603,764.754,48.42,2.937,146.246,6681.546,291291.063,623.563,1068.257,123.387,495.851,254.117,8550.721,0,0,8680.158,16181.522,0,0,165.296,205.51,0,0,1111.996,1951.326,29314.958,0,42.068,1013.699,0.021,91.803,23163.783,8.198,17368.514,653.105,0.252,0,0,0.337,0,0,0,0,0,187.65,0,89.426,0,0,0,0,2.195,0,23.013,0,62.667,10.85,0,0.077,0.045,11.372,0,0,196.345,39.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.896,0,0,0,0,0,0,0,0,0,0,0,0,68.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",46.457,0,0,0,0,0,3.806,0,0,0,0,0,0,205.952,0,0,0,0,0,0,0,0,0,59.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.309,205.389,0,0,0,0,32.675,98.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.283,0,0,0,0,0,0,0,0,0.078,0,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.224,0,0,0,0,71.148,0,0,0,0,0,0,0.08,0,0,22.88,0,0,0,0,0,0,0,0,0,0,32.57,0,0,0,0,0,0,0,0,56.618,0,0,0,0,0,0.065,0,26.52,0,0,0,0,0,0,18.131,0,0,0,0,0,0,0,1145.298,0,251.333,0,0,0.001,0,0,0,0,109.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",437.599,143.554,69.059,0,7.44,0,2488.679,143.316,6259.439,108571.891,10.125,0,85.605,5.227,62.307,98188.539,0,22.057,923.62,1.851,3140.62,0,0,25474.181,1.876,1.125,1625.509,7.738,47.699,3699.729,14.198,0,645.622,18.149,440.604,75800.944,0,660.732,15.98,7.231,225.453,1954.522,2396.457,45680.369,80.456,15291.624,0,17.713,96.294,105.549,85.526,45.513,13167.471,0,21719.452,98333.473,5.809,0,50.8,5.859,0.403,0,133.985,3.658,16512.639,24.03,23.021,1.457,0,26.383,1.549,41548.082,149343.166,51.132,249.257,54.818,78.824,9927.672,18083.257,100609.193,14.377,16.612,28280.404,338.106,125.534,31.824,0,13160.374,111.808,4.44,2.899,59.543,0,2432.307,14657.888,6381.819,2.857,25.983,107.953,127453.2,1.695,160.015,954.112,5.819,9269.917,0.471,90.79,268.463,0,2029.939,1.668,192.995,477.448,363359.816,0,2.843,162.097,8.344,48.327,232.352,8930.089,0,0,0,349.199,45.173,25.133,103.301,29717.822,0,248506.537,27576.006,0,305.271,89840.842,15050.523,2.255,0,322.5,1628.593,971.852,14343.159,123.625,41.711,15109.411,7908.432,18562.621,917.173,18004.657,3780.791,25.792,88645.537,0,0.092,41846.541,63068.763,0,1.52,15055.077,59.142,4.258,4.451,2049.814,8818.598,27860.449,0,136.297,3783.603,3290.178,1292.412,58863.892,99.537,64546.942,894.133,56.181,32.848,1.095,29.421,34.084,0,86.206,0,0,10.218,245.709,4.053,56.991,0,0,0,0,46.627,0,0,164.608,0,0,2.385,0,0,0,0.07,1.54,0,0.935,0.27,0,0.102,0,0,0.318,0,11.719,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,162.159,0,0,0,0,0.375,0,6.221,69.771,0,0,0,0,0,0.317,0,0,9.908,0,0,0,0,5467.443,0,0,0,0,0,0.313,0,0,0,0,95.19,0,0,0,0,0,0,263.454,8269.915,0.029,0,6.307,0,0,0,0,0,0,0.589,0,0,1.142,0,0,0,0,0,249.824,0,0,0,0,0,0,0,0,0,0,23.721,0,0,0,0,0.031,405.556,945,0,50.13,0,0,0,0.139,0,1.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,0,0,0.402,0,0,0,0,0,105.709,0,0,0,0,0,0,12.5,0,0,0.195,0,2.635,0,37.501,0,0,779.262,0,0,0,250.875,4.433,0,0,0,10.475,0,22.133,0,0,0,1.073,0.323,2.935,2.812,2.695,0,1106.856,0,0,0,0.319,0,0,8.323,0,0,0,313.945,0,71.405,0,0,16.508,44.629,0,415.39,0,10.163,0,0,0.409,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.616,0,0,0,0,0,0,0,0,32.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,12.988,0,0,0,0,0,0,0,14.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
