"AFG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CMR","CAN","CHN","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GUM","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KWT","KGZ","LVA","LUX","MYS","MLT","MEX","MAR","NAM","NLD","NZL","NOR","PAN","PHL","POL","PRT","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","EGY","GBR","USA","ZMB","NGA","FJI","OMN","VUT","PLW","IRQ","QAT","ROU","ALB","BGD","BWA","LKA","GMB","PAK","PER","SDN","VEN","YEM","PYF","MDG","TUN","LBN","LBY","MUS","SRB","SYR","URY","FSM","BIH","CPV","AGO","BRN","SLV","GTM","ECU","TON","GUY","BTN","NPL","TZA","MDV","LSO","MOZ","SEN","SYC","ZWE","SWZ","BOL","HRV","RWA","WSM","DZA","ARG","BHS","BLZ","CHL","COL","CRI","DOM","GEO","GRD","HTI","JAM","KAZ","SHN","SUR","TTO","COD","MWI"
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,0,4448.287,0,0,0,0,0,166.555,337.566,0,0,0,0,0,0,13.024,0,0,0,2.216,25.905,0,0,16801.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.826,0,0,0,0,0,0,0,103.457,0,0,0,0,0,0,122.481,0,0,0,0,0,0,0,0,0,0,2.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,455.88,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,5.001,0,0.824,0,0,0,0,0,0,0,2.444,0,0,0,0.454,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1.339,0,0,0,0,0,0,0,0,0.157,1.259,0.827,0,0,0,0,0,0,0,25.036,6.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,655.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,6.081,0,1.83,0,0,23.09,1275.161,0,0,74692.671,0,912.064,0,0,0,112.664,505.512,0,6.147,0,70.674,0,0,0,0,0,0,0,1441.218,0,0,5184.816,0,0,0,0,16211.76,7.313,0.67,0,0,0,0,279.256,0,0,0,26.55,86.291,0,27.886,520.493,57.916,0,0,0,71.646,0,1199.311,1.74,0,0,0,13.583,0,38.178,12558.139,0,0,0,0,0,0,0,0,820.802,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533,0,0,28.08,4.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,2923.408,217.244,0,1885.321,12.875,0,0,0,39.574,167061.328,0,0,146.759,0,9549.676,1281.898,38868.784,0,0,0,19089.902,0,0,6636.132,0,0,0,17.967,0,0,0,109040.523,0,0,0,0,27868.459,0,14.511,0,0,93.694,0,4327.662,0,1922.182,0,0,0,0,2.155,14001.484,0,0,0,760.299,0,0,4924.923,45.25,30.842,0,0,1043.835,0,84610.853,26936.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,1.924,11.068,0,0.1,333677.971,0,0,2546.754,0,1825.92,7541.871,55944.052,0,0,0,55428.794,0,0,0,2.391,0,0,613.088,93866.617,0,0,0,0,0,0,0,132.994,0,0,0,0,17.334,0,5945.214,0,115029.389,0,0,6.577,0,36.011,0,0,0.069,0,0,4328.158,0,1359.226,1650.982,250,0,0,0,0,498.066,21435.443,0,0,0,0,0,0,0,0,0,0,2.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
