"AUS","AUT","BHS","BHR","BEL","BWA","BRA","VGB","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ITA","JPN","KAZ","JOR","KEN","KOR","LVA","LTU","LUX","MYS","MLT","NLD","NZL","NGA","NOR","PHL","POL","PRT","RUS","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","CHL","FJI","ROU","SEN","AGO","ZMB","ISR","BMU","MEX","MMR","KHM","ETH","CIV","KGZ","NPL","PAK","SAU","UGA","TZA","UZB","LBN","CMR","COD","MAR","SRB","CRI","QAT","HND","SLB","TUN","SWZ","BGD","SDN","OMN","ECU","GNQ","MUS","NER","ZWE","BRN","MDV","CUW","LSO","MOZ","NAM","CUB","PER","LAO","AFG","TCD","COG","GMB","MWI","SLE","KWT","ATG","ARG","BRB","BIH","CYM","COL","DOM","SLV","GUY","JAM","PAN","TTO"
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,88.555,0,0,0,0,403.83,0,0,5.464,0,0,0,0,94.519,0,0,0,0,0,0,0.937,0,0,312.589,0,0,0,29.688,0,0,0,426.612,0,385.783,0,0.026,0,6.178,0,0,667.641,46.544,0,0,175.257,0,0,0,0,23.285,0,0,0,0,0,0,4.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,2.081,0,0,0,0,0,0,7.866,5.713,0,0,0,0,0,0,0,0,2.323,12.364,0,0,0,11.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0,0,2.971,21.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.307,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,59.459,22.672,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,0,0,0,0,0,0,0,1043.124,0,0,0,0,0,0,138.556,0.804,0,0,0,997.719,0,0,0,0,0,0,1.593,0,0,568.03,0,0,0,26290.518,0.623,0,0,0,0,0,606.031,0,0,1.795,0,0,0,1.131,0,118.303,0,46.178,0,1.047,0,0,0,1.235,0,0,0,0,103.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",7607.352,0,0,0,704.766,0,3.678,0,0,0,0.169,51775.147,0,0,592.103,31.311,0,825.055,63.698,2865.174,0,0,0,1328.893,4.671,0,19162.156,0,9594.388,0,0,0,0,68036.915,0,0,0,47403.946,0,0,0,0,1555.5,11.487,0,0,0,0,3194.279,0,932.292,0,1974.735,0,0,1.331,61.787,0,0,0,0,17373.408,13959.312,0,0,0,0,0,0,0,0,0,0,3.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
