"ARG","AUS","AUT","BEL","BRA","VGB","BGR","BLR","CAN","CHN","COL","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","KOR","KWT","KGZ","LTU","LUX","MYS","MUS","MEX","MAR","NAM","NLD","NZL","NOR","PAK","PAN","PHL","POL","PRT","RUS","SAU","SEN","SRB","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","GBR","USA","ZMB","FJI","VUT","AGO","BHR","MLT","ROU","RWA","EST","DZA","KHM","LKA","ETH","JOR","PRK","MNG","PLW","QAT","EGY","CRI","BLZ","LVA","PYF","CIV","MDG","VEN","ISL","ALB","BGD","BIH","GHA","TZA","YEM","MAC","FSM","KEN","CUB","SLV","COK","WSM","MLI","MNE","BTN","MMR","BWA","MOZ","SLE","ZWE","SWZ","BOL","IRN","OMN","GEO","LBN","NGA","SYC","BHS","BRB","CAF","DOM","GTM","HTI","HND","LBY","NIC","PER","KNA","TTO","COD"
"IRL",0,157.993,4.173,3.748,0,0,0,0,191.789,0,0,1.839,0,0,0.367,1.532,0,0,0,0,0,0,0,17.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.021,0,0,0,0,0,0,206.646,0,0,0,0.337,0,1.219,0.154,0,0,0,0,0,0.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0.239,0,0,542.748,0,0,0,0,0,0,0,146.112,0,0,5.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,0,0,0,337.95,0,78771.331,0,0,0,0,1434.796,109.64,0,0,0,19.367,0,0,0,31222.647,0,22617.261,0,0,0,0,18239.101,0,0.421,14.459,0,0,0,0,0,0,0,16.092,0,614.602,0,0,0,0,173.985,0,0,0,0,187.884,0,2165.075,0,0,0,0,4476.727,0,20439.297,0,0,0,0,0,1.808,188.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0,10.156,0,110.351,0.987,0.256,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,515.831,0,2705.833,0,0,0,0,30.282,126614.737,0,3.539,3.268,8829.196,2792.538,46317.732,0,7403.392,0,8073.652,0,0,65.255,0,0,66229.53,0,1.2,0,0,85787.581,0,1.04,0,0,3634.839,0,1419.638,0,0,16589.551,8.851,0,19.751,0,0,0,0,7156.42,0,0,0,2760.781,99.862,0,776.945,42.835,0,0,0,2967.254,63931.076,77456.345,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.178,0,0,0,0,25.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,98.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,12.54,0,120,79488.513,0,0,0,0,0,419.687,0,1236.085,0,0,1327.762,0,382.894,20276.453,0,0,0,0.936,0,0,0,0,0,0,0,0,0,0,0,0,3721.25,0,0,0,0,0,0,70.857,360.964,0,59.94,0,0,0,0,1227.218,412.5,0,0,0,793.746,3.787,7965.265,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.23,0,0,0,0,0,0,0,0,124.198,0,2.396,0,0.701,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.147,0,0,239.424,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,504.571,0,111.937,0,0,0,21.25,0,0,0,0,0,0,0,0,0,4.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.977,0,0,0,0,0,0,19.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,646.601,0,0,0,0,0,0,0,0,0,0,0,0,0,61.368,0,119.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.859,0,0,0,0,0,0,0,0,0,0,0,0,0,18.41,0,0,0,0,1.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,18.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
