"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","COL","COG","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","KNA","LCA","VCT","SMR","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","THA","TGO","TKL","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","SLB","CXR","CCK","KIR","NFK","TON","BDI","GUM","TCD","COD","GNQ","RWA","SUR","KGZ","GNB","TCA","MYT","GIN","LBY","TKM","COM","DJI","SPM","WLF","CYM","ATF","TJK","VUT","COK","LSO","NIU","MHL","TUV","STP","FLK","FSM","PLW","AIA"
"DOM",0,0,0,0,0,0,0,0,5.958,15.156,0.162,0,0,0,0,0,0,0,0,0,0,57.513,0,0,0,0,0,0,0,0,70.824,0,0,0,0,0,21.004,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5.948,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.837,0,0,0,0,0,0,0,0,0,2.262,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.164,1.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.493,0,1.567,0,0,0,0,0,0.926,0,0,0,0,42.121,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.109,0,0,0,0,0,5.539,0,4.05,0,0,0,0,0,0,0,0,0,0,9.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,1.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.575,0,0,0,0,0,0,0,0,0,0,0,0,0,32.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.753,0,0,0,0,0,1.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.229,0,0,0,0.663,0,0,0,0,0,0,0,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,13.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0,0,0,0,0,0,0,0,0,0,1.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.223,0,0,0,0,2.071,0,0,0,0.078,0,0,0,0,5.62,0,0,0,0,8.001,0,0,0,0.942,0,0.048,221.779,0,68.713,0,0,0,0,0,0,0,0,852.124,27.784,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,102.375,0,0,0,0,4.553,0,0.486,0,0,0.831,19.514,0,0,0,25.251,0,0,0,156.024,0,36.921,0,0,0,0,0,0,0,0.048,44.446,0,5957.399,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,28.041,0,0,0,0,0,0,0,4.067,0,0,0,0,219.041,0,0,0,0,0,0,0,0,0,0,11.661,0,3.262,0,0.283,0,0,0,0,18.14,10.645,0,5.707,0,0,0,0,0,0.17,0,9.752,0,0,6.986,0,1.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,2.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0.307,0,0,0,0,0,10.215,3.817,119.347,133.473,0,0,0,1.225,0,53.892,0,0.34,0,0,118.911,0,0,0,5.544,0,12.191,0,198.224,64.39,0,0,0,13.62,2093.192,3.939,0,63.685,215.183,0,0.262,409.424,0,493.022,0,0.232,15.546,0,0.917,0,579.458,0,0,1694.318,0,0,0.852,0,0,5776.859,0,0,61.188,0,0,12.077,0,0,0,322.816,2009.047,14.128,29.981,184.747,0,37.936,167.597,435.584,0,0,2600.663,36.197,25.577,0,0,916.743,13.405,0,7.317,631.357,0,69.682,147.259,106.13,0,0,95.857,0,0,3.12,0,6.015,99.823,157.38,7.135,0,0.687,0,0,2.74,0,0,2548.222,0,0,0,43.336,24.146,0,2.558,139.503,0,0.224,0,0,0,41.177,17.605,1169.684,113.244,0,0,97.082,6791.137,4.501,6.037,0,0,503.2,1.265,0,0,599.247,937.787,177.391,155.573,24.362,0,48.205,0,346.007,0,0,5989.624,839.793,0,30.658,0,0,0,98.048,5.827,7.748,0,22.363,16.645,4.473,3891.224,9.645,8132.288,0,0,0,31.052,0,0,12.828,70.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",10.187,2.264,2408.239,0,284.463,104.131,0,0,109.193,5089.521,3162.474,0.161,1.132,0,0.858,0.011,18544.744,0,0.944,4.188,11.319,2354.241,0,0,0,117.244,0,2.264,3.396,410.072,4467.919,8.548,38.483,8.244,54.314,6991.974,80.55,222.977,28.221,227.035,1.318,240.419,880.628,151.67,928.15,1.874,3.396,19.029,0,269.352,0.436,740.336,0,789.499,0,916.808,510.47,15.926,112.054,0,24344.319,3.396,0,1293.656,0,0.108,253.509,1.132,2.264,8.925,2889.644,850.751,20.88,31.199,650.38,0,217.318,1337.861,12105.34,673.418,14.955,6954.647,193.548,61.121,53.999,10.187,3361.062,38.675,0,207.821,11.458,0,9.957,645.598,2.241,144.826,0,1017.544,0.205,178.749,36.985,61.086,163.092,7445.874,2.119,0.217,0,1366.025,86.022,3.396,3.396,0,0,10323.615,1.132,0,967.775,126.809,1.142,96.071,289.757,1634.263,0,4.527,5.659,0,12.381,89.831,1426.159,1628.75,2995.378,0,417.657,202.603,2197.818,0,5.384,65.145,0,518.393,648.631,2.881,2.264,1110.021,5305.337,27.768,1376.839,256.504,0,324.844,0,19635.614,12.45,0,2677.712,4656.783,22.511,2572.988,227.989,0,27.556,622.525,965.628,11600.442,6.791,324.042,25.839,1384.528,20218.864,23.769,18572.052,153.579,4.29,0,52.066,0,22.637,113.186,15.848,0,0,0,0,0,0,0,0,43.011,54.329,22.637,36.588,0,0,4.527,0,67.512,72.439,4.527,19.242,32.824,27.165,2.264,6.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,5.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",27,152.171,1862.754,0,8.491,12,6,105.523,560.924,8276,73498.318,16,290.118,7.032,39.255,4.314,44577.699,14,45.62,564.236,0,3461.594,156.791,0,41.242,1664.364,4,74.5,80.863,19.432,3913.466,5,1,69.49,2095.845,62586.557,308.789,0,642.391,4036.462,213.157,285.965,23395.124,3,43528.211,0,19,58.014,12,19,1,1641.161,0,18848.091,108694.692,6.86,1,23,0,6,0,18,339,10682,5.236,0,71.947,0,0,1.11,21077,17722,556.9,674.944,3937.773,716,7402,5065,96469.549,14.013,38.866,31989.013,800.072,256.202,35,262,23686.44,657.033,0,1426,4551.732,0,1383.204,2987.26,23.483,3.541,0,1777.849,22.023,108.596,919.974,2,35.906,6987.1,26,182.308,0,908.728,19.386,260,9.622,0,4,61870.527,0,1,7.309,764.29,5,4.067,314.404,7609.484,0,202.205,25.879,7,572.105,50.179,283.79,38747.466,16646.283,7,429,1350.654,18000.293,0,0.269,0.029,0,4135.212,7.015,44,166,3842.127,10397.987,5499.667,1714.772,2835.713,0,6177.966,89,48981.266,169.055,0,27114,55916.261,267.438,5409.297,4,29,139.257,4684,795.579,13571.174,10,9097.428,455.067,1624.283,109150.666,62.592,218454.096,3.061,180.378,282,249.487,0,36,1073,18.507,0,0,0,5,0,0,20,0,10,9,15,35.136,2,1.98,0,0,0.875,7,85,15,0,0,0,0,1,14,45,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,3.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,26.895,0,0,0,0,0,0,0,20.659,66.14,0,0,0,0,0,43.1,0,0,0,0,0,0,0,0,40.67,0,0,0,0,0,0,0,0,0.314,22.448,2.762,1.13,0,5.8,0,352.031,4.548,0.961,0,0,0,0.046,0,0,0,0.132,0,0.512,88.959,0,0,0,0,0,85.072,0,0,0,0,0,0,0,0,0,0,2,0.134,0.283,0,0,4.788,120.197,8.644,0,0,41.736,0,0,0,0,1.828,7.686,0,0,0,0,1.531,2.876,0,0.141,0,0,0,0,2.261,0,0,0,0,0.107,0,12.723,0,0,0,0,0,26.205,0,0,0,0,0,0,2.204,175.086,0,0.181,0,0,0,1.795,0,0,0,0,0,25.023,2.31,0,0,0,0,13.047,0,0,0,0,0.889,0,0,0.714,0,0.697,0,7.871,0,0,0.124,6.984,0,0.156,0,0,0,7.11,3.593,31.951,0,15.61,17.265,0,60.869,0.885,496.221,0,0,0,0,0,0,68.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,4.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,14.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,13.941,0,0,0,0,0,24.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.414,0,0,0,0,0,1.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,89.004,0,0.598,3.986,0,7.361,21.097,9618.211,114.6,0,11.037,52.197,3.41,1.395,364.913,0,0.076,0.054,0,567.836,0,0,0,35.982,0,0,4.76,34.999,409.095,0,0,105.819,60.528,181423.181,76.196,5.701,108.549,291.777,0,70.325,143.473,0,141.177,0,18.528,11.951,11.605,0.481,0,1.417,7.13,288.269,2151.281,10.425,0,12.574,0,0,4905.924,21.14,0,32.534,0,2.054,3.703,0,0,3.605,0,927.707,5.387,77.512,16.286,0,2272.388,3939,329.079,6.48,1.937,12436.002,11.509,272.6,2.568,0,12983.022,244.483,2.568,10.325,15.915,0,13.475,181.521,155.369,2.992,0,2268.095,7.952,0,24.633,0,10.991,503.536,76.558,0,0,46.109,0,0,0,0,8.086,1812.332,0,0,0.668,515.244,0,0,7.764,194.858,0,61.938,39.414,0,0,11.909,535.275,4883.52,145.763,0,0,37.83,214.871,0,0.109,0,0,719.098,0.038,0,0,1160.892,19793.69,98.346,217.67,105.247,0,500.828,0,180.615,0,0,5563.016,951.938,209.637,8269.158,0,0,0,3206.884,6.121,1625.649,0,3.424,0,468.3,4472.205,0,12249.955,0,3.138,11.477,47.048,0,7.761,10.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.109,0,0,0,0,0,0,0,0,5.886,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,4.416,0,0,0,0.177,265.482,8407.708,0,0,0,0,0,72.489,0,0,2.562,0,4.269,0,0,0,3.875,0,0,0,0,16,0,0,0,0.714,62.543,1.526,0,0,28.801,1.988,3.113,41.578,0,20.49,0,0,0,0,0,0,52.542,0,81.069,738.787,0.379,0,0,0,0,3718.545,0,0,0,0,0,0,0,0,0,0,0,0.555,0,0,0,68.855,23.363,189.889,21.145,0,153,0,0,1.121,0,1307.14,34,0,0,5.696,0,2,0,0,0,0,0,0,0,0,0,0,109.976,16.283,0.199,0,1.687,0,0,0,0,0,1786.812,0,0,5.973,10.409,0,0,1,58.941,0,0,0,0,0,0,0,309.64,0,0,0,485.465,77.072,0,0,0,0,0,0,0,0,19.68,2536.934,160.761,0,57.778,0,32.07,0,116.854,0,0,96.204,933,0,705,12,0,0,0,0,5.691,0,306.106,1.767,0,493.529,0,209.427,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
