"ASM","AZE","ARG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","KEN","KOR","LVA","LUX","MYS","MEX","NAM","NPL","NLD","NZL","NOR","PER","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","URY","FJI","PNG","HRV","GHA","JOR","PRK","SYC","SCG","ISL","CMR","CRI","MDG","MAR","TGO","TUN","DZA","GRC","PRT","KHM","CUB","ALB","BGD","LKA","PHL","AGO","BOL","UZB","OMN","BRN","BWA","MWI","MOZ","TZA","ZMB","SDN","BHS","CHL","COL","DOM","ECU","HND","NIC","PAN"
"KOR",0,0,0,0,0,0,0,0,0,0,0,275.082,0,0,0,0,1.825,0,0,0,9.512,0,0,0,169.231,3090.677,0,0,0,0,0,0,0,0,0,0,156.85,0,0,0,0,0.19,0,15.799,57.846,0,0,0,0,0,0,0,0.04,0,0,540.576,0,74.932,1974.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,5.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.733,0,0,0,0,104.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,5.721,0,0,0,0,0,0,0,0,4.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,0,0,0,116.389,0,0,0,0,1.029,0,0,0,0,0,4.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,0,0,1.006,0,0,0,0,0,0,0,0,0,0,0,0,43.043,0,0,0,0,0,0,0,0,0,0,0,0,23.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0.028,0,0,0,31.242,2.198,0,0,0,0,0,1379.903,0,0,2.363,191.747,0,0,0,0,0,0,0,0,0,788.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.526,0,0,0,0,0,0,21.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
