"AFG","ALB","AZE","ARG","AUS","AUT","BGD","BEL","BOL","BRA","BLZ","BRN","BGR","BLR","KHM","CAN","LKA","CHL","CHN","COL","CRI","HRV","CUB","CZE","BEN","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GRL","GIN","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","LTU","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PER","PHL","POL","PRT","ROU","RUS","RWA","KNA","LCA","VCT","SAU","SEN","IND","SGP","SVK","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","TTO","ARE","TUN","TUR","UKR","EGY","GBR","TZA","USA","BFA","UZB","VEN","YEM","SCG","ZMB","PRY","SUR","URY","MMR","FJI","LAO","MDV","PNG","VNM","TON","UGA","DZA","BIH","COD","CYP","HND","JAM","SYR","MKD","BDI","GAB","GMB","GTM","LBN","MRT","SYC","GUY","NIC","CAF","BHR","KWT","LVA","MOZ","COG","ETH","AGO","CMR","TCD","COM","GNQ","HTI","NCL","SPM","TGO","WLF","AND","VGB","ERI","KAZ","LBY","GNB","QAT","SDN","TJK","BRB","MNG","MHL","MNP","COK","CPV","ARM","KGZ","BTN","NPL","FLK","SOM","ATG","BHS","BMU","CYM","GRD"
"JOR",0,0,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,2.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,313.1,61.49,68.061,0,0,0,1057.07,0,0,0,0,0,202.724,0,0.64,1727.695,34.08,0,0,0,2.726,0,150.267,0,0,0,0,0,92.671,312.995,0,0,233.836,0,0,0,0,0,13813.91,6.468,1.225,287.955,10.854,0,0.771,99.726,0,71843.465,0,0,0,0,0,0,0,0,412.405,0,0,0,662.77,0,1.889,0,1312.246,0,114.958,0,60.703,0.771,1.454,0,4.04,1129.267,300,1.668,16,1.993,0,0,0,0,2.727,0,22.511,11104.669,8.541,6.643,42.645,0,21.99,7.905,4.41,659.984,0,0,13.242,19.421,0,0,426.994,0,6541.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.959,0,0,0,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.073,0,0,0,0,0,0,0,0,71.925,0,0,0,0,0,0,0,5.148,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.229,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0,6.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068,0,1.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,10.104,1115.379,1283.637,0,8096.105,0,347.18,0,0,0,0,0,3539.247,0,0,337.865,0,0,3.915,0,103.844,0,302.836,0,0,0,0,1.277,579.24,4431.345,0,15.568,13708.505,0,0,0,0,0,9693.348,187,1.418,74.62,0,84.225,0,432.75,0,37917.162,0,0,0,1772.749,0,0,0,0,0,0,3.042,0,575.349,0,0,0,163.71,0,845.235,0,4.058,208.942,0,0,0,507.411,296,114.312,0,5.115,0,0,0,0,8.516,0,345.583,61998.846,16.054,9.551,489.298,0,580.79,9.248,33.607,791.455,0,131.81,0,0,0,0,2396.615,0,137820.596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,0,0,0,1.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",0,0,0,0,0,0.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,0,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.978,0,0,0,0.647,0,0,0,0,89.946,0,0,0,0,1.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,30.196,49.221,27.376,0,210.146,0,16.819,0,0,0,0,0,686.975,0,13.21,6.196,0.592,0,1.756,8.589,0.626,0,106.487,0,0,3.252,1.308,0,217.452,1710.514,0,0,906.732,0,0,0,0,0,0,0,0,0,0,1.235,0,385.614,0,133.527,0,0,0,15.514,0,0,0,0,0,0,0,0,0,0,0,0,10.319,0,30.12,0,0,0,0,0,0,609.792,0,0,0,0,0,0,0,0,0,0,0,1.309,0,5.971,2.973,0,56.422,1.712,24.871,27.351,0,0,0,0,0,0,6.258,0,32156.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.685,5.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,1.172,0,0,8.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.193,0,0,222.287,0,0,0,4.163,0,0,0,0,1.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716,0,0,0,0,0,58.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,12.117,46.138,60.038,0,2524.269,0,54.534,0,0,1.007,0,0,205.293,0,11.531,6.361,6.292,0,3.222,0,31.428,0,1019.288,0,0,0,0,0,56.912,3491.621,0,0,7196.687,0,0,29.455,0,0,253.17,73.144,0.876,0,0,197.126,558.659,869.705,4.681,13.572,0,0,0,0.75,0,0,0,0,38.435,0,0,0,31.126,0,19.465,5.699,0,0,4.41,0.534,7.362,41.14,0,0.694,42.132,0,167,309.816,13,6.496,0,0,0,0,0,0,0.68,12.103,9.928,5.816,25.68,84.892,479.958,1031.559,190.513,31.124,1.146,501.1,1.923,88.476,0,13.648,1201.549,1.987,4637.666,0.741,0,9.205,0,23,0,0,67.556,1.675,0,0,0,0,0,0,0,78.406,0,0,0,14.911,0,0,0,5.672,0,4.403,0,0,0,0,0,0,0,0,0,0,2.083,0,0,2.317,22.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,2.843,22.873,13.662,0,0,0,0,0,0,0,0,0,29.282,0,0,4.86,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,60.695,0,0,0,0,0,0,0,4.831,0.916,0,1.357,0,1.155,0,2.606,0,0,0,0,0,0,0,0,22.524,0,0,0,11.989,0,0,0,21.594,0,0,0,0,3.563,0,0,7.368,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,3.189,3.885,0,0,1.61,199.011,0,0,0,0,0.61,0,0,1.476,0,55.276,0,0,0,0,0,0,0,0,0,0,17.853,0,0,2.326,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.283,7.661,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,7.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,2.163,0,0,0,4.712,0,0,0,0,0,66.516,0,0,0,0,0,320.437,694.325,0,0,467.554,0,0,0,0,0,6.464,0,22.777,0,0,0,0,36.214,14.429,1.24,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,5.395,0,10.37,0,0,0,0,0,3.224,30.704,0,0,0,1.552,0,0,0,0,0,0,0,10.106,0,0,0,0,3.267,1260.556,32.112,0,0,0,0,0,0,0,38.453,2.343,18.568,0,0,0,0,0,9.705,0,0,0,0,0,0,196.793,0,0,0,100.945,0,0,0,0,0,0,0,0,0,0,4.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.183,0,0,0,0,0,0,0,0,0,0,0,0,3.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",0,0,0,78.492,151.532,2364.128,0,0,0,329.6,0,0,0,0,0,877.086,0,0,245.138,0.636,0,0,0,188.83,0,0,0,0,0,0,0,552.356,155.019,0,0,17075.776,0,0,0,0,0,3856.467,4,0,0,0,21.416,0,2.907,0,5685.418,0,0,0,2474.648,0,0,0,0,723.134,0,0.976,0,325.304,0,0,0,183.215,0,61.802,0,0,77.541,0,0,0,0,829,0,0,28.835,0,0,0,0,0,0,4.018,14142.422,88.61,0,67.468,0,735.446,30.28,38.809,272.672,0,0,3.96,112.07,0,0,20333.734,0,82059.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.714,0,0,0,0,0,2.168,0,1.4,0,2.72,0,0,0,0,0,0,5.668,0,0,104.344,0,0,0,0,0,0,0,0,0,0,0,0,15.321,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,2.309,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5.645,0,0,0,5.487,0,0,0,0,0,0,0,33.185,0,762.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRT",0,0,0,2.697,0,38.42,0,1.292,0,8.436,0,0,0,0,0,2.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.654,0,0,25.844,0,0,0,0,0,0,1,0,0,0,0,0,1.697,0,0,0,0,0,0,0,0,0,0,6.838,0,0,0,228.432,0,0,0,3.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.085,0,0,3.292,0,0,0,1.218,0,0,0,2.592,0,0,0,10.399,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,18.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.642,0,0,0,0,0,0,0,0,8.818,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,25.742,8.197,0,0,0,0,0,0,2.1,0,0,2.214,0,0,279.759,0,0,0,0,5.013,0,0,0,0,0,0,0,533.323,16.793,0,0,435.582,0,0,0,0,0,24.706,0,0,0,0,0,39.567,237.914,0,8.786,0,21.934,0,21.616,3.693,0,0,0,0,0,0,0,0,14.726,12.272,0,0,0,0,0,0,1.113,0,0,0,0,7.404,1.534,0,0,0,0,0,0,0,0,109.077,9.635,0,0,27.478,0,170.434,8.557,1.224,0,0,0,0,0,555.135,0,18.951,0,559.767,0,2.509,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,262.889,0,0,0,0,0,17.716,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.951,0,0,0,0,0,0,0,0,0,0,0,198,3.106,0,0,0,0,0,0,0,0,0
"RWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
