"AFG","ALB","DZA","AND","AGO","ATG","ARG","AUS","AUT","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CYM","LKA","CHL","CHN","CXR","COL","COG","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","EST","FJI","FIN","FRA","PYF","GEO","GMB","DEU","GHA","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NOR","FSM","PAK","PAN","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","VEN","WLF","WSM","YEM","SCG","ZMB","BFA","ETH","AZE","SLB","BDI","GIB","KIR","LBY","MDV","VUT","PNG","SUR","BHS","MDA","NGA","SDN","COD","GAB","GIN","RWA","GUY","UZB","CAF","BEN","GRL","GRD","ABW","VCT","BLZ","MNG","SOM","GNB","CPV","BTN","TCD","MRT","COM","MYT","DJI","LBR","SPM","ERI","GUM","IRQ","AIA","TJK","TKL","PSE","MNP","COK","NIU","TON","MHL","KNA","FLK","TCA"
"FIN",0,0,0,0,0,0,2.52,0.107,4.61,0,11.772,0,0,1.679,0,0.265,0.154,0,11.23,0,0,0,0,0.196,0,9.418,51.969,0,11.28,0.985,40.864,0,1.013,21.19,0.258,0.536,0,0,1.855,162.662,0,0.031,5.808,4.637,0,642.701,0,0,1039.538,0,0,0,1285.493,0,64.863,10.316,428.989,736.749,2450.065,230.956,0.306,0,0,2.603,24,21.506,0,0,52.224,43.555,32.314,25.135,0,0.047,0,0,0,0,30.21,21.553,0,0,0,0,230.13,0,0,0,268.585,0,329.974,5.116,27.686,0,0,7.063,1637.548,0,0,0.011,0,21.091,211.397,0,26.828,0,0,0.085,56.844,816.581,2.857,0,0,0.325,922.833,0,0,0,0,262.165,2.444,0,41.458,5.21,0.494,3.76,2.36,0.005,5.046,0,20.099,0,637.613,176.034,0,68.73,0,0,238.921,0.026,7.865,88.286,18.617,268.237,0.057,0,1004.095,109.235,202.677,0,45.114,0,0,0,0,0,0,1523.393,0.488,0,43.195,0,0,24.432,0,0,0,0,0,2.005,0,101.977,0,3.798,28.477,0,0,1.149,9.297,0,0,0,0,0,0,0,0,23.731,0,5.398,171.839,39.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",3.733,0,1392.048,0,0,0,105.468,23.641,2840.817,0,0,0,0,1139.906,0,0.948,8.17,0,437.082,0,0,61.414,2.488,20.8,13.687,20.192,148.944,0,1.366,359.517,3846.357,0,203.982,89.585,14.423,10.796,233.918,169.494,117.66,378.102,0,63.387,6.629,0.622,335.945,2.944,23.641,12146.888,0,366.38,0,88.244,96803.161,38.425,19.529,0,11.198,13.944,1627.406,178.863,4.329,78.387,381.908,1144.973,1099.058,12500.613,96.072,0,1196.367,5.477,2.372,1038.788,0,397.856,0,0,9.954,9.954,1.244,1.689,2500.272,0,121.206,69.678,482.448,567.726,126.975,4.004,269.135,0,1550.676,32.35,20.224,0,0,0,6202.548,0,452.395,25.692,18.227,126.146,17.536,0,10.498,0,0.719,21.152,6.168,550.573,3450.385,0,0,300.209,339.822,0,0.289,0,0,187.881,956.103,0.006,11.198,617.92,4.977,251.881,11.731,109.842,725.496,5.991,20040.97,0,473.615,2202.548,497.697,456.685,2.725,26.492,19.908,627.2,107.702,0,87.827,2.245,4.629,47.94,2685.755,115.767,14821.203,2.488,175.102,1.042,0,0,0,198.623,792.336,112.869,0,0,0,0,0,428.019,115.658,0,0,0,0,0,114.47,166.728,114.47,143.822,8.71,26.129,0,0,18.397,27.695,0,0,0,0,0,3.733,0,39.816,8.349,0,456.637,21.152,6.607,5.635,58.479,42.304,11.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,1.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",1,0.95,61,0,385,0,234.702,2184.104,88568.509,7.893,1.568,0.923,0.906,20247.302,0,8.015,14.506,0,8082.149,46,0,2607.979,0,434.851,0,16.037,9260.898,0,222.185,156.271,49986.725,0,50.334,2,13.769,224.243,81.936,10425.532,71685.872,6641.269,0,5.935,8.267,111.034,0,11106.198,0,11945.492,68361.894,2.288,0.223,14.991,0,53.245,3613.041,17.353,0,2.699,15688.435,42518.857,49.404,748.729,240.139,13808.569,3967.298,108733.822,11.889,26.948,34915.631,12.63,6.245,412.432,19,8963.657,11,0.22,6,15.958,125.608,521.905,16773,6,13.403,9.799,151356.205,426.924,513.542,3.654,2884.534,0,163.546,6.604,454,51.904,0,0,74805.162,0,3.584,162.616,1.585,15.913,1425.312,0,31.818,35.129,0.142,36.874,19335.661,7356.259,41567.337,2,56.352,1936.98,5117.821,0,0.602,0,2,259,0.481,0,13,12533.832,2062.688,1614.45,8.653,9428.506,46767.693,5.645,117175.023,0,43317.695,39771.695,110,5335.768,3,14.034,515.574,959.512,3300.676,4,27,595.176,11.385,656.028,49142.169,47.98,37889.326,1.905,37.316,0,2,54,123,253.83,64,1041,0.252,1,0.672,0,0,802,2.595,1,0,0,0,9.123,15,43.259,11,5.929,8,17.583,29.557,1,0,0,0,0,0,1.217,0,2.867,0,0,0,0,18,47,0,0.396,0,33,0,146,3,2,1,3,1,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,60.864,11.686,0,0,0,0,159.151,7.139,0,0,0,0,0,0,0,0.148,0,0.226,0,0,7.358,0,4.9,0,0,0.001,0,0,0,0,0,0,0,0,0,52.731,113.814,0,0,0,18.876,0,0,0,0,0,0,24.189,0,0,0,284.658,0,0,0,0,0,0,0,0,0,0,0,0,328.809,0,0,0,0,2.372,0,0,0,0,0,0,3.475,0,0,0,0,0,0,0,0,0,0,0,0,73.655,0,0,0,0,0,0,0,0,10.269,0,0,0,0,1.019,0,0,0,0,8.05,0,0,0,154.49,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,23.481,0,12.295,0,13.529,8.112,0,0,0,0,0,11.632,0.581,0,134.995,0.149,0.156,0,0.002,0,3.88,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,0,0,0,0,0,0,0,0,1.579,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,1.752,0,2.106,0,1049.033,1063.803,100.041,0,1.429,0.185,0,396.112,360.061,0.876,0.234,0,1456.28,0,0,180.126,0,17.877,0,0,581.654,0,1.455,6.711,46126.71,0,79.106,0,0,10.885,4.206,4.494,540.886,830.028,0,1.213,0.101,0.029,0,10.89,0,214.861,1099.937,0,0,0,18009.741,0,11.05,0,0,0,0,99644.441,11.745,124.465,42.124,158.009,3055.788,1052.065,0,0.428,35568.058,0,77.78,0.184,0,14909.011,12.472,0,0,20.014,70.368,3.776,0.872,1257.301,0.205,0,11249.715,0,1.337,1.02,2395.016,0,0,0.012,0,0,0,0,304.577,0,0.419,346.672,0,0,18.813,0,134.019,0,0,2.417,3188.962,171.343,21.547,0,0,89.845,14.202,0,1.889,0,0,139.769,0,0,0,1063.203,12219.418,94.383,55.576,34.34,931.414,440.379,1065.304,0,1003.704,987.491,73.318,3976.945,0,0,69.4,2.862,565.511,0,31.899,56.779,1.216,61.291,4642.784,0.888,6208.635,34.312,0.155,0,0,0,38.597,6.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,30.318,0,0,4.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0.597,929.054,0,0,0,0,2,0,0,0.238,0,184.522,0,0,0,0,0.3,0,0,6.373,0,0,2.688,566.545,0,0,0,0,6,0,0,52.481,5,0,0,0,0,0,183.015,0,20.602,174,0,0,0,48508.273,0,1,0,0,0,18.128,0,0,0,0,5684,15.599,335.43,0,0,1438.406,5.505,0,0,0,2380,0,0,0,0,0,0,874,0,0,0,47,0,0,0,41.889,0,0.336,0,0,0,0,0,1629,0,0,0,0,0,1.731,0,0,0,0,13.51,0.92,108.899,14.093,0,0,1560.147,41.228,0,0,0,0,0,0,0,0,0,62.215,643.635,0,1,48.002,0,2980,0,8,33.064,0,3,0,0,0,3.242,727.912,0,0,7,0.092,0,1238,0,2083.639,0.43,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,1.094,0,0,0,0,0,0,0,0,0,0,0.648,0,0,0.317,0,0,0,0,1.801,0,0,0,0,0,0,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,0,2.489,0,0,0,1.708,0,0.359,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,3.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0,0,0,0,0,0.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,1.306,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,1.29,621.883,46.388,0,0,0,0,0,0,0,0,0,118.914,0,0,0,0,0,0,0,180.592,0,0,2.735,2416.791,0,7.143,0,0,0.322,0,0,10.382,0,0,0,0,0,0,0.532,16.515,0.099,16.798,0,0,0,637,0,0,0,0,0,1240.375,0,0,0,0,0,37,14.53,0,0,39437.324,0.073,0,0,0,217.336,44.352,0,0,0,0,0,0,0,0,0,143.324,0,0.144,0,337.277,0,4.788,0,0,0,0,0,14.918,0,0,4.712,0,0,12.282,0,0.218,0,0,0.241,3.824,32.954,0,0,0,57.211,15.724,0,0,0,0,0,0,0,0,0.222,2705.518,2.315,0,0,1.38,0,71.99,0,0,12.515,0,71.321,0,0,35.328,0,10.416,0,0,0.152,0,0,27.363,50.953,1574.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,1.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,23.978,0,7.864,24.427,0,0,0,7.117,76.474,0,0,0,0,10.752,0,0,2.99,0,0,0,0,280.707,0,0,0,0.18,0,0,0,0,2.2,0,0,9.165,10.998,0,0,0,0,0,0,0,15.886,1021.336,0,0,0,287.107,0,0,0,0,0,18.851,56.187,0,169.417,0,0,311.615,1717.24,0,0,20.626,0.031,0,0,0,7.972,0,0,0,0,0,0.198,0,0,0,0,2.935,0,0,0,22.958,0,0.278,0,0,0,0,0,36.444,0,0,0,0,0,43.662,0,7.106,0,0,0.007,0,28.11,0,0,0,0.305,6.433,0,0,0,0,0,0,0,0,4.636,48.319,0.978,0,0,2.413,0,23.19,0,1.599,25.143,0,0.373,0,0,0,0,4.191,0,0,0,0,0,145.299,0,849.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,1181.829,33.022,0,0,0,0,14.771,0,0,6.443,0,44.419,0,0,2,0,0,0,0,6,0,0,112.471,16.67,0,0,0,1.218,0,0,2,0.117,17.542,0,0,0,3.84,0,15.075,0,45.541,271.061,0,0,0,120.258,0,0,0,0,0.684,100.548,2,0,0,0,562.348,0,384.697,0,0,91.541,0,0.949,10,0,29.167,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,116.09,0,0,0,0,0,0,0,80.259,0,0,17.14,0,0,0,0,0,0,0,5.533,14.527,19.611,0.711,0,0,8.889,105.803,0,0,0,0,0,0,0,0,71.188,32.175,0,4.075,20.292,108.157,0,412.493,0,29.335,24.204,0,5.382,0,0,0,0,5.43,0,0,0.528,0,0,19.675,0.624,365.915,0.035,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,7.139,44.643,0,9.563,0,177.972,268.61,3332.769,4.984,10.366,2.823,3.996,935.197,0,3.536,10.011,0,714.921,0,0,55.93,0,4.768,0.651,30.394,164.465,0,6.788,107.575,818.347,0,12.288,36.183,8.44,1854.922,7.138,2.294,2083.341,284.695,0,7.565,47.431,43.307,0,17.525,0,104.479,16344.148,26.108,0,1.492,47053.446,1.269,587.717,8.618,0,0.448,105.504,2780.144,8.276,35.376,40.07,142.272,1837.206,0,12.873,1.886,129.68,10.596,34.261,81.028,0,178.375,0,0.457,0,4.851,188.91,137.129,0.521,0,34.824,11.608,43.339,2.363,105.604,18.838,152.747,0,216.876,27.607,2.062,0,0,0,1917.306,1.937,6.467,270.114,0.06,0,32.387,0,16.771,0.81,0.475,23.359,7.042,229.007,276.33,0,0.877,421.956,5.85,0,0,0,0,62.939,1.84,0,0,172.132,84.137,13.942,160.436,407.312,195.373,1.081,5998.891,0,354.474,1253.518,11.6,147.376,0,4.867,112.741,32.169,698.135,0,120.361,9.477,8.473,469.081,1450.453,37.528,3826.246,21.55,36.7,0,0,0,6.361,0,0,4.587,0.03,0,7.503,0,0,1.399,0.704,0,14.15,0,0,4.918,0,0,24.905,0.064,0,50.779,0,0,1.306,1.244,0,0.433,0,0,180.006,15.519,0,0,0.047,0,15.42,0,0,0,43.111,0,0,17.965,0,1.231,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",5.817,2.242,65.28,0,0,0,1002.14,10919.639,29556.559,15.658,4914.61,0,1.273,72844.317,0,58.088,5.383,291.27,14171.047,0,0,269.429,55.537,297.3,1.63,1.923,6648.764,0,16.184,43.029,982388.852,0,59.96,0,1.636,215.48,77.449,0,13617.95,675.125,0,0,1.396,1.4,0,20057.19,0,3133.816,27989.582,1.087,0,0,801813.751,0,3.472,4.478,0,13.36,815860.152,106282.865,8.135,25466.386,218.271,953.796,22471.751,36532.772,1.785,0,0,13.403,1.876,34.528,0,356610.566,17.09,0,0,31,29.802,16.851,6.188,3874.614,21.952,0,83793.926,3.3,28.501,0.063,64423.514,0,174.494,0,7.482,0,0,7.222,81365.694,0,2.626,1148.835,1.59,26.114,1136.446,0.012,78.019,8.228,0,545,110771.053,149.133,580.229,0,52.529,1398.078,1183.133,0,1.907,0,0,0,0,0,0,15812.106,136419.693,216.495,10737.789,348.946,1725.549,0,37924.604,0,7435.973,14372.508,0,195357.358,0,0.511,5501.209,90.664,400.215,0,0,1361.01,6.407,34.216,131106.374,0.796,435180.062,3.32,1.975,0,0,8.061,9.859,0,0,3.738,3.957,0,0,0,0,0,0.087,0,0,0,0,7.791,6.85,0,0,0,0,0,1.474,0,0,0,0,0,0,0,0,12.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.714,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.925,0,0,0,0,0,0,2.492,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.354,0,4.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.995,0,0,0,0,130.139,2.782,0,0,0,0,0,0,12.274,0,10.406,0,0,0,0,0,0,0,0,0,0,0,0,0,171.042,3.641,0,0,2.111,0,0,0,0,0,0,0,0,0,0,5.831,0,0,0,0,0,0,0,0,0,0,47.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
