"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","SSD","GMB","ATF","SPM","LSO","FSM","PLW","BTN","WLF","MNP","MHL","NFK","PCN"
"COG",0,0,0,0,0,1.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,32.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,1.617,0,1.98,0,0,0,0.143,0.119,0,0.023,0,0,0.112,0.3,0,0,0,0,0,0,0,0,0,23.671,0,0,0,0,0,0.143,0.152,0,0,4.175,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.916,2.472,26.881,0,0,0,0,0,0,3.754,0.263,0,0,0,0,1.314,0,0,0,0,0,0,22.771,0,0,0,9.131,0,3.512,0,0,0,0,0,0,0,0,0.012,13.225,0,0,0,0,1747.334,0,0,0,0,0,0,0,0,0,0,0,0.071,0.276,0,0,0,0,0,19.116,0,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,16.747,0,0,0,0,0,10.668,0,0,18.728,0.055,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.457,0.801,0,72.262,76.696,0,0,0,0.008,0,0,0,3.07,0.156,0,0,12.595,0,0,0,0.3,0.13,0,32.925,0,0,0,0,0,0,0,0,99.154,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,43.485,0,0,0,0.293,0,2.553,0,68.703,128.284,0,0,0,0,0.096,6.004,0,0,776.11,0,0,0,0,0,0,0.597,0,0,0,0,0,27.978,0,0,0,0,0,0,6.702,0,0,0,0,0,0,0,0,0,0,0,0.874,1.759,0,3.655,0,0,0,0,0,0,0,0.584,0,0,11.472,9.219,0,88,0,0,277.337,0,0,0,0,0,0,0,0,0,0,0,32.201,17.19,0,0,0,0.455,1.298,3.279,13.175,0,0,3.673,2.127,0,0,0,1.363,3.107,0,0,0,0,0,0,0.148,0,0,0,0,16.452,0,0,0,0,0,15.007,0,0,71.566,0,0,0,65.719,0,0,0,137.759,0,0,0,0,0,0,0,0,0,0,0,21.395,0,0,0,0,0,0,4.455,0.086,0,0,0,1.258,2.806,0,0,0,0,0,0,0,0,0,0.395,0,213.419,0,0,0.875,1.484,0.021,0,693.403,0,39.715,0,8.775,0,0,0,4.563,20.159,0,6.51,26.403,0,0,0,0,24.014,0,0.047,0,0,0,0.189,15.138,0.012,15.715,0,22.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,19.723,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,0,0,0,0,0,0,0,0,190.428,4.673,0,0,0,0,0,0,0,0,0,3.688,0,0,0.016,0,0.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.188,0,0,242.142,0,0,0,0,0,0,0,0,6.722,0,0,0,0,0,0,124.185,0,0,0,0,0.015,0,20.991,0,42.465,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0,0,15.924,0,0,0,0,0,0,0,4.05,268.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.724,0,0,0,0,0,0,0,0,0,0,0,652.07,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.144,0,13.081,0,0.403,0.057,0,0,0,0,5.066,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.814,0,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0.504,4.423,0,0,0,1.918,1.49,63.034,458.666,2694.466,0,3.372,1.459,2.297,0.052,1116.987,0,77.47,47.172,0,77.175,0,0,0,0.865,3441.958,0,0,210.8,0,0,244.454,0,0,0,0.473,0,0.349,8295.968,0,0,28.733,0,0,0,0.861,0,23.802,182.324,1.059,1441.835,0,0,9026.671,0,0.212,1.403,0.477,2.255,0,0,258.065,0,0,259.419,2358.881,1.697,0,0.064,7.014,46312.793,0,0,185.863,3.659,0,0,0,0,0,0,0,35.804,1506.1,5.326,5.672,0,55.339,374.879,476.91,1405.586,0,0,107.601,2.978,19.469,4.219,0,351.59,3.122,2.992,0,10.13,424.465,0,0,1851.519,27.024,0,0,0,19.253,47,0,20.155,0,0.619,1055.028,0,6.046,0.513,0,11.337,0,0.107,0,0,0,2602.996,0,0,0,0,0.268,0,32.795,3.029,0,2.888,0,617.231,432.343,0,0,0,246.873,0.352,12943.155,73.624,0,0,2.494,572.737,4037.006,0,0,0,0,0,0,0,0,0,17.116,1.007,79.936,133.432,0,128.077,225.766,13506.441,242.439,228.204,0,190.111,0,1732.578,0.345,0,0,2510.57,3197.016,0,0,10.203,0,0,0,0.343,444.658,3.285,253.441,0.057,0,0,1100.938,6.346,442.641,2751.639,0,1390.818,0,5.136,19.593,5,0,1.038,8.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",1.141,5.563,65.555,0,0,200.405,0,29.907,100.28,1031.897,840.718,2.884,23.45,10.859,120.711,12.701,1707.639,0,498.828,16.91,0,838.889,0,0,0,0.205,37.033,0,0,88.664,0,0.337,1164.891,0,0,0,16.198,0,627.967,2540.273,0,0,200.74,0,0,0,0,0,20.312,93.534,0,40.102,3135.936,0,0,0,0.758,12.81,9.464,0,9.601,0,166.324,0,1.766,2533.69,4842.417,2.348,0,3.807,17.83,17580.16,183.018,2.17,417.946,55.413,0,0,4.326,0,0,0,0,1251.629,531.625,255.459,129.488,219.237,7.586,305.032,746.237,2818.341,3.043,1.252,2052.599,160.863,10.562,8.984,0,2302.522,44.384,23.699,0,37.612,158.758,0,0,279.11,32.863,0,0,0,348.797,29.511,0,28.974,0,20.253,824.866,0,11.577,0.016,0,16.998,0,212.479,0.564,0,5.215,3546.889,0,0,0,0,0,0,230.658,0.014,0,37.266,0,2794.438,4.73,4.296,0,23.733,157.992,69.429,958.804,137.027,0,0,22.816,126.494,2335.752,0,0,0,0,0,0,0,0,0,45.2,1.346,121.367,0,0,255.049,1216.241,107.008,521.573,21.217,0,602.606,0,1359.167,0,7.064,0,9309.051,2042.442,0.107,0,811.037,0,0,0,3.109,748.968,9.308,1218.441,1.683,0,0,386.084,0.186,125.636,8439.436,0.009,10170.257,0.642,26.669,3.42,276.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,1.224,571.735,0.216,0,0,0,0,0,0,0,0,0.014,0,2.925,0,0,0,0,0,0,0,0,0,0,45.201,0,0,0,0,0,0.161,172.25,0,0,1.3,0,0,0,0,0,5.304,0,0,0,0,0,0,0,0,0,0.166,0,0,0,0,0,0,0,10.868,0,0,0,0,18.39,0,0,0,0,0,0,0.023,0,0,0.053,0,0,0,0,0,0,0,0,0,1.54,0,7.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,726.588,0,0,0,0,0,0,0,0,0,0,82.445,0,0,0,0,0,0,149.994,0.248,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,11.099,0.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.002,0,0,0,0.067,0,5.564,0,0,0,0,2.006,0,0,89.766,0,0,0,0,0,0,7.787,0,0,0,0,0,0,318.083,0,1497.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,4.362,0,0,0,0,0,0,0,0,0,0,0,120.315,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0.002,7.795,0,0,133.75,0,0,0,0,0,0.774,0,0.18,0,0,0,0,0,0.029,0,0.055,0,0,0,0,0,0,0,19.648,0,0,0,0.16,0.452,0,0,0,0,0,0,1.672,0,0,0,0,0,0,0,0,0,0,68.166,1.218,0,0,0,2.296,0,0,0,0,5.506,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0,0,57.98,0,0,0,0,0,0,0,0,0,0,153.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,23.623,0,195.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.608,0,0,0,0.198,0,0,0,3.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27,0,0,0,136.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.876,1.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.594,0,0,0,0,0,0,0,20.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.801,0,0,0,0,0,0,84.447,0,0,0,67.191,0,0,0,0,0,0,0,0,0,0,156.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.511,0,0,0,0,0,185.659,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758,0,0,0,0,0,0,0,0.464,0,18.54,0,5.066,0,0,0,0,0,0,0,4.426,0,0,0,0,0,0,0,0,0,0,0,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0.196,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.142,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0.731,0,0,0,0,0,31.82,30.794,27.969,23.434,0,0,0,0,0,40.146,0,0,1.845,0,2.627,0,0,0,0,0.732,0,0,2.838,0,0.378,652.54,0,0,0,0,0,1.44,52.778,0,0,0.56,0,0,0,0,0,0,0,0,0,8.647,0,51.252,0,0,0,0.011,0,0,0,0,0,0,1240.359,2.602,0,0,0,0,23.476,0,0,0,0,0,0,0,7.135,0,0,0,0.002,30.636,0,2.494,0,0,65.577,3.148,6.62,0,0,19.295,63.046,0,28.628,0,2.413,0.243,0,0,0.276,1045.831,0,0,213.062,0,0,0,0,0.102,0,0,0,0,0,501.855,0,0,0,0,0.746,0,0,0,0,0,4.616,0,0,0,0,0,0,0.398,0,0.358,0.24,0,115.245,3.624,0,0,0,0.622,0,29.935,0.024,0,0,0.166,31.85,3927.806,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,9.034,58.915,145.996,9.275,5.236,0,11.67,0.77,15.09,0,0,0,3289.967,57.111,0,0,165.266,0,0,0,0,42.55,0,6,18.278,0,0,1.296,0,0,349.999,0,211.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,29.513,1.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,0,0,0,0,0,0,4.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,170.819,10.449,0,0.643,0,0,0,255.73,410.063,96.884,0,0,0,3.265,0,448.468,0,2.562,22.589,0,235.919,0,0,0,0,28.014,0,0,4.736,0,11.242,188.698,0,0,0,1.352,0,55.119,4615.244,0,0,11.728,0,0,0,0,0,1.783,84.465,0,3.253,657.459,0,1722.358,0,0.18,15.439,2.54,0,8.913,0,848.983,0,0,0,1414.057,0,0,14.542,1.669,5389.463,0,0,58.492,0,0,0,0.266,0,0,0,0,559.312,281.911,3.446,39.863,0,1.063,109.226,19.601,792.698,0,0,2114.752,120.966,67.638,14.735,0,3820.162,0.557,0.823,0,1.302,302.243,0,0,358.594,0,0.963,0,0,67.132,0,0,0.368,0,2.606,39.15,4.167,0.178,66.09,0,0.707,1.24,4.726,0.73,0,0,1586.727,0,0,0,0,0,0,7.653,0,0,1.437,0,1154.411,0.397,0,0,0,14.73,1.944,484.455,20.416,0,0,0.23,412.026,5010.313,0,0,0,0,0,0,0,0,0,1526.622,0.634,16.844,0,0,731.55,72.026,39.405,190.111,857.048,0,148.256,0,49.318,0,0,0,2512.423,1923.461,0,0,108.464,0,0,0,0,18.365,0,339.686,0,0,1.389,13.837,224.811,1.086,2045.724,0,2029.33,0,16.41,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0.47,81.016,0,259.181,84.21,0.092,1.121,5436.927,1654.933,645.091,0,92.805,0,2.245,0.137,4032.11,0,7.26,33.42,0,1014.86,8.675,0,0,27.037,27.333,0,0,99.3,1.816,34.518,616.826,21.054,0,0,74.948,3.731,517.868,750.797,0,0,235.827,0,4.647,12.019,0,0,87.363,57.228,3.968,6.153,260.88,6.703,385.794,0,12.035,72.58,87.572,0,366.003,0,7.153,0,0,770.051,0,137.19,0,6.765,64.627,2441.976,12.997,0,722.355,0,1.801,0,28.54,41.221,0,0,4.171,115.91,2324.403,5.734,119.712,678.689,0,37.411,1548.228,13890.511,79.18,2.877,1545.729,249.061,87.834,86.115,0,2330.679,6.192,0,0,47.22,45.923,0,2.3,50.829,67.786,0,52.681,0,85.911,3.568,131.021,60.726,0,69.382,7496.779,9.381,1.539,0,0,1252.055,132.164,19.105,0,0,7.398,5404.336,0,0,0,0,244.559,0,314.278,126.703,4.062,55.313,0,1127.168,476.612,1.686,0,22.607,68.485,4.569,1444.005,1963.644,5.322,0,480.064,1649.674,10212.569,0.027,0,0,0,0,1.42,0,0,0,770.327,41.455,29.808,5.946,0,395.147,4451.531,82.034,2980.808,186.581,0,301.133,0,4776.214,0,0,0,2457.161,3313.56,0,0,844.93,0,0,0,46.342,154.683,218.018,2631.62,590.25,0,7.406,330.171,17.788,46.094,10439.888,12.588,10132.415,16.255,34.854,0,51.549,0,0,0,6.182,0,0,0,77.052,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,1.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,10.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,1.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.536,0,0,0,0,0,0,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023,3.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
