"AFG","ALB","DZA","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BRA","IOT","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","CXR","COL","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FLK","FJI","FIN","FRA","PYF","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GTM","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MDA","MSR","MAR","OMN","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","KNA","AIA","LCA","SAU","SEN","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","SCG","ZMB","SLB","CCK","KIR","VUT","NER","NFK","TON","VGB","LBY","MDG","MOZ","TKM","GRD","AGO","BDI","COD","GIN","RWA","SDN","BMU","BLZ","HTI","VCT","SUR","SLE","TCD","COM","COG","GNQ","ERI","DJI","GMB","MWI","MNG","SPM","SYC","WLF","IRQ","MHL","TJK","CYM","BTN","MNP","PLW","TUV","WSM","GNB","FSM","SHN"
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,4.765,31.889,0,0,0.609,16.941,306.501,23.681,0,0,0,0,0,26.427,0,0.88,0.789,0,0,3.183,0,0.629,0,0,47.205,0,0,0,19.675,3412.121,0,1.185,0,0,138.112,0,0.745,386.372,0,352.001,0,0,0,0,0,8601.344,0,0,0,66.708,0,0,2.93,2453.433,0,0,5.682,16.914,0,0,0,458.11,212.619,3.531,1.207,0,96.595,7.768,193.193,0,0,384.267,0,0,0.68,0,931.109,0,0,0,0,870.069,0,57.187,1.182,30.015,10.075,0,0,0,0,0,48.602,0,0,1.114,0,0,0,187.256,0,0,0,122.611,0,0,176.45,0,0,0,9.678,0,0,636.043,1.902,0,64.456,6187.212,0,0,0,11.349,0,3.828,73.05,0,0,2.352,0,166.042,0,285.17,451.179,1538.852,0,12.391,0,0,45.651,0,716.997,0,1.875,11.506,27.761,49.736,922.281,0,6881.866,0,0.597,0,4.014,2.526,0,0,0,0,0,0,0,0,0,0,0,0,30.306,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,1608.574,231.655,0,0,3623.1,1845.485,1814.948,0,6.167,197.516,0,0,7445.682,0,8.926,1384.095,0,0,105.773,0,0,0.811,347.972,1662.004,3.926,37.131,6.005,371.647,4503.6,0,128.052,0,15.022,27.071,28.992,46.891,838.43,20.602,1150.853,10.029,0,7.974,0,6.005,20.574,0,0,883.381,0,459.445,99.66,0,34068.886,5.106,0.811,641.034,1.343,0,0,1.306,1307.496,461.257,58.386,40.087,25.967,467.24,763.284,14869.208,841.568,0,3136.568,70.436,48.417,2.1,0,1822.346,6.167,0,9.088,87.316,2.02,6.167,339.599,366.521,1.768,1475.282,0,48.062,2.502,114.906,655.116,1194.145,0,0,1030.257,0,0,0,7644.049,0,0,570.186,879.684,2.717,4197.021,666.635,0,0,0,0.955,31.535,41.723,7050.746,11813.172,190.699,114.018,924.398,0,0,1.505,273.51,272.973,1405.502,1355.185,130.406,3320.289,31.161,0,674.114,300.9,10224.363,4424.766,4366.902,715.084,221.298,28.191,2.759,16850.411,1314.936,2865.441,0,47.499,22.559,0,780.906,21173.972,204.982,7833.563,130.214,27.844,0,505.605,26.616,4.603,0,0,0,0,0,117.99,0,0,0,10.874,102.149,4047.058,1225.899,0,142.01,21.747,13.308,46.201,8.277,2.109,0,0,0,0,0,10.874,30.998,25.318,462.062,45.443,1.623,9.9,4.868,10.874,5.031,57.615,4.529,4.219,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.996,0,0,0,175.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.154,0,0,0,6.263,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,1035.163,87.919,1.528,0,21.855,1062.468,9959.881,53791.025,0.937,244.912,23.947,13.062,0,31994.973,14.15,173.071,6339.423,0,1.088,1042.001,17.416,188.285,284.098,10.34,6791.472,28.892,0,45.602,548.769,7938.113,0,316.071,0,76.439,753.817,21.604,82.314,7833.665,0,17504.524,0,7.075,44.945,10.34,5.938,182.959,0,0,4937.22,172239.692,1.876,0,40.733,0,42.75,0,4134.462,4.953,15.777,0,10.823,64059.069,7971.63,600.357,1910.538,943.185,8101.063,4828.802,55281.72,9.572,0.574,22573.407,645.48,122.789,6.823,70.752,11120.234,255.797,66.398,0,405.749,952.163,0,684.214,3769.474,16.327,5031.046,42.318,0,449.788,92.522,20.681,11617.247,74.018,0,163.611,682.489,0,0,52343.757,0,0,16.393,540.984,1.361,156.955,9040.555,353.218,7.177,0,42.204,796.714,1925.338,14383.615,5651.088,103.951,333,16220.28,0,0,0,7230.375,7.044,1629.042,10185.633,2068.693,126.266,1526.222,0,4166.305,70.208,38588.954,22135.814,48538.776,65.309,3168.011,0,7.204,3529.461,227.034,6517.366,0,0,886.038,74.433,1404.165,81977.658,20.137,179238.942,1.732,696.639,112.659,1087.41,19.593,258.572,7.774,0,0,0,0,11.402,0,0,0,3.265,0,81.637,192.225,0,0,0,0,0,0,124.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.354,0,0,0,19.593,26.123,44.084,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,79.267,0,0,0,0,0,0,0,0,0,0,3.198,0,239.715,0,0,0,0,0,3.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.391,2.595,0,0,0,0,0,0,0,0,0,0,8.163,12.173,6.253,0,0,1013.81,0,0,0,0,0,0,0,207.526,8,0,0,0,0,4.602,8.888,0,0,3.63,0,0,0,0,0,0,0,0,17.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.034,0,0,0,10.979,0,0,0,2.339,0,0,64.359,0,1.271,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0.507,0,0,0,0,5546.327,0,0,0,5.171,0,0,0,0,0.757,0,622.123,0,0,42.992,33.947,161.941,132.529,0,67.528,0,0,13.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.033,0,0,0,0,0,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.169,0,0,0,0,0,0,0,0,0,0,6.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,5.12,0,0,0,1458.048,3905.725,72.078,0,15.152,32.832,0,0,133.402,0,0,464.783,0,0,56.173,11.228,0,21.853,0,1314.918,0,0,124.183,367.315,8256.007,0,26.738,0,1.874,310.735,2.881,285.676,192.181,0,103.732,0,0,11.85,0,0,0.739,0,14.12,60.043,1704.396,6.521,0.773,0,14406.179,17.868,0,17.427,0,1.2,0,0,0,43.94,0.802,26.929,0,255.271,4158.188,295.867,24.232,1.752,7070.592,0,151.033,0,0,957.632,238.481,0,1.675,29.988,1.1,0,0,0,259.818,769.029,0,0,4.225,0,2.011,435.354,0,0,47.56,5.007,0,228.271,14115.231,0,0,0.518,92.467,0,8.83,81.632,92.645,160.967,4.64,1.002,0,782.6,641.074,90.398,0,18,475.366,0,0,0,67.026,0,180.844,10168.675,0.936,918.072,121.109,0,252.065,0,110.101,3940.355,1559.058,37.898,6138.547,0,3.814,2746.274,33.004,1826.664,0,2.461,5.519,0,133.171,23893.081,0,18162.047,0,95.043,0,64.706,66.724,0,0,5.929,0,0,0,0,0,0,0,0,33.859,0.58,0,0,0,0,0,0,0,0,2.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,23.318,46.106,0,0,0,0,0,42.095,0,9,2,0,0,7.031,0,12,0,0,65.968,0,0,0,0,2.777,0,0,0,0,6.922,0,21.088,30.859,0,62.708,0,0,0,0,0,0,0,0,3.201,51.643,0,0,0,1035.897,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11.504,0,0,84.492,6,0,0,0,51.041,0,0,0,0,1.145,0,6.74,0,0,0,0,0,0,0,0,0.997,0,0,0,0,0,0,54.287,0,0,0,2.049,0,0,1.905,0,0,0,0,0,0,296.895,4.041,0,159.669,9,0,0,0,0,0,0,203.028,58.017,0,13.218,0,0,0,2.659,4.233,420.306,0,0.898,0,0,0,0,3.711,0,0,28.788,2,158,42,0,114.748,0,0,0,0,0,3.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.802,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.921,0,0,0,1.848,0,0,0,1.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.161,0,0,2.645,1.286,0,0,0,0,0,0,0,0,0,0,0,0,69.055,0,40.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,26.93,0,0,0,134.455,84.004,12,0,0,0,0,0,231.699,0,0,368.329,0,0,0,0,0,0,0,0,0,0,145.372,0,669.918,0,0,0,0,0,0,2.421,18.395,0,0,0,0,0,0,0,0,0,0,0,7538.898,1.25,0,0,5972.283,0,0,0,0,0,0,0,42.361,52,0,0,0,0,0,0,0,0,4698.374,0,0,0,0,472.194,0,0,0,9.344,0,0,0,0,0,78.717,0,0,0,0,0,67.296,0,0,0,0,0,0,358.527,0,0,0.777,0,0,0,41.105,0,0,0,0,1.584,0.96,2055,426.589,0,0,0,0,0,0,0,0,0,55.714,0,0,0.797,0,2.614,0,932.531,10.161,0,0,1053.96,0,0,0,0,0,0,0,0,0.515,35.639,5.064,0,151.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.073,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0,1.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,0,0,8.739,0,2.02,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,17.44,0,0,0,239.949,2761.611,1349.921,0,0,0,0,0.575,4773.744,0,0,17.01,0,0,32.892,0,2.699,0,0,27.045,0,0,0,23.822,81.8,0,15.348,0,0,47.397,0,117.705,84.103,0,1080.758,0,0,0,0,0,28.957,0,0,1054.537,5306.521,0,0,0,42912.665,0,0,3815.215,0,0,0,0,203.675,108.918,17.544,0,0,0,56.643,19131.741,0,0,344.832,0,0,0,0,821.036,0,0,0,0.538,0,0,3.249,0,0,39.346,0,0,36.04,0,0,2053.77,0,0,119.734,0,0,0,12283.65,0,0,0,147.171,0,0,352.904,0,0,0,0.851,59.904,10.294,815,510.478,0,9.717,29.115,0,0,13.476,0.674,0,40.73,27.274,3.799,0,88.208,0,941.129,0,3526.935,2127.705,322.492,0,68.196,0,0,0,81.09,325.76,0,0,0,0,456.68,14509.868,0,3000.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.515,0,0,0,0,0,0,0,0,0,0,0,0,0,100.476,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,1570.457,3197.841,98.633,0,0,0,0,0,1024.825,1,0,63.356,0,0,18.037,0,41.798,0,0,182.389,0,0,0,93.974,497.692,0,10.886,0,0,2.517,0,87.634,48.717,0,34.946,0,0,0,0,0,3.249,0,0,395.862,713.903,0,0,0,3338.04,3,24,191.97,0,0,0,0,784.316,94.008,0,0,0,5.719,0,678.191,0,0,16646.028,0,2.196,4,0,196.536,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,345.06,0,0,0,0,0,0,811.851,0,0,0,2210.785,0,5.132,43.474,0,0,0,0,24,9.896,371.967,1952.427,0,9.763,95,0,0,0,0,0,438.962,6591.738,2.373,47,158.242,0,817.013,0,332.452,614.173,73.322,0,65.219,0,0,0,0,196.926,0,0,1007.359,157.598,26.365,3165.785,0,13587.487,0,3.722,7,56.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,23.788,97.552,12.199,0.828,10.629,1217.824,1206.832,1041.44,0,5.844,0.977,0,5.638,757.057,2.443,109.612,491.388,0,0,69.795,0,9.912,0,13.028,455.458,2.071,2.634,31.854,106.319,878.569,0,954.26,0,26.551,522.151,92.553,231.273,492.028,1.233,432.721,0,4.044,6.423,11.488,18.83,76.325,0,0,697.577,8209.285,6.879,4.759,0.658,5723.693,1.785,0,1635.488,0,1.84,0,3.029,674.935,295.655,10.125,22.966,510.678,84.935,1383,0,11.654,0,1564.778,134.094,103.083,44.829,0,1725.506,233.414,0,0,164.224,5.285,0,39.394,71.483,13.533,30.231,5.924,0,130.572,9.524,70.668,1270.037,3.094,0,348.409,67.385,0,9.788,1203.325,1.312,0,9.102,362.238,0,284.542,334.13,97.681,1.567,0,1.759,18.561,38.443,2196.735,1754.097,45.876,1410.126,328.952,0,0,1.947,352.676,9.944,259.371,770.231,255.305,81.244,508.658,0,625.451,7.03,5209.562,1585.587,1701.31,87.383,491.147,0,90.026,601.771,562.886,2182.61,0,4.135,103.349,32.76,457.859,4012.034,3.507,5109.092,0,33.078,3.566,209.37,0,297.649,0,0,0,0,0,0,0,0,0,11.145,20.794,1.351,0.785,0,6.384,17.779,0,0,7.228,61.012,0,0,0,0,0,0,0,0,20.947,0,0,0,0,0,0,0,2.214,0,0,0,0,106.377,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.841,0,0,0,0,0,0,0,0,607.474,0,2.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,0,484.419,147.406,0,0,3886.963,48105.135,4584.522,3.978,68.34,135.952,0,3.594,9200.082,4.73,1.984,24768.845,0,14.518,172.153,436.76,3.8,0,0.71,13830.526,4.989,0,1345.665,873.317,48034.084,0,346.509,0,163.773,206.228,44.644,160.948,723.007,0,16832.213,0,3.381,10.343,9.968,208.06,1468.616,35.369,29.133,72336.392,77866.945,30.092,0,6.235,245216.503,22.054,0,289.177,17.917,49.276,0,2.608,94298.273,2001.853,14.562,3600.855,185.672,916.581,7051.048,9961.758,10.884,23.709,0,14.676,86.319,0.875,104.57,278230.475,380.303,15.835,9.476,85.972,117.355,20.297,2.02,3214.367,621.638,23548.899,5.357,0,46.254,0,22.229,11713.609,0,0,54.88,742.794,0,67.646,46257.135,244.299,0,19.736,1474.452,9.229,6.042,1592.477,776.583,802.052,5.902,21.146,381.991,14802.353,1025.95,639.662,1423.056,105.764,514.231,0,7,5.061,1182.2,28.089,7759.932,70992.075,173.778,1049.296,80.768,0,2540.554,1.949,6725.678,37000.648,15417.114,0,49544.478,0,21.432,1487.638,93.79,2237.933,0,8.861,98.259,38.363,1293.994,143797.392,23.02,770370.028,89.219,115.795,25.233,350.749,111.869,54,0,33.99,0,0,0,0,0,2.687,0,2.942,5.348,0,0,27.218,0,0,0,68.806,2.23,0,22.581,0,0,0,0,0,0,0,0,0,0,0,0,17.302,71.107,0,8.44,0,41.376,10.407,0,0,6.025,5.744,8.66,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
