"AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","IOT","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FLK","FJI","FIN","FRA","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NGA","NFK","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","LCA","SMR","STP","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","USA","URY","UZB","VEN","WSM","SCG","ZMB","SYC","BHR","SLB","ETH","PYF","KIR","GIN","VUT","UGA","TZA","AZE","YEM","BDI","COG","COD","BEN","MRT","RWA","BFA","AGO","LAO","GUY","JAM","TCA","BLZ","MYT","BMU","CAF","LBR","TGO","TKM","AND","COM","GNB","SPM","VGB","GRD","PCN","VCT","TJK","TKL","SOM","NIU","FSM","TON","TUV","ABW","BTN","LSO","SHN","KNA","AIA"
"FIN",0,0,0,0,4.231,35.848,54.722,0,0,0,0,1.303,0,0,0,23.884,0,0,0.178,0,0.068,0,9.337,41.196,3.843,0,17.941,25.883,8.269,116.364,0,5.765,0,0,0.162,0,0.4,1.082,10.476,0,0,0,0,0,0,674.751,0,0,0,293.745,0,3.843,0,0,1803.352,7.686,0,35.543,0,0.645,0,41.457,1108.359,764.303,0,0,0,0,15.453,5.034,174.787,7.164,269.873,0.139,0,45.76,0,18.532,0,0,0,36.698,3.471,12.041,0.942,0,540.755,0,21.541,0,35.96,0,0,62.328,0,0,0,293.953,25.79,0,0,0,0,2008.04,0,0,0,0,6.201,11.351,0,129.368,0,82.084,0.36,0,0,0,860.602,2.981,0,0,9.165,680.426,0,0,1.922,174.319,7.69,2.357,0.029,0.201,0.47,6.182,0.802,5.869,0,17.475,121.015,0,0,620.816,38.114,0,11.18,7.405,293.114,0.062,0.895,2.329,0,0,55.864,273.481,0,0,0,0,0.285,0,0,0,0,464.931,0,0,23.774,0,588.56,61.659,0.057,21.898,0,13.709,0,13.273,3.843,0,2.357,19.216,0,0,0,0,0,0,2.163,8.558,3.843,1.922,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",343.251,0,3843.124,0,143.021,22.386,709.948,0,2.186,0,0,778.51,0,1.796,0,344.37,0,0,2.487,0,18.6,0,12.06,374.984,0,0,71.38,135.559,9.563,639.243,0,45.617,0,14.947,6.295,0.409,149.474,47.588,414.351,0,25.408,43.528,9.508,0,0,2.487,0,0,8436.04,0,11.193,93.143,2.858,145.364,89184.197,121.879,0,64.684,0,2.516,0,20.489,270.516,419.686,13.039,55.965,598.202,3.731,490.978,1727.139,8908.116,77.264,1391.432,0.346,1.241,732.517,17.411,223.339,0,0,1.244,62.208,78.351,1.181,703.182,0,145.559,26.117,17.695,0,1103.321,1.244,3.464,674.747,0,0.069,0,1987.373,14.976,0,3.731,0,50.99,994.185,0,278.521,23.132,19.79,88.586,1.244,0,8.706,2.913,0.137,0,7.217,286.345,8.074,409.405,2295.539,0,0,376.976,70.889,0,0,0,0,2187.785,0,334.556,170.76,855.39,28.75,78.417,327.277,4.593,7990.652,0,0,0,1467.428,1998.935,1.244,84.998,0.524,139.29,254.12,45.315,5.3,0.83,23.63,2047.221,10311.141,2.791,0,10.008,0,15.667,557.391,0,0,0,44.52,206.485,0,50.99,0,20.476,149.796,0,0,12.437,90.787,0,122.255,136.803,81.034,783.718,3.731,0,0,0.428,0,0,6.734,0,16.341,0,220.887,0,6.848,21.142,12.437,3.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,5.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,2.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",39,0,43,0,330.259,3690.409,39703.979,0,2.973,1.077,0,15663.671,8.14,25.716,0,14866.599,0,1.738,607.304,1,444.419,0,21.366,9181.629,4.629,0,397.578,15,188.477,21593.971,0,34.808,0,3.652,279.48,25.216,5724.239,23546.703,10935.591,0,4.961,18.251,14.475,0,90,6516.668,0,0,6753.946,64258.971,2,12.655,0,37,0,11,0,1301.611,2,5.081,53,5.913,17887.149,41061.855,5.708,679.006,306.197,3471,7720.435,2721.039,72432.346,30.133,15954.648,190.996,29.312,492,57,4710.658,13,111.964,21.609,86.9,6,211.002,14918.867,0,19.585,0.203,158625.191,1.66,100.74,603.808,1.39,1159.323,0.356,9.026,0,39.542,0,2.338,49.587,0,0,30899.59,0,0.146,127.656,71.78,0,44,0,1118.985,71.398,4.114,0,2.072,30.041,2278.158,5449.059,34496.542,25,14,2151.801,4072.25,0,0,0,238.726,1.281,146,6662.015,2783.324,3537.718,4.218,6146.524,30717.186,13.675,45670.51,200,1,0,53837.522,29938.895,18,5472.399,52.888,692,142.889,4239.518,731.181,8.784,375.194,38596.903,38632.486,6.184,94,81.56,4,152.327,193.945,0.231,13,0,27.926,1.908,0,1,0,38.698,11.896,0.017,9,0,0,20,6.006,26,8,69.572,10,0,0,6.745,0,0,0,0,0,11,2,2,0,0,0,0,52,3.471,2,2.624,10,18,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,65.078,0,0,0,294.487,0,0,0,0,0,0.088,0,9.958,0,0,0,0,7.02,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,84.025,0.287,38.575,0,13.014,0,0,0,0,0,0,0,0,1.244,0,0,0,0,389.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,252.784,0,108.777,0,2.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021,0,0,0,0,0,72.285,0,0,0,0,0,1.244,0,0,0,0,0,12.134,0,0,0.228,0,0,0,0.019,0,0,0.266,0,0,170.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624,4.487,0,0,0,0.469,0,0,0,15.994,0,0,27.76,15.301,0,0.244,36.226,0,0,0,0,51.019,0,0,0,0,0,0,0,0,0,106.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",39.103,0,0,0,322.044,879.91,17.961,0,3.374,0.201,0,214.866,0,1.55,0,1416.111,0,0,128.668,0,8.837,0,0,618.722,0,0,15.559,0,4.881,32627.406,0,172.132,0,0.037,10.593,0,3.364,365.723,727.375,0,7.629,0,0,0,0,157.327,0,0.002,344.637,427.395,0,0,0,0,12559,0,0,121.868,0,0,0,0,0,182223.354,17.903,162.013,99.902,0,146.571,1876.458,876.987,0,36579.588,0.086,6.43,76.718,11.454,16055.027,0,0,7.001,72.52,0,96.357,0,41.929,0,0,6797.415,0,0,0.186,2.928,2020.067,0,1.781,0,0.045,0,0,0,0,0,392.452,0,0.042,943.354,0,0,0,0,9.104,2.024,0,0.397,0.019,0.005,4303.402,156.967,15.79,0,0,258.254,17.954,0,0,0,140.133,0,0,824.769,9746.771,157.519,14.53,20.545,848.746,117.993,398.74,0,0,0,415.291,505.135,134.887,2761.937,1.024,544.906,0.234,644.735,47.894,21.034,42.947,8008.684,5867.872,13.568,17.457,3.285,0,22.877,0,0,0,0,0,0.417,0,0,0,20.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,2,0,0.351,1.845,86.546,0,0,0,0,152.661,0,0.493,0,93.885,0,0,3.439,0,0,0,0,15.564,0,0,0,0,0.47,9550.187,0,0.289,0,0,1,0,0,61.955,2.736,0,0,0,0,0,0,369.204,0,0,136.19,580.346,0,0,0,0,1151,0,0,0,0,0,0,0,66.899,0,0,0,0,0,1543,6,196.013,0,901.069,0,0,0,0,5300,0,0,4,0,0,0.325,0,0,0,0,20.752,0,0,0,0,18.135,0,0,0,0,0,0,0,0,0,136.208,0,0,0.079,0,0,0,0,0,1,0,0,0,0.688,9,85.342,13,0,0,1073.563,8.872,0,0,0,0,0,0,0,192.472,146.149,0,1.637,20.714,0,16.396,0,0,0,14.374,33.266,0,3.868,0,0,0,315.914,0.931,1.727,0,539.92,248.007,0,0,0,0,17.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,2.574,0,0,0,0,0.484,0,0,0,0,0,0,0,0,0,6.111,0,0,0,0,0,0,0,0,0,0,0.356,0,0,0,0,1.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,1.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.801,0,0,0.686,0,0,1.962,0,0,0.119,0,0,0,0,11.427,0,0,0,0,0,0,0.383,0,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.665,3.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,2.901,222.207,2.676,0,0,0,0,0.128,0,0,0,97.966,0,0,0,0,0,0,0,98.515,0,0,0.687,0,0.482,1973.344,0,1.943,0,0,0,0,0,69.012,0,0,0,0,0,0,0,0.341,0,0,0,0,0,0,0,0,158.525,0,0,0,0,0,0,0,1082.098,0.049,0,0,0,0,0,0,2.724,0,15849.793,0,0,0,0,176.575,0,0,0,0,0,0,0,0,0,0,88.165,0.234,0,0,0,339.984,0,0,0,0,0,0,0,0,0,303.623,0,0.01,0,0,0,0,0,6.954,0,0,0,0,0,32.032,14.592,0,2.195,0,3.921,19.234,0,0,0,0,0.086,0,4.954,3757.658,0.324,9.366,0,0.793,0,0.677,0,0,0,0,0,0,74.939,0,0,0,3.671,0.09,0,0,2.238,1352.52,0,0,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",7.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,12.56,24.145,0,0,0,0,25.708,0.038,0,0,0.86,0,0,0,0,0,0,0,101.819,0,0,0,0,0,4.372,0,0.193,0,0,0,0,0,48.281,1.015,0,0,0,0.895,0,0,0.719,0,0,2.951,259.708,0,0,0,0,186.017,0,0,0,0,0,0,0,5.878,29,0.091,0,0,0,0,52.902,382.941,0,41.875,0,0,0,0,5.132,0,0,0,0,0,0,0,0,0,0.07,5.71,0,0,2.607,0,2.447,0,0,0,0,0,0,0,0,0,55.916,0,0,0,0,0,0,0,73.693,0,0,0,0,0.028,0,17.364,2.587,0,0,13.455,3.319,0,0,0,0,0,0,13.835,7.573,0,8.721,0,35.571,0,16.474,0,0,0,28.253,104.559,0,0.32,0,3.056,0,16.012,0,0,0,193.227,1210.815,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0.006,146.034,0.301,0,0,0,0,0,0,0,0,7.749,0,0,2.397,0,0,0,41.091,23.835,0,0,0,0,0.639,39.281,0,0.968,0,0.108,0,0,0.498,0.816,20.879,0,0,0,1.016,0,0,0.238,0,0,2.329,204.006,0,0,0,0,228.306,0,0,12.461,0,0.085,0,0,21.468,1,0,0,0,0,38.095,0,417.058,0,44.452,0,0,0,0,9.848,0,0,0,0,0,2.576,0,0,0,0,1,0,0,0,9.225,182.098,0,0,0,0,0,0,0,0,0,130.657,0,0,3.703,0,0,0,0,29.816,0,0,0,0,10.601,56.654,1.171,0.181,0,0,1.961,1.876,0,0,0,0,0,0,1.159,22.564,0.248,0,0,0.397,0,138.757,0,0,0,1.773,29.157,0,17.992,0,0,0,19.648,0.01,0,0,16.489,279,0,0,4.267,0,26.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,5.547,4.264,0,43.835,134.914,167.42,0,11.042,3.946,0.376,888.596,0.92,7.429,0,591.83,0,0.488,119.049,0,8.5,0.353,6.577,36.768,0.068,0,0.736,74.333,81.27,1569.732,0,139.383,0,15.506,2647.086,15.737,12.068,623.107,167.952,0,9.252,45.453,17.33,0,7.779,8.933,0,0,80.698,4838.924,0,0.014,26.869,0,23116.559,0,0,4263.952,0,8.345,0,0.632,36.224,608.608,13.981,117.688,37.712,0,200.875,2083.269,0,0.921,11.588,2.656,31.123,0,0,13.693,0,0,4.222,6.047,0,1.208,0.74,0,7.224,0,24.09,4.589,2.139,80.056,8.87,944.684,0.048,13.555,0,122.552,11.936,0,0,0,0,1956.454,1.263,4.218,232.991,0.42,13.178,41.891,0,7.347,17.757,2.374,0,0.643,34.092,48.198,105.49,260.577,0,0,175.519,18.34,1.115,0,0,16.881,13.927,0,41.631,477.542,11.199,46.139,218.779,158.298,0,4770.258,0,0,0,144.047,983.552,105.466,20.112,9.75,351.161,23.363,1019.854,43.079,1.283,301.79,1196.157,941.925,24.432,0,73.885,0,25.754,0.125,0,0.604,0,74.43,8.546,0,8.748,0,49.701,3.74,0,0,29.284,0,0,0,0,4.686,22.76,10.044,0,0,3.5,0,0,0.129,0,41.021,0,0,0,1.913,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",9.536,0.048,15.604,0,761.907,6889.636,20649.107,0,4203.317,0,0.986,68306.572,148.513,3.202,0,14778.073,0,0,442.883,0,318.1,15.618,1.173,16885.577,0,0,13.277,0,35.291,858906.818,0,127.103,0,32.417,215.628,12.786,1.166,4594.284,2072.509,0,0,7.14,1.634,0,0,37273.492,0,0,8816.769,31709.528,0,0,0,0,593632.131,0,0,92.582,0,0.306,0,22.55,428038.633,47997.566,13.484,25556.167,145.55,0,944.292,21928.725,25142.416,1.696,0,1.951,42.44,0,8.925,456047.409,7.473,0,10,1.31,18.008,40.944,3.661,3254.546,2.712,6.301,108691.482,0,0,3.727,2.836,26873.646,0,0.443,0,142.806,0,7.396,0,0,4.495,46260.026,0,4.354,947.906,5.17,12.416,0,0,1008.672,46.374,17.952,0,0,49.862,157603.039,936.582,618.126,0,25.555,888.831,1695.848,0,0,0,46.495,0,0,16380.561,183375.476,425.826,1172.561,450.778,826.591,0,18767.79,6.715,0,0,5219.081,10534.252,0,69012.461,0.005,2909.837,115.025,712.328,671.17,10.05,11.768,55366.936,384831.963,3.14,0,2.999,0,114.504,0,0,18.757,0,0,0,0,0,7.751,207.174,40.447,0,0,0,0,0,0,0,0,2.853,0,0,0,5.469,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
