"AFG","ALB","AND","AGO","ATG","ARG","AUS","AUT","BHR","BGD","BRB","BEL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","COL","MYT","COD","CRI","HRV","CUB","CYP","CZE","DNK","DOM","ECU","SLV","EST","FIN","FRA","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","ANT","NCL","NZL","NIC","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","ROU","RUS","LCA","SMR","STP","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","THA","TGO","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","USA","URY","UZB","VEN","YEM","SCG","ZMB","DZA","BOL","BEN","PRY","BTN","TCD","FJI","PYF","VUT","NFK","LBY","NGA","SYC","SYR","UGA","TZA","BFA","GAB","MDA","RWA","NPL","ABW","AZE","ETH","KAZ","GRL","ERI","DJI","LBR","FSM","SDN","BDI","COG","GNQ","GIN","KGZ","MRT","NER","GNB","QAT","WLF","ARM","DMA","GRD","IRQ","TKM","WSM","VCT","SOM","COK","FLK","TON","BHS","LSO","MWI","SHN","BMU","BLZ","MHL","KNA"
"GRC",0,0,0,0,0,0,13.231,0,0,0,0,0,0,0,0,0,0,3.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.519,0,0,0,0,0,0,0,0,0,0,0,0,0,32.926,68,0,0,0,0,0,0,0,0,0,0,0,9.377,0,0,0,0,2.118,0,8.358,0,0,0,5.286,0,0,0,1.775,0,0.05,5.745,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.619,0,0,0,0,0,0,0,0,0,0,0,0,0,10.055,0,0,0,0,0,0,0,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.816,0,0,0,0,0,0,0,0,0,0,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,17.269,0,83.269,483.471,65.94,0,1.693,68.878,463.909,0,0,877.414,0,0,162.825,0,0,0,0,3022.791,0,0,10.376,23.805,26538.103,21.393,0,0,0,0,0,1.161,63.191,259.588,0,1.107,0,0.143,199.64,473.78,0,0,4004.028,0,0,0,11.081,0,0,0,0,0,110.655,0,32.625,8.216,151.424,1325.106,905.757,0.116,0,29314.487,0,1.646,0,2935.839,0,0,1.254,4.039,0.066,0.003,1512.959,0,6543.294,0,0,0.091,8.259,565.269,3.957,0,1.773,0,0,0,0,1010.885,0,0,146.338,0,10.878,27.995,12.816,0,12.366,1080.322,181.966,6.856,4.002,18.365,0,0,0,13.441,0,0,242.15,7059.3,0.676,42.498,31.84,550.874,0.093,170.31,0,0,357.266,92.136,937.523,0,0,84.081,0.178,189.473,0.09,0.014,17.416,5322.541,31861.765,45.544,0,5.872,0,0,0,0.601,0,0,0,0,0,0,0,0,0,0,4.845,0,0.446,0.514,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0.686,0,187.196,0,0,0,1229.094,0,0,3.191,0,0,1.483,0,0,0,0,41.392,0,0,0,0,0.803,0,0,0,0,1.391,0,2.695,198.171,5.954,0,0,0,0,17.422,59,0,0,713,0,0,0,18.295,0,0,0,0,23,0,0,0,0,3.84,1,9.928,0,0,10.537,0,0,0,13.469,0,0,0,0,0.825,0,0,0,40.41,0,0,0.718,0,48.795,0,0,0,0,0,0,0,29,0,0,0.003,0,0,0,0,0,0,0,1,0,8.406,0.689,0,0,0,0,0,0,10.217,170.516,0,0,6.461,3.071,0,52.541,0,0,1.854,1.126,0.005,0,0,0,0.025,0.009,3.75,0.29,0,9,3982.505,0,0,0,0,2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.276,0,0,0,1.246,0,0,0,0,0,0,0,0,0,1.911,0,0,0,0,0,0,0,0,0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021,0,0,0,114.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,0,0.687,0,0,0,0,3.114,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0.467,4.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,7.608,22.505,10.705,0,0,0,0,0,0,61.576,0,0,0,0,0,0,0,17.33,0,0,6.225,0.278,104.708,0.071,0,0,0,0.178,0,0,0.036,0,0,0,0,0,0.093,5.055,0,0,549.615,0,0,0,0,0,0,0,0,873.161,30,0,0,0,0,0,0,0.101,0,4697.992,0,28.487,0,401.431,0,0,0,0,0,0,0,0,57.065,0,0,0,0,82.577,0,0,0,0,0,0,0,0,0,0,0,0,4.321,0,0,0,0.103,21.197,0,0,25.699,0,0,0,0,0,0,0,0,225.915,0.079,0,0.084,1.359,0,11.707,0,0,0,0.543,22.549,0,0,0,0.361,0,0.9,0,0,1.023,35.44,0,0,0,0,0,0,0,0,0,3.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,8.846,1.405,0,0,0,0.411,0,0,0.922,0,0,0,0,0,0,0,10.279,0,0,0,0,20.656,0,0,0,0,0.268,0,0,367.75,0,0,0,0,0,0.14,183.818,0,0,780.559,0,0,0,0,0,0,0,0,25.222,86,0.016,0,0,0,22,173.766,0,0,118.573,0,1.176,0,0.955,0,0,0,0,0,0,0,0,18.613,0,0,0,0,17.658,0,0,0,0,0,0,0,2.387,0,0,0.005,0,179.431,0,0,0,0,32.31,0,0,0,12.161,0,0,0,0,0,0,0.738,0,0,0,11.724,0.3,0,25.557,0,0,63.908,36.433,0,0,0,0,0,52.074,0,0,0,376.436,446.16,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0.011,231.327,7.627,0,0,0,8.673,0,0,15.879,0,0,0.007,0,0,0,0,12.456,0,0,0,18.231,22.531,0,0,0,0.01,0,0,0,1.027,0,0,9,0,0,0,58.127,0,0,311,0,0,0,1.692,0,0,0,0,5.057,13,0,0,0,0,0,22.816,0,0,154.653,0,14.171,0,0.608,0,0,0,0,0,0,0,0,0,0,0,0,0,25.083,0,0,0,0,0,0,0,9.207,0,0.594,0.114,0,0,0,0,0,1.173,2.552,268,0,1,3.487,0,0,0,0,0,0,7,360.955,0.023,0,4.529,0.008,0,64.449,0,0,10.797,33.505,4.041,0,0,0,0,9.117,0,0,0,0.987,7260.226,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0.698,0,115.553,0,60.751,102.32,280.146,0.439,1.03,0.468,301.323,4.263,0,45.74,0,0,14.138,0,17,0,3.179,61.776,0.321,0,0.864,60.033,254.377,35.956,0.447,8.56,8.749,85.231,9.349,83.956,51.319,172.441,33.431,3.614,0.015,11.259,106.207,4512.268,0,2.097,6893.015,5.073,0,0,372.258,10.578,0,0,0.173,207.32,276.108,1.271,9.774,7.544,137.467,70.356,0,4.635,3.529,75.775,57.588,303.375,0,4.968,0,0,6.172,0.461,0.74,4.356,0,24.973,46.799,0,0,9.252,6.49,136.113,0,0,38.069,4.309,7.5,0,0,4676.461,0,2.379,9.203,0,162.039,0,0.536,0,31.81,2.056,27.537,405.561,48.256,108.329,0,0,0,9.184,41.054,2.332,140.434,39.402,68.476,0,45.476,114.289,31.714,3977.677,0,0,479.548,574.833,112.743,28.765,6.815,2.703,1.353,624.445,8.99,1.507,319.709,1251.805,727.974,9.989,0,48.45,0,13.146,0,114.306,0,0.743,10.169,0,0.878,0,8.672,0,0,37.473,22.844,0.574,0,2.09,0.864,6.739,0.133,0,0,0,0,0,1.908,0,0,4.344,0,0,0,0,0,4.285,0,4.079,0,0,0,2.751,4.808,0,0,0,0,0,0,0,0.451,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,2.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,2.245,0.254,0,0,295.755,2154.524,3614.705,0,947.58,24.504,68542.634,0,0.428,9066.069,0,0,197.309,0,24.8,19.108,0.645,43162.34,0,0,10.453,72.822,253110.881,17.554,0,0,5.022,24.608,20.4,15.003,31.408,2259.514,0,0.647,0,2884.521,16974.742,32507.125,0,0,124975.908,0,0,0,12.045,0,0,0,4.65,137368.353,10909.259,11.708,38514.872,70.338,427.882,12385.636,14142.792,1.335,0,0,0.67,43.382,28.272,268751.222,3.396,0,1.63,0,24.521,401.247,5365.911,1.834,28275.566,0,0,27.802,1.34,9339.301,9.64,0,286.604,5.969,9.433,0,0,7405.42,0,1.895,588.606,0,1210.895,2.347,2.125,0,30.768,71996.17,512.887,469.467,87,124.916,0,0,0,3.099,0.852,0,1388.3,154640.835,138.725,426,249.394,972.182,0.028,2595.706,0,0,11414.144,5791.561,76657.54,0,0,16.664,31.076,315.452,53.832,0.254,21.387,129340.972,495221.016,1.92,0,6.783,0,29,0,15.321,1.135,0,0.15,0,0,0,0.697,0,0,2.951,0,1.57,0,0,16.289,7.984,0,0.056,0,25.923,0,0,33.377,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0.097,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.651,6.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098,0,0,0,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,1.539,0,0,0,0,0,0,45.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,1.392,0,0,0,72.267,0,0,0.622,0,0,0,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,24.76,0,0,3.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,399.994,30.757,21.832,0,1.475,0,12.28,0,0,564.787,0,0,9.573,0,0,0,0,272.796,0,0,11.028,5.813,6278.137,25.085,0,0,0.5,0,0,3.219,16.147,11.001,0,0,0.338,0,40.682,503.972,0,0,1524.49,0,0,0,24.326,0,0,0,0,30025.362,340.374,0.035,295.558,38.366,1.852,387.957,48.539,0,0,45962.723,0,0.002,0,0,0,0,0,0,0.099,0,0.24,0,2509.552,0,0,0,0,1087.734,0,0,2.01,0,0,0,0,1666.693,0,0,6.166,0,11.826,3.582,58.366,0,0.561,9191.922,217,3.654,0,25.896,0,0,0,0,0,0,29.061,25293.083,5.322,2273.501,3.734,5.874,0,2588.027,0,8.94,2.05,65.468,1739.338,0,0,2.289,14.616,22.774,23.41,0,0,1030.529,7561.076,0.006,0,1.248,0,0,0,2.856,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,312.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0.87,0,0,0,1.524,0,0,0,0,0,0,0,0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.265,1.742,0,0,0,0,0.022,22.886,0,0,7,0,0,0,0,0,0,0,0,37.95,0,0,0,0,0,1.429,17.444,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,8.802,0,0,38.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745.962,0,0,0,0,0,0,0,0,0,0,0.786,177.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,1.638,0,0,0,0,0,0,0,0,0,0,1.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.456,0,0,4.91,0,0,0,0.451,0,0,0,0,0,0,0,0,1.523,0,0,3.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,0,0,0,0,0,0,0,0,0,0.393,0,0,1.132,0,0,0,1.44,0,0,0,0.891,0,0,0,0.649,0,0.565,0,0,1.423,4.546,0,0,0,0,0,0,0,0,0.178,3.796,2.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.878,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
