"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NFK","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","BTN","SLB","PSE","NRU","TLS","TON","BLM","FLK","ATF","GNB","DJI","HTI","COM","PLW","MHL","WLF","MNP","CAF"
"HRV",0,17.854,0,0,0,0,0,0,0,9.504,120.858,0.062,0,0,0,0,0.971,0,0,501.356,0,0,0,0,0,11.539,0,0,0,0,0,0.208,0,0,0,0,0,0.313,0,0,4.265,0,0,0,0,0,0,0.345,0.193,0.697,0.359,0,0,0,0,0,0,0,2.55,0,0,21.735,0,0,106.957,0,83.14,70.35,0,0,0,0,0,0,0,0,0,0,0,57.135,0,0,0,0,0.503,8,21.066,0,0,66.943,0,0,0,0,2.92,18.036,0,0,0,0,0,0,1.362,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,76.911,0,0.531,0,0,0,0,483.799,0,0,0,0,0,0,0.136,0,0,0,0,0,18.514,0,0,0,0,0.624,0,0,109.3,0.126,45.346,6.351,0,0,0,0,0,0,0,0,0,0,3.482,0,418.651,0,0,71.105,58.854,38.67,0,443.295,0,32.366,0,0,0,0,0,0,80.961,12.805,0,0,0.209,0,0,0,45.068,0.702,32.303,0,0,0,0,87.425,0.16,7.182,1.904,7.294,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.553,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,90.956,0,0,0,80.764,10.021,0,0,0,0,0,0.56,0,0,1.362,0,134.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466,0,0,0,0,0,0,0,22.291,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,3.384,0,0,0,0,1.228,0,0,0,366.441,0,0,0,0,0,0,0,1.984,0,0,0,0,0,0,1123,0.189,0,0,0,0,0,0,0,6.784,0,0,0,6.665,0,0.165,0,0,2.853,3.896,0,0,0,1.066,1.834,0,0,0,0,0,0,0.531,0,0,0,0,0,0,0,758.182,0,0,0,0,0,0,0,0,0,0,0,0,10.013,0,0,0,0,0,0,0,0,0,0,244.364,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0.197,7.431,376.217,0,12.185,0,16.265,0,19.769,0,0,0,0,11.247,0.71,0,0,0,0,0,0,40.009,0,0,0,0,0,0,0.339,4.847,8.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",1.49,0.018,10.284,0,0,0,0,2.685,21.746,275.415,2610.069,0,68.347,0,6.526,0,1573.03,0,0.519,17.634,3.959,92.751,0,0,0.333,2937.544,0,0,1264.289,0,0.082,338.102,0.121,0,27.373,0,39.327,478.11,0,0,78.896,0,1.976,0,28.243,148.212,0,129.79,0,0,7737.714,0,0.261,2.406,9.135,0.13,39.37,0,522.561,0,337.236,3939.621,0.152,0,76.865,0,48322.956,2.056,0,0,202.871,1.117,0,0,1.305,0,0,0.126,192.113,3252.991,12.967,18.542,1.838,2.037,223.108,708.465,2376.223,0.158,0,274.578,51.398,5.359,0.017,0,190.867,29.194,0.372,0,3.357,0,516.749,0,0,3276.18,172.208,0,0,0,18.575,898.158,0.156,47.591,0,10.435,2075.343,5.954,24.921,105.532,0,19.451,0,0,0,0,5209.735,0,0,41.877,0,0,0,94.269,0.05,0,9.955,0,0,736.396,0,350.082,0,0,0.486,99.051,0,5370.506,83.571,17.273,869.281,4313.152,0,0,0,0,0.809,0,0,0,0,12.135,0,133.61,19.255,0,96.553,189.637,16610.893,5.703,400.739,0,190.549,0.028,2094.963,0,0,0,0,1537.062,10342.153,0,0,171.31,0,0,0.323,25.609,1.387,307.515,0,0,0.01,541.613,1.682,30.815,4408.069,0.471,1927.774,9.795,11.664,11.938,3.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0.059,0,0,0,73.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",1.151,20.816,34.27,0,0,102.485,0,22.548,187.098,1018.511,872.11,87.453,1.249,47.741,150.568,0,2077.188,0.279,10.161,9.913,9.094,725.32,0,0,0.082,51.34,0,0,77.774,0,8.429,1245.819,0,0,68.484,0,901.635,3325.132,0,0,131.026,7.421,84.316,0,71.213,168.506,0,98.27,1915.869,0,0,0,2.215,5.392,11.549,0,0.548,0,997.963,0,2108.469,4422.094,0.726,0,20.809,0,20384.279,13.038,0,0,384.462,95.68,0,0,0,0,0,0,756.361,404.582,255.021,237.835,186.05,0,189.763,201.967,2704.788,5.11,2.985,2172.637,54.891,25.664,3.298,0,2215.323,46.83,1.6,0,57.739,0,333.019,0,5.259,274.231,29.725,0,0,0,498.897,0.136,0,18.592,0,15.762,646.693,13.852,27.555,0,0,20.722,0,38.103,1.219,29.677,2690.995,0,0,0,0,0.795,0,379.538,0,0,7.7,0,0,3775.086,0,6.33,0.993,0,10.874,306.627,201.654,1824.389,140.956,63.272,389.678,2026.897,0,0,0,0,0,0,0,0.676,11.352,160.737,0,62.486,0,0,520.649,1094.983,88.554,361.004,38.79,0,405.725,0.107,1491.812,0,0,0,0,10563.802,3038.09,0,0,471.862,0,0,0,889.697,0.419,1261.605,9.21,0,1.015,66.084,9.871,183.794,7332.444,1.635,7289.531,11.141,27.625,5.63,90.719,0,0.643,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0.681,0,0.639,366.182,0,0,0,0,0,0,0,0,0.651,0.012,0,24.391,0,0,0,0,0,0,0,0,0,8.378,0,0,0,0,0.426,436.554,0,0,8.157,0,0,0,0.158,0,0,0,0,0,0,0,0,2.533,0,0,0,0,0,0,1.4,0.272,0,0,0,0,1.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,0,0.357,0,0,0,0,0,2.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.615,0,0,0,0,1.093,0,0,0,0,63.536,0,0,0,0,0,0,148.113,0.081,0,0,0,0,0,0,0,0,0,0,0.391,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0.378,0,0,0,0,0,0,0,0,65.081,0,0,0,0,0,55.088,0,0,0,0,0,0,4.599,0,697.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.095,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.845,0,0,0,0,5.883,17.91,0,0,87.037,0,0,0,54.581,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.398,0,0,0.16,0,6.259,0,0,0,0,0,0,0,0,0,0,0,8.324,0,0,0,0,0,66.693,19,0,0,0,2.827,0,0,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,5.225,0,0,0,0,0,43.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.013,0.016,0,0,0,0,0,0,0,0.01,0,0,94.917,0,94.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.146,0.114,0,0,5.508,0,0,0,0.129,0,0,0,0,0,0,0,0,29.595,0,54.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.846,0,0,0,4.46,0,0,0,0,0,0,0,1.133,0,0,0,0,0,0,0,0,0.108,0,0,0,0,15.439,0,0,0,0,0,0,0,50.718,0,0,55.788,0,0,0,0,0,0,0,0,0,0,3.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.613,0,0,0,0,0,0,0,5.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757,0,0,0,0,0,0,0,0,27.899,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.206,0,0,0,19.608,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.612,0,19.834,0,0,114.512,1.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.895,0,0,0,0,5.3,0,0,0,0,0,5.179,0,0,0,55.94,0,0,0,6.448,0,0,0.147,0,0,0,55.915,0,0,0,0,0,0,0,0,145.94,0,37.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,12.95,5.351,7.731,20.717,0,0,0,0,0,3.746,0,0,0,0,16.068,0,0,0,0.837,0,0,51.9,0,0,1590.444,0,0,0,0,3.151,87.351,0,0,0.253,0,0,0,0,0,8.723,24.557,1.571,4.373,91.327,0,0,0,0,0,0,0,0,0,1822.554,123.665,0,0,0,0,77.178,0,0,0,1.248,0,0,0,0,0,0,0,0,5.404,0.721,20.897,0,0,8.533,0,3.46,0,0,4.545,5.42,0,10.072,0,7.862,14.128,0,0,2.083,0,1167.162,0,0,286.049,1.99,0,0,0,12.328,0,0,0,0,3.937,23.211,0,0,0,0,0.608,0,0,0,0,13.539,0,0,0,0,0,0,0.347,0.65,0,0,0,0,49.8,0,0,0,0,0.266,0.464,0,13.251,0.261,0,15.312,7319.972,0.55,0,0,0,0,0,0,0,0,0,0,7.31,0,0,8.948,1.833,153.311,1.167,13.329,0,3.289,0,0.531,0,0,0,0,8509.282,111.364,0,0.346,158.096,0,0,0,1.484,0,3.948,25.519,0,0,0.226,0,0,629.032,0,193.935,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,4.816,0,0,0,0,26.084,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,4.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,68.791,28.826,0,0.375,0.897,0,4.381,78.387,307.029,16.259,0,1.673,0,1.23,0,996.289,0,5.003,0,0,141.854,0,0,2.359,21.998,0,0,76.987,0,1.814,86.319,0,0,0,0,95.334,15900.574,0,0,10.1,0.29,0,0,1.128,2.247,0,1.916,284.703,0,1480.373,0,0,30.376,0.092,0.315,0.255,0,1055.637,1.012,0,775.207,0,0,4.073,0,7624.357,0,1.381,0,2.358,1.036,0,0,0,0,0,0,388.255,160.545,68.073,23.161,0,0,0.222,74.24,400.242,0,0,892.406,14.224,29.003,10.715,0,398.959,52.24,8.802,0,5.879,0,339.018,0,0,259.139,9.689,23.033,0,0,26.144,1.189,0,0,0,0,45.987,0,0.167,3.279,0,449.64,0,0.863,0.169,0,3471.013,0,0,0,0,0,0,10.444,0,0,0,0,0,939.699,0,0.298,0,0,4.938,131.145,3.817,117.091,7.776,3.567,183.993,5567.058,2.916,0,0,0,0,0,0,0,0,158.333,0,27.862,0,0,506.805,381.288,26.605,66.649,1106.453,2.391,57.678,0,377.715,0,0,0,0,2507.243,1199.654,0,0,117.468,0,0,3.12,14.226,187.203,17.636,0,0,0,2.831,44.454,0.041,2505.462,0,2242.861,0,2.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,132.949,0,223.265,262.306,0,110.764,1595.981,1635.679,1708.056,0,26.445,0,59.195,0,3674.631,0,36.26,20.811,9.249,1503.877,66.639,0,89.634,706.073,1,7.931,144.1,0,21.097,558.514,10.203,0,96.996,0,762.197,804.303,0,0,382.152,74.44,0,0,100.279,136.012,2.155,21.798,221.847,84.261,999.55,0,61.832,268.949,4.938,0,11.608,0,470.446,15.177,935.295,0,73.87,3.226,53.689,0,14059.543,9.121,0,0,1135.628,0,0.179,0,5.581,10.798,34.484,8.346,217.781,2738.557,25.959,213.235,261.429,71.489,29.165,696.017,17518.61,107.567,13.86,2009.506,378.612,64.27,5.236,0,1295.282,82.209,0.956,0,109.145,0,39.931,0,2.855,230.003,503.819,0,397.775,0,35.237,67.471,176.106,47.228,0,403.341,590.322,0,34.266,18.827,0,412.574,137.704,190.613,961.351,3.123,2595.135,0,2.747,0,0,155.518,0,475.993,0.73,42.597,10.221,0,0,175.584,0,42.402,4.678,0.959,31.128,52.256,36.389,1719.497,1777.881,232.218,1639.354,625.371,8.273,0,0,0,7.887,0.519,0,0,4.325,888.903,33.964,42.948,7.751,0,1067.486,652.495,82.55,242.629,256.312,0,482.663,0,9465.857,0,0,42.571,0,3502.081,4688.682,0,0,1010.728,3.305,0,49.657,208.203,189.325,4633.324,0,0,0,158.804,68.434,28.342,12117.955,36.849,9178.829,98.48,135.954,0,39.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.431,0,0,0,0,4.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.306,0,1.996,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.962,0.029,0,0,0,0.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,69.317,14.023,0,0.057,0,0,0,105.519,0,0,0,0,0,0,1.747,0,0,0,0,0,0,1.6,0,0,1.58,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,2.265,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0,0,0,27.447,0.218,0,0,0,0,0,0,0,0,0,0,0,0.692,0,0.13,73.17,0,0,0,0,0,0,0,3.485,4.145,0,0,0,0,0,0,0,0,13.307,0,0,9.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.663,20.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804,0,9.884,0,1.453,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,3.093,0,0,0,0.413,0,149.597,0,0,0,0,0,0,1.385,0,7.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",72.477,130.91,3665.81,0,99.092,133.512,0,866.327,1650.152,21605.864,114180.549,27.542,1876.938,309.482,197.923,5.117,89942.428,6.525,141.379,735.249,30.766,20386.591,0.592,94.404,46.86,4920.846,1526.209,4.786,12850.814,10.02,241.652,24333.282,1.446,20.132,162.092,7.376,3230.203,371460.177,0,0,4671.076,56.71,141.907,0,140.533,4408.932,699.175,668.89,60483.25,16.34,27710.28,1.037,131.221,411.98,101.124,133.215,473.659,14.702,8367.922,12.468,20303.821,229049.125,45.301,89.305,747.906,0.729,0,158.68,13.178,0,10126.132,0.163,4.104,0,137.462,52.771,2.087,31.755,46581.294,34792.063,1661.367,2425.534,1266.597,5591.581,2454.322,11502.63,96149.248,68.245,35.728,83245.174,768.657,761.506,314.734,0,45159.036,775.32,133.873,15261.644,1055.465,0,2582.397,1.241,404.143,4355.679,5894.1,73.965,6.094,29.904,28431.136,13.36,46.983,2940.34,27.569,97.674,23462.239,310.97,312.819,135.631,0,1874.41,32.297,760.205,287.29,89.848,194278.844,0.895,0.846,3.57,0,90.469,0.195,1521.715,31.761,8.075,2164.264,0,0,19863.442,0,1182.194,230.822,4.041,173.989,1561.354,4532.89,90781.067,7001.521,4177.833,21858.753,65155.047,131.784,0,0,0,25.581,2.418,1.629,193.283,0,3724.488,50.572,2793.22,39.958,0.282,33647.749,23078.305,19363.079,4051.3,5511.62,0,17573.574,63.236,89229.275,161.217,397.347,48.645,16.851,34613.559,93074.252,131.673,7.917,9871.047,2.195,0,83.351,18499.604,1036.52,38372.065,341.473,0,81.162,6043.06,441.973,3358.845,182497.879,102.951,421830.372,105.54,296.294,231.953,362.059,8.56,72.639,73.314,14.291,0,24.467,0,0,0,0,0,0,0,0,13.297,0,0,8.234,2.22,0,0
"GHA",0,0,0,0,0,3.501,0,0,0,0,22.879,0,0,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302,0,0,0,0,0,3.359,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.322,0,0,0,2.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167,0,0,0,3.43,0,0,0,0,0,25.284,0,0,0,0,0,0,0.584,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
