"DZA","ARG","AUS","AUT","BHR","BEL","BRA","BGR","CAN","CHL","CHN","CYP","CZE","DNK","DMA","ECU","EST","FIN","FRA","DEU","HKG","IDN","IRL","ISR","ITA","JPN","JOR","PRK","KOR","LUX","MDG","MYS","MEX","NAM","NLD","NZL","NOR","PAK","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","GBR","USA","VEN","FJI","MUS","PNG","SVN","QAT","MLT","URY","PRY","IRN","KGZ","VNM","SCG","BLR","ISL","CMR","PYF","GHA","TUN","UGA","BGD","GMB","HRV","GRC","ALB","BEN","SYC","LKA","AGO","LVA","KEN","KAZ","LTU","UZB","KWT","NPL","NGA","BRN","MMR","BWA","MOZ","ZWE","SWZ","TZA","ZMB","MAR","HUN","LBN","OMN","JAM","AZE","BHS","BRB","BLZ","COL","CRI","DOM","SLV","GEO","GTM","HND","NER","PER","LCA","EGY"
"HKG",0,0,0,0,0,0,0,0,0,0,273.162,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.102,4.427,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,3.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0,1.377,2.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791,0,0,0,2.129,1.102,0.119,0,0.139,0,0.252,0,0,0,0.361,0,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0,0,0,0,0,0,0.454,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,1.207,0,0,0,0,0,87.05,0,0,0,0,0,0,0,2137.771,148.119,0,0.066,0.497,0,0,12876.618,0,0,1412.567,0,0,13180.358,0,0,0,0,1.231,0,0,6.502,0,0,107.946,0,6.071,0,0,0,5.16,0,11.503,0,0,0,0,0,0,12148.463,0,0,0,0,0,9.5,13.197,32.58,0,0,0,0,23.28,0,0,0,0,0,0,0,0,0,0,0.241,0.553,2.173,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,0,4969.737,0,0,1174.577,0,0,2.551,0,6145.838,0,61.03,43.985,0,0,0,3508.807,1191.454,5043.823,67.379,8231.474,0,0,0,0,0,0,19045.845,2.99,0,82479.57,0,0,372.029,3.177,527.471,0,8.208,7.845,0,0,0,0,14.479,23.703,0,858.559,66.032,4716.091,1.749,10.452,0,0,0,73.516,26926.829,14719.33,0,0,0,0,0,6.537,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,0,0,0.834,0,519.444,0,13.4,0,0,0,0,0,0.944,0,0,0.056,0,0,1032.651,1943.401,0,0,0,0,0,0,0,0,221.4,0,12.77,0,0,0,0,0,3.657,0,0,6.504,0,0,0,0,0,0,0,0,0,214.637,8.534,1874.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
