"AFG","ALB","DZA","AND","ATG","ARG","AUS","AUT","BHS","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","CHL","CHN","COL","COM","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FIN","FRA","GAB","GEO","DEU","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","ANT","NCL","NZL","NIC","NER","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","AIA","LCA","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","SCG","ZMB","ASM","SLB","COK","FJI","PYF","GMB","GHA","KIR","GUM","GIN","MRT","NPL","VUT","FSM","TLS","TON","YEM","BEN","MDA","BDI","IRQ","MDG","NGA","AGO","AZE","MYT","GUY","COG","BHR","GRL","BLZ","CAF","LBR","LBY","SDN","TCD","GNQ","DJI","GNB","SPM","ATF","PSE","GIB","GRD","VCT","SUR","TKL","WSM","BMU","KNA","NIU","BTN","TKM","TCA","LSO","SHN"
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,4.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,348.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",15,0.404,30.799,0.315,0,601.571,1202.28,12382.531,0,1.111,2.875,2.899,11614.211,21.276,15.012,0,14664.764,0,0,421.015,1,188.154,0,5.79,3141.521,0,144.136,66.676,20888.77,37.309,0,0,5.905,227.692,33.226,1715.765,17804.982,11551.983,0,2.125,4.307,4.53,6.639,39,3562.035,9952.098,75357.902,3.991,13.966,0,1084.903,4.541,3,1,9030.957,24343.04,12.852,424.698,106.533,6407.362,2734.298,54867.32,2.9,20.457,14677.26,5.842,358,485.555,14,24092.753,10,1,0,30.089,47.662,116.392,13718.87,87,2,110852.203,0.203,166.686,515.798,3.137,361.811,2.789,0,110.263,0,0,150.671,0,37092.721,0,2.003,800.625,1,1.06,2078.158,0,0,35.342,1.129,0,2.269,23.746,46193.33,0,3262.079,15545.005,4,1188.526,3277.25,0.803,0,0.936,8,38.971,6.814,0,40,1166.164,2767.34,689.774,29.066,6184.787,0,17282.207,3.623,30400.546,0,22862.053,22268.663,25,0,3117.464,19,2.631,73,592.948,2469.764,5.849,567.673,5.553,62.662,30248.365,56.258,51925.375,109.146,2.585,9,36.94,89,197.03,0,0,0,0,1.398,4.564,15.895,0,0,0,33,0,0,0,26,0,1,0.81,3.765,0,154,30,52.914,30,1.001,0,1.664,0,24,1.815,0,0,12,4,234,32,0,0,0,0,169,8,1,1,1.271,7,8,2,0,0,0,0,0,0,0,0
"GRC",0,24.328,0,0,0,0,51.536,0,0,0,0,0,0.39,0,0,0,0,0,0,4.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,10.919,0.053,42.318,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0,201.109,0,0,0,0,0,5.969,0,0,0,0,0,0,0,0,0,0,0,757.685,0,0,0,0,0,0,0,0,0,0,0,0,2.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.814,0,0,0,0,0,407.87,0,0,0,0,0,0,0,8.265,0,0,0,0,0,0,0.417,0,0,0,0,0,0,0,0.919,0,0.06,0.47,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,4.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,10.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,4.771,0,0,0,0,0,0,0,0,0,2.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",63.896,0,0,0,0,279.266,652.287,32.037,0,2.517,0,0,44.037,0,0.407,0,703.803,0,0,123.825,0,7.802,0,0,328.799,0,22.491,6.91,50560.646,60.695,0,0,1.382,19.195,0,1.771,242.349,486.821,0,4.041,0,3.699,0,0,237.445,276.138,510.931,0,0,3458,21.666,4.259,0,0,0,8610.184,0,90.976,14.813,39.558,642.28,829.76,0,0,40102.865,4.734,0,1.35,0,12560.501,0,0,0,0.074,60.675,75.07,0,360.92,0,15713.571,0,0,16.356,1.189,410.877,0,0,0,0,0,0,0,1210.415,0,0,67.391,0,0,11.601,0,0,4.478,0,0.559,0,2.133,2961.048,0,145.689,102.451,0,23.544,7.897,0,0,0,0,69.031,0,0,0,534.864,5659.8,117.265,43.438,18.565,0,659.012,0,619.668,0,481.98,259.544,102.689,0,2456.825,0,0,295.073,0.681,522.16,4.147,7.556,0.558,95.192,5360.452,1.293,3420.018,0,11.414,0,19.115,49.533,0,0,0,0,0.016,0,0,0,0,0,0,0,13.295,0,0,0,0,0,0,0,0,0,0,0,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0.003,4.533,538.712,0,0,0,0,3.168,0,0.897,0,6.595,0,0,0,0,12.7,0,0,15.848,0,0,0.512,4.679,0,0,0,0,5.463,0,0,357.925,2.082,0,1,0,0,0,0,15.319,39.769,172.554,0,0,11537.206,0.566,0,0,0,88.627,0,0,0,0,2.133,2,171.62,0,0,13,0,0,53.179,0,2,0,0,0,0,0.529,0,0,0,0,12.139,0,0,0,0,2,0,0,0,0,0,0,0,50.712,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,107,4.265,0,20,10.05,0,0,0,0,0,0,0,0,1,860.298,7.006,0,8.808,0,1.355,0,112.519,0,5.526,246.678,0,0,369.463,0,0,0,0,8.187,0,15.86,0,0,71.581,0,216.842,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0.35,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.902,0,0,3.126,0,0,0,0,0,0,0,0,0,15.8,0,0,0.617,0,0,0,0,0.649,0.452,0,0,4.377,0,0,0,0,0,0,0,0,0,0,0,1.075,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.855,0,0,0,0,0,0.457,0,2.675,0,0,0,0,0,2.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.866,0,1.402,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,3.355,0,11.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0.247,89.916,0.907,0,0,0,0,0.821,0.493,0,0,109.7,0,0,0,0,0,0,0,89.331,0,2.728,3.497,1073.872,0.151,0,0,0,0,0,0,0,16.066,0,0,0,0,0,0,0.741,0.904,4.524,0,0,169,0,0,0,0,616.538,3,3.833,0,0,0,0,148.507,0.411,0,10547.291,0,0,35.123,0,1059.638,0,0,0,0,0,0,0,0,0,1154,0.042,0,0,0,200.819,0,0,0,0,0,0,0,7.919,0,0,0,0,0,8.258,0,0,0,0,0,0,0,11.878,0,0,0,0,1.233,7.753,0,0,0,0,0,0,0,0,1.631,18496.517,0.316,0,0,0,0.369,0,12.621,0,13.262,0,0,0,19.828,0,0,0,0.797,0,0,5.53,0,0,1.383,0,822.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.476,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,20.991,23.577,0,0,0,0,7.889,0,0,0,1.935,0,0,0,0,0,0,0,32.022,0,0,0,17.147,0,0,0,0,0,0,0.126,0.771,43.914,0,0,0,0,0,0,0.688,0.262,284.835,0,0,327.271,0,0,0,0,0,0,0,0,0,0,115.818,1105.282,0,0,4.944,0,0,0,0,1.063,0,0,0,0,0,0,0,0,0,5.204,0,0,0,0,6.561,0,0,0,0,0,0,0,37.445,0,0,1.389,0,0,155.508,0,0,0,0,0,0,0,0,0,0,8.52,0,10.479,0,0,0,0,0,0,0,0,0,5.788,1.416,0.324,0,0.602,0,1.037,0.02,99.958,0,33.208,38.308,0,0,0,0,0,0,0,1.6,0,0,0,0,220.601,0,756.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0.322,1.132,0,0,0,0,0,1.653,0,0,0,22.802,0,0,0,0,4.5,0,0,49.199,0,0,1.623,4.624,0.076,0,0,0,2.469,0,0,3.437,77.478,0,0,0,2.482,0,0,0.504,0,130.062,0,0,114.659,0,0,0,0,5,15,0,0,0,3.111,0,578.708,0,0,450.093,0,0,11.975,0,14.513,0,0,0,0,0,4,0,0,0,0,0,0,0,0,101.846,0,0,0,0,0,0,0,4.525,0,0,0,0,0,0.517,0,0,0,0,0,0,0,3,0,0,18.549,0,6.714,4.306,0,0,0,0,0,0,0,0,7.248,0.812,0,0,8.748,0,0.611,0,75.361,0,13.014,4.531,0,0,27.984,0,0,0,0,27.362,0,0,0,0,20.113,0,92,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,1.757,146.152,0.834,0,59.723,92.374,93.329,0,3.765,0.172,0,103.258,3.692,2.332,0,493.993,0,0,41.942,0,25,0,1.676,107.919,0,46.164,76.37,78.275,23.431,0,2.648,30.028,294.574,31.077,4.286,145.197,136.949,0,23.601,41.096,3.217,8.23,12.811,0.179,52.877,5110.859,0.196,2.309,8326.775,3177.499,6.586,0,0,106.082,109.666,0.897,16.098,7.414,229.902,1035.673,0,6.487,4.011,55.815,4,54.749,263.741,0,59.421,20.083,0,0,15.834,13.639,127.736,0.517,0,0,20.209,1.654,0,163.847,6.401,125.726,0,0,108.773,22.069,0,0,0,2756.57,0,3.029,173.63,5.493,0,28.416,0,0,26.754,0.627,0.519,0.973,7.499,31.608,0,90.142,269.57,0,411.01,55.431,24.139,0,0,0,22.005,1.027,0,0,80.473,31.9,16.305,37.929,155.001,0,295.386,0.076,4347.711,0,375.733,631.02,11.984,0,188.099,0,10.398,155.961,8.811,476.226,58.299,17.52,1.73,67.912,1053.749,1.154,1816.596,1.197,6.671,0,18.941,9.491,0,0,0,0,0,13.551,0.154,0.167,0,0,0,0,0,0,0,0,0,0,0,2.71,3.413,2.572,49.114,4.207,23.92,0.93,0.238,0,14.899,0.439,0,0,0,0,1.075,26.329,23.131,0,0,1.727,0,0,0,0,0,0,0,0,0,1.309,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",20.248,0,23.174,0,0,566.622,6992.673,7731.232,0,2258.684,0,0.012,72483.203,56.343,0.9,0,15393.53,0,0,557.189,0,229.6,350.959,4.39,15556.507,0,33.319,36.875,622111.986,60.052,0,0,0.807,366.486,9.785,9.412,2020.97,1291.308,0,0,5.764,2.354,212.4,0,33252.33,15336.835,22873.454,0,32.968,318341.407,32.304,0,0,6.559,309052.461,54531.352,11.769,22731.596,184.186,591.761,17588.73,15673.156,0,0.026,0,0.7,0,1.843,17.194,421707.787,0,0,0,5.227,0,2.726,205,1757.974,0,111368.809,0,24.521,22.256,0.549,11298.82,1121.005,0,248.488,5.794,2.778,0,0,19488.105,0,0.941,538.813,4.738,0,863.333,0,0,15.032,0,0,0,38.26,140312.751,0,586.637,1121.446,5.737,677.425,1133.289,0,0,0,0,17.511,0.224,6.317,0,8974.016,159853.083,632.977,514.863,185.28,0,369.311,0,7680.354,0,3441.074,8679.28,1.904,0,132976.243,0,0.416,18.647,31.498,595.512,0,343.849,2.251,22.711,24481.997,92.492,310551.978,2.218,2.235,0,2.213,2.068,0,0,0,0,0,1.137,6.964,0,0,0,0,0,44.554,0,0,0,0,0,0,0.151,0,0,5.21,0,19.824,0,0,0,0,7.476,0,0,0,234.73,0,4.058,0,0,1197.402,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,19.671,0,0,0.849,0,0,0,0,0,0,0,6.734,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0,0,0,0,0,24.049,0,0,71.822,0,0,0,0,0,0,0,0,0,0,0,45.875,0,0,0,0,81.183,0,0,0,0,0,0,1.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.098,0,0,0,0,0,0,0,0,0,0,11.767,0,0.008,0,0,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0.2,0,0,53.798,49.026,29.324,0,42.328,0,0,32.112,0,4.264,0,2710.794,0,0,0.364,27.727,0,0,0,380.068,0,155.061,28.621,36545.459,5.379,0,0,2.716,0.73,1.27,5.496,26.539,13.919,0,0,1.529,0.134,0,0,55.947,48.971,247.17,0,0,1990.872,0,1.892,0,0,61185.851,1293.941,0,1314.339,7.324,4.841,369.645,162.559,0,0,43349.333,0.071,1.482,0,0,0,0.067,0,0,3.295,0,0.4,0,27.307,0,249.583,0,0,0,0,528.285,0,0,3.146,0,0,0,0,109.947,0,0,0.2,0,0,4.425,0,0,7.5,0,0,0,7.01,1476.626,0,103.455,1.792,0,1.97,18.027,0,0,0,0,74.89,0,0,0,13.739,9743.783,292.062,243.113,3.277,0,143.453,0,42.269,7.74,105.507,177.905,0,0,1936.608,0,0,202.715,8.037,148.332,0,0.5,0.038,4.915,1106.423,0,5851.397,0,0.084,0,1.93,0,0,0,0,0,0.558,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
