"AUS","AUT","BHR","BEL","BTN","BIH","BRA","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KOR","LVA","LTU","LUX","MYS","MEX","MOZ","NAM","NRU","NLD","NZL","NOR","MNP","PAK","PRY","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","USA","QAT","NGA","IRQ","ECU","LKA","DZA","BHS","BWA","SLB","MMR","KHM","CHL","COL","ETH","IRN","KGZ","MUS","MAR","OMN","NPL","SRB","UZB","WSM","EST","MDV","MLI","SYC","CRI","MLT","SDN","URY","ZMB","BGD","TLS","GHA","MDG","TUN","MAC","SWZ","PLW","KWT","NIC","AGO","COM","ISL","BRN","COD","KEN","LSO","MWI","CUB","PER","LAO","GRD","TCD","SEN","UGA","TZA","ZWE","LBY","ATG","ARG","BRB","IOT","CYM","DOM","GEO","GTM","HND","CIV","NER","PAN","KNA","VEN"
"HUN",0,0,0,9.148,0,0,0,0,0,0,14.736,0,0,2.936,0,0,4.264,5.712,0,0,0,0,0,0,5.323,6.761,0,0,3.043,0,0,0,0,0,0,0,0,0.036,0,1.203,0,0,0,0,0,0,0,1.561,0,0,5.617,0,0,0,0,0,0,4.953,0,0,0,0,0,0,1.243,15.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.921,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,1.4,0,0,0,0,0,0,0,0,2.701,0,0,0,0,0,2.547,16.974,91.484,298.078,0,16.35,0,0,0,0,0,0,1962.748,0,0,0,25854.633,0,0,0,0,0.001,0,0,0,0,0,0,45.594,0,59.652,88.081,0,0,0,0,56.593,2.175,0,57.123,0,19.052,0,0,0,0,0,0,1.928,19.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.633,5.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",7889.433,0,0,176.677,0,0,3.905,0,0,0,49358.387,0,0,612.381,0,1622.932,22.508,3481.828,0,4508.301,3.109,14038.256,0,0,8557.343,0,0,0,86435.368,0,0,0,41080.349,0,0,0,0,0,0,1708.75,0,0,0,5.651,0,0,0,0,0,1.801,3010.402,0,60.786,0,1382.242,0,0,0,170.357,0,0,0,0,0,17025.116,12583.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.704,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,54.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0.072,94.527,0,0,0,0,0,0,0,0.008,1078328.88,0,0,0,0,0,18.961,97.155,0,11677.92,0.323,2.025,0,0,4610.111,6951.635,0,0,0,0,0,0,2390.463,0,0,0,0,583.44,0,1648.655,0,10,0,0,0,0,0,1869.462,0,0.348,194.508,0,169.662,0,0,10.811,0,4.353,0,0,0,0,0,0,1.75,484.428,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.706,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,4.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.297,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,216.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
