"AUS","AUT","BHR","BEL","BTN","BIH","BWA","BRA","BRN","BGR","BLR","CAN","LKA","CHN","CRI","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GHA","GRC","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KOR","KWT","LVA","LTU","LUX","MYS","MLT","MEX","NAM","NPL","NLD","NZL","NOR","MNP","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","TCA","UKR","EGY","GBR","USA","ZMB","CMR","FJI","QAT","IRQ","GNQ","NGA","CUB","ETH","DZA","BHS","KHM","DOM","IRN","MUS","PLW","PAK","SRB","ZWE","SDN","UGA","UZB","TUN","URY","KGZ","LBN","BEN","BGD","SLB","TLS","MAR","MOZ","TZA","NIC","AGO","AZE","MMR","LSO","MWI","SWZ","BOL","GTM","GMB","KEN","OMN","RWA","LBY","ARG","CHL","ATG","BRB","BLZ","CYM","COL","ECU","EST","GRD","HTI","HND","JAM","KNA","SUR","TTO","VEN","COD"
"DEU",323.141,10.902,0,62.031,0,0,0,0,0,23.352,0,1001.885,0,600321.653,0,0.039,3.436,1816.025,2962.129,2843.101,915.845,0,0.102,0,17708.69,43.283,0,0,0,92.216,2940.149,127329.547,0.945,1.706,67016.924,1.354,1.127,109.015,0,1788.41,0.208,0,0,0,1214.866,0,20793.321,0,0.705,62.215,4.599,9.865,6271.401,2.425,75.657,86724.432,0,0,0,0.877,85.553,125.535,967.041,221.059,0.845,1.785,0,4162.939,0,3495.357,48509.875,0,0,0,1704.53,0,0,0,0,14.399,0.719,0,0,0,0,5.837,0,0,0,0,0,0,0,0,3.824,8.554,1.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.098,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",2.009,0,0,0,0,79.142,1.786,0,0,0,0,0,0,456.266,0,0,0,0,0,0,0,341.076,0,0,0,0,0,0,0,0,0,189.966,0,0,19.053,0,0,0,0,0,0,0,0,0,1.407,0,0,0,36.076,0,0,0,0,0,336.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.856,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,2.631,0,0,0,0,0,0,0,0,0,0,0,6.337,0,0,0,1.552,0,0,0,8.404,0,0,0,0,0,0,0,0,0,7.01,0,0,0.993,0,0,0,0,5.329,0,0,0,0,0.003,0,0,0,0,1.643,0,0,0,0,0,4.267,0,0,0,0,0,0,0,0,0,0.542,0,0,0,1.656,6.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,46.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,0,0,81.167,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,0,0,0,0,0,0,29.294,0,0,0.159,0,0,0,100.004,0,0,6.638,13.456,0,71.956,828.955,0,0,14.592,0,0,0,0,0,0,2358.619,0,0,18.637,0,31932.553,2.909,0,0,0,0,0,0.133,0,0,59.857,0.095,3.539,60.451,0,0,1.179,83.537,0,2.239,0,164.869,0,0,0,14.806,33.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,3.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
