"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LSO","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","ZMB","ARM","LBY","NIU","PSE","SSD","SDN","UZB","AGO","BDI","CAF","GMB","KGZ","CYM","BMU","GRD","MYT","ERI","DJI","GAB","GRL","FSM","MHL","PLW","GNB","SOM","TKM","YEM","WLF","GIB","BLM","BTN","BES","COK","TUV","ATF"
"DNK",0,13.288,2.437,0,0,0,0,95.585,72.868,1209.535,0,0,3.73,0.377,90.868,0,3.947,0,9.589,0,0.027,0,0.378,0.192,0,10.3,0,0,53.197,7.851,3.491,0,52.967,197.279,0,0,1.168,0,0,0,8.951,109.181,0,0.375,233.991,0,0,0,0,1.848,0.462,0,0.194,147.804,0,3.401,512.633,638.008,0.475,0,10823.349,27.386,0,2.065,0,4.724,0,0,0,0,628.592,0.736,309.296,22.734,0,0,108.026,41.847,412.201,2.688,0,206.303,3.435,3.052,47.008,0,17.373,6.258,0,5.725,0,3.313,1.451,89.785,8.954,0,47.683,7.325,46.711,0.269,0,6.873,53.545,1.73,57.207,0,0.087,0,0,19.151,0,0,0,0,0,3964.893,0,0,0,0.549,0,24.804,0,0,0,1133.239,1.171,0,0,0,1.215,1.803,833.181,60.591,0,630.749,0.916,8.291,0,0,0,0,0,0,0,0,481.534,0,4.369,0,0,47.939,75.546,21.834,2.708,4.687,62.458,0,414.666,18.475,0,2841.698,302.129,0,0,318.485,0.017,0,0.108,276.253,0,44.047,0,0.203,3.482,0,12.17,638.787,0.362,2633.323,0,25.42,22.432,0,0,0.108,5.054,0,0,7.213,0,0,0.039,0,0,0,0,0,0,0,0,0,5.047,0,179.495,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,11.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,1.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,1.142,0,0,0,0,0.478,33.783,0.699,0,0,0,0,0,0.92,0.166,0,1.383,0,0,0,0,0,0,3.6,0,0,1233.691,0,0,0,0.727,7.276,0,0,50.328,0,0,0,78.286,0,0,0,10.724,0,0,0,0,2.654,3.394,0,0,0,0,0,0,28.864,0,0,4.786,0,0,0,0,0,0,0,9.623,0,0,0,3.768,0,0,0,7.047,0,0.023,0,0,0,0,0,0,0,73.067,0.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034.858,0,0,0,0,0.089,0,0,0,0,0,1220.45,0,0,0,0,0,0.256,0.842,0,0,0,0,0,0,0,7.281,0,8.49,0,0,0,0,5.453,0,0,0,0,0,0,0,0,0,0,0.995,0,0,0,1.686,0.875,0.49,0,45.99,0,90.072,0,0,0,0,0,0,0.124,0,0,0,2.92,0.512,3.848,0,0,0.665,0,0,0,0,7928.18,0,3.604,0.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0,0,3.224,0,0,0,0,0,0,0,0,0,1.386,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,6.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.994,0,0,0,58.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.788,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,58.525,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0,0,1.532,0,0,0,0,0,0,0,7.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,1.491,0.318,0,0,0,0,0,0,0,0,1.161,0,0,0,0,0,0,57.879,0,0,1.359,0,0,0,0,38.1,0,0,0.063,0,0,0,0,28.96,0,0,0.023,0,164.097,0,0,0.387,0,0,0,0,0,0,1536.272,1.137,0,0,879.348,0,0,0,0,0,0,0,0,0,2.143,0.132,0,0,0,0,0,0,0.313,0,0,0,0.577,0,0,0,0,0,0,0,0,85.522,0,154.498,0,0,0,0,0,0,0,0,0,0,1.231,2.623,0,0,0,17.832,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,9.889,0,0,0,0,0,0,0.543,0.482,0,25.179,0,2740.218,0,0,0,0,0,0,0,0,185.334,0,0,0,0,0,0,1.496,1.19,0.022,6472.99,0,5.693,0,0,210.941,4.453,0,0,0,0,0,0,0.225,0.003,0.249,0,0,0,0,0,3.026,0,1.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,5.862,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,63.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,7.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0,0,0
"FIN",0,0.32,10.481,0,2.626,0,0,1.938,12.904,2.243,0,0,0,0,428.451,0,1.182,0,123.488,0,0,0,0,1.052,0,3.47,0,2.214,89.66,124.957,80.907,9.198,115.312,45.385,0,0,1.551,0,0,0,8.274,26.817,0,0,0.208,0,546.918,0,0,0.219,0,0,116.958,2072.52,0,0,0,148.544,0,0,485.16,0,0,0.265,0,0,206.698,0,0,0,12.596,7.075,20.039,0,0,0,139.493,0,141.851,7.428,0,13.4,4.796,11.96,736.578,0,33.909,0,0,0,0,268.134,0,143.647,0,0,7.72,0,0.306,0,3.86,20.126,139.598,0,0.253,0,0,0,0,57.818,0,0,0.061,0,0,100.615,0,0,0,143.092,0,5.932,0,0,19.619,64.349,34.89,5.145,0,0,3.904,6.336,72.78,7.709,0,0,1.302,562.789,0,0,0,0,0,0,0,0,45.601,8.864,0.532,0,0,115.826,120.733,4.461,3.542,1.462,15.867,0,17.748,0,0,1204.018,13.063,0,0,0.76,0,0,0,253.579,0,20.185,0,4.365,43.433,0,0.113,49.773,3.838,546.801,7.72,0.972,0,0,0,0,0,0,0,299.315,146.509,0,0,3.86,0,0,6.269,0,0,0,0,160.455,0.42,0,0,0,0,0,0,60.795,0,0,0,0,0,0,0,0,0,0
"FRA",49.805,0,1789.028,0,10.138,0,0.445,404.064,194.935,448.857,1.846,66.173,41.681,0,8985.877,3.5,11.926,0,1039.017,0,0,0,0,3678.549,1.149,4.425,1.948,136.503,3540.941,11.221,1.524,23.05,13.789,85761.877,0,0,25.204,107.921,246.159,68.83,1.399,168.194,0.07,49.682,331.628,123.616,1959.111,0,303.005,3.096,2.243,0,0.131,36.701,0,0,2489.393,0,699.72,0.001,65450.988,4.734,0,1203.745,0,0.896,129.818,6.639,188.504,0,3014.989,2685.79,0.579,501.405,0.574,0,1214.296,38868.007,18416.361,686.245,0.156,4619.445,4887.832,62.637,154.337,0,12439.793,84.036,3.021,55.352,0,13.702,0,1161.969,3074.63,0,150.775,0,217.178,2.85,266.342,77.979,238.667,281.09,127.5,6.639,100.239,0,0,711.409,4.94,0.077,0,0,86.19,7334.23,0,0,12.296,460.186,0,27.779,1.156,192.289,225.545,30.515,11.543,0,0,0.077,192.68,193.158,1844.014,5753.153,0,0.975,5752.6,17465.364,0,0,0,0.897,10.653,5.066,0,0,130.114,1029.857,9.19,0,0.122,3522.629,5537.256,351.845,1.981,692.474,760.593,0.209,5873.025,0,0,8795.682,10189.228,0,0,1104.522,119.292,0,28.369,433.147,2016.503,6250.743,0,103.207,13.528,0.248,125.74,15426.95,52.684,16929.703,250.843,9.85,37.642,0,1.974,0.151,3.758,0,0,0,2.632,0,14.43,6.792,2.792,8.055,0,0,0,0,23.2,0,8.327,50.274,0,0,0,0,30.059,0,0,0,0,5.619,60.59,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393,0,0,0,2.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.082,0,0,0,20.961,0,0,0,0,0,6.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",5.657,184.291,459.729,0,0.903,0,189.346,598.639,31587.851,176320.144,0.035,21.379,626.241,57.835,79760.08,26.612,323.644,0,12849.822,3.763,0,2.387,38.691,31865.175,0,1011.129,45.647,109.771,3780.754,46.25,940.633,37.676,5184.95,49571.78,0,0,1164.005,0,1087.073,33.272,36.164,4260.041,61.724,16440.846,72518.768,129.942,68434.408,2.921,488.781,39.393,199.832,0,71.491,8704.734,0,33.595,3178.872,323992.963,259.708,61.161,0,242.164,0,136346.001,0,38.445,148.297,1.483,565.059,3.452,27481.635,82691.7,73.384,1555.997,130.803,55.464,9451.613,40362.27,476344.73,153.95,318.466,282579.666,3962.122,664.978,406.432,0,6582.915,1101.326,55.099,285.93,18.465,2244.586,109.739,12831.514,14200.833,0.025,95.156,22.076,226817.831,27.218,68.858,7578.374,254.977,298.643,5833.965,3.934,30.241,20.814,0,808.709,0.721,154.233,1010.169,0,8.513,228569.522,2.758,10.796,0,11.285,0,327.973,36.627,34.72,1611.71,3105.016,233.709,48.989,1.472,189.569,264.827,28313.447,96850.543,58526.5,0,1572.924,111127.743,18040.329,33.441,10.692,0,11.951,0,45.099,128.596,0,2386.036,96.247,302.723,145.478,285.317,27034.171,7802.478,24535.66,933.323,16264.582,38862.703,35.887,75636.279,105.649,0,25421.427,104056.955,2.936,4.155,10503.862,34.391,0,15.743,1114.157,5287.096,28159.289,0,350.723,5384.658,6032.958,524.522,259808.672,431.294,94905.754,524.422,29.859,100.106,0,109.717,32.669,39.757,0,0.958,66.048,38.924,24.318,239.023,178.613,35.888,8.556,2.68,0,0,2.581,0.216,215.212,21.412,10.731,0,0.824,0,0,10.894,12.12,7.561,11.168,0,0,0,0.067,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,1.208,0,0,0,0,0,0,0,0,0,0,0,19.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.593,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.171,0,100.145,50.009,0,0,0,0,0,0,0,0,0,0,0,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,39.797,0,0,0,0,0,0,0,863.937,0,0,0,0,1040.833,0,1.441,0,0,0,0,0,0,4339.534,0,0,0,2.353,0.347,0,0,0,1025.259,1.017,0,0,0,0,0,44.825,0,4.673,0,2774.598,27.891,0,798.661,0,31.821,0,0,0,0,0,0,0,0,165.733,0,0,1526.091,0,0,0,0,0,0,0,0,0,3.736,597.608,0.491,0,0,0,0,13.042,3579.073,0,0,0,0.82,0,0,0,0,0,0,0,0,0.756,0,0,0,0,0,0,0,0,0,522.593,0,0,0.439,0,0,17.115,0,4.121,0,0,25.485,0,0,2109.251,0,0,0,0,0,0.177,0,0,1.165,0,0,0,0,0,0,0,0,0,0,0,11113.577,0.859,0,0,0,0,0,0,0,0,0,0,11.003,0,0,0,20.957,45.82,50.238,18.66,0,0,3.809,0,0,0,351.623,0,0,10.357,0,0,0,2.064,0,65.872,0,0,0,103.865,0,387.863,0.347,96.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.774,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.482,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.895,0,0,0,0,6.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,4.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,11.508,0,0,0,0,0,215.889,3131.386,663.575,0,3.099,2570.106,10.601,773.999,9.584,4.549,81.256,2479.107,0,77.15,0,1.713,600.038,0,8.927,70.501,7.806,805.222,0,88.943,0,29.226,114049.357,0,0,86.554,0,0,0,26.028,91.01,0,8.564,213.417,5.001,440.676,0,0.651,33.785,1.649,1.473,1.075,122.649,0,20.372,90.904,1483.825,5.373,12.783,22476.458,20.006,121.205,856.114,7.276,264.514,0,38.83,5.842,0,0,1464.952,13.414,13120.089,184.189,0,634.533,6155.778,2274.53,0,41.003,2014.79,5.995,0,282.218,0,22007.225,2.101,0,7.988,0,114.138,0,13.243,399.557,2667.856,0,59.932,12343.82,45.613,0,263.48,0,46.163,2624.74,0,0.321,14.674,0,29.515,2.4,10.166,19.048,0,0.022,23217.528,0,1.64,0,0.737,2.648,431.131,27.755,0,34.93,620.54,793.256,268.327,0,7.985,5.687,4976.361,136.336,8.025,0,16.114,93.248,508.35,8.692,5.779,0,1.525,0,367.862,63.335,0,68.683,6.784,38.9,0,0,9159.732,10391.797,161.071,1740.4,223.427,708.902,162.596,874.422,0,0,700.305,6818.397,0,0,35201.516,0,0,0,22.195,23.417,419.072,0,262.511,362.287,86.737,22.955,11340.965,134.959,14048.697,2.945,55.436,1069.792,0,9.477,0,0,0,0,0,0,0,32.343,0,0,3.436,0,0,0,0,0,0,0,0,0,0,0,2.447,0,0,0,0,0,8.178,0,0,0,0,0,0
