"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","STP","SLB","KIR","VUT","NFK","PLW","SSD","BTN","ERI","CAF","SPM","TCA","GMB","MHL","GNB","ATF","PCN","FSM","BES"
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,2.798,0.494,0,2.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0.831,0,1.466,0,0,0,0,0,0,0,0,0,0,0,0,35.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,1.79,0,0,0.004,3.212,0,0,0,0,0,0,0.05,0,0.277,0,0,111.136,0.035,0,0,0,0,0,0,0,0,0,10.813,0,0,0,0,0.12,3.02,0,0,0.555,0,0,0,0,0,0,20.108,0,0,0,0,0,21.536,3.452,79.417,0,0,0,0,0,0,0.536,0,0,0,0,0,3.884,0,0,0,0,0,0,277.041,0,0.207,0,54.795,0,0,0,0,0,0,0,0,0,0,16.622,331.489,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.509,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,1.307,59.178,0,0,0,0,0,38.769,35.665,0,0,2.507,0,0.05,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.986,0,0,0,0,0,1.15,0,1.771,0,0,0,0,0,0,0,84.084,0,0,0,0.655,0.004,0,0,0,0,0,0,0,0.004,0,4741.847,0,0,0,39.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,7.424,0.18,0,0,0.216,0,0,34.883,88.122,263.996,0,0,0,14.46,0,0.768,0,0,346.936,0,2.612,0,0,0.167,0,69.603,0,0,0,0,0,0.609,0,0,0,0,0.705,106.434,0,0,1.106,0,0,0,0,0,0,0,2.038,5.181,0,3.721,0,0,0,0,0,0,0,0,0,0.068,14.496,0,0,0,2.73,0,382.128,0.272,0,33.928,0,0,0,0,0,0,0,0,2.546,4041.906,0,2.653,5.118,0.379,0.483,7.93,93.737,0,0,8.033,0,0,0,0,10.587,0,0,0,1.027,0,1.645,0,0,0.464,1.08,0,0,0,0,0,0,0.796,1.56,0.608,0,0,0,40.936,0,1.5,0,1.966,0,0,0,727.805,0,0,0,0,0,0,0,0.151,0,3.09,0,0.173,0,0,0,0,0,226.813,123.129,0,2.092,95.501,10.178,0,0,0,0,0,0,0,0,5.16,0,179.21,0,0,3.875,10.322,24.257,40.356,547.457,0,18.917,0,16.423,0.834,0,0,3.513,12.618,0,0,1.071,0,0,0,0,62.104,0,3.997,0,0,0,50.968,0,102.754,0,96.381,0,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158,0,0,5.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,31.64,93.582,0,0,0,0,0,4.748,0,0.819,0.699,0,15.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156,0,0,0,0,0,50.362,0,0,0.943,19.923,0,0,6.005,0,0.953,0,3.177,0,0,0,0,0.921,0,0,4.687,5.632,0,0,0,0.462,0,14.307,1.133,0,1774.049,0,0,0,0,0,0,0,29.775,131.026,7.115,0,0,1.889,1.382,0.123,850.309,27.704,0,0,0,0,0,0,0,0.803,0,0,0,64.397,0,5.089,0,0,0.001,0,0,0,2.211,0,0,0,0.716,0,25.412,0,0.173,0,0,0,0,0,0,0,0,0,62.415,0,0,0,0,0,0,0,0,0,1.043,0,0,0,0,0,0,0,97.819,6.618,0,0,130.72,10.713,2.902,0,0,0,0,0,0,0,3.745,0,0.022,0,0,0.171,2.691,0,0,10.178,0,0.456,0,2.54,0,0,0,0.467,15.654,0,0,3.083,0,0,0,0,23.499,0,3.089,0,0,0,0.433,39.456,15.41,0,22.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,43.197,25.761,0,0.606,0,0,2.008,81.453,1585.008,13203.019,0,8.033,0.406,4.35,0,1329.286,0,7.388,36.415,0,68.388,0,0,0,0.268,2752.013,27.943,0,167.444,1.791,0.716,522.161,0,0,2.411,0,34.595,545.662,0,0,82.647,0,0,0,0,197.344,260.691,0,265.351,0,0,4974.95,0,0,3.035,47.856,0,2.326,223.01,0,0,289.597,9740.443,2.474,0,0,80.759,0,72006.975,0.069,0,405.586,0,0,0,1.496,0,0,0,36.778,483.361,4217.152,2.775,83.662,109.963,3.114,746.49,724.31,4656.297,8.424,0,129.234,32.896,1.239,14.409,0,42.181,0.592,6.316,0,39.15,0,834.883,0.654,51.814,600.353,94.192,0,1.877,41.12,131.331,784.356,0,65.668,0,2.606,820.481,32.031,1.563,4.029,0,211.193,87.044,9.904,0,0,0,3423.387,0.249,0,0,0,172.202,4.807,0,16.501,0,356.942,0,794.605,0,0,0.487,81.817,15.615,8904.589,444,0,4.221,1094.661,1323.114,0,0,0,0,0,0,0,0,108.57,0,451.975,7.072,0,28.924,362.849,16249.177,156.966,623.042,0,308.33,0,827.046,0,0,0,3452.501,5818.354,0,0.025,126.238,0,0,0,0,296.074,2.119,787.42,0,1.181,510.322,17.983,111.479,6678.666,2.171,1359.145,0,26.339,8.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,17.706,97.113,0,0,8.742,0,2.568,121.828,770.503,1178.608,0,11.301,10.161,248.547,1.444,5025.385,0.171,7.053,4.673,0,542.452,0,0,0,4.078,47.423,2,0,28.613,0,0.019,806.224,0,0,17.485,0,804.283,1897.788,0,0,108.972,0,5.199,0,0,22.552,63.076,0,40.275,963.005,0,0,0,8.81,83.618,4.497,0,0.731,486.291,0,0,2666.289,3860.889,0.703,0,0,31.165,0,22328.206,70.679,12.31,423.297,155.018,0,0,31.628,0,57.016,0,2.205,1009.82,555.994,174.871,13.116,214.597,4.158,70.323,398.763,2130.075,0.106,0,1693.958,33.567,4.228,25.776,0.166,2107.501,7.384,7.201,0,20.251,0,192.819,0,0,339.847,40.484,0.105,18.977,1.56,267.877,1.377,0,2187.272,0,20.999,705.059,7.226,5.746,2.369,0,20.278,0.529,61.872,0.906,0,51.019,4368.052,0,0,0,0,257.444,0.088,0,2.232,0,5554.017,0,24.784,0,0.445,21.373,246.884,80.438,2667.884,135.639,0,23.678,434.345,1270.181,0,0,0,0,0,0.017,0,0,59.202,0.48,24.331,0,0,817.864,1249.851,101.069,422.757,209.652,0,426.849,2.371,2959.996,0,0,0,10677.494,1380.745,0,0,482.649,0,0,0,0,977.773,22.778,663.375,0,0.183,94.158,0.592,230.064,4834.568,1.699,7083.832,0.155,25.166,3.272,1.245,0,0,0,0,0.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,56.511,0.17,0,0,0,0.561,0,0,0,0.113,0,0,0.483,0,0,0,0,0,0,0,0,0,0,8.931,0,0,0,0,1.674,470.335,0,0,11.994,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.254,0,0,0,0,0,2.241,0,0,0,0,0,0,0,0,0,1.432,0.109,0,0,0,0,0,0,0.914,0,0.592,0,8.771,0,0,0,0,0,1.387,0,0,0,1.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.283,0,0,0,0,0,0,0,0,0,0,193.824,0,0,0,0,121.084,0.538,0,0,0,0,0,0,1.15,0,0,3.197,0,16.982,0,0,0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,27.69,0,0,0,0,0,0,3.724,0,0,0,0,0,1.243,0,203.849,0,0,0,1.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0.911,0,0.416,0,0,0,0,0,0,0.185,0,0,5.313,0,0,0,0,0,0,0,0,0,0,17.548,0,0,0,0,2.495,3.846,0,0,213.811,0,0,0,0,0.149,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.329,4,10.222,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0.18,73.433,0,0,0,0,0,0,0,0,0,0,4.164,0,0,0,0,1.81,0,0,0,0,0,0,0,15.739,0,0,92.023,0,79.77,0,0,0,0,0.08,0,0,0,0,0,0,0,0,11.971,0,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,0,0.629,0,0,8.46,0,0,0,0,0.502,0,1.193,0,0,0,0,0,4.049,0,150.735,0,1.891,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,94.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0,0,0,0,2.692,0,23.378,0,10.865,0,0,0,2.975,0,0,0,0,0,0,0,0,1.032,0,0,0,0,0,23.272,0,0,0,0,0,0,107.69,0,0,0,128.254,0,0,0,0,0,0,0,0,0,0,116.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.842,0,0,0,0,0,0,9.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,0,0,30.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,1.533,0,0,0,2.347,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,5.014,0.155,0,0,0,0,0,0,0,0,0,0,3.864,0,0,0,0,0,0,1.325,0.111,4.178,0,0,0,0,3.494,0,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,1.13,0,0,0,0,1.367,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0.348,0,0,0,0,9.598,5.975,377.941,20.077,0,1.071,0,0,0,12.932,0,0,0,0,20.305,1.222,0,0,0,0.415,0,0,6.035,0,0,422.359,0,0,0.328,0,1.604,55.942,0,0,0.441,0,0,0,0,0,0,0,0,23.945,0,81.542,0,0,0,0,0,0,0,0,0,2751.721,427.493,0,0,0,2.21,0,246.473,4.046,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,4.993,111.275,43.938,0,0,3.892,3.202,0,0.987,0,14.738,0,0,0,0.298,0,214.51,0,0,342.254,0.023,0,0,0,6.589,0,0,0,0,0.254,33.488,0,3.028,0,0,0.654,0,0,0,0,0,75.109,0,0,0,0,7.676,0,0,0,0,75.597,0,0,0,0,0,2.265,0,60.59,0.212,0,0.119,22.331,1882.364,0,0,0,0,0,0,0,0,47.36,0,1.957,0,0,6.45,10.463,1.006,321.919,1.755,0,0.774,0,45.73,0,0,0,903.014,63.514,0,0,7.992,0,0,0,0,58.372,0,19.651,0,0,136.663,0,45.394,504.786,1.352,94.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,14.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722,0,2.246,0,0,0,0,70.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.337,0,0,0,0,0,0.014,0,0.666,0,0,0,0,0,0,0,0,0,0.528,0.478,1.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,2.564,0,0.716,0,0.221,53.189,17.041,145.859,141.752,10.559,2.964,0.155,1.228,0.679,4833.623,0.339,9.683,0,0,10.682,0,0,42.463,0,0.383,0,0,48.652,0,0,390.097,0,0,764.054,0,18.052,12458.543,0,0,29.764,0,1.644,0,0,0.365,95.445,0,0.975,150.19,0,6398.536,0,1.822,0.516,3.218,0,0.111,820.362,0,0.917,0,540.843,0.277,0,0,2.179,0,2106.573,2.755,0,52.635,0,0,0,0,0,0.932,6.903,0.099,877.267,53.828,192.01,17.697,0.011,0,1.435,556.282,515.887,0.204,0.365,2744.225,45.884,0.432,22.79,0,1726.913,26.177,0,0,13.264,0,293.371,0,0,427.65,1.585,0.12,0.374,0,20.698,0.108,1.686,0,0,0,39.171,3.853,0.981,6.38,0,3.012,0.103,2.827,8.572,0,0,261.685,0,0,0.169,2.126,21.415,0.176,0,1.634,0,16543.408,0,0.732,1.03,0,22.626,21.89,68.837,166.188,19.789,0,6.269,51.3,980.902,2.496,0,0,0,0,0,0,0,230.997,4.341,33.662,0,0,808.443,35.852,3.285,398.749,639.404,0.332,72.984,0,192.912,0,0,0,4644.388,1480.084,0,0,89.852,20.865,0,0,1.794,588.851,75.885,10.405,0,1.877,4.763,23.714,3.292,3261.584,0.368,5589.424,2.734,15.053,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,904.186,0,453.021,137.168,0,687.719,612.806,1743.442,411.943,0,295.816,0,0,4.633,4267.757,19.91,6.131,12.57,5.012,2950.153,29.204,0,0,16.759,197.364,0,0,2.021,1.631,92.87,29.123,47.435,0,61.698,0,196.354,6729.963,0,0,252.963,0,51.497,59.133,0,99.155,251.72,0,24.688,706.079,5.989,910.51,0,56.659,41.043,3.441,0,57.287,24.113,0,0,181.459,0,108.064,61.645,76.53,12.039,0,16552.939,39.442,0,1916.139,0,0,0,8.089,66.92,1.523,0,9.531,154.216,1018.388,31.026,32.468,197.755,4.342,91.122,33.439,23011.344,80.121,11.291,1041.453,5449.177,1495.536,74.258,0,2597.306,38.704,0,1.59,70.277,0,45.258,0,0,257.577,141.644,2.189,45.731,0,79.03,99.158,26.386,2.695,3.983,96.282,470.353,4.708,58.89,5.81,0,7947.325,1.312,114.444,148.603,0,0.341,1347.145,0,0,0,128.732,349.284,21.564,12.812,205.296,0,252.391,0,27.766,6.849,0,1.452,58.666,18.41,2337.398,3184.646,0,280.476,928.083,127.988,58.196,0,0,0,0,0.039,0,0,43.957,23.675,78.506,7.413,0,1067.092,368.323,68.28,46.64,390.003,0,51.691,7.176,8433.889,0,2.402,0,2996.648,3107.864,0,7.759,1102.115,6.264,0,0,1.36,382.067,122.263,2220.232,0,0.11,1026.124,3.098,22.539,10172.783,16.285,12141.979,102.242,182.06,0,1.455,0,0,0,0.486,0,0,0,0,0,0,0,0,0,4.619,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.369,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.709,1.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,1.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,5.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334,0,0,2.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,467.259,0,0,2.476,0,0,0,37.707,0,1.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19,0,0,0,0,0,0,0,0,0,0,0,0,20.028,0,0.02,0,0,0,56.141,0,0,0,0,0,0,0,0,0,0,0,6.057,0,0,0,0.63,0,0,0,0,0,0,0,27.314,0,0,0,0,0,0,0,0,0,0,0,0,11.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.954,0,0,0,0,0,0,0,17.105,0,0,0,0,0,0,0,0,0,0.612,0,0,0,0,19.859,0,0,0,0,0,0,0,0,0,0,0,0,0,2.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,167.911,0,0,0,0,0,0,3.827,0,0,15,0,0,0,0,16.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
