"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NFK","NOR","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","KNA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","COK","GIN","KGZ","MRT","VUT","MNP","GNB","SOM","TON","ATF","GMB","RWA","TKM","BTN","CXR","MSR","SPM","COM","BEN","GNQ","DJI","PSE","LSO","MHL","PLW","WLF","AIA","FSM","NIU","TUV","SHN"
"HRV",0,7.152,0.377,0,0,0,0,0,0,0,322.075,0,0,0,0,0,2.423,0,0,904.278,0,0,0,0,0,0,0,0,0,0,0,0,0,1.339,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0.67,1.897,0,0,0,0,0,0,0,0,1.053,51.536,0,0,0,88.755,0,0,0,1.285,0,0,0,0,0,0,0,0,32.952,0,0,0,0,0.186,1,734.313,0,0,0,0,0,0,0,1.125,0,0,0,0,2.331,0,0.746,0,0,0,0,0,0,0,0,0,0,0,0.24,173.316,0,0,0,0,0,0,20.37,0,0,0,0,0,0,0,0,0,0,0,0,6.572,0,0,0,0.482,1.867,0,0,5.414,11.524,0,0,0,0,0,0,0,717.531,0,0,36.817,1.723,0,0,80.298,0,0,3.511,0,0,0,13.058,3.48,0.118,0,0.425,0,0,0,0,0,4.736,0.734,0,0,117.023,0,15.616,0,24.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.693,0,0,0,5.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,8.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.136,0,0,0,67.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,6,0,0,0,0,0,0,0,0,0,0,0,15.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,77.69,0,0,0,0,0,0,0.752,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,2.948,0,0,0,0,0,0,0.195,0,0,0,0,0,60.458,0,19.711,0,2.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,1.308,5.176,0,0.186,0.914,0,6.499,1118.477,172.939,906.149,0,0.2,1.274,5.837,0,715.691,0,0,17.397,0,194.795,0.442,0,0,0,0,1231.273,0,0,3.066,0,0,58.05,0,0,0,0.192,0,12.748,708.082,54.97,0,0,0,0.281,92.936,9.06,4.161,0,6345.484,0,0,0.013,0,0.159,0,117.336,0,119.263,5377.471,0,0,15.524,21164.222,0,0,0,659.894,0.674,0,0,0,0,0,0,206.562,4824.119,15.046,0.449,0,0,23.428,109.425,1000.387,0,0,110.662,0,35.888,24.892,0,45.841,0,0,9.965,206.268,0,47.713,194.335,117.202,0,0,0,9.352,0,0,1.977,4.043,80.245,0.297,0.247,0.793,2.191,0,1.283,0,0,0,545.19,0,0,0,6121.438,0,0,0.372,0,227.258,1567.412,0.107,0,0,26.447,15.88,0,2176.764,183.402,0,0.257,812.951,1840.587,0,0,0,0,0,23.506,0,16.592,0,0,69.845,290.335,5111.106,164.746,495.999,42.809,0,3869.055,5.252,0,0,3851.071,10505.653,0.408,0,152.014,0,0,0.404,14.286,2.418,200.923,0,6.601,259.84,0.709,63.2,1192.7,0,1193.909,0,0,0,7.27,0,0,0,0,0,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,17.788,11.249,0,4.467,13.539,0,4.348,19.65,751.002,1163.664,0,2.478,0,3.382,0,3194.388,0,1.243,62.516,0,84.434,0,0,0,0,0,42.014,0,0,63.512,0,0,386.509,0,0,0,0.066,0,209.831,148.664,36.956,0,0,0,4.825,147.252,0,109.734,1087.289,0,0,0,0,0,2.554,0,232.785,0,1078.442,9834.542,0.237,0,2.079,18810.088,17.462,5.6,0,1230.85,46.951,0,0,0,0,0,0,488.497,955.634,95.677,1.074,2.08,0,1032.729,87.74,3085.402,0.018,14.15,231.268,16.186,100.303,0.149,0,108.411,18.166,0,30.56,84.447,0,0,352.067,153.399,9.593,333.538,0,3.352,0,0,42.762,16.359,176.181,0,6.2,0,7.028,0,4.881,0.87,0,0,4111.185,0,0,9.764,20.442,0,0,34.3,0,2166.681,1.409,12.28,0,1.108,30.008,0.197,0,2686.288,680.654,0,14.623,703.725,1582.683,0,0,0,0,0,14.202,0,146.477,0,0,90.494,140.102,119.278,66.581,195.621,198.849,0,2993.351,0,0,0,6474.684,1688.553,0,0,57.893,0,0,1.047,180.963,0,344.562,0,0,27.193,65.384,115.825,7710.877,0,2241.86,0,6.601,0.229,130.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.554,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,81.507,556.126,0,0,0,0,0,0,0,0,0,0,0,0.457,0,0,0,0,0.103,0,0,0,78.3,0,0,1.431,0,0,0,0,0,0,259.071,91.645,0,0,0,0,0,0,0,0,0,0,0,3.414,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.035,0,0,0,0,1.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.948,0,0,0,0,0,0,0,0,0,754.425,0,0,0,0,0,0,0,0,0,0,0,0,0,10.218,0,0,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494,0,0,0,0,0,0,0,2.617,0,0,0,0,0,51.198,0,0,0,0,0,0,0,4978.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,15.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0,10.79,0,0,0,0.19,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0.018,0,0,0,3.105,0,0.095,0,0,70.764,0,0,101.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.184,0,0,0,0,0,0,0.028,0,0,0,0,18.301,0,0,4.305,0,0,0,0,0,3.889,0,0,0,0,0,0,0,119.947,0,0,0,71.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,61.238,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.631,0,0,0,0,0,14.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.313,0,0,0,7.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,52.923,0,0,0,0,0,9.474,0,0,1.102,0,3.4,0,0,0,110.596,0,0,0,0,0.6,0,0,265.056,0,0,0,0,0,8.85,67.358,0,0,0,0,0,0.706,0,0.153,5.485,1.116,0,0,0,0,0,0,0,0,104.846,0,0,0,0,23.215,0,0,0,0,0,0,0,0,0,0,0,35.562,15.183,0,0.741,0,0,2.271,0,99.55,0,0,0,3.231,0,0,0,8.408,0,0,13.83,403.339,0,0,205.228,0,3.007,0,0,0,0,0,0,0,11.321,0,0,0,0,0,0,0,0,0,0.888,0,0,0,0.279,0,0,0,0,40.93,0,0,0,0,0,0,0,489.003,0,0,0,14.82,2546.583,0,0,0,0,0,0,0,53.831,0,0,1.552,143.991,0.664,0,1.698,13.138,0,0,0,0,0,90.309,0,0,0,1.076,0,0,0,63.073,0,25.812,0,0,3.857,0,1.8,1669.09,0,354.907,0,0,0,5.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,5.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.735,0,0,0,3.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,16.367,0,0,0,0,0,6.259,368.704,397.821,0,49.889,9.65,13.995,0,5139.093,0,7.654,0.86,0,229.148,0,0,0,0,0,16.156,0,0,180.707,0,0,668.896,0,0,0,9.35,0,11.458,4355.319,8.193,0,0,0,1.735,268.245,0,7.3,550.468,2369.616,0,0.568,72.085,0,0,0,1068.535,0,0,1678.33,0,0,172.574,7051.905,0,0,0,21.872,0,0,0,0,0,0,0,1027.461,912.174,5.609,35.564,2.9,0,52.678,1267.241,236.597,0,0,1005.03,279.467,1.054,0.291,25.857,1313.488,0,0,6.372,335.811,0,0,145.856,16.887,0,5.615,0,236.56,0,0,0.358,3.705,157.928,0,0,0.093,214.655,0,0,234.08,0,0,21818.812,0,0,0,163.676,0,0,0,0,3587.932,3.615,44.017,0,0.367,41.18,20.037,0,417.13,35.293,0,2.701,321.782,9966.053,0,0,0,0,0,322.452,0,32.965,0,0,969.824,171.012,27.049,10.125,1014.312,65.704,0,232.154,0,0,0,3968.663,3751.24,1.831,0,204.063,0,0,4.502,141.019,0,156.539,0,7.172,14.126,1.722,2.219,4306.858,14.927,6174.484,0.887,11.538,30.416,7.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,1127.197,0,753.384,0,0,129.051,405.055,2046.21,201.286,0,4.425,44.33,23.173,0.007,3912.15,0,3.727,6.227,0,11499.847,0.036,0,0,0,63.891,135.013,0,192.711,80.2,0,51.786,426.757,44.564,0,50.398,42.055,16.226,297.591,798.643,250.932,0,16.084,7.376,157.946,106.055,0,98.636,3164.018,246.742,0,0,35.504,799.531,4.153,0,105.047,6.26,209.016,0,84.482,58.502,45.852,970.626,26.852,0,0,757.663,0,0.239,0,29.86,0,0,0,39.451,1903.111,8.769,0.694,30.977,0,6.651,622.73,6659.233,20.652,11.375,2607.164,1.217,93.267,37.823,0,16554.768,0,0,29.078,105.488,0,0,230.53,42.778,81.187,117.764,0,8.941,0.29,145.9,2.009,59.285,8369.711,23.602,32.453,0,628.251,10.162,0,27.352,0,0,1118.424,5.9,0,157.794,471.149,4.612,50.154,490.91,0,445.23,382.091,0,0,3.719,869.143,0.403,0,181.13,3722.234,0,2.95,995.806,141.611,0,0,0,0,14.751,10.326,24.511,419.763,7.036,0,635.171,1397.062,88.785,95.269,13.276,1780.722,0,3404.407,0,0,0,2897.107,3919.129,0,0,798.831,94.407,0,1.854,723.103,60.951,6747.547,0,52.355,7.48,60.74,502.6,6940.568,0,5329.854,13.097,38.061,0,799.47,0,0,0,0,985.376,1.562,17.693,0,0,32.453,0,0,0,59.005,12.964,0,0,0,0,4.425,0,31.35,0,36.878,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.646,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,104.562,0,0,0,0,39.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,51.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0.327,0,0,0,0,0,0,2.148,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,6.619,0,0,0,0,0,0,11.784,0,0,0,0,0,0,0,1.808,0,0,0,0,0,19.633,0,0,0,0,0,5.298,7.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",251.736,226.259,1182.955,0,33.806,37.918,0,345.682,5053.783,15725.464,102657.888,0,618.086,79.726,225.763,3.144,136347.016,0,24.13,762.433,0,14104.182,14.392,5.207,0,0,3.78,5073.283,8.159,32.664,2874.79,200.818,36.005,15595.63,8.863,1.754,0,348.93,22.121,907.303,233729.101,6003.639,0,5.31,92.759,157.011,5240.487,2956.143,300.818,39308.209,29944.019,2.086,72.857,121.107,74.71,449.029,1.458,8592.624,4.898,16213.302,166917.264,26.184,9.363,373.092,0,37.664,24.192,0,8210.042,0.437,0,0,32.895,0,22.835,61.675,22573.652,16173.908,928.929,1833.094,7313.17,218.643,7358.273,8233.453,132761.653,191.791,9.378,48026.828,3028.138,699.835,134.409,33.685,47561.206,1106.158,1231.781,1613.342,4714.53,1.163,3432.501,5464.714,4505.181,548.764,687.512,3.655,7603.571,24.933,3.694,1227.096,80.358,10253.499,43.115,364.265,83.77,1909.263,12.68,564.879,44.741,8.137,102.712,158693.543,90.706,0,12.541,1585.517,48.433,20.046,499.949,0,19390.901,693.254,65.018,0,163.354,279.414,15505.939,0,52291.961,9798.865,0,804.062,30789.026,69681.642,0,1.413,3.21,1327.732,0,9493.474,121.677,10598.933,12.786,2.167,7637.159,27811.018,29851.517,1061.873,4548.961,24786.057,19.462,92197.178,380.48,2.374,0,34007.604,87640.711,439.263,13.115,3805.717,24.547,0,47.239,29453.178,1075.175,36461.025,0,14.496,16641.384,574.425,1189.416,75552.313,121.964,350375.546,0.764,132.835,474.102,934.493,1.128,305.652,37.036,0,1.778,32.374,39.774,0,0,0,0,0,5.728,23.006,53.381,265.693,19.49,0,0,0,0,5.4,0,0,73.454,180.336,0,0,0,16.145,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,146.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,10.786,0,0,0,0,0,0,0,0,0,0,0,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.889,0,0.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.288,0,0,3.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,1065.567,25.566,0,0,0,0,0,0,6.815,7.681,0,0,0,4.098,0,26.66,0,0,1.584,0,0,0,0,0,0,0,221.733,0,0,0.256,0,0,11.774,0,0,0,0,0,5.36,11.569,0,0,0,0,0.964,7.3,0,1009.638,9.283,84.587,0,0,0,4.967,0,0,1.687,0,0,45.659,0,0,0.28,172.436,0,0,0,0,0,0,0,0,0,0,0,0,21.227,0.736,0,0,0,0,29.434,32.085,0,0,6.075,0,5.341,0,0,1.976,0,0,0,0,0,22.52,11.387,0,0,0,0,0,0,0,0,0,0.339,0,0,10.243,19.964,0,0,0,0,6.428,76.431,0,0,0,8.661,0,0,0,0,2.796,0,0,0,0,0,2.105,0,24.975,0,0,0.288,547.092,3.605,0,0,0,0,0,1.509,0,184.317,0,0,0.681,0,0,0,2.414,6.081,0,10.08,0,0,0,33.483,2.584,3.532,0,3.52,0,0,0,26.562,21.282,73.018,0,0,0,38.336,4.675,69.026,0,22.789,0,0,0,50.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
