"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GRC","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","VUT","NZL","NIC","NER","NGA","NOR","FSM","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","KIR","GIN","GNB","SOM","TON","ATF","BDI","COM","BEN","GIB","GRL","RWA","TKM","SUR","SPM","PSE","LSO","LBR","MNP","FLK","NIU","NFK","WLF"
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,5.693,0,0,0,0,0,0,0,0,1.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.147,0,0,0,1.472,0,0,0,0,0,0,44.131,0,0,319.371,0,0,0,0,1.175,0,7.519,0,539.501,0,0,0,0,0,0,0,17,0,0,0,0,0,2.545,0,0,0,0,0.369,0.553,0,0,2.69,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.729,0.63,0,0,0,0,0,0,0,0,0,0,0,10.157,0,0,0,0,0,0,0,0,0,5.4,2.787,0,0,0.396,0,0,0,91.512,0,0,0,0,0,47.456,0,132.374,0,1.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",13.365,1.521,23.664,0,0,0.102,0,53.473,448.533,106.133,1022.399,0,0.596,24.607,25.44,0.114,760.976,0,0,0,11.51,0,524.461,0,0,0,1879.833,0,32.704,0,0.274,61.905,0,0,0,5.1,0,148.667,1341.469,12.36,0,0,0,0,2.929,634.737,8.705,3.614,0,5143.146,0,0,2.508,0,0,0,0,49.78,0,568.149,4423.326,0,0,0,22.641,0,19338.376,0,65.345,0,0,0.672,0,0,0,444.206,1461.296,4.016,0.078,2.742,0,31.138,33,344.768,0,0,600.63,43.194,1.287,0,0,79.999,1.252,0.387,0,7.418,32.272,5.337,134.396,110.712,0,0,0,8.918,0,0,1.379,0,29.496,83.708,0.16,0.407,1.519,0,2.545,0,0.588,0,0,0,1057.887,0,0,0.074,0,54.783,0,0.708,0.126,257.147,0,0,0,5456.998,0,0,0,96.227,10.708,0,804.584,168.169,0,0,387.192,1328.444,0,0,0,0,0,0,26.62,0,38.813,0,0,123.402,187.779,5481.95,247.119,56.456,30.292,0,134.199,4.235,0,3997.186,7353.753,8.713,0,85.71,0,0,0.282,18.985,57.136,629.344,0,0,394.661,0.38,6.045,1443.54,0,3698.005,0,0.48,3.617,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0,9.409,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,93.894,0,1.379,4.167,0,13.084,30.416,318.619,1095.128,0,5.572,0,82.503,0,3549.515,0,2.579,1.862,26.875,0,500.77,0,0,8.788,43.427,0,20.835,0,0,406.12,0,0,0,2.25,0,160.565,2270.574,48.606,0,0,0,0,7.184,40.333,0,71.476,1061.57,0,0,0,8.573,0,0,1.232,0,110.668,0,1615.545,6825.089,6.017,0,0,3.91,0,11096.738,25.207,741.27,0,0,3.268,0,0,41.853,582.561,511.123,98.571,82.491,7.943,0,617.4,65.112,3512.541,13.915,0.085,419.632,53.347,16.76,15.781,0,485.876,102.548,1.869,0,117.063,48.954,0,102.882,227.382,0,0,0,21.357,1.563,0,69.185,0,23.174,325.04,0,5.863,0,0,24.214,0,37.194,0,0,0.527,4403.706,1.692,0,6.105,0,72.002,0,0,30.075,2438.005,0,0,0,8.409,6.599,0,5.252,21.987,7.913,0,2459.829,312.31,0,44.624,373.964,1406.361,0,0,0,0,5.472,0,92.083,0,74.472,0,0,408.955,292.082,92.769,32.916,83.34,177.458,0.2,2785.878,0,0,6130.949,2974.497,0,0,524.302,0,0,59.519,273.501,82.407,417.659,0,0,123.743,36.07,54.945,8566.891,4.32,4309.605,0,13.834,10.828,404.846,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169,12.975,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,12.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,7.703,380.389,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,97.2,0,0,0.186,0,0,0,0,0,0,455.019,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.761,112.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.943,0,0,0,0,2.655,0,0,0,0,0,603.98,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0,16.717,0,0,0,0,0,0,0,3.355,0,0,0,0,0,0,0,0,0,0,0,31.727,0,0,0,0,0,0,0,0,0,0,0,0,0,4.906,0,0,0,0,1.461,128.602,0,0,0,0,0,0,0,4399.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,1.516,7.016,0,0,6.107,0,0,0,0,0,43.035,0,0,0,0,0,0,0,0,0,15.108,0,0.795,0,0,0,0,0,5.9,0.482,0.093,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,2.317,0,0,0,0,0.383,0,0,0,4.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.817,0,0,0,0,0,0,0,0,0.019,0,0,28.856,0,0,45.926,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.88,0.237,0,0,0.059,0.076,0,0.029,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.135,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,24.713,0,0,0,0,0,0,5.127,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,2.189,0,0,0,0,88.258,0,0,22.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.439,0,0,0,0,0,0,0,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,52.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0.381,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0,0,0,0,11.734,5.943,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,1.728,0,0,0,0,0,1.46,20.495,0.126,0,0,0,0,0,44.864,0,0,0,0,0,1.135,0,73.261,0,9.293,0,0.2,0,0,31.798,0,0,0,0,0,3.156,40.604,4.871,0,0,0,0,0,13.701,0,0,7.072,26.668,0,0,0,0,0,5.764,0,0,0,96.02,0,0,0,0,0,0,6.947,0,0,0,0,0,0,0,0,40.37,501,0,0,0,0,0,0,3.874,0,0,8.324,0.207,0,0,0,2.25,0,0,2.289,0,267.662,0,104.504,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,11.605,0,0,0,0,0,0,0,1.3,0,0,564.6,0,0,0,0,759.359,0,0,0,0,0,0,0,0,37.399,0,0,23.971,0,2.118,0,0.613,28.564,0,0,0,0,14.978,7.146,1.398,0,27.008,0,0,0,27.278,0,31.589,0,0,0.476,78.391,0,0,0,53.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,3.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,313.33,2.549,0,0,0,0,0,28.07,24.11,99.421,0,0,0,4.145,0,1272.544,0,0,0,81.381,0,150.204,1.681,0,0,82.325,0,87.974,0,0,462.743,0,0,0,0,0,6.657,2592.815,41.491,0,0,0,0,0,519.837,0,0.251,589.758,1080.578,0,0,0,0,0,49.287,0,953.947,0,0,461.775,0,0,5.845,17.484,0,3597.128,0,255.149,0,0,41.823,0,0,0,3018.61,619.915,0.969,6.511,33.478,0,17.804,330.397,103.664,1.08,0,1170.855,67.098,6.601,1.155,0,1055.361,64.212,0,0,0.741,95.995,17.681,93.502,2.511,0,0,0,10.7,0,0,0,0,11.537,51.432,0,0.308,0.387,0,114.511,0,0,17.742,0,0,3911.007,0,0,0,0,22.319,0,0,10.53,3093.319,0,0,0,1.642,9.499,0,0.362,15.872,2.462,0,264.222,0.817,0,45.755,167.451,2924.927,0,0,0,0,0,0,457.943,1.322,150.431,0,0,309.091,14.142,9.296,21.585,351.998,30.706,0,33.99,0,0,2641.85,2287.134,4.927,0,671.161,0,0,5.149,72.382,1.064,61.635,0,0,1.413,1.587,191.192,2430.597,0,2999.169,0,1.163,0,12.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,2.144,481.979,0,439.385,177.723,0,168.662,931.167,4524.819,123.516,0,70.808,0,16.117,0.221,4558.213,0,0,12.98,5.276,0,774.755,0,0,22.726,72.95,0,64.8,0,66.291,70.856,9.175,0,26.158,2.203,59.741,199.126,77.802,685.483,0,76.809,0,0,21.057,119.902,0,53.231,338.679,921.874,0,0.445,160.416,787.961,0,17.702,0,37.054,0,1066.824,0,59.56,4.168,120.133,3.586,0,1146.193,40.276,489.462,0.119,0,1605.047,0,0,498.389,199.923,1545.592,6.875,279.644,0,4.168,4.877,543.463,6761.74,818.09,5.772,1140.776,45.6,108.228,257.608,0,5810.401,0,0,0,71.995,2.997,6.947,70.411,65.298,6.225,128.737,0,39.065,42.126,373.728,0,0,150.673,4710.475,0,4.446,88.954,0,154.215,60.406,6.947,70.697,0,5.475,19.451,0,0,161.419,0,476.952,0,15.711,53.957,836.161,0,0,0,4.168,0,0,14.723,1216.883,0.263,0,201.123,3572.229,0,69.466,663.19,461.24,0,0,0,0,0,0,481.108,97.253,142.128,418.187,0,239.604,4074.54,482.492,486.642,122.656,427.725,0,5626.864,0,0,483.574,4053.696,0,0,444.638,0,0,2.058,8.336,99.459,5051.876,0,0,1.794,5.725,953.436,280.644,10.046,4017.801,0,26.836,0,427.11,0,2.779,0,0,0,0,0,0,0,0,0,0.025,45.539,0,0,0,0,0,0,1.67,0,50.016,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.144,0,0,0,0,0,0,0,0,0,0,0,0,0,5.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,24.198,0,0,0,0,0,0,50.071,0,0,0,0,0,0,0,0.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.498,0,0,0,0,0,0,0,0,0,0,0,0,0,1.152,0,0,0,0,0,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.026,0,0,0,0,0,0,0,0,0,0,0,16.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.971,0,0,0,42.524,0,5.966,0,0,0,0,0,0,0,4.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",260.862,833.331,2020.592,0,16.693,274.074,0,491.302,2076.559,13278.058,82997.269,5.326,69.513,475.532,324.58,5.794,94367.614,0.305,0,71.748,1068.546,25.948,14905.832,3.284,2.915,9.272,2577.125,32.082,2133.046,90.824,102.933,12299.507,18.975,16.776,0,630.394,0.315,1858.498,150392.588,3008.316,0,145.561,21.86,0,116.524,4878.356,468.903,505.812,29523.293,27448.851,0,118.106,204.528,66.315,0,663.461,52.314,1490.361,1.108,5763.054,144717.829,18.331,15.154,25.546,144.82,1.23,0,139.686,8723.573,0.23,2.096,99.949,1.94,15.665,29.349,28389.227,11549.485,329.297,3037.546,6242.848,407.203,6116.928,9559.383,92096.872,599.085,45.293,46124.849,3033.98,1254.874,197.137,0,47046.968,587.681,28.44,494.028,1294.119,1388.87,858.568,2724.451,2807.364,53.355,27.868,112.922,9413.449,22.756,21.616,1676.558,30.822,90.727,7888.521,98.301,589.324,19.022,0,3322.781,76.64,361.986,30.785,0,27.903,88307.289,3.906,2.04,83.487,0.912,964.007,232.132,0,2196.96,11376.163,0,68.377,0,898.206,41.48,0,152.957,447.722,3770.875,0,63817.712,9557.254,31.882,666.383,8745.294,26919.858,0.797,15.296,3.301,0.85,815.017,0,11807.017,21.62,2826.839,0,6.17,36656.362,17850.482,10800.08,1229.873,3903.149,19181.043,50.688,74534.344,122.318,3.396,25044.024,74288.64,635.512,391.959,13950.269,14.094,0,68.067,23224.494,368.912,16211.758,0,66.167,3736.298,758.348,5047.277,197623.716,82.826,291873.856,2.758,205.921,197.53,890.399,0,190.042,127.753,0,10.496,1.145,0,0,0,2.678,13.559,0,12.462,50.043,9.945,53.124,596.706,55.456,0,86.122,0,279.606,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0,0,3.156,0,2.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,3.067,534.968,0,0,0,0,0,0,8.393,16.174,0,29.296,0,0,0,33.075,0,0,0,9.814,0,21.155,0,0,0,141.696,0,0,0,28.735,1.223,0,0,0,0,0,0,16.095,0,0,0,0,0,0,13.654,0,869.632,1.16,8.776,0,0,0,5.211,0,0,0,0,0,0.128,20.812,0,0,0,0.658,0,98.795,0,0,0,0,0,0,0,0,0.04,9.36,0,0,0,0,0,14,44.164,0,0,0,6.094,0,0,0,2.69,0,0,0,0.573,0,11.421,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0.057,0.249,0,20.636,0,0,0,0,0.508,97.611,0,0,0,0,0,0,0,0,8.785,0,0,0,0,0,0,0,0,0,0,553.057,10.887,0,0,543.679,10.503,0,0,0,0,0,0,0,0,46.546,0,0,0,22.828,6.987,0,19.285,3.775,0,9.007,0,0,0,9.172,0,0,0,0,0,0,0,19.237,9.394,0,0,0.014,5.305,0,175.351,0,17.624,0,0,0,3.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,39.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.303,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
