"DZA","AUS","AUT","BEL","BIH","BRA","BGR","BLR","CMR","CAN","CHN","CRI","CZE","DNK","FIN","FRA","DEU","HKG","HUN","IDN","IRQ","IRL","ISR","ITA","JPN","KOR","LUX","MYS","MEX","NAM","NLD","NOR","PAK","PAN","PHL","POL","QAT","RUS","SAU","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","SYR","THA","ARE","TUR","UKR","EGY","GBR","USA","BHR","FJI","NZL","PNG","TLS","TZA","HRV","LTU","GIN","SCG","URY","IRN","PRK","KGZ","ROU","VNM","PYF","CIV","MDG","SYC","TUN","GRC","ISL","BGD","LKA","ALB","ETH","MLT","SDN","YEM","MUS","FSM","BRN","AGO","LVA","GUY","KAZ","UZB","LBN","MMR","NPL","BWA","LSO","MWI","ZWE","SWZ","ZMB","PRT","PER","GMB","EST","ARG","BHS","CHL","COL","CYP","DOM","ECU","SLV","GTM","HTI","JAM","MAC","KNA","TTO","VEN"
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,1.225,0.328,0,0,0,0,0,0,0.062,0,0.084,0,3.162,2.651,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,39.286,0,0,0,0,0,0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,6.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,37.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,0,0,8.687,4.158,0,0,4.453,0,0,0,0,371.248,701.472,0,0,0,0,0,0,0,15644.349,1089.982,0,18089.539,0,0,0,0,0,0,0,109.688,2.403,36.57,0,0.657,0,0,0,0,1.026,0,2.661,0,0,0,0,151.856,0,0,16871.234,1.074,0,0,0,0,0,0,0,0,0,0,0,0,0,55.453,0,0,0,0,0,7.048,0.367,0,0,0,0.823,21.784,0.275,0.635,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,7308.672,0,2381.724,0,0,0,0,0,0,37616.258,0,0,0,2870.815,2089.026,9442.361,15.568,0,9839.358,0,0,0,39.981,0,23662.825,0,90722.024,0,0,2011.494,259.555,0,0,2.623,15.03,6.012,134,0,0,1073.443,0,0,2285.721,0,5167.405,10.134,0,2.552,3.94,0.502,553.639,0,47200.527,26171.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,0,0,0,0,458.437,0,0,0,0,0,88.886,0,0,0,0,0,0,1759.619,10568.638,0,0,0,0,0,108.24,680.858,0,0,0,0,9.223,27.35,0,0,11.102,0,0,0,0,0,22.05,0,0,0,0,269.661,0,0,1210.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.882,0,0,0,1.507,17.087,0,0,0,0,0,0,0,0,0,1.737,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482,14.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.496,0,0,0,0,0,0,0,8.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,2.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
