"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NFK","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","CAF","VUT","TCA","CPV","GNQ","BES","PSE","SPM","BTN","COK","FSM","TLS","WLF","MNP","BLM","IOT"
"HRV",18.97,137.786,12.531,0,0,0,0,0.2,1.191,9.285,844.495,0,0,0,0.062,0,45.118,0,0.331,953.865,0,8.687,0,0,0,164.16,0,0,11.212,0,0.082,38.533,0,0.012,0,0.647,829.283,0,0,0.1,0,0,0.651,0,0,0,52.639,3320.7,0,13.789,0,0,0,0,0,0,1.449,0,0,6.639,116.412,0,0,12.648,0,0,0,7612.762,0,0,0,434.672,0,0,0,0,0,0,0,0,583.5,258.427,4.299,1.146,0,0,34.791,276.816,16082.245,0,0,68.286,0,0,0.237,0,20.924,0.043,0,0,0,0,53.43,0,0,101.417,4.144,0,0,0,0,0,0,9.907,0,0.079,98.115,0,7.89,109.188,0,8.616,0,0.06,0,0,0,1218.804,0,0,0,0,3.484,0,0,0.081,0,27.096,0,0,0,0,0,2.663,1.075,1.01,0,5128.968,85.335,0,4.352,5544.681,1.508,0,0,0,0,0,0,0,0,0,0,1213.267,0,0,3.49,2.98,80.153,3.263,1383.061,0,0.828,0,907.526,0.011,0,0,0,53.194,196.702,0,0,6.752,5.754,0,0,180.405,0,8.545,0,0,1.172,27.484,84.968,0,89.684,0,1452.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,3.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,11.421,0,0,0,0,0,0,0,118.228,49.807,0,0,0,0,0,1.92,0,0,1.241,0,0,0,0,0,6.194,0,0,0,0,0,15.034,0,0.002,0,34.778,2.512,0,0,1.368,0,0,0,0.046,12.909,0,0,0.783,0,7.096,0,0,0,0,0,0,9.475,0,0,1.621,1173.448,0,0,0,0,0,0,2.745,0,0,0,460.406,0,0,0,0,0,0,0,0,0.292,2.502,0,0,0,0,0.72,39.106,19.613,0,0,0,10.111,0,0,0,3.657,18.674,0,0,0,0,1.642,0,57.018,7.421,0,0,0,0,0,0,0,2.153,0,12.562,0.341,0,0,7.494,0,0,0,1.472,0.528,0,0,343.67,0,0,0,0,4.225,0,0,7.057,0,0,0,0,0,0,0,0,0.339,0,0,2.032,3.911,0,0,13.326,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,14.751,1.962,0,23.122,0,121.757,0,3.055,0,0,0,0,1.564,31.48,0,0,2.909,0,0,0,8.969,0,0,0,0,0,14.81,1.704,3.854,10.993,3.487,0,0,65.356,1.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,72.195,173.445,0,0.971,0.243,0,35.556,75.567,525.408,5926.924,0,0.727,98.722,0.162,0.119,2984.393,0,10.052,22.577,0,33.991,0,0,1.056,36237.568,0.838,0,189.76,2.114,0.394,620.425,0.721,0.19,0,109.547,2335.368,0,0,118.905,0,0,0,6.421,626.435,10.916,68.065,0,0,3297.245,0,0.284,0.788,10.78,139.103,0,350.275,0,0.182,2042.323,6862.212,0.757,0,0,0,35.217,0,66089.079,10.262,0.061,0,888.44,0,0,0.546,0.866,18.966,0,0,0,1238.691,7399.999,4.105,70.199,51.163,13.613,797.21,297.637,10924.836,0,2.282,847.742,27.361,3.533,2.226,0,320.984,23.085,0.336,30.231,0.784,0,1242.698,0,0,1114.401,144.479,0.179,1.831,0,757.584,238.988,111.943,7.861,0,1.656,257.406,4.469,46.326,2.495,0,71.778,45.832,7.805,0.624,0,0.181,6911.219,0,0,0,4.897,28.818,20.517,0.218,7.48,0,223.394,0,0,5.867,0.29,0,0.253,46.328,17.973,0,22459.029,738.022,0,16.538,2085.226,2981.258,14.327,0,0,0,0,0,0,0,446.76,2.655,401.36,26.254,0,438.98,3234.4,19278.706,47.205,746.921,0,79.254,0,4870.704,0,8.245,0,0.128,1322.696,4577.246,0,0,235.043,0,0,0,283.995,6.31,11563.217,18.49,0,3358.213,354.512,33.048,57.333,3440.24,0.984,6316.248,0.048,23.234,3.681,0.06,0,0.723,0.186,0,0,0.24,0,0.183,0,0,0.425,0,0.182,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",6.69,4.85,0,0,0,6.879,0,169.88,49.541,855.741,744.283,0,14.815,9.576,73.449,1.001,4656.683,0,0.54,7.297,0,126.001,0,4.965,2.282,70.247,12.974,8.723,67.986,1.577,0,1982.631,0,1.832,0.214,485.296,1713.093,0,0,101.559,0,3.742,2.277,75.963,39.588,0,310.192,1429.378,0,0,0,4.822,21.261,16.609,12.098,0,639.992,0,0,3778.444,6991.463,1.942,1.405,0,0,10.235,2.95,23229.115,33.606,0.614,0,415.17,363.194,0,0,61.487,3.356,0.764,9.13,0.129,1180.979,372.319,269.817,32.729,0,0,436.614,216.708,2152.792,0,3.416,999.05,31.927,57.149,2.041,0,476.008,0.795,6.25,0,22.894,0,156.974,0,4.838,299.575,162.987,89.256,11.521,4.33,210.398,9.122,0,22.664,1.678,14.048,95.69,13.389,0.436,0.005,0,11.26,0,11.446,15.862,0,5.834,3823.076,0,0,0,1.833,187.753,0.44,1.686,26.463,0,8991.423,0,0,14.782,35.342,0,0.199,98.195,65.925,0,1975.956,222.165,0,26.457,189.945,3816.059,0.901,0,0,0,0,0,0,0,129.088,8.082,17.688,0,0,184.235,920.986,100.787,526.357,387.873,0,259.379,1.15,3494.425,1.125,5.313,0,0,13823.622,1386.786,0,0,469.488,0,0,0,683.514,17.096,440.828,0,0,8.965,153.089,4.509,534.259,4295.172,1.964,16561.562,0.75,8.692,0,0.611,0,0,1.859,0,9.923,0,0,0,0,0,6.608,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,85.11,0.253,0,0,0,0,0,0.957,0,0,0,0,0.584,0,0,0,0,0,0,0,0,0,0.677,0,0,0,0.185,332.603,0,0,12.145,0,0,0,1.211,0,0.4,0,0,0,0.217,0,0,0.582,0.055,0,0,0,0,0,0,1.436,0,0,0,0,0,0,8.631,0,0,0,0,0,0,0,0,0,0,93.211,23.5,134.857,0,0.063,0,0,0,0,0,0.95,0,10.088,0,0,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.432,0,0,0,0,0,0,0,2.008,0,0,0,0,0,0,0,0,1.591,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,1.67,0,0,0,0,0,3.327,0,0,10.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.852,0,0,0,2.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0.204,0,1.478,0,0,16.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0,0,0,23.146,0,0,0,0.427,0,0,0,0.421,0,0.116,0,0.593,0,0.114,0,0,1.649,0,0,0,0,0,0,0,0,0,0,16.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,101.366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,0,0,0,0,0,0,0,0.009,0,0,5.057,0,0,0,0,0,0,0,0,0,0.716,0,0,0,1.306,0,0,14.855,0,0,86.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.219,0,0,0,0,47.168,22.734,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.037,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,1.352,0,0,0,0,0,0,0,0,0,0,0,0,0,5.791,0,0,3.216,0,0,0,84.809,0,0,0,0,0,0,0,64.007,0,0,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0.967,0,0,0,0,0,0,0,3381.205,0,0,0,3403.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,0,0,94.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,3372.539,0,0,0,0,0,0,0,213.293,0,0.096,146.381,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.666,0,5.098,0,0,0,0,8.473,0,0,0,0,0,0,0,0,0.364,0,0,0,0,0,1.015,0,0,0,0,0,0,0,0,203.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,5.945,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.375,0,0,0,0,0,0,12.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.586,96.462,0,0,0,0,0,0,1.07,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0.025,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,0,5.787,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.714,0,0,0,0,0.509,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,207.729,0,31.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0.765,46.06,174.332,23.043,9.188,0,0.468,0,0,16.283,0,1.181,2.795,0,5.282,0,0,8.09,14.484,0,0,3.472,0,0,1057.177,0,0,0,24.37,79.251,0,0,1.212,0,0,0,0,0.008,0,0,51.229,0,112.614,0,0,0,0,0,0,0,0,0,1348.805,162.859,0,0,0,0,0,0,319.499,0,0,0,1.476,0,0,0,0,1.152,0,0,0,80.876,154.086,0.805,0.078,0,0,1.515,38.635,56.06,0,0,21.321,0.514,4.887,1.621,0,204.775,5.71,0,0,0,0,689.086,0,0,740.383,1.335,0,0,0,42.19,0,0,0.164,0,18.142,30.289,0,0,0,0,15.452,0,0,0,0,0,121.023,0,0,0,0,4.79,0,0,0.856,0,138.454,0,0,0,0,0,0,34.52,2.792,0,173.21,10.129,0,0,172.981,1616.13,0,0,0,0,0,0,0,0,0,0,0,0.413,0,16.094,35.27,69.943,127.327,6.249,0,3.976,0,25.054,0,0,0,0,2078.745,84.833,0,0,37.611,0,0,0,8.493,0,71.258,0,0,0,185.078,0,0,406.443,0.379,448.577,0,0.637,7.901,0,0,0,0,0,0,0,0,0,0,0,0.437,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,8.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.047,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,4.386,0.98,0,0.733,0,0,484.755,1571.241,612.209,1251.111,0.095,9.318,88.388,0.19,0,1370.1,0,0.343,0.754,0,99.087,0,0,0,1.727,0,0,67.987,0,0,93.623,0,2.535,0,51.023,11240.879,0,0,4.558,0,0,0,7.754,56.334,0,21.881,987.565,0,2356.747,0,0.591,1.05,7.657,0.139,0,945.994,0,0,0,320.951,0,0,0,0.097,0.85,0.887,4496.661,5.444,23.907,0,222.534,0.392,0,0,2.555,0,2.214,0,0.84,301.977,287.78,75.315,152.937,2621.23,0,2.899,129.421,418.984,2.355,0,2464.786,5.731,2.932,0.766,0,1087.058,8.336,0.012,0.255,0.594,0,316.283,0,0,296.396,88.526,0.028,1.911,2.741,5308.554,0,7.053,280.431,0.139,0.177,353.313,2.409,0.152,13.704,0,13.374,0,5.164,103.094,0,0,1170.723,0,1.199,0.442,0.058,74.068,0.537,0,6.173,0,5452.238,0,0,0.03,4.587,0.799,1.378,18.45,123.958,0,2478.149,23.817,0,0,15.539,241.363,0.309,0,0,0,0,0,0,0,39.145,882.33,149.396,5.523,0,3162.735,341.428,214.086,2.714,409.686,0,83.843,0,360.617,0,7.3,0,0,4403.31,3422.293,0,0,319.958,0.057,0,1.34,53.927,0,137.142,0,0,0.013,5.454,457.529,0.152,1258.504,7.094,7902.814,4.905,181.946,2.99,0,0,0.108,3.456,0,0,0,0,0,6.838,0,0,0,0,0,0,0,0,0,0,0
"FRA",32.723,55.963,586.328,0,37.887,25.835,1.35,156.707,431.882,2294.215,6368.375,2.787,15.873,817.749,54.541,0.107,24788.907,9.45,6.253,128.709,1.178,382.23,50.468,0,23.922,2740.043,0.6,79.472,10.714,0,712.97,249.924,0,48.959,24.361,823.433,3074.317,0,0,444.008,0.462,160.072,170.295,261.572,1989.392,9.523,679.38,2878.163,33.948,8573.149,0,1323.522,40.061,1275.085,0.36,0,1237.436,0,0,4781.302,0,473.981,0,16.697,165.874,33.963,0,147972.119,0,1.319,0,5010.28,0,20.143,0,344.346,47.324,0.102,1.762,40.37,671.36,5017.92,759.191,21.842,14.74,0,2353.858,881.978,55790.244,810.95,6.69,1709.142,114.458,25.73,3.351,0,212.254,38.402,0,0,617.76,0,2272.379,0,0,1873.171,2027.479,47.767,314.388,1.819,138.666,1.144,27.213,415.892,204.548,299.291,860.513,3.609,82.106,68.094,0,1612.778,3.629,95.584,100.817,0,0,16287.904,0.875,0,0,450.162,672.792,51.869,32.885,28.282,0,6397.353,0,0,85.236,0,9.761,107.48,194.065,52.355,0,17544.539,15742.153,0,169.054,10569,2240.497,0,1.144,0,0,0,0,15.743,0,635.256,146.391,812.964,26.012,6.052,5915.351,838.499,1984.645,158.86,944.276,0,305.946,7.573,34297.105,0,0,0,0.171,9337.617,11439.86,0,0,1001.593,20.951,0,0.274,1312.871,795.34,6412.941,5.445,0,1.069,521.612,122.203,776.328,18353.442,0,53351.257,89.656,9.226,0.216,1.289,0,0,1.212,0,5.2,2.059,0,7.219,4.2,0,183.792,59.112,0,0,0,0,36.829,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.185,0,0,0,0,0,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0,0,0,0,11.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,1.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,8.25,0,0,0,0,0,31.955,0,3.019,0.012,0,0,0,54.973,0,0,0,0,0,0,0.077,0,0,0,16.757,0,0,0,0,0,2.893,0,0,0,0,4.459,0,0,0,0,0,0,0,0.13,0,0.056,10.395,0,0,0,0,0,0,0,0,0.411,0,0,0,22.174,0,0,0,0,0,0,2.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.091,0,0,0,17,2.684,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0.03,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,1.464,0,0,0,0,0,0,0,0,0.334,0,0,0,0,0,0,0,0,0,5.622,0,0,0,0,0,0,0,0,0,414.715,0,0,0,0.18,70.109,0,0,0,0,0,0,0,0,0,0,0.217,0,0,12.343,0.212,0,0,0,0,0,0,0.087,0,0,0.3,0,0,0.212,0,0,2.65,0,0,0,0,0,11.626,0.225,0,0,73.19,0,0,0,0,11.448,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
