"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","SHN","KNA","AIA","LCA","SPM","VCT","STP","SAU","SEN","SRB","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","WSM","YEM","ZMB","HTI","ASM","SLB","CXR","CCK","COK","ETH","FLK","KIR","VUT","NFK","PLW","SOM","TJK","TON","ARM","RWA","SMR","SLE","BFA","IOT","BTN","MMR","LSO","COM","PSE","TUV","WLF","NIU","FSM"
"DNK",0,0,120.414,1.188,0,0,139.639,179.495,488.481,1697.242,0,4.632,15.374,0,7172.663,0,19.487,43.246,0,107.338,0,1.088,0.335,20.771,0,40.743,0,0,833.422,0.091,0,0,18.182,0,154.195,956.838,1.342,0.158,0,0,6.849,224.293,12.14,152.473,1264.668,0,0,0,12.531,0,0,0,0,74.052,0,886.159,7602.014,0.157,0,0,71.828,0,14751.193,0.875,0,496.584,96.414,0,0,0,0,0,0,1135.424,1078.481,152.114,4.216,43.858,0.615,1004.511,120.715,2579.782,97.516,5.44,2479.974,8.718,0.323,2.728,0,763.703,12.506,0,0,39.631,76.553,7.495,174.869,275.445,194.22,0.596,0,0,13.695,0,0,27.551,0,8.336,31.988,0,0.808,0.154,0,2.8,0,2.719,21.234,0,0,3352.151,0,0,24.931,39.353,0,0,1050.633,3083.803,0,9.582,0.881,104.201,0,88.24,11.261,767.465,359.856,0,0,30.688,348.423,2873.073,0,0,0,0,0,0,0,24.998,3.298,58.056,0,145.436,229.758,76.048,71.743,116.431,50.898,0,2014.395,0.187,0,0,4903.92,1853.967,2.378,1726.909,0,0,29.319,616.954,12.505,455.468,0,0,0,160.217,17.541,16.152,8326.309,20.72,16474.127,7,1.339,1618.574,0,0,0.905,0,0,0,0,0,0,27.684,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,5.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0.316,0.578,0,0,0,525.817,756.359,2.694,0,0,0,0,0,0,2.062,0,0,30.132,0,0,0,6.677,0,4,0,0,451.128,0,0,0,0,0,1.832,103.025,33.373,0,0,0,0,24.513,0,0,39.383,0,0,0,0,0,0,0,0,0,0,53.01,2.511,1.282,0,0,0,0,2667,0,0,0,0,0,0,0,0,0,0,42.603,0,1.512,0,0,0,0.83,0,0.952,0,0,10.086,7.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.621,0,6.095,0,0,0.528,0,0,0,0,0,1.256,0,0,1.725,2.439,0,0,0,0,0,0,0,0,0,112.106,0,138.56,0,0,0,0,1.209,0,0,0,0,0,0,0,0,0,0,13.161,0,0,0,18.1,0,5.894,27.09,0,2667.374,0,0,0,0,0,0,3.287,0,0,1.232,0,0,0,0,0,0,0,0,0,33.296,0,7117.769,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0.696,0,5.519,0,0,0,0,0,0,0,0,0,4.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699,0,30.346,0,0,0,0.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.951,0,0,0,0,0,0,2.624,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.802,0,0,7.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.719,0,0,23.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0.72,61.131,2.885,0,0,0,0,295.04,0,0,2.363,0,1.107,0,0,0,6.089,0,8.437,0,0,842.502,0,0,0,0,0,56.426,9.688,0,0,0,0,0,12.009,0,0,0.396,0,6.214,0,0,0,0,0,0,0,0,272.699,0,0,0,0,0.18,0,113.779,0,0,0,0,0,0,0,0,0,0,318.568,20.194,0,0,0,0,0.597,102,11.956,0,0,36.252,2.645,0,0,0,0,0,0,0,0,649.779,0,0,214.244,0,0,0,0,0,0,0,0,0,0,43.209,0,0,0,0,0,0,0,0,0,0,69.282,0,0,0,0.043,0,0,0,32.897,0,0,0,0,0,0,0,302.903,0,0,0,0,380.792,1167.082,0,0,0,0,0,0,0,0,0,0,0,0.28,15.087,0,0,6.816,2937.6,0,0.024,0,0,0,298.226,7.057,0,1.67,0,0,0,0,0,0.402,0,0,0,34.582,0,0,0,0,654.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,33.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,65.219,0,0,0,0,90.145,631.943,298.72,0,0,0,0,230.881,0,0.595,0.018,0,87.956,0,0,0,21.518,0,38.369,3.943,0,867.53,0,0,0,0,0,24.832,4111.709,6.839,0,0,0,4.436,296.155,0,0,296.623,0,1933.945,0,0,8.173,0,0,0,729.458,0,0,2345.479,0,0,0,233.039,0,3086.507,0.454,0,23.017,0,0,0,21.982,0,0,0,90.523,919.924,10.165,12.029,7.19,0,75.764,760.829,1028.847,3.965,0,5913.535,8.132,8.342,0,0,1421.658,22.5,184.938,0,36.627,228.286,0,0,272.17,0,9.402,0,0,132.34,0,0,0.518,0,90.289,20.82,1.085,0.775,0,0,9.53,2.836,0,0,0,0,2063.358,0,0,0,113.962,4.811,0,0,3705.765,0,0.379,39.626,0,0,31.149,34.922,412.266,59.147,0,0,110.292,18.882,5360.254,0,0,0,0,0,0,0,109.428,1.008,1.585,0,416.653,4439.545,91.889,30.063,167.586,79.134,0,452.479,0,0,0,12279.408,418.049,0,68.506,0,0,0,273.355,8.488,69.008,0,0,0,27.221,21.282,4.503,1175.186,2.406,8371.265,0,0,7.152,0,0,0,0,0,0,0,0,0,0.827,0,0,0,0,0,0,0,0,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,2.504,86.311,698.521,0,0,46.889,406.37,14165.663,551.298,0,0,0,0,1938.245,0,3.625,74.102,0,873.438,0,0,7.513,41.091,0,7.2,9.436,14.094,7765.343,17.463,0,0,27.617,539.796,148.396,1829.045,142.72,18.844,2.511,6.277,183.015,149.6,1.59,3550.754,657.157,36.017,1156.324,1.28,0.316,7.859,0,2.511,0,50.802,0,97.916,0,151.294,0,70.46,3.318,3.766,16893.414,5.545,0,1674.131,0,13.479,0,16.849,7.001,0,0,795.215,381.878,22.553,24.641,371.536,0,92.947,466.189,8394.272,570.146,296.463,1409.747,277.58,10.558,26.66,0,1700.986,1.255,0,0,14.067,164.379,0,0,151.621,128.044,7.844,85.414,0,92.531,58.275,417.513,11.898,2.511,38.981,736.871,0,6.814,4.499,0,389.446,0,0.218,0,0,0,1409.463,3.766,0,133.999,92.895,3.376,41.377,5.05,1364.225,0,17.454,0,0,0.01,68.576,8.572,1553.235,7962.688,42.682,0,19.958,312.908,263.277,0,0,0,0,0,0,0,122.022,515.334,79.014,23.129,963.74,258.6,47.764,10.338,360.892,1095.964,0,7145.398,0.144,0,0,300.026,3725.851,21.341,1061.327,0,0,13.406,253.579,130.555,6342.185,0,0,19.861,142.221,5.649,12.745,14379.617,2.629,10060.622,6.071,0,362.781,0,0,4.045,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,1.7,2.325,0,0,1.255,0,0,0,0,26.958,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,21.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798,0,0,0,0,0,0,0,0,0,0,0,1.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.226,0,0,0,0,0,6.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.715,0,0,0,0,0,0,0,0,0,0,0,0,15.977,0,8.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,3.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.823,0,0,2.511,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.889,0,0,0,0,0,44.915,0,0,0,12.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",61,416.113,1212.12,12.541,157,0,673.326,1538.975,15844.212,89225.368,3,718.143,98.311,9.651,130880.761,0,37.104,636.779,0,12846.051,11,0,13.772,3936.462,5,2110.32,24,105.404,9928.895,8.01,4,2,353.664,75,2208.711,122754.014,1666.858,0,3,83,4587.086,4991.745,127.358,786.482,27444.965,3.991,28198.013,3,41,76.62,19,6,32,10442.461,0,18362.083,140940.675,20.492,0,8.974,204.603,0,0,65.679,33,7599.317,2.779,0.188,0,32.511,2,0,22.829,25880.948,18756,489.449,985,4838,1256,10881.344,7647.882,114242.307,27.456,13.513,88271.371,1647.832,486.68,65.034,566,75365,666.041,10.853,5,483.371,8132.748,12,5257,4031.831,2755.625,231.717,27.348,0,6865.699,33,0,940.889,13,89.935,6722.52,5.279,220.217,42.689,628,616.887,20,125.399,90.065,0,10,98720.061,30.598,0,90.669,683,9,52.445,428,4950.273,2,967,2105.316,0,62.661,179.715,2472.213,58362.658,15774.123,0,4,1001.861,4925.801,39227,0,2,22,0.916,3,0,0,6077.689,82.243,2349.707,81,32814.148,23446,8940.01,1386.254,3907.508,20501.595,19.061,83509.29,585,0,0,52437.689,64486.735,678,7358.831,3,0,7.363,9256,652.725,23494.982,27,0,13.917,21865.781,328.775,2908.714,147868.725,488.246,332763.797,83.882,755,1703.77,1,217,10,7,0,0,0,0,0,256.658,0,0,0.247,0,0,3,15,0,49.818,13.78,0,0,2,17,1.251,69,121,0,41,4,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,2221.873,0,0,0,0,0,0,2.112,5.091,0,0,0,0,70.012,0,0,60.267,0,18.19,0,0,0,26.416,0,0,0,0,37.227,0,0,0,0,0,0,6.993,0,0,0,0,0,19.969,0,348.705,0,0,0.918,0,0,0,0,0,0,0,0,8.67,0.446,0,0,0,0,0,257.933,0,0,0,0,0,0,0,0,0,0,14.93,0,0,0,0,0,0,32.151,29.494,0,0,22.391,0,4.207,0,0,143.117,4.368,0,0,43.032,0,0,0,3.459,0,0,0,0,0,0,0,0.373,0,1.174,3.904,0,0,4.204,0,21.551,0,0,0,0,0,32.14,0,0,0,0,0,0,0,7.886,0,0,0.853,0,0,0,0,153.045,20.424,0,0,0,248.045,0,0,0,0,0,0,0,0,0,0,11.659,0,153.735,0,0,0,10.146,0.036,0,17.496,0,0,0,7.732,3.985,0,4.421,0,0,0,0,0.821,68.248,0,0,0,0,29.005,0,106.938,0,66.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,1.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0,0,0,0,0,0,0,0,0.02,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.394,0,0,0,0,1.671,0,0,0,0,0,2.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
