"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","CUW","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","GIN","VUT","NFK","PLW","GNB","SOM","TON","ATF","BTN","ERI","DJI","MRT","GUY","ASM","SPM","TCD","MYT","TCA","TKL","COM","NIU","SHN","MHL"
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,19.766,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,1.06,0,0,0,0,0,0.087,0,0,0,0,1.325,0,0,0,0,0,1.081,0,0,0,159.744,0,0,0,0,0,0,0,0,0,0,0,0,0,6.371,227.446,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.775,0,0,0,0,1.914,0,15.165,0.241,0,0,0,0,0,14.569,0,0,0,0,0,0,0,0,202.5,0,40.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0.914,8.06,0.449,0.573,0,110.634,120.071,29.185,1878.563,0,0,0,15.54,0.133,963.16,0,1.092,9.312,0,39.109,0,0,0,0,3381.248,0,0,21.827,0,0,32.292,0,0,0,0,313.099,631.932,0,27.368,0,0,0,9.28,163.35,0,13.516,0,0,7007.047,0,0,0.334,0,0,0,22.242,0,0,89.131,6906.515,0.676,0,9.986,0,0,21445.965,0,0,0,39.307,9.688,0,0,0,0,0.29,129.972,2861.313,3.164,9.315,0,0,31.468,155.613,844.392,0,0,78.99,0.539,0,0,0,23.9,0.358,0,0,29.535,0,28.653,0,0,322.985,158.204,0,0.579,0,3.283,0,0,4.373,0.18,321.595,0,1.206,0.05,0,33.124,0,0.072,0,0.183,915.503,0,0,0,0,11.962,0.234,0,8.206,247.707,0,0,1833.077,0,0,4.524,94.642,0,923.903,1951.791,0,12.974,317.324,1747.929,0,0,0,0.729,0,0,0,0.658,0,18.441,0,0,23.241,55.326,6224.444,204.561,85.571,527.561,0,822.499,3.308,0,0,2939.366,7723.875,0,0,99.83,0,0.052,60.073,18.27,905.371,0,0,0,324.026,1.832,669.98,2390.1,0,2033.292,0,3.63,13.406,108.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",15.114,1.751,35.53,0,23.711,0,26.691,23.12,486.838,1201.432,0,12.26,3.619,74.07,0,3954.799,0,0,18.563,2.263,938.426,0,0,0,0,62.604,0,0,98.141,0,1.003,798.668,0,0,0,9.245,394.86,775.491,0,112.081,0,0,0,90.367,17.355,71.082,75.276,2294.666,1.377,0,0,0,30.961,1.251,0,14.406,122.264,0,0,971.753,6486.61,1.667,6.61,9.436,0,0,26126.357,64.755,3.644,0,613.635,33.986,0,0,18.067,0,31.041,710.429,724.322,59.147,58.724,5.791,24.304,448.119,367.146,3782.263,91.14,11.914,920.487,65.988,4.822,5.018,0,872.208,34.191,11.07,0,96.297,0,74.712,0,0,450.026,259.33,154.503,0,0,223.987,0.26,0,18.854,11.216,569.774,0,4.958,0.434,0,97.039,0,43.675,9.145,7.069,3184.306,0,0,0,6.543,151.445,0,0,76.422,2564.112,0,0,8.363,5.229,0,13.811,90.056,58.74,1721.054,315.196,0,42.172,337.411,2762.465,0,0,0,0,0,7.946,0,75.501,0,138.166,5.579,0,1684.518,722.69,64.648,1837.914,123.89,346.609,0,2985.077,11.829,0,0,6125.197,2886.819,43.847,0,527.401,0,6.113,1172.248,1.324,814.266,11.068,0,0.516,188.859,38.91,71.668,6584.873,12.652,4898.81,0,8.19,4.724,119.525,0,2.93,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,18.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,1.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,51.615,588.766,0,0,0,0,0,0,0,0,1.022,0,0,0.346,0,0,0,0,0,0,0,68.9,0,0,0,0,0,0,0,0,303.054,0,2.651,0,0,0,0,0,0,0,0,0,0,0,0,0.597,0,0,0,0,0,0,0,0,0,0,0,0,0,85.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.354,0,0,0,0,0,0,0,0,0,365.912,0,0,0,0,34.572,0,0,0,0,0,0,0,0,0,0,14.277,0,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.782,0,0,0,0,0,0,0,0,0,0,0,0.405,0,0,1.705,0,0,0,0,269.629,0,0,0,0,0,0,281.859,0,5389.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,2.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,31.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.12,0,0,0,0,0,0,9.511,0,0,0,0,0,0,0,0,0.412,1,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,0,0,0,0,0,0,0,0,0,5.303,0,0,0,0,21.92,0.018,0,0,2.019,0,0,0,1.507,0,0,37.125,0,26.092,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,0,0,17.812,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,2.833,0,0.531,0,0,0,0,0,0,0,0,0,0,0,1.377,0,0,0,86.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.745,0,0,0,103.902,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.322,0,64.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.176,0,0,0,0,18.043,0,0,0,0,0,0,36.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.814,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0.638,0,0,0,0,0,0,0,0,0,0,1.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0.435,0.767,0,0,0,0,19.41,26.186,0.14,0,0,0,0,0,217.73,0,0,17.143,0,61.799,0,0,17.986,0,0,0,0,0.253,0,0,9.957,0,0,0,0,3.181,54.639,0,0,0,0,0,0,13.483,0,0,19.323,0,7.327,0,0,0,0,0,24.98,0,0,0,265.317,1.63,17.082,0,212.155,0,0,147.564,0,0,0,0.111,0,0,0,0,0,0,0,122.001,0,0,0,0,0,5.374,0,0,0,37.658,0,0,0.194,0,9.25,78.403,13.546,3.621,4.349,0,189.498,0,0,102.807,0,0,0,0,4.092,0,0,0,0,473.016,0,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0,0,0,77.293,0,0,0,0,0,0,1.765,0,77.006,0,0,0,18.008,2822.236,0,0,0,0,0,0,0,4.268,0,7.316,0,0,48.301,1.823,0.597,0,45.726,158.225,0,0.39,0,0,0,6146.119,38.385,0,0,5514.216,0,0,155.791,0,66.87,0,0,0,0,10.231,0,229.95,0,93.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.614,0,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,292.633,2.551,0,0,0,3.435,5.13,873.098,137.48,0,1.13,0,0.797,0,1201.601,0,0,39.834,0,63.422,0,0,0,0,154.828,0,0,0.742,0,0,123.177,0,0,0,0,0.663,6229.456,0,15.357,0,0,0,0.075,410.149,0,0,137.929,0,1422.886,0,0,0,0,0,1.926,834.243,0,0,0,1438.008,0,0,234.424,0,0,4234.329,2.321,0,0,10.944,0,0,0,0,0,0,2105.905,789.724,4.086,0,0,74.57,9.604,149.198,272.585,2.745,0,1772.856,1248.645,4.908,0,0,611.575,2.301,0.046,0,23.791,0,89.625,0,0,183.883,0.04,0,0,0,12.022,0,0,0.957,4.391,54.497,0,0.038,7.411,0,18.245,0,0,1.92,0,1116.617,0,0,0,0,10.166,0,0,30.329,1136.742,0,0,0,1.068,0,0.981,14.817,7.757,74.334,0.94,0,0,62.881,2245.679,0,0,0,0,0,0,0,44.561,4.384,91.68,0,0,315.561,46.993,4.445,20.666,599.608,6.339,0,24.988,0,0,0,2214.647,3382.922,0,0,159.969,0,5.37,58.391,0.824,90.559,0,0,0,1.3,64.591,1.152,1631.248,0,1958.854,0,9.282,0,22.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,1.614,108.055,374.336,245.558,0,7.821,399.459,4474.902,94.261,0,0,0,488.817,0.56,2881.685,0,3.233,22.462,0.829,535.199,16.856,0,0,3.764,78.81,0,6.628,36.7,0,38.135,23.86,20.769,0,50.378,0.411,181.329,2565.795,0,323.568,2.651,0,0,440.013,113.435,0,54.002,1071.251,29.362,946.349,0.233,0,23.484,203.84,0,19.042,333.301,0,11.93,198.799,0,115.504,7.953,5.408,0.026,0.286,1325.561,92.886,0,0,289.859,0,0.207,0,8.5,0,9.21,123.673,1067.106,61.308,187.061,125.937,0,1.326,3.99,8786.732,88.142,3.839,1727.418,2945.816,5.302,12.359,0,984.96,172.323,1.326,0,84.198,0,26.245,30.488,471.667,30.631,179.249,4.657,217.684,0,24.392,12.658,310.026,39.456,256.486,749.765,0,10.557,6.105,0,124.603,0,0,1324.169,0,633.372,0,0,0,197.024,464.926,0.281,102.159,3.645,1736.633,0,0,22.986,0,0,1.19,1453.63,277.274,234.701,6184.369,0,3.977,1558.973,124.538,0.991,0,0,1.246,0.156,0,0,661.867,68.433,75.542,23.86,0,380.115,632.522,633.403,35.68,193.924,532.159,0,6153.442,61.533,0,0,2422.192,4483.099,0,0,1.326,0,1.972,6.628,200.172,3119.635,0,0,48.479,128.675,6.401,391.089,5234.822,15.907,599.153,5.302,1879.201,0,587.427,3.977,0,0.574,0,99.417,0,0,0,0,0,0,0,0,0,0,7.733,0,0,5.302,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.618,0,2.943,0,0,0,0,16.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,153.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",17.64,0,0,0,0,0,0,0,0,0,0,0,0,46.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0,0,0,0,0,0.768,0,0,0,0,0,0,0,0,0,0.341,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,55.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,6.67,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.495,0,0,0,0,4.867,0,0,0,0,0.053,0,0,0,0,0,0,0,0,13.205,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461,0,0,0,0,0,0,0,0,0,0,0.003,0,25.866,0,0,0,6.965,0,0,1.5,0,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",11418.034,315.959,21100.135,17.702,830.544,1.797,741.816,3862.692,20864.512,105759.348,8.96,205.998,56.292,92.938,107.446,99310.656,0.681,67.951,785.277,24.903,16704.398,0,0,0,38.12,3026.141,16.213,6.178,1209.414,11.982,36.534,8677.751,2.955,6.811,2.54,271.826,1632.092,277108.428,0,1867.432,4.163,15.313,0,143.544,2021.26,458.2,431.13,27071.469,3.27,23140.46,0.043,92.711,482.158,75.741,0.339,419.203,4213.77,0,0,6019.737,175386.215,23.025,27.297,198.657,0,56.545,0,73.322,3.305,0,8098.293,0.472,0,0,102.271,42.867,152.67,4933.79,22650.183,403.304,2499.513,12667.041,921.819,2462.176,8356.311,99660.027,313.037,36.568,55468.356,2140.034,3382.861,193.692,1.848,65709.967,875.331,43.057,541.035,923.295,0,1442.834,0.511,65.332,1814.841,5381.549,38.434,36.206,16.152,43605.319,8.199,27.88,1312.355,143.67,11394.867,88.026,121.271,31.436,0,1765.488,32.544,438.427,307.987,81.379,105234.721,6.778,0,8.67,45.452,846.942,68.692,2.51,2232.879,12298.718,0,0,165.224,240.373,0,117.174,612.451,1055.766,55081.415,8401.933,0,826.358,14648.837,46873.254,11.096,0,0,0.395,1.94,628.385,0,12631.818,50.438,4012.287,2.267,1.834,24104.188,17031.498,16304.432,1316.371,3765.842,15777.435,106.892,69817.455,10.231,5.117,0,30745.904,82797.967,602.556,32.186,5419.256,1.27,145.863,13775.748,189.781,27875.373,174.302,0,5475.992,4102.762,335.175,4361.672,128592.364,114.049,311313.596,7.841,144.439,393.989,1364.666,0,0.059,340.642,21.977,32.983,0.19,0,0,0,0,0,0,6.391,31.285,0.278,39.486,1.44,0,0,0.212,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.766,0.792,0.062,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.492,0,4.701,2.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.689,0,0,0.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,3.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
